second,avg_latency_ms_zk_v3.4.8,throughput_zk_v3.4.8,cumulative_throughput_zk_v3.4.8,avg_cpu_zk_v3.4.8,avg_memory_mb_zk_v3.4.8
0,18.744406,10742,10742,45.01,139.94
1,22.771199,41319,52061,84.84,244.43
2,19.527050,53017,105078,112.10,373.06
3,15.918992,65647,170725,130.83,575.67
4,14.647229,68304,239029,147.24,719.77
5,14.219190,69595,308624,161.97,726.69
6,14.024036,70994,379618,175.12,728.76
7,13.917261,71614,451232,186.86,731.53
8,13.724904,72566,523798,197.61,730.60
9,14.622863,67886,591684,206.56,721.86
10,13.919065,71321,663005,214.47,717.35
11,14.851306,66618,729623,221.04,716.32
12,14.589614,68319,797942,227.99,714.95
13,14.513324,68633,866575,234.16,713.42
14,14.747083,67037,933612,239.39,711.71
15,14.263824,69881,1003493,244.58,710.84
16,14.323786,69433,1072926,249.28,709.65
17,14.188334,70064,1142990,253.81,708.27
18,14.353236,69348,1212338,257.87,706.23
19,14.054312,70981,1283319,262.00,706.22
20,14.168004,70069,1353388,265.72,705.19
21,14.109425,69742,1423130,269.09,704.37
22,13.931096,71527,1494657,272.54,704.21
23,14.382262,69238,1563895,275.71,705.78
24,14.561106,68511,1632406,278.58,705.99
25,14.653010,67796,1700202,281.01,705.65
26,14.370969,68451,1768653,283.50,705.64
27,14.209094,68880,1837533,285.76,705.98
28,14.328415,69123,1906656,287.93,706.52
29,14.647317,67566,1974222,289.91,705.32
30,14.610206,25578,,,
