second,avg_latency_ms_etcdv3_nocompression,throughput_etcdv3_nocompression,cumulative_throughput_etcdv3_nocompression,avg_cpu_etcdv3_nocompression,avg_memory_mb_etcdv3_nocompression,avg_latency_ms_etcdv3_snappy,throughput_etcdv3_snappy,cumulative_throughput_etcdv3_snappy,avg_cpu_etcdv3_snappy,avg_memory_mb_etcdv3_snappy
71,764.148344,1333,90388,271.15,1798.20,843.879037,1084,78450,415.85,1528.45
72,755.298553,1263,91651,271.62,1798.20,881.253084,1143,79593,416.10,1528.45
73,762.192299,1304,92955,272.06,1798.62,851.459451,1125,80718,417.00,1532.81
74,808.144557,1280,94235,272.50,1798.62,841.212345,1105,81823,417.67,1532.81
75,751.011740,1282,95517,272.97,1798.62,866.021678,1132,82955,418.29,1532.81
76,795.176388,1265,96782,273.31,1798.62,864.372978,1104,84059,418.75,1532.81
77,763.011410,1320,98102,273.71,1800.42,848.745606,1150,85209,419.17,1533.57
78,772.467870,1291,99393,274.13,1800.42,859.849768,1116,86325,419.77,1533.57
79,773.674183,1275,100668,274.55,1800.42,898.282720,1129,87454,420.18,1533.85
80,777.965872,1287,101955,274.83,1800.42,842.319354,1139,88593,420.44,1535.35
81,787.534669,1253,103208,275.16,1800.52,867.321386,1122,89715,421.15,1537.96
82,793.180049,1233,104441,275.58,1800.52,855.691682,1097,90812,421.29,1537.96
83,796.770368,1322,105763,275.83,1800.52,877.626088,1140,91952,421.82,1537.96
84,769.559249,1246,107009,276.03,1800.52,851.920068,1118,93070,422.26,1537.96
85,786.094315,1261,108270,276.33,1800.52,864.724174,1104,94174,422.71,1537.96
86,788.341254,1304,109574,276.75,1800.52,863.208385,1132,95306,423.00,1538.03
87,762.601210,1270,110844,276.98,1800.52,854.542799,1107,96413,423.37,1539.78
88,787.395404,1280,112124,277.27,1800.60,873.694137,1124,97537,423.85,1539.78
89,761.717925,1289,113413,277.57,1800.60,852.805017,1126,98663,424.25,1539.78
90,783.218359,1275,114688,277.84,1800.60,845.310948,1129,99792,424.57,1542.65
91,783.533299,1314,116002,278.17,1800.60,862.057895,1111,100903,424.97,1545.52
92,773.354511,1279,117281,278.51,1800.60,854.457340,1154,102057,425.46,1545.52
93,772.997034,1278,118559,278.76,1800.68,858.564941,1108,103165,425.76,1545.52
94,775.630342,1313,119872,279.07,1800.68,856.649696,1148,104313,426.21,1545.52
95,770.125135,1275,121147,279.38,1800.68,837.720511,1133,105446,426.50,1545.52
96,793.148763,1236,122383,279.69,1800.68,872.339515,1114,106560,427.17,1547.70
97,780.413836,1266,123649,279.89,1800.68,864.657234,1105,107665,427.26,1547.70
98,769.695098,1318,124967,280.19,1800.68,807.278959,1196,108861,427.98,1547.70
99,766.129879,1248,126215,280.43,1800.68,896.728106,1146,110007,428.21,1549.00
100,819.941997,1272,127487,280.62,1800.68,854.852716,1096,111103,428.52,1549.00
101,764.697952,1281,128768,280.84,1800.68,888.625902,1095,112198,428.73,1549.04
102,774.161761,1295,130063,281.21,1800.68,836.661265,1123,113321,428.98,1549.04
103,797.386716,1303,131366,281.42,1800.68,861.201458,1186,114507,429.39,1549.04
104,749.485166,1270,132636,281.67,1800.68,850.182321,1092,115599,429.85,1549.04
105,776.878628,1297,133933,281.93,1800.68,849.246162,1157,116756,430.18,1549.04
106,793.967948,1282,135215,282.22,1800.68,860.139679,1132,117888,430.44,1549.05
107,778.975252,1287,136502,282.33,1800.68,867.131293,1071,118959,430.48,1549.05
108,766.108704,1267,137769,282.45,1800.68,850.867384,1140,120099,430.88,1549.05
109,772.150863,1293,139062,282.63,1800.68,862.249320,1162,121261,431.18,1549.13
110,790.801574,1253,140315,282.85,1800.68,866.371710,1127,122388,431.35,1549.13
111,791.497967,1259,141574,282.98,1800.68,856.354736,1158,123546,431.75,1549.13
112,767.386768,1308,142882,283.16,1800.68,833.050036,1105,124651,431.82,1549.13
113,753.835066,1322,144204,283.40,1800.68,838.556305,1162,125813,432.53,1549.13
114,808.691049,1237,145441,283.71,1800.68,856.577183,1083,126896,432.69,1549.13
115,784.657771,1247,146688,283.95,1800.68,843.925132,1164,128060,433.03,1549.13
116,792.649456,1285,147973,284.23,1800.68,856.636508,1144,129204,433.26,1549.13
117,777.734986,1262,149235,284.52,1800.69,848.272762,1134,130338,433.72,1549.13
118,768.082173,1296,150531,284.92,1800.69,855.852908,1144,131482,433.97,1549.13
119,788.932407,1304,151835,285.28,1800.69,844.283330,1155,132637,434.25,1549.13
120,781.160283,1280,153115,285.58,1800.69,846.527494,1154,133791,434.44,1549.13
121,784.646232,1229,154344,285.88,1800.69,861.832972,1130,134921,434.85,1549.13
122,748.894672,1316,155660,286.14,1800.69,858.914576,1144,136065,435.10,1549.13
123,790.715702,1298,156958,286.50,1800.69,835.613616,1158,137223,435.36,1553.43
124,792.018293,1263,158221,286.80,1800.69,820.358615,1112,138335,435.54,1553.43
125,778.877999,1307,159528,287.01,1800.69,855.364147,1146,139481,435.90,1553.43
126,778.414515,1237,160765,287.15,1800.69,849.834197,1094,140575,436.15,1553.50
127,779.539913,1283,162048,287.26,1800.69,854.195055,1161,141736,436.28,1553.50
128,760.231765,1326,163374,287.42,1800.69,853.514539,1142,142878,436.51,1553.50
129,770.582269,1270,164644,287.50,1800.69,861.781905,1143,144021,436.66,1553.50
130,784.803674,1294,165938,287.62,1800.69,859.191843,1134,145155,437.00,1553.50
131,767.838873,1271,167209,287.74,1800.69,836.212120,1136,146291,437.27,1553.50
132,797.315853,1251,168460,287.87,1800.69,841.657727,1135,147426,437.54,1553.50
133,779.578159,1281,169741,287.97,1800.69,858.208438,1128,148554,437.73,1553.50
134,767.251858,1316,171057,288.15,1800.69,854.510843,1163,149717,438.01,1553.57
135,788.320082,1259,172316,288.26,1800.69,838.027468,1105,150822,438.19,1553.57
136,774.854952,1295,173611,288.41,1800.69,866.783288,1128,151950,438.34,1553.57
137,792.743937,1274,174885,288.49,1800.69,846.675447,1112,153062,438.62,1553.57
138,773.384160,1267,176152,288.56,1800.70,832.367229,1168,154230,438.59,1553.57
139,778.902089,1283,177435,288.67,1800.70,866.047018,1161,155391,439.06,1553.58
140,774.145873,1305,178740,288.79,1800.70,843.683190,1133,156524,439.26,1553.58
141,790.226268,1249,179989,288.90,1800.70,830.314721,1115,157639,439.56,1553.58
142,787.071926,1222,181211,289.01,1800.70,846.546616,1132,158771,439.62,1553.58
143,794.509714,1283,182494,289.04,1800.70,854.658071,1135,159906,439.79,1553.58
144,809.496427,1274,183768,289.09,1800.70,838.935081,1132,161038,440.10,1553.66
145,757.141399,1269,185037,289.17,1802.76,854.089741,1136,162174,440.33,1553.66
146,778.735879,1285,186322,289.30,1802.76,879.746545,1108,163282,440.40,1553.66
147,790.078591,1276,187598,289.39,1802.76,879.935795,1109,164391,440.45,1553.69
148,771.214128,1271,188869,289.49,1802.76,867.191315,1088,165479,440.68,1553.69
149,788.033381,1307,190176,289.62,1802.76,886.187646,1151,166630,440.74,1553.70
150,765.456582,1270,191446,289.74,1802.76,861.415786,1116,167746,440.90,1553.70
151,761.072750,1318,192764,289.78,1802.76,850.306625,1109,168855,441.03,1553.70
152,774.481614,1302,194066,289.91,1802.76,893.361125,1099,169954,441.15,1553.70
153,790.073107,1260,195326,289.99,1802.76,882.360284,1095,171049,441.21,1553.70
154,774.439554,1282,196608,290.06,1802.76,852.034216,1142,172191,441.41,1553.70
155,759.623868,1317,197925,290.19,1802.76,886.698447,1095,173286,441.39,1553.70
156,782.912550,1251,199176,290.29,1802.76,868.593466,1111,174397,441.48,1553.70
157,770.711699,1298,200474,290.33,1802.76,853.797556,1120,175517,441.62,1553.70
158,766.391740,1288,201762,290.45,1802.76,850.574064,1102,176619,442.00,1553.70
159,776.658263,1331,203093,290.55,1802.76,861.681839,1166,177785,441.98,1553.70
160,762.752728,1232,204325,290.60,1802.76,827.428093,1124,178909,442.29,1553.70
161,801.047462,1301,205626,290.66,1802.76,856.949381,1138,180047,442.27,1553.70
162,794.512139,1281,206907,290.68,1802.77,862.509362,1138,181185,442.48,1553.70
163,766.602952,1277,208184,290.73,1802.77,828.599644,1139,182324,442.77,1553.70
164,788.336542,1241,209425,290.79,1802.77,874.427083,1147,183471,442.89,1553.70
165,756.451993,1315,210740,290.91,1803.53,818.446545,1164,184635,442.86,1553.70
166,773.831651,1290,212030,291.07,1803.53,884.226388,1132,185767,443.20,1553.70
167,794.104286,1266,213296,291.14,1803.53,836.393647,1136,186903,443.36,1553.70
168,774.621938,1306,214602,291.20,1803.59,848.654147,1147,188050,443.39,1553.70
169,749.818798,1275,215877,291.31,1803.59,851.967336,1131,189181,443.64,1553.70
170,803.383354,1295,217172,291.45,1803.59,846.955467,1160,190341,443.75,1553.70
