second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_etcdv3_after_patch,throughput_etcdv3_after_patch,cumulative_throughput_etcdv3_after_patch,avg_cpu_etcdv3_after_patch,avg_memory_mb_etcdv3_after_patch
0,29.057862,1932,1932,1.94,45.79,29.035653,10325,10325,2.00,44.99
1,33.864998,29645,31577,4.97,125.34,31.33541,31980,42305,5.48,130.80
2,34.27589,28892,60469,10.48,145.01,35.287563,23225,65530,10.29,144.18
3,64.792503,15104,75573,14.87,155.35,81.038711,14232,79762,12.66,152.45
4,38.343946,26265,101838,19.44,163.15,37.782586,26814,106576,17.21,166.29
5,38.965054,25849,127687,25.08,174.38,38.340138,25997,132573,22.02,176.41
6,63.846738,15461,143148,30.52,186.97,113.970763,8642,141215,26.43,185.19
7,40.039041,24809,167957,33.64,192.01,36.850008,27307,168522,28.53,195.39
8,40.814156,24640,192597,38.80,204.82,37.460284,26451,194973,33.43,207.94
9,39.048475,21557,214154,44.08,220.81,37.350173,18445,213418,38.04,216.04
10,65.738078,17227,231381,46.93,224.10,58.556261,22430,235848,40.29,222.44
11,41.499905,24327,255708,51.78,235.29,38.911262,25731,261579,45.03,237.39
12,40.98221,24072,279780,56.75,244.89,42.691932,23255,284834,49.44,248.23
13,74.424226,13558,293338,60.69,257.13,72.849735,13600,298434,52.34,253.24
14,41.318998,23616,316954,63.90,263.86,42.764647,23580,322014,55.56,267.31
15,41.254686,23872,340826,68.52,275.18,38.611141,25684,347698,59.60,277.50
16,44.742365,21016,361842,73.01,285.16,43.376029,13536,361234,63.73,293.26
17,67.343587,15938,377780,75.14,290.46,60.531188,23318,384552,65.87,296.84
18,43.480411,22840,400620,79.49,303.98,41.392981,24216,408768,69.78,302.96
19,43.859259,22784,423404,83.71,316.49,42.279891,23565,432333,73.86,318.18
20,64.67041,15569,438973,87.79,322.72,90.438546,10789,443122,76.50,327.52
21,43.386528,22801,461774,90.22,333.40,42.004008,23214,466336,79.07,333.94
22,44.180794,22968,484742,94.13,342.70,47.816668,21767,488103,82.44,341.70
23,43.0666,22157,506899,98.05,354.86,42.649716,20857,508960,85.82,352.05
24,78.783197,13180,520079,99.88,363.93,72.744674,14952,523912,87.36,362.62
25,51.641717,19412,539491,103.22,370.66,47.454278,21297,545209,90.59,376.36
26,47.767337,20793,560284,106.48,377.58,46.238955,21716,566925,93.80,383.95
27,49.29717,19794,580078,110.19,386.87,41.398332,15976,582901,96.90,394.00
28,76.638327,13165,593243,111.78,395.20,77.344906,17177,600078,97.99,398.19
29,47.228765,21063,614306,114.95,405.77,40.238411,23497,623575,101.13,411.66
30,49.354478,20415,634721,118.15,414.86,43.618346,24100,647675,104.91,426.99
31,41.500092,22535,657256,121.59,433.13,83.095482,11904,659579,107.93,436.48
32,76.568873,13309,670565,123.31,436.04,38.931045,25460,685039,109.43,440.65
33,43.834045,23486,694051,126.83,442.50,39.118722,25223,710262,112.70,452.26
34,44.114648,22423,716474,129.99,454.72,42.061851,20349,730611,116.23,464.77
35,47.760755,14705,731179,133.12,464.42,85.573709,13458,744069,117.01,470.22
36,66.968865,18626,749805,134.50,468.17,54.183075,18484,762553,119.69,479.72
37,48.10173,21164,770969,137.47,478.54,47.568435,19609,782162,122.27,492.14
38,45.859253,22624,793593,140.60,491.46,46.567561,21158,803320,124.61,498.59
39,77.848332,12860,806453,143.18,501.56,103.902125,10273,813593,125.48,505.38
40,46.946925,21067,827520,144.89,506.46,49.420459,19083,832676,127.83,517.61
41,47.97419,19946,847466,147.40,519.36,47.862766,20634,853310,130.03,525.93
42,50.698139,19944,867410,149.88,526.85,52.723396,19777,873087,132.54,535.56
43,52.721196,11463,878873,152.20,534.28,73.5589,12745,885832,133.87,545.35
44,71.94398,19955,898828,153.66,542.54,50.747984,19296,905128,135.74,551.98
