second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot,throughput_zookeeper_v3.4.8_snapshot,cumulative_throughput_zookeeper_v3.4.8_snapshot,avg_cpu_zookeeper_v3.4.8_snapshot,avg_memory_mb_zookeeper_v3.4.8_snapshot,avg_latency_ms_zookeeper_v3.4.8_nosnapshot,throughput_zookeeper_v3.4.8_nosnapshot,cumulative_throughput_zookeeper_v3.4.8_nosnapshot,avg_cpu_zookeeper_v3.4.8_nosnapshot,avg_memory_mb_zookeeper_v3.4.8_nosnapshot,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
27,0.000000,0,124400,106.54,605.64,38.203497,25407,720080,336.39,326.22,24.120827,42962,922389,290.47,1896.76,0.000000,0,997578,287.57,1962.87,108.413944,9152,256506,195.05,477.17
28,0.000000,0,124400,103.56,607.03,43.473052,22934,743014,338.55,334.95,22.713282,40985,963374,293.58,1896.76,1191.475675,1468,,,,101.847457,9801,266307,197.02,387.93
29,0.000000,0,124400,100.71,607.03,44.717107,22272,765286,340.47,343.22,0.000000,0,963374,295.13,1937.00,,,,,,108.060448,9308,275615,198.83,412.42
30,0.000000,0,124400,98.04,607.03,41.633269,24176,789462,342.22,350.19,124.173259,16599,979973,293.72,1938.62,,,,,,117.573464,8566,284181,199.96,432.10
31,0.000000,0,124400,95.50,607.03,38.235963,25791,815253,345.05,358.33,19.185419,14034,994007,294.81,1994.22,,,,,,113.357914,8742,292923,200.82,449.66
32,0.000000,0,124400,93.10,607.03,40.005307,24455,839708,347.78,365.65,289.885772,5648,999655,301.35,2054.45,,,,,,93.100544,10797,303720,201.84,462.48
33,0.000000,0,124400,90.81,607.03,41.600264,24282,863990,349.56,376.69,1650.431981,18,,,,,,,,,111.117902,8999,312719,203.35,485.35
34,0.000000,0,124400,88.64,607.03,41.860025,23973,887963,351.73,388.29,,,,,,,,,,,111.528478,8933,321652,204.34,512.28
35,0.000000,0,124400,86.57,607.03,35.050415,26380,914343,354.21,396.25,,,,,,,,,,,99.970594,9718,331370,205.30,523.50
36,0.000000,0,124400,84.59,607.03,40.748274,25323,939666,356.20,405.69,,,,,,,,,,,111.253795,9317,340687,206.39,540.07
37,0.000000,0,124400,82.71,607.04,41.789220,22564,962230,357.50,415.59,,,,,,,,,,,126.112549,7738,348425,207.39,565.85
38,0.000000,0,124400,80.90,607.04,38.806926,27310,989540,359.66,422.76,,,,,,,,,,,96.139712,10527,358952,207.95,578.15
39,0.000000,0,124400,79.18,607.04,40.841134,10460,,,,,,,,,,,,,,116.120816,8642,367594,208.93,596.86
40,0.000000,0,124400,77.54,607.04,,,,,,,,,,,,,,,,105.415138,8753,376347,209.47,616.73
41,0.000000,0,124400,75.96,607.04,,,,,,,,,,,,,,,,112.501505,9525,385872,210.04,632.09
42,0.000000,0,124400,74.43,607.04,,,,,,,,,,,,,,,,123.221898,8036,393908,211.37,655.93
43,0.000000,0,124400,72.98,607.04,,,,,,,,,,,,,,,,95.872954,10725,404633,211.96,667.63
44,0.000000,0,124400,71.58,607.04,,,,,,,,,,,,,,,,112.596837,8832,413465,212.88,689.19
45,0.000000,0,124400,70.25,607.04,,,,,,,,,,,,,,,,95.856536,10244,423709,213.60,706.45
46,0.000000,0,124400,68.95,607.04,,,,,,,,,,,,,,,,129.809571,7609,431318,214.50,724.54
47,0.000000,0,124400,67.70,607.04,,,,,,,,,,,,,,,,128.104722,7868,439186,214.41,736.55
48,0.000000,0,124400,66.50,607.04,,,,,,,,,,,,,,,,140.563088,7110,446296,214.86,756.99
49,0.000000,0,124400,65.35,608.94,,,,,,,,,,,,,,,,121.933941,8128,454424,214.72,770.11
50,0.000000,0,124400,64.22,608.94,,,,,,,,,,,,,,,,138.912836,7206,461630,215.19,791.84
51,0.000000,0,124400,63.15,608.94,,,,,,,,,,,,,,,,125.483593,8161,469791,214.62,796.44
52,0.000000,0,124400,62.10,608.94,,,,,,,,,,,,,,,,120.981513,7006,476797,214.76,825.30
53,0.000000,0,124400,61.09,608.94,,,,,,,,,,,,,,,,148.102412,7515,484312,215.09,831.74
54,0.000000,0,124400,60.12,608.94,,,,,,,,,,,,,,,,120.873913,8471,492783,215.22,845.09
55,0.000000,0,124400,59.18,608.94,,,,,,,,,,,,,,,,140.938718,7016,499799,215.48,865.82
56,0.000000,0,124400,58.28,608.94,,,,,,,,,,,,,,,,104.083593,9924,509723,215.31,872.59
57,0.000000,0,124400,57.38,608.94,,,,,,,,,,,,,,,,121.730402,8128,517851,215.94,901.43
58,0.000000,0,124400,56.52,608.94,,,,,,,,,,,,,,,,98.004340,10024,527875,216.39,693.78
59,0.000000,0,124400,55.69,609.29,,,,,,,,,,,,,,,,122.887194,8340,536215,216.80,717.90
60,392.140339,1099,125499,54.98,609.29,,,,,,,,,,,,,,,,95.175591,10485,546700,217.25,734.51
61,49.304336,15650,141149,58.75,609.66,,,,,,,,,,,,,,,,124.186468,7877,554577,217.93,758.29
62,62.063531,16987,158136,65.00,637.71,,,,,,,,,,,,,,,,106.201642,9625,564202,218.06,775.48
63,69.517042,13340,171476,71.72,719.68,,,,,,,,,,,,,,,,115.292773,8659,572861,218.33,791.03
64,77.920278,10396,181872,77.87,802.75,,,,,,,,,,,,,,,,103.205584,9808,582669,218.66,812.33
65,78.170173,14527,196399,84.19,848.60,,,,,,,,,,,,,,,,99.736383,9714,592383,218.96,824.47
66,85.493937,11655,208054,90.14,968.48,,,,,,,,,,,,,,,,124.689098,8153,600536,219.40,848.72
67,68.961166,13848,221902,96.61,1028.21,,,,,,,,,,,,,,,,95.295467,10475,611011,219.89,864.82
68,92.035937,10452,232354,102.75,1143.99,,,,,,,,,,,,,,,,124.410038,8000,619011,219.98,879.33
69,98.210211,8678,241032,107.61,1404.68,,,,,,,,,,,,,,,,98.509746,10120,629131,220.38,898.78
70,334.499372,1494,242526,111.45,1528.56,,,,,,,,,,,,,,,,101.024673,8284,637415,220.85,925.90
71,424.684491,1495,244021,114.52,1594.63,,,,,,,,,,,,,,,,117.849338,9720,647135,220.77,935.46
72,424.451766,1513,245534,116.25,1620.53,,,,,,,,,,,,,,,,96.827236,10510,657645,221.40,962.42
73,324.260595,1446,246980,116.79,1653.59,,,,,,,,,,,,,,,,121.919492,8314,665959,221.85,978.91
74,368.178890,1404,248384,116.15,1653.63,,,,,,,,,,,,,,,,98.087138,10006,675965,222.19,996.66
75,471.831025,1195,249579,115.41,1653.63,,,,,,,,,,,,,,,,98.672841,8190,684155,222.88,1025.80
76,376.406766,1383,250962,114.76,1653.63,,,,,,,,,,,,,,,,123.830332,9656,693811,222.73,1031.67
77,549.098792,1070,252032,114.12,1653.63,,,,,,,,,,,,,,,,100.319307,9922,703733,222.95,1049.12
78,426.478239,1191,253223,114.01,1653.63,,,,,,,,,,,,,,,,125.075295,8097,711830,223.77,1080.95
79,505.420291,1080,254303,114.84,1679.96,,,,,,,,,,,,,,,,93.640311,10620,722450,223.82,1084.48
80,482.860680,1148,255451,115.86,1680.00,,,,,,,,,,,,,,,,101.703108,9792,732242,224.08,1104.55
81,459.938247,1386,256837,115.17,1680.00,,,,,,,,,,,,,,,,129.218882,7864,740106,224.76,1136.84
82,279.496152,1313,258150,114.59,1680.00,,,,,,,,,,,,,,,,100.152828,9837,749943,224.76,1141.42
83,557.332710,692,258842,114.09,1680.00,,,,,,,,,,,,,,,,98.834883,10079,760022,224.78,1161.20
84,459.605235,765,259607,113.31,1680.00,,,,,,,,,,,,,,,,137.823899,7067,767089,225.24,1193.27
85,845.208197,480,260087,112.42,1680.00,,,,,,,,,,,,,,,,97.979679,10478,777567,225.55,1198.88
86,894.076865,428,260515,111.44,1680.00,,,,,,,,,,,,,,,,100.523339,10015,787582,225.43,1210.36
87,370.951944,393,260908,110.49,1680.00,,,,,,,,,,,,,,,,129.198891,7649,795231,226.10,1239.20
88,474.250006,361,261269,109.57,1680.00,,,,,,,,,,,,,,,,94.372309,10845,806076,226.53,1257.16
89,1355.382777,71,261340,108.58,1680.00,,,,,,,,,,,,,,,,93.620122,10569,816645,226.49,1261.97
90,620.733000,50,261390,107.53,1680.00,,,,,,,,,,,,,,,,143.524001,6970,823615,226.61,1282.80
91,330.162224,38,261428,106.49,1680.00,,,,,,,,,,,,,,,,97.296174,10255,833870,227.49,1317.62
92,1653.478971,28,261456,105.48,1680.00,,,,,,,,,,,,,,,,100.079908,9744,843614,227.41,1322.69
93,1259.874619,13,261469,104.46,1680.00,,,,,,,,,,,,,,,,136.066631,7551,851165,227.01,1328.47
94,1810.978388,8,261477,103.46,1680.00,,,,,,,,,,,,,,,,106.325627,9170,860335,227.82,1364.14
95,3284.584188,3,261480,102.47,1680.00,,,,,,,,,,,,,,,,124.293416,8156,868491,228.11,1382.52
96,0.000000,0,261480,101.48,1680.00,,,,,,,,,,,,,,,,97.262699,10170,878661,227.84,1388.93
97,0.000000,0,261480,100.52,1680.00,,,,,,,,,,,,,,,,149.025655,6536,885197,227.51,1418.12
98,0.000000,0,261480,99.57,1680.00,,,,,,,,,,,,,,,,98.232864,9596,894793,228.38,1444.47
99,0.000000,0,261480,98.64,1680.00,,,,,,,,,,,,,,,,117.740528,9287,904080,228.55,1451.02
100,0.000000,0,261480,97.74,1680.00,,,,,,,,,,,,,,,,146.486638,6859,910939,228.11,1454.86
101,0.000000,0,261480,96.83,1680.00,,,,,,,,,,,,,,,,102.575100,9457,920396,228.33,1491.91
102,0.000000,0,261480,95.96,1680.00,,,,,,,,,,,,,,,,108.585192,8885,929281,228.72,1514.44
103,0.000000,0,261480,95.10,1680.00,,,,,,,,,,,,,,,,118.546399,9078,938359,228.95,1519.72
104,0.000000,0,261480,94.25,1680.00,,,,,,,,,,,,,,,,136.895745,7194,945553,228.53,1523.58
105,0.000000,0,261480,93.42,1680.00,,,,,,,,,,,,,,,,97.699957,10240,955793,228.89,1553.79
106,0.000000,0,261480,92.61,1680.00,,,,,,,,,,,,,,,,104.464299,9355,965148,229.33,1579.12
107,0.000000,0,261480,91.80,1680.00,,,,,,,,,,,,,,,,134.996394,7532,972680,229.56,1586.57
108,0.000000,0,261480,91.02,1680.00,,,,,,,,,,,,,,,,178.739333,5448,978128,228.90,1590.81
109,0.000000,0,261480,90.24,1680.00,,,,,,,,,,,,,,,,133.618927,7616,985744,228.91,1609.38
110,0.000000,0,261480,89.49,1680.00,,,,,,,,,,,,,,,,113.061019,8772,994516,228.60,1630.06
111,0.000000,0,261480,88.73,1680.00,,,,,,,,,,,,,,,,124.495601,5484,,,
112,0.000000,0,261480,88.00,1680.00,,,,,,,,,,,,,,,,,,,,
113,0.000000,0,261480,87.28,1680.00,,,,,,,,,,,,,,,,,,,,
114,0.000000,0,261480,86.68,1680.00,,,,,,,,,,,,,,,,,,,,
115,0.000000,0,261480,86.09,1680.00,,,,,,,,,,,,,,,,,,,,
116,0.000000,0,261480,85.40,1680.00,,,,,,,,,,,,,,,,,,,,
117,0.000000,0,261480,84.72,1680.00,,,,,,,,,,,,,,,,,,,,
118,0.000000,0,261480,84.05,1680.00,,,,,,,,,,,,,,,,,,,,
119,0.000000,0,261480,83.40,1680.00,,,,,,,,,,,,,,,,,,,,
120,24.074558,130,261610,82.74,1680.00,,,,,,,,,,,,,,,,,,,,
121,75.046132,10602,272212,82.25,1680.00,,,,,,,,,,,,,,,,,,,,
122,71.997445,13154,285366,83.78,1680.19,,,,,,,,,,,,,,,,,,,,
123,109.532708,9254,294620,87.37,1680.97,,,,,,,,,,,,,,,,,,,,
124,105.783033,8624,303244,91.30,1703.07,,,,,,,,,,,,,,,,,,,,
125,81.433674,9654,312898,95.37,1707.39,,,,,,,,,,,,,,,,,,,,
126,101.660521,9661,322559,99.41,1771.47,,,,,,,,,,,,,,,,,,,,
127,100.588156,9915,332474,103.09,1892.65,,,,,,,,,,,,,,,,,,,,
128,118.723999,10225,342699,107.00,1971.07,,,,,,,,,,,,,,,,,,,,
129,102.496471,10212,352911,110.80,2005.66,,,,,,,,,,,,,,,,,,,,
130,132.073407,8093,361004,114.71,2051.23,,,,,,,,,,,,,,,,,,,,
131,185.107205,5009,366013,118.26,2051.82,,,,,,,,,,,,,,,,,,,,
132,91.401606,8279,374292,121.79,2138.28,,,,,,,,,,,,,,,,,,,,
133,118.992710,9292,383584,125.39,2167.05,,,,,,,,,,,,,,,,,,,,
134,112.930471,8027,391611,129.02,2215.32,,,,,,,,,,,,,,,,,,,,
135,184.925712,2360,393971,132.83,2272.19,,,,,,,,,,,,,,,,,,,,
136,124.367068,7496,401467,136.21,2377.72,,,,,,,,,,,,,,,,,,,,
137,509.029957,1191,402658,138.85,2446.12,,,,,,,,,,,,,,,,,,,,
138,722.911592,963,403621,140.95,2509.46,,,,,,,,,,,,,,,,,,,,
139,602.381668,484,404105,142.85,2594.48,,,,,,,,,,,,,,,,,,,,
140,713.771836,808,404913,143.46,2676.92,,,,,,,,,,,,,,,,,,,,
141,424.885153,1066,405979,144.19,2678.29,,,,,,,,,,,,,,,,,,,,
142,341.483130,688,406667,144.39,2678.97,,,,,,,,,,,,,,,,,,,,
143,797.575975,132,406799,144.61,2679.65,,,,,,,,,,,,,,,,,,,,
144,0.000000,0,406799,143.79,2679.65,,,,,,,,,,,,,,,,,,,,
145,945.690023,28,406827,142.95,2679.65,,,,,,,,,,,,,,,,,,,,
146,0.000000,0,406827,142.06,2679.65,,,,,,,,,,,,,,,,,,,,
147,0.000000,0,406827,141.02,2679.65,,,,,,,,,,,,,,,,,,,,
148,0.000000,0,406827,140.10,2679.65,,,,,,,,,,,,,,,,,,,,
149,0.000000,0,406827,139.21,2679.65,,,,,,,,,,,,,,,,,,,,
150,542.151950,513,407340,138.38,2679.65,,,,,,,,,,,,,,,,,,,,
151,191.850308,972,408312,137.72,2679.65,,,,,,,,,,,,,,,,,,,,
152,495.911587,612,408924,137.04,2679.65,,,,,,,,,,,,,,,,,,,,
153,431.276990,627,409551,136.41,2679.65,,,,,,,,,,,,,,,,,,,,
154,562.795104,405,409956,136.12,2679.65,,,,,,,,,,,,,,,,,,,,
155,904.051335,242,410198,135.76,2679.65,,,,,,,,,,,,,,,,,,,,
156,1162.416636,400,410598,135.77,2679.68,,,,,,,,,,,,,,,,,,,,
157,721.148100,292,410890,136.20,2680.71,,,,,,,,,,,,,,,,,,,,
158,890.835729,236,411126,136.32,2680.71,,,,,,,,,,,,,,,,,,,,
159,490.467641,80,411206,135.93,2681.48,,,,,,,,,,,,,,,,,,,,
160,945.134670,312,411518,135.19,2681.48,,,,,,,,,,,,,,,,,,,,
161,668.863303,161,411679,134.51,2681.48,,,,,,,,,,,,,,,,,,,,
162,951.133335,229,411908,133.81,2681.48,,,,,,,,,,,,,,,,,,,,
163,917.286613,85,411993,133.13,2681.48,,,,,,,,,,,,,,,,,,,,
164,686.958249,459,412452,132.46,2681.48,,,,,,,,,,,,,,,,,,,,
165,357.913881,135,412587,131.83,2681.48,,,,,,,,,,,,,,,,,,,,
166,1225.869608,195,412782,131.16,2681.48,,,,,,,,,,,,,,,,,,,,
167,213.184575,140,412922,130.51,2681.48,,,,,,,,,,,,,,,,,,,,
168,1017.717255,197,413119,129.85,2681.48,,,,,,,,,,,,,,,,,,,,
169,685.920320,111,413230,129.16,2681.48,,,,,,,,,,,,,,,,,,,,
170,505.186966,61,413291,128.45,2681.48,,,,,,,,,,,,,,,,,,,,
171,1477.609062,22,413313,127.77,2681.48,,,,,,,,,,,,,,,,,,,,
172,728.185270,145,413458,127.10,2681.48,,,,,,,,,,,,,,,,,,,,
173,919.385375,4,413462,126.44,2681.48,,,,,,,,,,,,,,,,,,,,
