second,avg_latency_ms_etcdv3,throughput_etcdv3,cumulative_throughput_etcdv3,avg_cpu_etcdv3,avg_memory_mb_etcdv3,avg_latency_ms_etcdv3_after_patch,throughput_etcdv3_after_patch,cumulative_throughput_etcdv3_after_patch,avg_cpu_etcdv3_after_patch,avg_memory_mb_etcdv3_after_patch,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
48,50.570901,20326,930397,158.52,563.41,67.167892,14537,1025858,151.19,611.93,563.575780,681,1132222,109.10,2240.51
49,105.363402,10010,940407,159.11,567.31,50.293364,21009,1046867,153.67,620.23,34.961416,30006,1162228,108.46,2241.23
50,54.191302,17719,958126,161.44,574.95,42.052217,22478,1069345,156.03,630.09,23.393037,29091,1191319,108.32,2240.66
51,58.370732,17633,975759,163.58,582.72,54.426733,16688,1086033,158.32,639.48,16.910030,39357,1230676,108.11,2241.82
52,41.886382,20913,996672,166.16,591.83,64.344859,17762,1103795,159.25,644.92,25.555046,21625,1252301,107.79,2241.82
53,59.100069,16578,1013250,167.98,600.26,40.363592,23463,1127258,161.52,653.76,55.777833,23256,1275557,107.38,2241.56
54,99.415433,11376,1024626,168.65,606.43,50.863015,19069,1146327,163.67,664.89,28.543287,37815,1313372,106.80,2241.70
55,53.580995,17504,1042130,170.88,613.76,64.075707,15647,1161974,164.94,674.96,36.508628,26806,1340178,106.98,2375.15
56,51.050076,19854,1061984,172.76,621.70,47.296446,22512,1184486,166.81,680.16,37.848915,27085,1367263,107.05,2338.13
57,56.039100,18607,1080591,174.83,629.75,38.816087,24508,1208994,169.00,692.29,31.436974,31640,1398903,106.70,2338.15
58,110.963225,8427,1089018,175.12,632.23,51.187369,17979,1226973,171.18,704.79,35.008175,28247,1427150,106.39,2340.84
59,58.503323,18102,1107120,177.21,642.14,62.732469,16315,1243288,172.03,708.70,22.514284,18133,1445283,106.19,2340.88
60,46.769978,21340,1128460,179.33,650.49,52.840145,20787,1264075,174.17,719.94,160.982831,16178,1461461,106.20,2343.40
61,52.629076,16781,1145241,181.45,663.46,39.611802,24520,1288595,176.22,730.91,27.545578,36352,1497813,106.55,2343.76
62,55.944404,15798,1161039,182.40,665.93,43.270412,19055,1307650,178.30,739.50,26.205504,35472,1533285,106.78,2343.76
63,81.818940,13747,1174786,183.96,679.62,59.897086,19340,1326990,179.26,747.16,32.390076,32890,1566175,107.70,2349.57
64,46.912765,22838,1197624,186.02,693.24,46.424543,20938,1347928,181.17,758.85,40.183209,24124,1590299,108.26,2348.16
65,46.257014,21026,1218650,188.09,702.61,55.403610,19169,1367097,183.01,767.68,30.018926,26311,1616610,108.81,2348.16
66,59.678632,16215,1234865,189.46,706.07,57.437919,16947,1384044,184.15,774.73,169.755730,19064,1635674,109.65,2372.05
67,74.343336,14163,1249028,190.24,709.98,51.215223,18407,1402451,185.75,782.28,31.625959,7558,1643232,111.99,2375.59
68,60.006768,16331,1265359,192.10,717.07,43.978258,24471,1426922,187.73,794.28,2650.115142,2,1643234,113.13,2375.71
69,49.554198,21107,1286466,194.00,728.04,41.263882,24247,1451169,189.72,811.29,774.317740,945,1644179,114.56,2382.47
70,49.103946,20125,1306591,195.61,736.23,71.498942,12510,1463679,190.44,819.22,46.932084,32850,1677029,116.56,2386.59
71,135.085848,7383,1313974,196.16,738.33,48.005186,22044,1485723,192.14,829.08,21.912579,31899,1708928,118.62,2434.62
72,50.585492,19748,1333722,198.00,746.30,43.578341,22838,1508561,193.90,833.02,25.420131,25789,1734717,120.07,2434.87
73,45.777273,21647,1355369,199.81,766.17,44.266958,20850,1529411,195.79,841.75,18.163146,37099,1771816,121.04,2443.79
74,51.484893,19558,1374927,201.40,773.45,81.392925,13658,1543069,196.54,849.43,19.951083,32674,1804490,122.54,2445.28
75,65.045763,7546,1382473,201.78,776.39,42.725011,22850,1565919,198.20,859.23,22.077166,30710,1835200,124.16,2456.06
76,80.429217,17745,1400218,203.31,787.38,44.762201,21203,1587122,199.79,867.47,18.130263,28396,1863596,125.47,2460.40
77,56.707074,18211,1418429,204.83,796.47,52.751093,16177,1603299,201.03,877.95,23.151028,35225,1898821,126.83,2474.67
78,56.470435,18285,1436714,206.38,806.45,71.133713,17144,1620443,202.05,888.12,24.762330,26833,1925654,128.29,2512.99
79,57.277188,17646,1454360,207.84,811.74,42.887294,23248,1643691,203.85,898.01,20.188681,28937,1954591,130.28,2554.82
80,228.471389,2279,1456639,207.36,812.89,43.914245,22689,1666380,205.69,910.18,19.291774,38776,1993367,131.94,2585.12
81,70.964421,18342,1474981,208.87,822.06,58.063774,15439,1681819,206.26,915.64,22.277984,29869,2023236,132.80,2585.54
82,54.895580,19494,1494475,210.41,827.68,47.920714,21179,1702998,207.80,925.80,20.700092,32141,2055377,133.98,2614.71
83,53.994890,19586,1514061,212.19,838.85,44.264219,21307,1724305,209.30,937.51,14.461001,4463,2059840,135.54,2675.59
84,50.781711,15963,1530024,212.36,840.78,45.822580,21765,1746070,210.82,949.73,631.949270,74,2059914,137.34,2712.24
85,100.184909,11412,1541436,213.85,851.08,79.634849,13996,1760066,211.30,953.78,919.688084,272,2060186,138.36,2720.72
86,48.595327,20605,1562041,215.51,870.40,47.307608,21481,1781547,212.93,961.95,146.043282,11996,2072182,138.71,2741.31
87,52.045802,19231,1581272,217.02,878.22,52.197295,19122,1800669,214.46,977.18,23.198607,29153,2101335,139.53,2741.08
