2016-04-25 11:27:53.180962 I | etcdserver: saved snapshot at index 70739
2016-04-25 11:27:53.181196 I | etcdserver: compacted raft log at 65739
2016-04-25 11:27:53.649814 I | etcdserver: start to snapshot (applied: 80813, lastsnap: 70739)
2016-04-25 11:27:53.658335 I | etcdserver: saved snapshot at index 80813
2016-04-25 11:27:53.658565 I | etcdserver: compacted raft log at 75813
2016-04-25 11:27:54.113971 I | etcdserver: start to snapshot (applied: 90873, lastsnap: 80813)
2016-04-25 11:27:54.120973 I | etcdserver: saved snapshot at index 90873
2016-04-25 11:27:54.121226 I | etcdserver: compacted raft log at 85873
2016-04-25 11:27:54.609019 I | etcdserver: start to snapshot (applied: 100914, lastsnap: 90873)
2016-04-25 11:27:54.617342 I | etcdserver: saved snapshot at index 100914
2016-04-25 11:27:54.617560 I | etcdserver: compacted raft log at 95914
2016-04-25 11:27:55.116877 I | etcdserver: start to snapshot (applied: 110992, lastsnap: 100914)
2016-04-25 11:27:55.143312 I | etcdserver: saved snapshot at index 110992
2016-04-25 11:27:55.143527 I | etcdserver: compacted raft log at 105992
2016-04-25 11:27:55.655296 I | etcdserver: start to snapshot (applied: 121077, lastsnap: 110992)
2016-04-25 11:27:55.662411 I | etcdserver: saved snapshot at index 121077
2016-04-25 11:27:55.662608 I | etcdserver: compacted raft log at 116077
2016-04-25 11:27:56.156930 I | etcdserver: start to snapshot (applied: 131084, lastsnap: 121077)
2016-04-25 11:27:56.167145 I | etcdserver: saved snapshot at index 131084
2016-04-25 11:27:56.167305 I | etcdserver: compacted raft log at 126084
2016-04-25 11:27:56.716914 I | etcdserver: start to snapshot (applied: 141351, lastsnap: 131084)
2016-04-25 11:27:56.725626 I | etcdserver: saved snapshot at index 141351
2016-04-25 11:27:56.725805 I | etcdserver: compacted raft log at 136351
2016-04-25 11:27:57.226147 I | etcdserver: start to snapshot (applied: 151372, lastsnap: 141351)
2016-04-25 11:27:57.252436 I | etcdserver: saved snapshot at index 151372
2016-04-25 11:27:57.252681 I | etcdserver: compacted raft log at 146372
2016-04-25 11:27:57.748388 I | etcdserver: start to snapshot (applied: 161484, lastsnap: 151372)
2016-04-25 11:27:57.758647 I | etcdserver: saved snapshot at index 161484
2016-04-25 11:27:57.758864 I | etcdserver: compacted raft log at 156484
2016-04-25 11:27:58.284403 I | etcdserver: start to snapshot (applied: 171534, lastsnap: 161484)
2016-04-25 11:27:58.293195 I | etcdserver: saved snapshot at index 171534
2016-04-25 11:27:58.293372 I | etcdserver: compacted raft log at 166534
2016-04-25 11:27:58.858006 I | etcdserver: start to snapshot (applied: 181798, lastsnap: 171534)
2016-04-25 11:27:58.870586 I | etcdserver: saved snapshot at index 181798
2016-04-25 11:27:58.870800 I | etcdserver: compacted raft log at 176798
2016-04-25 11:27:59.375084 I | etcdserver: start to snapshot (applied: 191823, lastsnap: 181798)
2016-04-25 11:27:59.386629 I | etcdserver: saved snapshot at index 191823
2016-04-25 11:27:59.386811 I | etcdserver: compacted raft log at 186823
2016-04-25 11:27:59.874681 I | etcdserver: start to snapshot (applied: 201918, lastsnap: 191823)
