2016-04-25 11:23:27.853802 I | etcdserver: start to snapshot (applied: 120196, lastsnap: 110189)
2016-04-25 11:23:27.864731 I | etcdserver: saved snapshot at index 120196
2016-04-25 11:23:27.864875 I | etcdserver: compacted raft log at 115196
2016-04-25 11:23:29.505945 I | etcdserver: start to snapshot (applied: 130203, lastsnap: 120196)
2016-04-25 11:23:29.518539 I | etcdserver: saved snapshot at index 130203
2016-04-25 11:23:29.518735 I | etcdserver: compacted raft log at 125203
2016-04-25 11:23:31.146962 I | etcdserver: start to snapshot (applied: 140238, lastsnap: 130203)
2016-04-25 11:23:31.177559 I | etcdserver: saved snapshot at index 140238
2016-04-25 11:23:31.177795 I | etcdserver: compacted raft log at 135238
2016-04-25 11:23:32.801932 I | etcdserver: start to snapshot (applied: 150255, lastsnap: 140238)
2016-04-25 11:23:32.810228 I | etcdserver: saved snapshot at index 150255
2016-04-25 11:23:32.810454 I | etcdserver: compacted raft log at 145255
2016-04-25 11:23:34.495605 I | etcdserver: start to snapshot (applied: 160278, lastsnap: 150255)
2016-04-25 11:23:34.516785 I | etcdserver: saved snapshot at index 160278
2016-04-25 11:23:34.516936 I | etcdserver: compacted raft log at 155278
2016-04-25 11:23:36.211060 I | etcdserver: start to snapshot (applied: 170327, lastsnap: 160278)
2016-04-25 11:23:36.226531 I | etcdserver: saved snapshot at index 170327
2016-04-25 11:23:36.226702 I | etcdserver: compacted raft log at 165327
2016-04-25 11:23:37.888197 I | etcdserver: start to snapshot (applied: 180332, lastsnap: 170327)
2016-04-25 11:23:37.907832 I | etcdserver: saved snapshot at index 180332
2016-04-25 11:23:37.908023 I | etcdserver: compacted raft log at 175332
2016-04-25 11:23:39.588195 I | etcdserver: start to snapshot (applied: 190335, lastsnap: 180332)
2016-04-25 11:23:39.647774 I | etcdserver: saved snapshot at index 190335
2016-04-25 11:23:39.647955 I | etcdserver: compacted raft log at 185335
2016-04-25 11:23:41.286849 I | etcdserver: start to snapshot (applied: 200419, lastsnap: 190335)
2016-04-25 11:23:41.294177 I | etcdserver: saved snapshot at index 200419
2016-04-25 11:23:41.294389 I | etcdserver: compacted raft log at 195419
2016-04-25 11:23:41.830578 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000031b9b.wal is created
2016-04-25 11:23:42.957319 I | etcdserver: start to snapshot (applied: 210423, lastsnap: 200419)
2016-04-25 11:23:42.971992 I | etcdserver: saved snapshot at index 210423
2016-04-25 11:23:42.972184 I | etcdserver: compacted raft log at 205423
2016-04-25 11:23:44.628930 I | etcdserver: start to snapshot (applied: 220435, lastsnap: 210423)
2016-04-25 11:23:44.639403 I | etcdserver: saved snapshot at index 220435
2016-04-25 11:23:44.639603 I | etcdserver: compacted raft log at 215435
2016-04-25 11:23:46.264674 I | etcdserver: start to snapshot (applied: 230446, lastsnap: 220435)
2016-04-25 11:23:46.272239 I | etcdserver: saved snapshot at index 230446
2016-04-25 11:23:46.272416 I | etcdserver: compacted raft log at 225446
2016-04-25 11:23:46.716309 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000002718.snap successfully
2016-04-25 11:23:46.716382 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000004e2f.snap successfully
2016-04-25 11:23:46.716416 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000754c.snap successfully
2016-04-25 11:23:46.716455 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000009c6a.snap successfully
2016-04-25 11:23:46.716495 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000c380.snap successfully
2016-04-25 11:23:46.716568 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000eaa2.snap successfully
2016-04-25 11:23:46.716611 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000111c3.snap successfully
2016-04-25 11:23:46.716638 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000013929.snap successfully
2016-04-25 11:23:46.716668 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001603e.snap successfully
2016-04-25 11:23:46.716730 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000018752.snap successfully
2016-04-25 11:23:46.716771 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001ae6d.snap successfully
2016-04-25 11:23:46.716817 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001d584.snap successfully
2016-04-25 11:23:46.716858 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001fc9b.snap successfully
2016-04-25 11:23:46.716917 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000223ce.snap successfully
2016-04-25 11:23:46.716958 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000024aef.snap successfully
2016-04-25 11:23:46.716988 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000027216.snap successfully
2016-04-25 11:23:46.717014 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000029957.snap successfully
2016-04-25 11:23:46.717039 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000002c06c.snap successfully
2016-04-25 11:23:47.929109 I | etcdserver: start to snapshot (applied: 240460, lastsnap: 230446)
2016-04-25 11:23:47.938422 I | etcdserver: saved snapshot at index 240460
2016-04-25 11:23:47.938587 I | etcdserver: compacted raft log at 235460
2016-04-25 11:23:49.598715 I | etcdserver: start to snapshot (applied: 250479, lastsnap: 240460)
2016-04-25 11:23:49.604406 I | etcdserver: saved snapshot at index 250479
2016-04-25 11:23:49.604679 I | etcdserver: compacted raft log at 245479
2016-04-25 11:23:51.254168 I | etcdserver: start to snapshot (applied: 260495, lastsnap: 250479)
2016-04-25 11:23:51.263753 I | etcdserver: saved snapshot at index 260495
2016-04-25 11:23:51.263921 I | etcdserver: compacted raft log at 255495
2016-04-25 11:23:52.929697 I | etcdserver: start to snapshot (applied: 270501, lastsnap: 260495)
2016-04-25 11:23:52.933679 I | etcdserver: saved snapshot at index 270501
2016-04-25 11:23:52.933858 I | etcdserver: compacted raft log at 265501
2016-04-25 11:23:54.599466 I | etcdserver: start to snapshot (applied: 280515, lastsnap: 270501)
2016-04-25 11:23:54.604129 I | etcdserver: saved snapshot at index 280515
2016-04-25 11:23:54.604308 I | etcdserver: compacted raft log at 275515
2016-04-25 11:23:56.279830 I | etcdserver: start to snapshot (applied: 290518, lastsnap: 280515)
2016-04-25 11:23:56.292023 I | etcdserver: saved snapshot at index 290518
2016-04-25 11:23:56.292188 I | etcdserver: compacted raft log at 285518
2016-04-25 11:23:57.956855 I | etcdserver: start to snapshot (applied: 300565, lastsnap: 290518)
2016-04-25 11:23:57.960666 I | etcdserver: saved snapshot at index 300565
2016-04-25 11:23:57.960936 I | etcdserver: compacted raft log at 295565
2016-04-25 11:23:59.627063 I | etcdserver: start to snapshot (applied: 310570, lastsnap: 300565)
2016-04-25 11:23:59.634122 I | etcdserver: saved snapshot at index 310570
2016-04-25 11:23:59.634276 I | etcdserver: compacted raft log at 305570
2016-04-25 11:24:01.281524 I | etcdserver: start to snapshot (applied: 320589, lastsnap: 310570)
2016-04-25 11:24:01.288057 I | etcdserver: saved snapshot at index 320589
2016-04-25 11:24:01.288242 I | etcdserver: compacted raft log at 315589
2016-04-25 11:24:02.923603 I | etcdserver: start to snapshot (applied: 330598, lastsnap: 320589)
2016-04-25 11:24:02.929188 I | etcdserver: saved snapshot at index 330598
2016-04-25 11:24:02.929368 I | etcdserver: compacted raft log at 325598
2016-04-25 11:24:04.579751 I | etcdserver: start to snapshot (applied: 340634, lastsnap: 330598)
2016-04-25 11:24:04.584478 I | etcdserver: saved snapshot at index 340634
2016-04-25 11:24:04.584637 I | etcdserver: compacted raft log at 335634
2016-04-25 11:24:06.250597 I | etcdserver: start to snapshot (applied: 350708, lastsnap: 340634)
2016-04-25 11:24:06.257747 I | etcdserver: saved snapshot at index 350708
2016-04-25 11:24:06.257896 I | etcdserver: compacted raft log at 345708
2016-04-25 11:24:07.948929 I | etcdserver: start to snapshot (applied: 360742, lastsnap: 350708)
2016-04-25 11:24:07.954104 I | etcdserver: saved snapshot at index 360742
2016-04-25 11:24:07.954262 I | etcdserver: compacted raft log at 355742
2016-04-25 11:24:09.627363 I | etcdserver: start to snapshot (applied: 370769, lastsnap: 360742)
2016-04-25 11:24:09.638187 I | etcdserver: saved snapshot at index 370769
2016-04-25 11:24:09.638335 I | etcdserver: compacted raft log at 365769
2016-04-25 11:24:11.272737 I | etcdserver: start to snapshot (applied: 380791, lastsnap: 370769)
2016-04-25 11:24:11.281712 I | etcdserver: saved snapshot at index 380791
2016-04-25 11:24:11.281903 I | etcdserver: compacted raft log at 375791
2016-04-25 11:24:12.962102 I | etcdserver: start to snapshot (applied: 390792, lastsnap: 380791)
2016-04-25 11:24:12.966634 I | etcdserver: saved snapshot at index 390792
2016-04-25 11:24:12.966791 I | etcdserver: compacted raft log at 385792
2016-04-25 11:24:14.658405 I | etcdserver: start to snapshot (applied: 400811, lastsnap: 390792)
2016-04-25 11:24:14.666436 I | etcdserver: saved snapshot at index 400811
2016-04-25 11:24:14.666601 I | etcdserver: compacted raft log at 395811
2016-04-25 11:24:15.787681 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-000000000006377d.wal is created
2016-04-25 11:24:16.343253 I | etcdserver: start to snapshot (applied: 410938, lastsnap: 400811)
2016-04-25 11:24:16.356436 I | etcdserver: saved snapshot at index 410938
2016-04-25 11:24:16.356597 I | etcdserver: compacted raft log at 405938
2016-04-25 11:24:16.717324 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000002e77f.snap successfully
2016-04-25 11:24:16.717409 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000030ee3.snap successfully
2016-04-25 11:24:16.717472 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000335f7.snap successfully
2016-04-25 11:24:16.717515 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000035d13.snap successfully
2016-04-25 11:24:16.717559 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003842e.snap successfully
2016-04-25 11:24:16.718626 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003ab4c.snap successfully
2016-04-25 11:24:16.718668 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003d26f.snap successfully
2016-04-25 11:24:16.718734 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003f98f.snap successfully
2016-04-25 11:24:16.718775 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000420a5.snap successfully
2016-04-25 11:24:16.718801 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000447c3.snap successfully
2016-04-25 11:24:16.718826 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000046ed6.snap successfully
2016-04-25 11:24:16.718877 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000049615.snap successfully
2016-04-25 11:24:16.718903 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000004bd2a.snap successfully
2016-04-25 11:24:16.718964 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000004e44d.snap successfully
2016-04-25 11:24:16.719006 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000050b66.snap successfully
2016-04-25 11:24:16.719043 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000005329a.snap successfully
2016-04-25 11:24:16.719070 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000559f4.snap successfully
2016-04-25 11:24:16.719104 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000058126.snap successfully
2016-04-25 11:24:18.018082 I | etcdserver: start to snapshot (applied: 420979, lastsnap: 410938)
2016-04-25 11:24:18.026801 I | etcdserver: saved snapshot at index 420979
2016-04-25 11:24:18.027130 I | etcdserver: compacted raft log at 415979
2016-04-25 11:24:19.701423 I | etcdserver: start to snapshot (applied: 430982, lastsnap: 420979)
2016-04-25 11:24:19.706183 I | etcdserver: saved snapshot at index 430982
2016-04-25 11:24:19.706327 I | etcdserver: compacted raft log at 425982
2016-04-25 11:24:21.362541 I | etcdserver: start to snapshot (applied: 440983, lastsnap: 430982)
2016-04-25 11:24:21.368859 I | etcdserver: saved snapshot at index 440983
2016-04-25 11:24:21.369016 I | etcdserver: compacted raft log at 435983
2016-04-25 11:24:23.017184 I | etcdserver: start to snapshot (applied: 450985, lastsnap: 440983)
