second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_cgzip,throughput_etcd_v3_cgzip,cumulative_throughput_etcd_v3_cgzip,avg_cpu_etcd_v3_cgzip,avg_memory_mb_etcd_v3_cgzip,avg_latency_ms_etcd_v3_cgzip_lv2,throughput_etcd_v3_cgzip_lv2,cumulative_throughput_etcd_v3_cgzip_lv2,avg_cpu_etcd_v3_cgzip_lv2,avg_memory_mb_etcd_v3_cgzip_lv2,avg_latency_ms_etcd_v3_gzip,throughput_etcd_v3_gzip,cumulative_throughput_etcd_v3_gzip,avg_cpu_etcd_v3_gzip,avg_memory_mb_etcd_v3_gzip,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_snappy_cpp,throughput_etcd_v3_snappy_cpp,cumulative_throughput_etcd_v3_snappy_cpp,avg_cpu_etcd_v3_snappy_cpp,avg_memory_mb_etcd_v3_snappy_cpp
98,,,,,,74.784123,11998,1289094,425.41,571.39,77.731149,12685,1308906,421.58,579.30,170.589672,5817,592138,128.04,325.14,,,,,,56.948306,16107,1641344,412.10,691.30
99,,,,,,82.240651,12629,1301723,425.58,575.08,77.017125,12265,1321171,421.89,583.84,168.512717,5826,597964,128.30,325.75,,,,,,64.920189,16243,1657587,412.26,699.95
100,,,,,,76.394875,12137,1313860,425.41,581.95,65.004008,14146,1335317,422.27,590.52,170.685044,6037,604001,128.51,327.04,,,,,,54.669169,16103,1673690,412.87,704.33
101,,,,,,77.100412,11391,1325251,425.40,584.45,74.937434,13076,1348393,422.80,596.92,168.154525,5814,609815,128.71,327.83,,,,,,62.377627,16000,1689690,413.19,708.74
102,,,,,,76.184226,13221,1338472,425.36,591.04,71.764081,11870,1360263,423.36,599.38,168.728794,5920,615735,128.96,335.20,,,,,,71.671535,14531,1704221,413.25,717.78
103,,,,,,70.395389,12574,1351046,425.71,594.61,86.290267,11871,1372134,423.13,603.95,168.152550,6046,621781,129.23,340.45,,,,,,53.886089,16292,1720513,413.48,721.10
104,,,,,,73.109939,13407,1364453,426.19,599.07,73.628269,12632,1384766,423.29,607.08,168.446697,5813,627594,129.51,342.39,,,,,,66.206419,14509,1735022,413.29,726.97
105,,,,,,71.427598,13129,1377582,426.48,604.27,76.866288,12161,1396927,423.66,615.41,170.229900,6058,633652,129.72,342.86,,,,,,62.077816,14794,1749816,413.58,732.71
106,,,,,,70.647366,12366,1389948,426.92,610.16,72.769102,12280,1409207,423.85,621.36,168.775585,5543,639195,129.98,345.23,,,,,,66.205555,15499,1765315,413.58,737.25
107,,,,,,65.673096,15101,1405049,427.48,616.58,68.787799,13796,1423003,423.80,622.95,170.644514,6173,645368,130.09,348.57,,,,,,64.369906,16173,1781488,413.94,742.97
108,,,,,,73.563352,12946,1417995,427.99,623.93,76.759050,12909,1435912,424.42,627.42,165.766145,5833,651201,130.31,350.83,,,,,,60.286660,15741,1797229,413.98,750.46
109,,,,,,70.539528,11948,1429943,428.39,627.65,59.301820,14791,1450703,424.66,633.28,170.833655,5917,657118,130.55,351.09,,,,,,63.801703,15492,1812721,414.47,755.96
110,,,,,,68.878643,14836,1444779,428.69,631.48,69.320343,14258,1464961,425.17,638.88,167.579829,5991,663109,130.76,356.35,,,,,,60.233412,16625,1829346,414.82,763.47
111,,,,,,71.135795,12860,1457639,429.23,637.15,69.797363,12417,1477378,425.70,641.93,169.108576,6037,669146,130.83,357.84,,,,,,59.570544,16331,1845677,415.02,767.74
112,,,,,,66.238223,14182,1471821,429.66,639.63,65.120327,15211,1492589,426.05,646.47,167.157898,5798,674944,131.06,361.82,,,,,,66.315263,15302,1860979,415.59,772.38
113,,,,,,67.928004,13172,1484993,430.04,645.58,78.232821,12367,1504956,426.72,651.70,167.703838,6044,680988,131.24,364.69,,,,,,57.316582,15530,1876509,415.69,784.08
114,,,,,,70.707059,13765,1498758,430.57,652.11,62.632479,13417,1518373,427.07,658.78,169.213456,5895,686883,131.38,366.10,,,,,,66.253896,16074,1892583,415.90,788.68
115,,,,,,70.705497,13502,1512260,430.58,658.56,72.706043,12951,1531324,427.47,661.95,169.345217,5961,692844,131.64,368.70,,,,,,63.830872,15382,1907965,415.95,794.34
116,,,,,,76.364973,11196,1523456,430.95,661.54,77.035385,13243,1544567,427.98,668.04,168.758252,5851,698695,131.83,370.47,,,,,,58.301662,17302,1925267,416.37,796.69
117,,,,,,73.650381,13784,1537240,431.03,665.69,84.690534,11094,1555661,427.74,672.12,167.695999,5841,704536,131.90,372.64,,,,,,61.879084,16082,1941349,416.84,806.03
118,,,,,,98.215353,9542,1546782,431.10,668.40,61.491724,14539,1570200,428.02,676.16,170.626022,5860,710396,132.04,373.23,,,,,,67.256271,13730,1955079,417.44,814.71
119,,,,,,59.523491,14823,1561605,430.83,675.09,77.273831,11740,1581940,428.55,681.39,169.981621,6024,716420,132.16,379.35,,,,,,61.493400,16934,1972013,417.93,821.71
120,,,,,,72.566482,12641,1574246,431.24,681.36,66.965968,14315,1596255,428.90,685.44,167.687498,5911,722331,132.35,383.10,,,,,,65.882702,13601,1985614,417.87,822.77
121,,,,,,68.583642,14542,1588788,431.71,685.65,67.412268,13630,1609885,429.31,692.10,169.890029,5796,728127,132.52,384.66,,,,,,72.311443,14386,,,
122,,,,,,69.148601,13230,1602018,432.04,689.57,68.703818,13942,1623827,429.75,699.11,167.066720,6088,734215,132.65,388.20,,,,,,,,,,
123,,,,,,76.750799,11754,1613772,432.44,694.86,66.287571,13948,1637775,430.19,702.81,168.499108,5882,740097,132.75,389.20,,,,,,,,,,
124,,,,,,73.902051,12817,1626589,432.61,701.14,73.695706,13848,1651623,430.44,706.29,166.169701,5844,745941,132.93,392.97,,,,,,,,,,
125,,,,,,78.987682,12805,1639394,433.24,708.42,63.868062,13893,1665516,431.10,714.67,170.365283,6166,752107,133.10,393.77,,,,,,,,,,
126,,,,,,71.288848,11398,1650792,433.45,715.09,70.229278,13623,1679139,431.34,719.69,164.934735,5581,757688,133.21,394.76,,,,,,,,,,
127,,,,,,89.461873,11313,1662105,433.27,717.17,67.497744,14404,1693543,431.80,723.06,168.984195,6136,763824,133.38,404.95,,,,,,,,,,
128,,,,,,93.442231,10017,1672122,432.76,719.74,64.790839,13154,1706697,432.11,728.33,165.829105,6122,769946,133.53,405.63,,,,,,,,,,
129,,,,,,78.530270,10245,1682367,432.92,723.62,79.514713,12734,1719431,432.61,738.57,168.329390,5883,775829,133.77,408.47,,,,,,,,,,
130,,,,,,84.329920,12090,1694457,432.71,725.32,70.034023,12482,1731913,432.76,742.04,171.097626,5873,781702,133.89,409.35,,,,,,,,,,
131,,,,,,83.012581,11048,1705505,432.69,731.23,79.531920,12294,1744207,432.73,743.95,167.328890,5911,787613,133.94,411.34,,,,,,,,,,
132,,,,,,80.927918,11430,1716935,432.62,735.17,70.634378,12413,1756620,432.69,748.23,172.131651,5849,793462,134.17,419.86,,,,,,,,,,
133,,,,,,73.304021,12528,1729463,432.66,740.24,76.429278,11602,1768222,432.85,753.35,169.775615,5805,799267,134.23,421.74,,,,,,,,,,
134,,,,,,90.038268,10168,1739631,432.66,744.61,77.006034,12486,1780708,432.66,758.87,169.027677,6030,805297,134.42,424.49,,,,,,,,,,
135,,,,,,80.410900,10994,1750625,432.56,751.77,80.999166,11135,1791843,432.49,762.80,164.984493,5940,811237,134.53,426.87,,,,,,,,,,
136,,,,,,69.972408,13130,1763755,432.18,753.54,78.830340,11202,1803045,432.62,766.35,168.108305,5920,817157,134.67,428.13,,,,,,,,,,
137,,,,,,71.107217,12971,1776726,432.40,758.04,78.259021,10937,1813982,432.50,768.63,171.558791,5993,823150,134.76,429.66,,,,,,,,,,
138,,,,,,68.196092,12160,1788886,432.80,765.17,73.103938,13419,1827401,432.37,776.31,165.060779,5552,828702,134.90,432.18,,,,,,,,,,
139,,,,,,80.635206,13356,1802242,432.89,769.08,81.803460,11291,1838692,432.34,784.65,171.303829,6217,834919,135.04,435.02,,,,,,,,,,
140,,,,,,63.999664,12923,1815165,433.39,774.72,72.448054,13389,1852081,432.33,788.13,168.486521,5886,840805,135.08,436.79,,,,,,,,,,
141,,,,,,83.145081,12206,1827371,433.33,780.84,67.945115,13500,1865581,432.65,791.29,167.944001,6046,846851,135.30,440.36,,,,,,,,,,
142,,,,,,77.131286,12009,1839380,433.11,785.41,65.894464,14389,1879970,432.93,795.81,164.303580,5971,852822,135.41,445.94,,,,,,,,,,
143,,,,,,76.556608,12087,1851467,433.24,790.11,65.410258,13702,1893672,433.49,801.70,171.178147,5922,858744,135.57,447.96,,,,,,,,,,
144,,,,,,65.779568,12572,1864039,433.40,793.25,70.094501,13625,1907297,433.72,808.64,172.869901,5721,864465,135.66,450.16,,,,,,,,,,
145,,,,,,83.150105,11248,1875287,433.61,794.68,66.550343,13801,1921098,434.15,813.65,167.803262,5958,870423,135.75,452.56,,,,,,,,,,
146,,,,,,90.898129,11488,1886775,433.59,797.79,63.051978,15017,1936115,434.48,816.06,172.266712,5816,876239,135.85,452.68,,,,,,,,,,
147,,,,,,64.383043,12252,1899027,433.77,804.80,66.319536,13659,1949774,434.98,820.00,177.941828,5426,881665,135.96,453.15,,,,,,,,,,
148,,,,,,73.608250,12955,1911982,433.95,810.71,67.255218,14016,1963790,435.19,826.15,171.587627,6065,887730,136.05,454.74,,,,,,,,,,
149,,,,,,70.974787,12641,1924623,434.20,817.44,67.148602,13294,1977084,435.69,829.63,178.465899,5410,893140,136.19,458.35,,,,,,,,,,
150,,,,,,72.418546,13891,1938514,434.48,821.82,72.491039,13602,1990686,435.88,836.21,173.865042,5991,899131,136.20,461.91,,,,,,,,,,
151,,,,,,70.380244,13010,1951524,434.87,827.41,64.699009,9314,,,,170.331623,5686,904817,136.33,464.82,,,,,,,,,,
152,,,,,,77.408702,12648,1964172,434.88,832.82,,,,,,175.401578,5740,910557,136.52,468.39,,,,,,,,,,
153,,,,,,69.005775,13865,1978037,435.09,836.22,,,,,,172.726339,5783,916340,136.55,471.32,,,,,,,,,,
154,,,,,,69.503704,13680,1991717,435.56,843.26,,,,,,170.388509,5969,922309,136.68,473.14,,,,,,,,,,
155,,,,,,81.066439,8283,,,,,,,,,170.670914,5828,928137,136.74,476.32,,,,,,,,,,
156,,,,,,,,,,,,,,,,171.821022,5564,933701,136.94,476.94,,,,,,,,,,
157,,,,,,,,,,,,,,,,170.306998,6002,939703,137.01,479.30,,,,,,,,,,
158,,,,,,,,,,,,,,,,166.817280,5832,945535,137.05,482.21,,,,,,,,,,
159,,,,,,,,,,,,,,,,165.966672,6237,951772,137.17,487.81,,,,,,,,,,
160,,,,,,,,,,,,,,,,167.889763,5953,957725,137.33,490.73,,,,,,,,,,
161,,,,,,,,,,,,,,,,170.359569,5701,963426,137.40,491.45,,,,,,,,,,
162,,,,,,,,,,,,,,,,169.150929,6057,969483,137.53,493.95,,,,,,,,,,
163,,,,,,,,,,,,,,,,176.279926,5666,975149,137.68,495.92,,,,,,,,,,
164,,,,,,,,,,,,,,,,170.360786,5986,981135,137.64,496.05,,,,,,,,,,
165,,,,,,,,,,,,,,,,166.705933,5772,986907,137.77,500.90,,,,,,,,,,
166,,,,,,,,,,,,,,,,173.150070,6010,992917,137.81,502.40,,,,,,,,,,
167,,,,,,,,,,,,,,,,168.889016,5604,998521,137.99,505.22,,,,,,,,,,
168,,,,,,,,,,,,,,,,178.531020,5706,1004227,138.13,509.04,,,,,,,,,,
169,,,,,,,,,,,,,,,,165.395596,5622,1009849,138.09,514.59,,,,,,,,,,
170,,,,,,,,,,,,,,,,172.655756,6159,1016008,138.21,518.67,,,,,,,,,,
171,,,,,,,,,,,,,,,,172.917850,5697,1021705,138.23,520.00,,,,,,,,,,
172,,,,,,,,,,,,,,,,164.559493,6131,1027836,138.40,522.90,,,,,,,,,,
173,,,,,,,,,,,,,,,,170.302885,5967,1033803,138.38,523.45,,,,,,,,,,
174,,,,,,,,,,,,,,,,167.282922,5884,1039687,138.54,525.97,,,,,,,,,,
175,,,,,,,,,,,,,,,,175.103724,5659,1045346,138.68,528.85,,,,,,,,,,
176,,,,,,,,,,,,,,,,166.807965,6194,1051540,138.66,529.63,,,,,,,,,,
177,,,,,,,,,,,,,,,,165.962022,5795,1057335,138.75,532.51,,,,,,,,,,
178,,,,,,,,,,,,,,,,169.843128,5892,1063227,138.78,534.02,,,,,,,,,,
179,,,,,,,,,,,,,,,,171.167577,5949,1069176,138.90,537.28,,,,,,,,,,
180,,,,,,,,,,,,,,,,173.266966,5671,1074847,138.93,540.99,,,,,,,,,,
181,,,,,,,,,,,,,,,,167.880698,5982,1080829,139.06,543.85,,,,,,,,,,
182,,,,,,,,,,,,,,,,172.711886,5914,1086743,139.07,544.03,,,,,,,,,,
183,,,,,,,,,,,,,,,,164.289099,5723,1092466,139.18,547.22,,,,,,,,,,
184,,,,,,,,,,,,,,,,170.852706,5932,1098398,139.20,548.94,,,,,,,,,,
185,,,,,,,,,,,,,,,,176.594600,5631,1104029,139.31,553.55,,,,,,,,,,
186,,,,,,,,,,,,,,,,167.597475,6118,1110147,139.30,554.41,,,,,,,,,,
187,,,,,,,,,,,,,,,,174.182701,5503,1115650,139.37,555.47,,,,,,,,,,
188,,,,,,,,,,,,,,,,166.738889,6213,1121863,139.38,557.19,,,,,,,,,,
189,,,,,,,,,,,,,,,,171.239917,5604,1127467,139.50,564.00,,,,,,,,,,
190,,,,,,,,,,,,,,,,166.872612,6270,1133737,139.54,565.46,,,,,,,,,,
191,,,,,,,,,,,,,,,,171.819887,5713,1139450,139.68,572.18,,,,,,,,,,
192,,,,,,,,,,,,,,,,165.478096,5921,1145371,139.68,573.42,,,,,,,,,,
193,,,,,,,,,,,,,,,,170.741473,6061,1151432,139.81,575.60,,,,,,,,,,
194,,,,,,,,,,,,,,,,168.270789,5871,1157303,139.82,581.22,,,,,,,,,,
195,,,,,,,,,,,,,,,,171.930224,5851,1163154,139.88,582.25,,,,,,,,,,
196,,,,,,,,,,,,,,,,167.580235,5951,1169105,139.91,583.24,,,,,,,,,,
197,,,,,,,,,,,,,,,,175.030390,5689,1174794,139.96,588.27,,,,,,,,,,
198,,,,,,,,,,,,,,,,166.803404,5696,1180490,139.96,589.06,,,,,,,,,,
199,,,,,,,,,,,,,,,,166.483339,6253,1186743,140.08,590.41,,,,,,,,,,
200,,,,,,,,,,,,,,,,165.750660,5344,1192087,140.14,592.99,,,,,,,,,,
201,,,,,,,,,,,,,,,,177.810509,6146,1198233,140.16,597.04,,,,,,,,,,
202,,,,,,,,,,,,,,,,166.017999,5488,1203721,140.08,597.96,,,,,,,,,,
203,,,,,,,,,,,,,,,,176.131163,6351,1210072,140.24,602.63,,,,,,,,,,
204,,,,,,,,,,,,,,,,166.527153,5268,1215340,140.18,603.23,,,,,,,,,,
205,,,,,,,,,,,,,,,,179.451339,6288,1221628,140.35,603.80,,,,,,,,,,
206,,,,,,,,,,,,,,,,170.908159,5190,1226818,140.29,605.62,,,,,,,,,,
207,,,,,,,,,,,,,,,,176.120311,6192,1233010,140.50,606.36,,,,,,,,,,
208,,,,,,,,,,,,,,,,166.297457,5519,1238529,140.45,607.05,,,,,,,,,,
209,,,,,,,,,,,,,,,,181.809957,5904,1244433,140.61,613.36,,,,,,,,,,
210,,,,,,,,,,,,,,,,166.529468,5908,1250341,140.59,613.88,,,,,,,,,,
211,,,,,,,,,,,,,,,,182.483977,5618,1255959,140.71,620.08,,,,,,,,,,
212,,,,,,,,,,,,,,,,167.101723,5870,1261829,140.72,624.29,,,,,,,,,,
213,,,,,,,,,,,,,,,,183.812204,5379,1267208,140.80,630.56,,,,,,,,,,
214,,,,,,,,,,,,,,,,171.060616,5862,1273070,140.83,631.66,,,,,,,,,,
215,,,,,,,,,,,,,,,,169.928601,5813,1278883,140.85,632.23,,,,,,,,,,
216,,,,,,,,,,,,,,,,164.755897,6323,1285206,140.95,633.38,,,,,,,,,,
217,,,,,,,,,,,,,,,,179.686377,5471,1290677,140.99,636.61,,,,,,,,,,
218,,,,,,,,,,,,,,,,167.242680,5998,1296675,141.05,639.22,,,,,,,,,,
219,,,,,,,,,,,,,,,,170.912677,5967,1302642,141.01,639.33,,,,,,,,,,
220,,,,,,,,,,,,,,,,172.171179,5758,1308400,141.11,643.26,,,,,,,,,,
221,,,,,,,,,,,,,,,,170.464344,5952,1314352,141.12,643.70,,,,,,,,,,
222,,,,,,,,,,,,,,,,171.523190,5619,1319971,141.21,649.69,,,,,,,,,,
223,,,,,,,,,,,,,,,,175.675579,5958,1325929,141.22,650.52,,,,,,,,,,
224,,,,,,,,,,,,,,,,171.263660,5598,1331527,141.19,653.50,,,,,,,,,,
225,,,,,,,,,,,,,,,,168.142538,5883,1337410,141.28,656.50,,,,,,,,,,
226,,,,,,,,,,,,,,,,177.870255,5554,1342964,141.27,657.22,,,,,,,,,,
227,,,,,,,,,,,,,,,,171.625789,5980,1348944,141.34,661.58,,,,,,,,,,
228,,,,,,,,,,,,,,,,173.167389,5736,1354680,141.36,664.46,,,,,,,,,,
229,,,,,,,,,,,,,,,,168.966352,5857,1360537,141.38,667.32,,,,,,,,,,
230,,,,,,,,,,,,,,,,174.169321,5805,1366342,141.49,671.51,,,,,,,,,,
231,,,,,,,,,,,,,,,,165.996856,6019,1372361,141.42,672.41,,,,,,,,,,
232,,,,,,,,,,,,,,,,175.495530,5378,1377739,141.56,678.16,,,,,,,,,,
233,,,,,,,,,,,,,,,,164.792346,6362,1384101,141.55,678.82,,,,,,,,,,
234,,,,,,,,,,,,,,,,169.506768,5812,1389913,141.69,683.47,,,,,,,,,,
235,,,,,,,,,,,,,,,,169.798451,6000,1395913,141.68,684.60,,,,,,,,,,
236,,,,,,,,,,,,,,,,168.552579,5865,1401778,141.68,684.60,,,,,,,,,,
237,,,,,,,,,,,,,,,,177.248045,5478,1407256,141.81,688.07,,,,,,,,,,
238,,,,,,,,,,,,,,,,163.371034,6373,1413629,141.71,688.51,,,,,,,,,,
239,,,,,,,,,,,,,,,,181.884346,5364,1418993,141.91,692.25,,,,,,,,,,
240,,,,,,,,,,,,,,,,164.863606,6236,1425229,141.79,692.52,,,,,,,,,,
241,,,,,,,,,,,,,,,,179.539225,5738,1430967,141.83,695.92,,,,,,,,,,
242,,,,,,,,,,,,,,,,164.618272,5739,1436706,141.86,698.66,,,,,,,,,,
243,,,,,,,,,,,,,,,,163.495126,5869,1442575,141.80,698.83,,,,,,,,,,
244,,,,,,,,,,,,,,,,186.044101,5575,1448150,141.98,703.95,,,,,,,,,,
245,,,,,,,,,,,,,,,,163.653112,6061,1454211,141.88,704.29,,,,,,,,,,
246,,,,,,,,,,,,,,,,184.268996,5530,1459741,141.94,709.87,,,,,,,,,,
247,,,,,,,,,,,,,,,,164.154648,6062,1465803,142.01,714.93,,,,,,,,,,
248,,,,,,,,,,,,,,,,171.139559,5990,1471793,141.97,715.96,,,,,,,,,,
249,,,,,,,,,,,,,,,,174.852660,5737,1477530,142.15,720.36,,,,,,,,,,
250,,,,,,,,,,,,,,,,163.222770,5836,1483366,142.06,720.36,,,,,,,,,,
251,,,,,,,,,,,,,,,,186.660583,5450,1488816,142.09,724.60,,,,,,,,,,
252,,,,,,,,,,,,,,,,163.627230,5998,1494814,142.18,727.76,,,,,,,,,,
253,,,,,,,,,,,,,,,,168.829745,5618,1500432,142.12,728.09,,,,,,,,,,
254,,,,,,,,,,,,,,,,178.176858,6069,1506501,142.27,731.83,,,,,,,,,,
255,,,,,,,,,,,,,,,,163.360066,5901,1512402,142.18,731.92,,,,,,,,,,
256,,,,,,,,,,,,,,,,174.307423,5605,1518007,142.19,735.88,,,,,,,,,,
257,,,,,,,,,,,,,,,,165.196680,6374,1524381,142.31,740.24,,,,,,,,,,
258,,,,,,,,,,,,,,,,171.441045,5754,1530135,142.34,740.47,,,,,,,,,,
259,,,,,,,,,,,,,,,,170.190987,5751,1535886,142.43,745.79,,,,,,,,,,
260,,,,,,,,,,,,,,,,163.704026,6130,1542016,142.38,746.40,,,,,,,,,,
261,,,,,,,,,,,,,,,,175.640397,5721,1547737,142.36,749.73,,,,,,,,,,
262,,,,,,,,,,,,,,,,168.386087,5834,1553571,142.51,753.33,,,,,,,,,,
263,,,,,,,,,,,,,,,,173.587678,5836,1559407,142.54,754.56,,,,,,,,,,
264,,,,,,,,,,,,,,,,166.515634,5630,1565037,142.44,755.24,,,,,,,,,,
265,,,,,,,,,,,,,,,,171.195815,6278,1571315,142.57,756.71,,,,,,,,,,
266,,,,,,,,,,,,,,,,176.425679,5535,1576850,142.56,758.59,,,,,,,,,,
267,,,,,,,,,,,,,,,,174.227334,5654,1582504,142.68,762.68,,,,,,,,,,
268,,,,,,,,,,,,,,,,175.533337,5618,1588122,142.66,766.74,,,,,,,,,,
269,,,,,,,,,,,,,,,,169.305142,6062,1594184,142.62,767.79,,,,,,,,,,
270,,,,,,,,,,,,,,,,173.415315,6043,1600227,142.77,774.31,,,,,,,,,,
271,,,,,,,,,,,,,,,,171.405737,5637,1605864,142.78,775.25,,,,,,,,,,
272,,,,,,,,,,,,,,,,167.237046,5940,1611804,142.69,775.43,,,,,,,,,,
273,,,,,,,,,,,,,,,,175.972056,5478,1617282,142.83,776.93,,,,,,,,,,
274,,,,,,,,,,,,,,,,184.040626,5606,1622888,142.81,779.93,,,,,,,,,,
275,,,,,,,,,,,,,,,,165.934315,6139,1629027,142.74,780.14,,,,,,,,,,
276,,,,,,,,,,,,,,,,179.556978,5664,1634691,142.96,788.04,,,,,,,,,,
277,,,,,,,,,,,,,,,,164.728313,5689,1640380,142.85,789.40,,,,,,,,,,
278,,,,,,,,,,,,,,,,167.525386,5753,1646133,142.81,793.66,,,,,,,,,,
279,,,,,,,,,,,,,,,,182.100026,5883,1652016,142.99,798.48,,,,,,,,,,
280,,,,,,,,,,,,,,,,166.006814,5879,1657895,142.91,799.09,,,,,,,,,,
281,,,,,,,,,,,,,,,,172.041859,5718,1663613,142.95,800.48,,,,,,,,,,
282,,,,,,,,,,,,,,,,184.126347,5508,1669121,143.02,802.06,,,,,,,,,,
283,,,,,,,,,,,,,,,,165.219736,6239,1675360,142.95,802.54,,,,,,,,,,
284,,,,,,,,,,,,,,,,187.025170,5119,1680479,143.07,806.74,,,,,,,,,,
285,,,,,,,,,,,,,,,,167.912817,6015,1686494,143.06,808.19,,,,,,,,,,
286,,,,,,,,,,,,,,,,164.405549,5953,1692447,143.01,808.41,,,,,,,,,,
287,,,,,,,,,,,,,,,,186.661146,5647,1698094,143.25,815.88,,,,,,,,,,
288,,,,,,,,,,,,,,,,166.254516,5794,1703888,143.19,816.72,,,,,,,,,,
289,,,,,,,,,,,,,,,,164.849946,6012,1709900,143.15,817.96,,,,,,,,,,
290,,,,,,,,,,,,,,,,187.251167,5210,1715110,143.36,826.91,,,,,,,,,,
291,,,,,,,,,,,,,,,,164.257941,6322,1721432,143.30,827.74,,,,,,,,,,
292,,,,,,,,,,,,,,,,163.328285,6168,1727600,143.26,828.42,,,,,,,,,,
293,,,,,,,,,,,,,,,,196.999169,4844,1732444,143.47,837.28,,,,,,,,,,
294,,,,,,,,,,,,,,,,165.319097,6318,1738762,143.44,837.28,,,,,,,,,,
295,,,,,,,,,,,,,,,,163.986688,5723,1744485,143.41,837.53,,,,,,,,,,
296,,,,,,,,,,,,,,,,190.281464,5569,1750054,143.61,846.31,,,,,,,,,,
297,,,,,,,,,,,,,,,,163.242751,5952,1756006,143.56,846.45,,,,,,,,,,
298,,,,,,,,,,,,,,,,167.929177,5193,1761199,143.55,846.73,,,,,,,,,,
299,,,,,,,,,,,,,,,,185.576700,6030,1767229,143.73,850.50,,,,,,,,,,
300,,,,,,,,,,,,,,,,163.117330,6230,1773459,143.69,850.77,,,,,,,,,,
301,,,,,,,,,,,,,,,,175.243059,5526,1778985,143.73,855.40,,,,,,,,,,
302,,,,,,,,,,,,,,,,172.742364,5881,1784866,143.78,861.07,,,,,,,,,,
303,,,,,,,,,,,,,,,,164.291265,6215,1791081,143.74,862.32,,,,,,,,,,
304,,,,,,,,,,,,,,,,178.369192,5688,1796769,143.78,863.87,,,,,,,,,,
305,,,,,,,,,,,,,,,,170.145354,5355,1802124,143.79,865.45,,,,,,,,,,
306,,,,,,,,,,,,,,,,169.231902,6142,1808266,143.83,866.77,,,,,,,,,,
307,,,,,,,,,,,,,,,,173.406452,5681,1813947,143.86,868.60,,,,,,,,,,
308,,,,,,,,,,,,,,,,168.870828,6118,1820065,143.90,868.99,,,,,,,,,,
309,,,,,,,,,,,,,,,,169.818677,5791,1825856,143.94,870.25,,,,,,,,,,
310,,,,,,,,,,,,,,,,179.987559,5794,1831650,143.94,872.25,,,,,,,,,,
311,,,,,,,,,,,,,,,,168.486829,5592,1837242,143.92,875.18,,,,,,,,,,
312,,,,,,,,,,,,,,,,170.029024,5935,1843177,144.02,878.21,,,,,,,,,,
313,,,,,,,,,,,,,,,,179.741748,5760,1848937,144.03,878.75,,,,,,,,,,
314,,,,,,,,,,,,,,,,164.306850,5612,1854549,143.96,880.67,,,,,,,,,,
315,,,,,,,,,,,,,,,,174.169501,5893,1860442,144.08,886.46,,,,,,,,,,
316,,,,,,,,,,,,,,,,177.757898,5912,1866354,144.09,888.05,,,,,,,,,,
317,,,,,,,,,,,,,,,,163.323908,5732,1872086,144.01,888.46,,,,,,,,,,
318,,,,,,,,,,,,,,,,172.322347,5879,1877965,144.15,891.45,,,,,,,,,,
319,,,,,,,,,,,,,,,,177.621184,5915,1883880,144.15,895.57,,,,,,,,,,
320,,,,,,,,,,,,,,,,163.645696,5726,1889606,144.07,895.76,,,,,,,,,,
321,,,,,,,,,,,,,,,,173.310372,5942,1895548,144.22,902.06,,,,,,,,,,
322,,,,,,,,,,,,,,,,177.314154,5451,1900999,144.21,903.80,,,,,,,,,,
323,,,,,,,,,,,,,,,,164.010612,6295,1907294,144.13,904.85,,,,,,,,,,
324,,,,,,,,,,,,,,,,168.273505,5423,1912717,144.21,909.21,,,,,,,,,,
325,,,,,,,,,,,,,,,,185.529676,5825,1918542,144.29,913.28,,,,,,,,,,
326,,,,,,,,,,,,,,,,168.536107,5831,1924373,144.19,913.75,,,,,,,,,,
327,,,,,,,,,,,,,,,,171.587331,6008,1930381,144.19,914.44,,,,,,,,,,
328,,,,,,,,,,,,,,,,188.744973,5184,1935565,144.38,917.59,,,,,,,,,,
329,,,,,,,,,,,,,,,,169.329723,5784,1941349,144.28,917.59,,,,,,,,,,
330,,,,,,,,,,,,,,,,167.128287,5964,1947313,144.23,918.11,,,,,,,,,,
331,,,,,,,,,,,,,,,,178.841521,5429,1952742,144.39,924.49,,,,,,,,,,
332,,,,,,,,,,,,,,,,184.861482,5640,1958382,144.37,925.81,,,,,,,,,,
333,,,,,,,,,,,,,,,,167.217436,6008,1964390,144.33,926.66,,,,,,,,,,
334,,,,,,,,,,,,,,,,174.260678,5730,1970120,144.37,929.72,,,,,,,,,,
335,,,,,,,,,,,,,,,,194.714725,5058,1975178,144.47,937.61,,,,,,,,,,
336,,,,,,,,,,,,,,,,163.523487,6072,1981250,144.40,937.71,,,,,,,,,,
337,,,,,,,,,,,,,,,,163.717970,6193,1987443,144.37,938.03,,,,,,,,,,
338,,,,,,,,,,,,,,,,206.981780,4908,1992351,144.55,947.69,,,,,,,,,,
339,,,,,,,,,,,,,,,,164.510314,5987,1998338,144.47,948.32,,,,,,,,,,
340,,,,,,,,,,,,,,,,163.243664,1662,,,,,,,,,,,,,
