second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_cgzip,throughput_etcd_v3_cgzip,cumulative_throughput_etcd_v3_cgzip,avg_cpu_etcd_v3_cgzip,avg_memory_mb_etcd_v3_cgzip,avg_latency_ms_etcd_v3_cgzip_lv2,throughput_etcd_v3_cgzip_lv2,cumulative_throughput_etcd_v3_cgzip_lv2,avg_cpu_etcd_v3_cgzip_lv2,avg_memory_mb_etcd_v3_cgzip_lv2,avg_latency_ms_etcd_v3_gzip,throughput_etcd_v3_gzip,cumulative_throughput_etcd_v3_gzip,avg_cpu_etcd_v3_gzip,avg_memory_mb_etcd_v3_gzip,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_snappy_cpp,throughput_etcd_v3_snappy_cpp,cumulative_throughput_etcd_v3_snappy_cpp,avg_cpu_etcd_v3_snappy_cpp,avg_memory_mb_etcd_v3_snappy_cpp
22,36.923555,25766,668221,329.61,311.49,68.395809,14046,300377,325.21,190.45,63.264577,14909,310256,324.70,193.34,164.131586,5995,138734,77.59,124.97,41.638754,23585,617550,342.70,301.66,57.383914,16953,424237,347.44,230.02
23,38.142956,27236,695457,332.08,324.05,66.922150,14405,314782,329.93,195.30,69.786607,13445,323701,329.28,199.62,164.941289,6035,144769,79.32,127.34,36.525294,27311,644861,345.96,310.07,55.184755,17511,441748,351.22,237.23
24,37.534703,25416,720873,334.73,329.44,65.268927,14460,329242,335.87,203.63,62.114357,15247,338948,333.87,204.94,165.629467,6069,150838,81.09,130.61,36.971427,26323,671184,349.89,315.93,59.626947,16538,458286,353.70,243.08
25,34.505141,30297,751170,338.25,345.10,67.221956,14212,343454,340.96,209.46,65.271153,14466,353414,338.76,211.35,167.733786,5908,156746,82.68,133.57,34.718708,28219,699403,353.27,324.75,60.861149,16130,474416,355.78,249.13
26,35.423480,26706,777876,341.18,348.70,71.615635,13081,356535,345.80,215.23,63.057006,15166,368580,343.33,216.89,168.915199,6030,162776,84.22,136.88,36.444043,27125,726528,357.66,337.26,56.017213,16954,491370,358.76,254.74
27,37.489111,27764,805640,343.60,365.27,66.575646,14351,370886,349.68,221.96,64.347373,14525,383105,347.83,221.03,170.787410,5822,168598,85.62,140.56,39.052419,25764,752292,360.08,342.38,58.114741,16535,507905,361.32,263.71
28,31.821419,31395,837035,346.73,372.33,73.837232,12921,383807,354.07,224.44,75.134604,12085,395190,350.79,225.72,167.970304,5821,174419,87.07,143.32,34.458473,28311,780603,363.40,357.25,64.781428,15067,522972,362.46,270.08
29,35.116730,27999,865034,349.83,383.96,68.430895,14057,397864,357.67,229.87,70.345481,13717,408907,353.49,232.88,169.373234,5910,180329,88.33,144.83,40.192311,24551,805154,366.10,367.75,62.244066,16035,539007,363.76,273.12
30,33.981332,29832,894866,352.25,394.32,69.606259,13378,411242,361.61,236.27,68.024197,14290,423197,357.05,240.58,168.421385,5925,186254,89.67,145.97,35.543530,28257,833411,368.69,373.10,62.326770,15030,554037,364.54,277.92
31,32.387473,30822,925688,354.74,405.07,71.850357,13251,424493,364.04,239.69,70.482088,13551,436748,360.46,245.17,168.653608,5887,192141,90.88,147.71,35.793551,27497,860908,371.79,380.50,66.807499,15050,569087,366.35,282.85
32,33.334388,28917,954605,357.32,411.13,70.708109,13627,438120,366.90,246.69,73.098529,12666,449414,362.58,248.53,168.820193,5948,198089,92.09,152.25,37.343243,25683,886591,373.97,393.75,61.950124,15922,585009,367.19,288.67
33,33.761495,30266,984871,359.61,423.49,69.627667,13204,451324,369.49,251.13,66.451731,14188,463602,365.45,253.78,168.739774,6004,204093,93.35,154.93,37.013200,27221,913812,376.21,405.04,62.226409,15453,600462,368.55,296.35
34,33.828371,29332,1014203,361.44,437.43,74.227066,12725,464049,371.63,255.62,66.366482,14391,477993,368.21,258.88,167.966920,5876,209969,94.50,157.64,35.470759,27533,941345,379.26,415.13,63.307670,15241,615703,369.81,302.17
35,34.829377,28324,1042527,363.95,450.97,66.670305,13929,477978,373.43,259.36,70.026025,13527,491520,370.83,264.84,165.119494,6095,216064,95.55,161.29,37.060101,26635,967980,381.41,425.11,61.021277,15613,631316,370.88,306.90
36,32.187493,30338,1072865,365.52,455.66,70.031564,13373,491351,375.99,265.37,69.439998,13668,505188,373.07,270.17,164.663483,6055,222119,96.73,164.25,34.067921,27735,995715,383.58,433.65,58.466861,17266,648582,372.32,314.05
37,34.341411,29934,1102799,367.09,467.89,66.709771,14142,505493,378.50,270.19,71.561580,13211,518399,375.19,276.06,164.525381,6028,228147,97.78,166.72,36.391348,28082,1023797,385.23,441.30,59.772574,16288,664870,373.75,320.12
38,35.227363,28438,1131237,368.57,475.97,67.717261,13634,519127,380.77,275.89,68.839235,13646,532045,377.14,281.12,164.196143,6193,234340,98.90,169.18,38.130867,25766,1049563,386.81,454.28,57.704622,16622,681492,375.11,325.23
39,31.032886,31456,1162693,371.22,484.56,70.513774,13726,532853,382.17,281.48,69.832222,13550,545595,378.96,285.73,165.093958,5960,240300,99.95,170.87,38.431394,24827,1074390,388.70,469.55,59.861836,15708,697200,376.50,329.81
40,35.817491,28405,1191098,372.95,499.65,65.441291,14080,546933,384.28,285.23,68.116940,13896,559491,380.59,290.09,166.589849,5896,246196,100.86,172.72,35.459891,28497,1102887,390.12,473.06,60.715668,16621,713821,377.75,337.51
41,30.565103,31692,1222790,374.76,508.94,70.459108,13693,560626,386.35,292.62,66.559397,13980,573471,382.19,295.72,167.339757,5959,252155,101.71,180.50,38.542616,25988,1128875,391.66,485.90,58.408218,16297,730118,379.12,344.44
