2016-04-25 11:03:49.771527 I | etcdserver: start to snapshot (applied: 91328, lastsnap: 81122)
2016-04-25 11:03:49.782694 I | etcdserver: saved snapshot at index 91328
2016-04-25 11:03:49.783021 I | etcdserver: compacted raft log at 86328
2016-04-25 11:03:50.450840 I | etcdserver: start to snapshot (applied: 101339, lastsnap: 91328)
2016-04-25 11:03:50.462944 I | etcdserver: saved snapshot at index 101339
2016-04-25 11:03:50.463139 I | etcdserver: compacted raft log at 96339
2016-04-25 11:03:51.100851 I | etcdserver: start to snapshot (applied: 111368, lastsnap: 101339)
2016-04-25 11:03:51.123736 I | etcdserver: saved snapshot at index 111368
2016-04-25 11:03:51.126900 I | etcdserver: compacted raft log at 106368
2016-04-25 11:03:51.790411 I | etcdserver: start to snapshot (applied: 121871, lastsnap: 111368)
2016-04-25 11:03:51.799513 I | etcdserver: saved snapshot at index 121871
2016-04-25 11:03:51.799711 I | etcdserver: compacted raft log at 116871
2016-04-25 11:03:52.459353 I | etcdserver: start to snapshot (applied: 132169, lastsnap: 121871)
2016-04-25 11:03:52.468575 I | etcdserver: saved snapshot at index 132169
2016-04-25 11:03:52.468790 I | etcdserver: compacted raft log at 127169
2016-04-25 11:03:53.177068 I | etcdserver: start to snapshot (applied: 142198, lastsnap: 132169)
2016-04-25 11:03:53.194165 I | etcdserver: saved snapshot at index 142198
2016-04-25 11:03:53.194379 I | etcdserver: compacted raft log at 137198
2016-04-25 11:03:53.901908 I | etcdserver: start to snapshot (applied: 152265, lastsnap: 142198)
2016-04-25 11:03:53.931261 I | etcdserver: saved snapshot at index 152265
2016-04-25 11:03:53.932916 I | etcdserver: compacted raft log at 147265
2016-04-25 11:03:54.690311 I | etcdserver: start to snapshot (applied: 162275, lastsnap: 152265)
2016-04-25 11:03:54.715673 I | etcdserver: saved snapshot at index 162275
2016-04-25 11:03:54.715885 I | etcdserver: compacted raft log at 157275
2016-04-25 11:03:55.626229 I | etcdserver: start to snapshot (applied: 172613, lastsnap: 162275)
2016-04-25 11:03:55.632633 I | etcdserver: saved snapshot at index 172613
2016-04-25 11:03:55.632801 I | etcdserver: compacted raft log at 167613
2016-04-25 11:03:56.586227 I | etcdserver: start to snapshot (applied: 182663, lastsnap: 172613)
2016-04-25 11:03:56.594206 I | etcdserver: saved snapshot at index 182663
2016-04-25 11:03:56.594714 I | etcdserver: compacted raft log at 177663
2016-04-25 11:03:57.354821 I | etcdserver: start to snapshot (applied: 192692, lastsnap: 182663)
2016-04-25 11:03:57.367744 I | etcdserver: saved snapshot at index 192692
2016-04-25 11:03:57.387794 I | etcdserver: compacted raft log at 187692
2016-04-25 11:03:58.301534 I | etcdserver: start to snapshot (applied: 202778, lastsnap: 192692)
2016-04-25 11:03:58.312075 I | etcdserver: saved snapshot at index 202778
2016-04-25 11:03:58.312268 I | etcdserver: compacted raft log at 197778
2016-04-25 11:03:58.480608 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000032112.wal is created
2016-04-25 11:03:59.073492 I | etcdserver: start to snapshot (applied: 213132, lastsnap: 202778)
2016-04-25 11:03:59.088633 I | etcdserver: saved snapshot at index 213132
2016-04-25 11:03:59.088836 I | etcdserver: compacted raft log at 208132
2016-04-25 11:03:59.750693 I | etcdserver: start to snapshot (applied: 223273, lastsnap: 213132)
2016-04-25 11:03:59.769536 I | etcdserver: saved snapshot at index 223273
2016-04-25 11:03:59.769714 I | etcdserver: compacted raft log at 218273
2016-04-25 11:04:00.541895 I | etcdserver: start to snapshot (applied: 233299, lastsnap: 223273)
2016-04-25 11:04:00.554210 I | etcdserver: saved snapshot at index 233299
2016-04-25 11:04:00.554553 I | etcdserver: compacted raft log at 228299
2016-04-25 11:04:01.260175 I | etcdserver: start to snapshot (applied: 243365, lastsnap: 233299)
2016-04-25 11:04:01.271153 I | etcdserver: saved snapshot at index 243365
2016-04-25 11:04:01.271383 I | etcdserver: compacted raft log at 238365
2016-04-25 11:04:02.094015 I | etcdserver: start to snapshot (applied: 253480, lastsnap: 243365)
2016-04-25 11:04:02.100337 I | etcdserver: saved snapshot at index 253480
2016-04-25 11:04:02.100505 I | etcdserver: compacted raft log at 248480
2016-04-25 11:04:02.936009 I | etcdserver: start to snapshot (applied: 263497, lastsnap: 253480)
2016-04-25 11:04:02.940559 I | etcdserver: saved snapshot at index 263497
2016-04-25 11:04:02.940909 I | etcdserver: compacted raft log at 258497
2016-04-25 11:04:03.606065 I | etcdserver: start to snapshot (applied: 273506, lastsnap: 263497)
2016-04-25 11:04:03.610955 I | etcdserver: saved snapshot at index 273506
2016-04-25 11:04:03.611196 I | etcdserver: compacted raft log at 268506
2016-04-25 11:04:04.253214 I | etcdserver: start to snapshot (applied: 283509, lastsnap: 273506)
2016-04-25 11:04:04.258173 I | etcdserver: saved snapshot at index 283509
2016-04-25 11:04:04.258327 I | etcdserver: compacted raft log at 278509
2016-04-25 11:04:04.863346 I | etcdserver: start to snapshot (applied: 293551, lastsnap: 283509)
2016-04-25 11:04:04.870906 I | etcdserver: saved snapshot at index 293551
2016-04-25 11:04:04.871047 I | etcdserver: compacted raft log at 288551
2016-04-25 11:04:05.526340 I | etcdserver: start to snapshot (applied: 303574, lastsnap: 293551)
2016-04-25 11:04:05.536378 I | etcdserver: saved snapshot at index 303574
2016-04-25 11:04:05.536526 I | etcdserver: compacted raft log at 298574
2016-04-25 11:04:06.206564 I | etcdserver: start to snapshot (applied: 313743, lastsnap: 303574)
2016-04-25 11:04:06.214167 I | etcdserver: saved snapshot at index 313743
2016-04-25 11:04:06.214424 I | etcdserver: compacted raft log at 308743
2016-04-25 11:04:06.552464 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000002742.snap successfully
2016-04-25 11:04:06.552550 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000004e89.snap successfully
2016-04-25 11:04:06.552581 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000075a0.snap successfully
2016-04-25 11:04:06.552614 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000009f3c.snap successfully
2016-04-25 11:04:06.552641 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000c67f.snap successfully
2016-04-25 11:04:06.552666 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000ed95.snap successfully
2016-04-25 11:04:06.552691 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000011560.snap successfully
2016-04-25 11:04:06.552716 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000013ce2.snap successfully
2016-04-25 11:04:06.552741 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000164c0.snap successfully
2016-04-25 11:04:06.552766 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000018bdb.snap successfully
2016-04-25 11:04:06.552793 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001b308.snap successfully
2016-04-25 11:04:06.552819 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001dc0f.snap successfully
2016-04-25 11:04:06.552843 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000020449.snap successfully
2016-04-25 11:04:06.552868 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000022b76.snap successfully
2016-04-25 11:04:06.552891 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000252c9.snap successfully
2016-04-25 11:04:06.552917 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000279e3.snap successfully
2016-04-25 11:04:06.552941 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000002a245.snap successfully
2016-04-25 11:04:06.553040 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000002c987.snap successfully
2016-04-25 11:04:06.553081 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000002f0b4.snap successfully
2016-04-25 11:04:06.553109 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003181a.snap successfully
2016-04-25 11:04:06.553134 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003408c.snap successfully
2016-04-25 11:04:06.553177 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000036829.snap successfully
2016-04-25 11:04:06.553216 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000038f53.snap successfully
2016-04-25 11:04:06.553252 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003b6a5.snap successfully
2016-04-25 11:04:06.553278 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000003de28.snap successfully
2016-04-25 11:04:06.553302 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000040549.snap successfully
2016-04-25 11:04:07.031186 I | etcdserver: start to snapshot (applied: 324021, lastsnap: 313743)
2016-04-25 11:04:07.036766 I | etcdserver: saved snapshot at index 324021
2016-04-25 11:04:07.037039 I | etcdserver: compacted raft log at 319021
2016-04-25 11:04:07.634371 I | etcdserver: start to snapshot (applied: 334125, lastsnap: 324021)
2016-04-25 11:04:07.682995 I | etcdserver: saved snapshot at index 334125
2016-04-25 11:04:07.683629 I | etcdserver: compacted raft log at 329125
2016-04-25 11:04:08.352212 I | etcdserver: start to snapshot (applied: 344158, lastsnap: 334125)
2016-04-25 11:04:08.373518 I | etcdserver: saved snapshot at index 344158
2016-04-25 11:04:08.373719 I | etcdserver: compacted raft log at 339158
2016-04-25 11:04:09.059067 I | etcdserver: start to snapshot (applied: 354292, lastsnap: 344158)
2016-04-25 11:04:09.070366 I | etcdserver: saved snapshot at index 354292
2016-04-25 11:04:09.070635 I | etcdserver: compacted raft log at 349292
2016-04-25 11:04:09.705930 I | etcdserver: start to snapshot (applied: 364300, lastsnap: 354292)
2016-04-25 11:04:09.714206 I | etcdserver: saved snapshot at index 364300
2016-04-25 11:04:09.714372 I | etcdserver: compacted raft log at 359300
2016-04-25 11:04:10.353405 I | etcdserver: start to snapshot (applied: 374316, lastsnap: 364300)
2016-04-25 11:04:10.368899 I | etcdserver: saved snapshot at index 374316
2016-04-25 11:04:10.369059 I | etcdserver: compacted raft log at 369316
2016-04-25 11:04:11.091730 I | etcdserver: start to snapshot (applied: 384726, lastsnap: 374316)
2016-04-25 11:04:11.107916 I | etcdserver: saved snapshot at index 384726
2016-04-25 11:04:11.108142 I | etcdserver: compacted raft log at 379726
2016-04-25 11:04:11.908079 I | etcdserver: start to snapshot (applied: 394805, lastsnap: 384726)
2016-04-25 11:04:11.915735 I | etcdserver: saved snapshot at index 394805
2016-04-25 11:04:11.915908 I | etcdserver: compacted raft log at 389805
2016-04-25 11:04:12.720073 I | etcdserver: start to snapshot (applied: 404869, lastsnap: 394805)
2016-04-25 11:04:12.729745 I | etcdserver: saved snapshot at index 404869
2016-04-25 11:04:12.729984 I | etcdserver: compacted raft log at 399869
2016-04-25 11:04:13.069803 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-00000000000641de.wal is created
2016-04-25 11:04:13.458892 I | etcdserver: start to snapshot (applied: 414883, lastsnap: 404869)
2016-04-25 11:04:13.468684 I | etcdserver: saved snapshot at index 414883
2016-04-25 11:04:13.468959 I | etcdserver: compacted raft log at 409883
2016-04-25 11:04:14.082021 I | etcdserver: start to snapshot (applied: 424893, lastsnap: 414883)
2016-04-25 11:04:14.086602 I | etcdserver: saved snapshot at index 424893
2016-04-25 11:04:14.102365 I | etcdserver: compacted raft log at 419893
2016-04-25 11:04:14.817349 I | etcdserver: start to snapshot (applied: 434982, lastsnap: 424893)
2016-04-25 11:04:14.826981 I | etcdserver: saved snapshot at index 434982
2016-04-25 11:04:14.827228 I | etcdserver: compacted raft log at 429982
2016-04-25 11:04:15.599714 I | etcdserver: start to snapshot (applied: 445048, lastsnap: 434982)
2016-04-25 11:04:15.606492 I | etcdserver: saved snapshot at index 445048
2016-04-25 11:04:15.606628 I | etcdserver: compacted raft log at 440048
2016-04-25 11:04:16.359815 I | etcdserver: start to snapshot (applied: 455312, lastsnap: 445048)
2016-04-25 11:04:16.367416 I | etcdserver: saved snapshot at index 455312
2016-04-25 11:04:16.367687 I | etcdserver: compacted raft log at 450312
2016-04-25 11:04:17.092701 I | etcdserver: start to snapshot (applied: 465392, lastsnap: 455312)
2016-04-25 11:04:17.102787 I | etcdserver: saved snapshot at index 465392
2016-04-25 11:04:17.102997 I | etcdserver: compacted raft log at 460392
2016-04-25 11:04:17.843235 I | etcdserver: start to snapshot (applied: 475607, lastsnap: 465392)
2016-04-25 11:04:17.852623 I | etcdserver: saved snapshot at index 475607
2016-04-25 11:04:17.852930 I | etcdserver: compacted raft log at 470607
2016-04-25 11:04:18.542113 I | etcdserver: start to snapshot (applied: 485883, lastsnap: 475607)
2016-04-25 11:04:18.591257 I | etcdserver: saved snapshot at index 485883
2016-04-25 11:04:18.597616 I | etcdserver: compacted raft log at 480883
2016-04-25 11:04:19.298373 I | etcdserver: start to snapshot (applied: 495910, lastsnap: 485883)
2016-04-25 11:04:19.305309 I | etcdserver: saved snapshot at index 495910
2016-04-25 11:04:19.305544 I | etcdserver: compacted raft log at 490910
2016-04-25 11:04:20.064040 I | etcdserver: start to snapshot (applied: 505957, lastsnap: 495910)
2016-04-25 11:04:20.070606 I | etcdserver: saved snapshot at index 505957
2016-04-25 11:04:20.070796 I | etcdserver: compacted raft log at 500957
2016-04-25 11:04:20.780497 I | etcdserver: start to snapshot (applied: 515963, lastsnap: 505957)
2016-04-25 11:04:20.796713 I | etcdserver: saved snapshot at index 515963
2016-04-25 11:04:20.797012 I | etcdserver: compacted raft log at 510963
2016-04-25 11:04:21.585616 I | etcdserver: start to snapshot (applied: 525980, lastsnap: 515963)
2016-04-25 11:04:21.594281 I | etcdserver: saved snapshot at index 525980
2016-04-25 11:04:21.594762 I | etcdserver: compacted raft log at 520980
2016-04-25 11:04:22.281697 I | etcdserver: start to snapshot (applied: 536261, lastsnap: 525980)
2016-04-25 11:04:22.291163 I | etcdserver: saved snapshot at index 536261
2016-04-25 11:04:22.291365 I | etcdserver: compacted raft log at 531261
2016-04-25 11:04:23.010333 I | etcdserver: start to snapshot (applied: 546273, lastsnap: 536261)
2016-04-25 11:04:23.020150 I | etcdserver: saved snapshot at index 546273
2016-04-25 11:04:23.020393 I | etcdserver: compacted raft log at 541273
2016-04-25 11:04:23.813063 I | etcdserver: start to snapshot (applied: 556355, lastsnap: 546273)
2016-04-25 11:04:23.822222 I | etcdserver: saved snapshot at index 556355
2016-04-25 11:04:23.822743 I | etcdserver: compacted raft log at 551355
2016-04-25 11:04:24.513289 I | etcdserver: start to snapshot (applied: 566768, lastsnap: 556355)
2016-04-25 11:04:24.520709 I | etcdserver: saved snapshot at index 566768
2016-04-25 11:04:24.521069 I | etcdserver: compacted raft log at 561768
2016-04-25 11:04:25.343805 I | etcdserver: start to snapshot (applied: 576771, lastsnap: 566768)
2016-04-25 11:04:25.356282 I | etcdserver: saved snapshot at index 576771
2016-04-25 11:04:25.356429 I | etcdserver: compacted raft log at 571771
2016-04-25 11:04:26.166396 I | etcdserver: start to snapshot (applied: 586893, lastsnap: 576771)
2016-04-25 11:04:26.195608 I | etcdserver: saved snapshot at index 586893
2016-04-25 11:04:26.195830 I | etcdserver: compacted raft log at 581893
2016-04-25 11:04:26.890800 I | etcdserver: start to snapshot (applied: 597030, lastsnap: 586893)
2016-04-25 11:04:26.905402 I | etcdserver: saved snapshot at index 597030
2016-04-25 11:04:26.905556 I | etcdserver: compacted raft log at 592030
2016-04-25 11:04:27.650517 I | etcdserver: start to snapshot (applied: 607041, lastsnap: 597030)
2016-04-25 11:04:27.654509 I | etcdserver: saved snapshot at index 607041
