second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_lz4,throughput_etcd_v3_lz4,cumulative_throughput_etcd_v3_lz4,avg_cpu_etcd_v3_lz4,avg_memory_mb_etcd_v3_lz4
97,134.859959,8,1192,13.03,2949.88,151.705772,7,1206,12.63,3005.33,125.827307,9,1132,13.72,2903.36
98,167.567132,6,1198,13.00,2958.13,102.853409,8,1214,12.59,3010.45,145.374906,7,1139,13.71,2950.04
99,182.196972,5,1203,12.96,2963.02,122.466074,9,1223,12.55,3018.73,103.124037,8,1147,13.68,3008.84
100,172.949156,6,1209,12.91,2968.73,152.477306,7,1230,12.52,3024.66,125.999452,9,1156,13.69,3070.82
101,186.446504,6,1215,12.86,2975.28,102.807409,8,1238,12.48,3031.08,132.648062,8,1164,13.68,3103.97
102,123.867631,8,1223,12.82,2981.78,122.633414,9,1247,12.44,3037.94,111.560280,7,1171,13.65,3113.99
103,157.564984,6,1229,12.79,2984.96,152.759659,7,1254,12.41,3066.46,125.973464,9,1180,13.63,3121.82
104,215.389355,4,1233,12.74,2992.60,102.759218,8,1262,12.39,3091.43,121.949816,9,1189,13.59,3129.77
105,166.247694,6,1239,12.70,3008.59,124.199386,9,1271,12.36,3111.79,124.382815,6,1195,13.55,3135.28
106,166.280661,6,1245,12.67,3051.50,152.300132,7,1278,12.34,3164.53,126.321185,9,1204,13.51,3146.68
107,145.984847,8,1253,12.65,3090.96,105.121709,8,1286,12.35,3221.39,122.520461,9,1213,13.48,3154.28
108,162.777483,6,1259,12.63,3132.45,123.055768,9,1295,12.33,3262.27,124.239267,6,1219,13.43,3164.38
109,172.859532,6,1265,12.60,3163.03,125.559956,6,1301,12.31,3282.26,126.858101,9,1228,13.41,3181.50
110,172.038653,6,1271,12.58,3198.93,126.694770,9,1310,12.30,3307.81,122.741858,9,1237,13.39,3197.09
111,151.853955,5,1276,12.55,3232.41,134.782930,8,1318,12.26,3327.80,142.825350,7,1244,13.36,3239.16
112,206.135317,6,1282,12.52,3263.31,148.128188,7,1325,12.24,3346.94,113.449380,7,1251,13.34,3245.85
113,125.523798,7,1289,12.50,3286.57,136.823796,7,1332,12.21,3368.28,127.374423,9,1260,13.31,3251.20
114,159.749678,7,1296,12.47,3306.59,157.963593,5,1337,12.19,3387.90,132.720834,8,1268,13.29,3257.22
115,124.487343,8,1304,12.44,3312.89,126.945989,9,1346,12.16,3393.09,113.339253,7,1275,13.24,3263.58
116,159.340496,6,1310,12.41,3316.07,122.769321,9,1355,12.13,3399.03,127.668001,9,1284,13.21,3272.64
117,133.124754,8,1318,12.37,3320.79,125.572123,6,1361,12.10,3404.10,133.559039,8,1292,13.18,3296.27
118,186.557584,5,1323,12.34,3326.17,127.271928,9,1370,12.07,3411.74,114.094857,7,1299,13.16,3335.66
119,156.946899,6,1329,12.30,3333.86,122.748978,9,1379,12.04,3418.36,168.676243,6,1305,13.15,3375.95
120,160.340491,7,1336,12.27,3341.24,125.166843,6,1385,12.01,3423.76,173.216675,6,1311,13.12,3408.83
121,132.953729,7,1343,12.25,3346.57,127.319109,9,1394,12.00,3468.46,173.179168,6,1317,13.10,3447.78
122,151.863025,7,1350,12.21,3353.98,123.038228,9,1403,11.98,3507.46,191.887129,5,1322,13.07,3478.37
123,143.611155,7,1357,12.19,3364.59,124.877629,6,1409,11.96,3522.59,166.208348,6,1328,13.06,3538.53
124,131.845987,7,1364,12.17,3393.73,127.202441,9,1418,11.94,3531.77,216.727390,5,1333,13.03,3574.73
125,158.710021,6,1370,12.15,3419.50,122.791920,9,1427,11.91,3542.14,176.515820,6,1339,13.00,3580.78
126,173.606155,6,1376,12.13,3445.80,125.338358,6,1433,11.89,3562.71,205.918682,4,1343,12.97,3581.13
127,173.198484,6,1382,12.11,3463.09,127.104745,9,1442,11.87,3589.25,225.651204,5,1348,12.93,3585.28
128,173.331771,6,1388,12.08,3468.26,123.203483,9,1451,11.86,3610.31,132.619415,7,1355,12.91,3589.26
129,150.578984,6,1394,12.05,3474.87,124.949672,6,1457,11.85,3629.06,139.437968,8,1363,12.88,3594.92
130,120.317421,9,1403,12.02,3476.10,127.260756,9,1466,11.83,3655.27,146.578244,7,1370,12.86,3603.34
131,125.642397,6,1409,12.00,3484.40,123.363769,9,1475,11.81,3680.91,132.677822,7,1377,12.84,3611.10
132,127.272048,9,1418,11.99,3502.68,125.786791,6,1481,11.79,3706.20,146.879481,7,1384,12.82,3616.81
133,123.000229,9,1427,11.98,3529.10,128.699470,9,1490,11.79,3732.45,131.675973,7,1391,12.79,3622.95
134,125.808023,6,1433,11.97,3572.87,123.416454,9,1499,11.77,3755.29,139.196114,8,1399,12.77,3628.97
135,127.728394,9,1442,11.96,3613.51,125.173002,6,1505,11.74,3776.10,210.881078,4,1403,12.74,3639.11
136,123.315189,9,1451,11.95,3655.08,127.466556,9,1514,11.74,3811.25,225.639306,5,1408,12.70,3645.62
137,125.906745,6,1457,11.95,3696.83,123.332507,9,1523,11.73,3846.17,167.100655,6,1414,12.68,3651.25
138,127.817154,9,1466,11.93,3723.60,125.516328,6,1529,11.72,3899.47,148.100696,6,1420,12.66,3684.02
139,133.810518,8,1474,11.92,3743.96,127.370343,9,1538,11.72,3939.28,157.644757,6,1426,12.64,3712.63
140,113.078850,7,1481,11.91,3750.31,122.837892,9,1547,11.69,3944.27,169.615756,7,1433,12.62,3721.23
141,127.572826,9,1490,11.88,3759.84,125.274149,6,1553,11.68,3949.53,192.973776,5,1438,12.60,3731.90
142,133.981316,8,1498,11.86,3765.93,128.261676,9,1562,11.65,3956.95,220.698025,4,1442,12.57,3735.80
143,113.644079,7,1505,11.85,3789.78,133.610543,8,1570,11.63,3965.67,217.159010,5,1447,12.54,3739.53
144,127.822664,9,1514,11.84,3818.57,112.664100,7,1577,11.61,3971.50,175.365362,6,1453,12.51,3756.16
145,133.631516,8,1522,11.83,3848.98,127.171296,9,1586,11.58,3977.79,146.596370,7,1460,12.49,3783.50
146,115.051456,7,1529,11.82,3872.39,133.674527,8,1594,11.57,3983.32,132.228264,7,1467,12.48,3819.68
