2016-05-01 08:25:41.856851 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000014-0000000000000653.wal is created
2016-05-01 08:25:50.534206 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000015-00000000000006a8.wal is created
2016-05-01 08:25:59.051950 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000016-00000000000006fd.wal is created
2016-05-01 08:26:08.183122 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000017-0000000000000754.wal is created
2016-05-01 08:26:16.814693 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000018-00000000000007a9.wal is created
2016-05-01 08:26:25.604138 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000019-00000000000007fe.wal is created
2016-05-01 08:26:34.394304 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000001a-0000000000000854.wal is created
2016-05-01 08:26:43.410908 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000001b-00000000000008aa.wal is created
2016-05-01 08:26:52.178627 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000001c-0000000000000900.wal is created
2016-05-01 08:27:00.950405 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000001d-0000000000000956.wal is created
2016-05-01 08:27:14.207903 E | rafthttp: failed to dial 8b1cff98eebdba1d on stream MsgApp v2 (read tcp 10.240.0.18:52780->10.240.0.17:2380: read: connection reset by peer)
2016-05-01 08:27:14.207948 I | rafthttp: the connection with 8b1cff98eebdba1d became inactive
2016-05-01 08:27:15.077814 N | osutil: received terminated signal, shutting down...
2016-05-01 08:27:15.079409 E | rafthttp: failed to read b33da349595da114 on stream MsgApp v2 (net/http: request canceled)
2016-05-01 08:27:15.079461 I | rafthttp: the connection with b33da349595da114 became inactive
