2016-05-01 08:22:51.341316 I | etcdmain: etcd Version: 2.3.0+git
2016-05-01 08:22:51.341377 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-05-01 08:22:51.341384 I | etcdmain: Go Version: devel +ca8b627 Sun May 1 06:29:57 2016 +0000
2016-05-01 08:22:51.341389 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-01 08:22:51.341395 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-01 08:22:51.341443 I | etcdmain: listening for peers on http://10.240.0.23:2380
2016-05-01 08:22:51.341465 I | etcdmain: listening for client requests on 10.240.0.23:2379
2016-05-01 08:22:51.346657 I | etcdserver: name = etcd-3
2016-05-01 08:22:51.346678 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-01 08:22:51.346685 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-01 08:22:51.346690 I | etcdserver: heartbeat = 100ms
2016-05-01 08:22:51.346695 I | etcdserver: election = 1000ms
2016-05-01 08:22:51.346700 I | etcdserver: snapshot count = 10000
2016-05-01 08:22:51.346709 I | etcdserver: advertise client URLs = http://10.240.0.23:2379
2016-05-01 08:22:51.346715 I | etcdserver: initial advertise peer URLs = http://10.240.0.23:2380
2016-05-01 08:22:51.346727 I | etcdserver: initial cluster = etcd-1=http://10.240.0.21:2380,etcd-2=http://10.240.0.22:2380,etcd-3=http://10.240.0.23:2380
2016-05-01 08:22:51.349435 I | etcdserver: starting member 3e07e8086be420d2 in cluster e05fb31d21672c21
2016-05-01 08:22:51.349474 I | raft: 3e07e8086be420d2 became follower at term 0
2016-05-01 08:22:51.349485 I | raft: newRaft 3e07e8086be420d2 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-01 08:22:51.349491 I | raft: 3e07e8086be420d2 became follower at term 1
2016-05-01 08:22:51.349634 I | etcdserver: enabling compression lz4
2016-05-01 08:22:51.361159 I | rafthttp: the connection with 2087a91b2ccc6d93 became active
2016-05-01 08:22:51.361631 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-05-01 08:22:51.363196 E | etcdmain: failed to notify systemd for readiness: No socket
2016-05-01 08:22:51.363212 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-05-01 08:22:51.363332 I | rafthttp: the connection with 21d3c625100d5241 became active
2016-05-01 08:22:51.363731 N | etcdserver: added member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster e05fb31d21672c21
2016-05-01 08:22:51.363853 N | etcdserver: added member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster e05fb31d21672c21
2016-05-01 08:22:51.363982 N | etcdserver: added local member 3e07e8086be420d2 [http://10.240.0.23:2380] to cluster e05fb31d21672c21
2016-05-01 08:22:51.551166 I | raft: 3e07e8086be420d2 [term: 1] received a MsgVote message with higher term from 2087a91b2ccc6d93 [term: 3]
2016-05-01 08:22:51.551227 I | raft: 3e07e8086be420d2 became follower at term 3
2016-05-01 08:22:51.551239 I | raft: 3e07e8086be420d2 [logterm: 1, index: 3, vote: 0] voted for 2087a91b2ccc6d93 [logterm: 1, index: 3] at term 3
2016-05-01 08:22:51.552975 I | raft: raft.node: 3e07e8086be420d2 elected leader 2087a91b2ccc6d93 at term 3
2016-05-01 08:22:51.557385 I | etcdserver: published {Name:etcd-3 ClientURLs:[http://10.240.0.23:2379]} to cluster e05fb31d21672c21
2016-05-01 08:22:51.557400 I | etcdmain: ready to serve client requests
2016-05-01 08:22:51.557536 N | etcdmain: serving insecure client requests on 10.240.0.23:2379, this is strongly discouraged!
2016-05-01 08:22:51.558424 N | membership: set the initial cluster version to 2.3
2016-05-01 08:22:51.862346 I | v2http: enabled capabilities for version 2.3.0
2016-05-01 08:22:59.646841 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-000000000000005e.wal is created
2016-05-01 08:23:01.945186 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-00000000000000a7.wal is created
2016-05-01 08:23:04.446026 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-00000000000000f0.wal is created
2016-05-01 08:23:06.746691 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000004-0000000000000138.wal is created
2016-05-01 08:23:09.161801 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000005-0000000000000181.wal is created
2016-05-01 08:23:11.539480 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000006-00000000000001ca.wal is created
2016-05-01 08:23:14.071418 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000007-0000000000000213.wal is created
2016-05-01 08:23:16.927728 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000008-000000000000025d.wal is created
2016-05-01 08:23:26.864595 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000009-00000000000002b4.wal is created
2016-05-01 08:23:36.318967 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000000a-000000000000030b.wal is created
2016-05-01 08:23:47.287290 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000000b-0000000000000365.wal is created
2016-05-01 08:23:56.860482 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000000c-00000000000003bc.wal is created
2016-05-01 08:24:07.535187 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000000d-0000000000000416.wal is created
2016-05-01 08:24:17.399774 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000000e-000000000000046e.wal is created
2016-05-01 08:24:26.760576 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000000f-00000000000004c4.wal is created
2016-05-01 08:24:36.661799 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000010-000000000000051c.wal is created
2016-05-01 08:24:44.912557 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000011-0000000000000571.wal is created
2016-05-01 08:24:53.416154 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000012-00000000000005c6.wal is created
2016-05-01 08:25:02.070576 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000013-000000000000061b.wal is created
2016-05-01 08:25:10.629813 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000014-0000000000000670.wal is created
2016-05-01 08:25:19.524126 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000015-00000000000006c6.wal is created
2016-05-01 08:25:28.118893 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000016-000000000000071b.wal is created
2016-05-01 08:25:36.822444 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000017-0000000000000770.wal is created
2016-05-01 08:25:45.383724 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000018-00000000000007c5.wal is created
2016-05-01 08:25:54.743438 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000019-000000000000081c.wal is created
2016-05-01 08:26:03.357327 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000001a-0000000000000871.wal is created
2016-05-01 08:26:11.969323 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000001b-00000000000008c7.wal is created
2016-05-01 08:26:20.892437 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000001c-000000000000091c.wal is created
2016-05-01 08:26:29.265801 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/000000000000001d-0000000000000971.wal is created
2016-05-01 08:26:43.908848 E | rafthttp: failed to dial 2087a91b2ccc6d93 on stream Message (read tcp 10.240.0.23:51468->10.240.0.21:2380: read: connection reset by peer)
2016-05-01 08:26:43.908897 I | rafthttp: the connection with 2087a91b2ccc6d93 became inactive
2016-05-01 08:26:44.894299 E | rafthttp: failed to dial 21d3c625100d5241 on stream Message (read tcp 10.240.0.23:50566->10.240.0.22:2380: read: connection reset by peer)
2016-05-01 08:26:44.894340 I | rafthttp: the connection with 21d3c625100d5241 became inactive
2016-05-01 08:26:45.349847 I | raft: 3e07e8086be420d2 is starting a new election at term 3
2016-05-01 08:26:45.349970 I | raft: 3e07e8086be420d2 became candidate at term 4
2016-05-01 08:26:45.349986 I | raft: 3e07e8086be420d2 received vote from 3e07e8086be420d2 at term 4
2016-05-01 08:26:45.350008 I | raft: 3e07e8086be420d2 [logterm: 3, index: 2473] sent vote request to 2087a91b2ccc6d93 at term 4
2016-05-01 08:26:45.350023 I | raft: 3e07e8086be420d2 [logterm: 3, index: 2473] sent vote request to 21d3c625100d5241 at term 4
2016-05-01 08:26:45.350041 I | raft: raft.node: 3e07e8086be420d2 lost leader 2087a91b2ccc6d93 at term 4
2016-05-01 08:26:45.779949 N | osutil: received terminated signal, shutting down...
