second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_lz4,throughput_etcd_v3_lz4,cumulative_throughput_etcd_v3_lz4,avg_cpu_etcd_v3_lz4,avg_memory_mb_etcd_v3_lz4
0,23.225331,18,18,2.38,18.03,25.783102,19,19,2.41,17.75,37.348654,18,18,2.20,16.65
1,23.799531,43,61,7.04,128.66,26.275993,38,57,6.55,130.74,31.847274,31,49,6.10,117.14
2,23.460589,42,103,10.58,228.61,26.523365,38,95,9.74,224.76,34.498984,29,78,8.91,182.51
3,23.541553,42,145,13.64,325.10,27.257789,36,131,12.45,296.07,33.896538,30,108,11.31,252.53
4,24.867479,41,186,16.25,423.97,26.799633,38,169,14.59,389.04,33.562527,29,137,13.71,343.11
5,22.681258,44,230,18.34,505.34,27.527528,36,205,16.41,472.95,37.874385,27,164,15.31,410.14
6,24.786854,40,270,20.19,586.75,25.750833,38,243,17.91,572.74,35.216088,28,192,16.55,481.37
7,24.590476,41,311,21.83,698.50,26.593544,38,281,19.22,652.14,35.341079,29,221,17.71,550.93
8,23.326232,43,354,23.27,814.44,26.649749,38,319,20.33,728.91,32.963595,30,251,18.76,626.55
9,23.016321,42,396,24.35,898.45,26.358505,38,357,21.43,839.77,34.326341,29,280,19.65,711.12
10,23.935928,43,439,25.31,969.93,26.667027,37,394,22.29,918.85,36.908360,27,307,20.42,761.96
11,23.714274,42,481,26.44,1090.78,26.536964,38,432,23.07,998.19,34.941357,29,336,21.10,858.72
12,23.404713,42,523,27.07,1142.69,27.085657,37,469,23.81,1099.70,34.271937,29,365,21.68,917.86
13,24.946539,35,558,27.94,1287.69,26.215031,37,506,24.51,1174.15,34.729038,29,394,22.30,1007.21
14,142.482623,8,566,27.37,1298.67,26.893910,38,544,25.15,1260.74,37.320038,26,420,22.70,1064.40
15,143.997250,6,572,26.43,1304.63,86.614438,10,554,25.25,1328.96,37.210301,27,447,23.17,1152.03
16,163.318154,7,579,25.65,1317.24,178.206027,6,560,24.52,1333.98,37.393265,27,474,23.47,1197.46
17,105.905142,7,586,25.00,1346.23,169.813229,6,566,23.82,1338.77,37.720769,26,500,23.84,1302.07
18,122.265309,9,595,24.43,1370.30,169.655856,6,572,23.21,1345.91,36.307657,28,528,24.16,1355.59
19,126.462578,9,604,23.91,1413.05,169.789186,6,578,22.66,1365.41,58.601854,16,544,24.42,1389.23
20,144.663214,7,611,23.33,1449.44,169.786743,6,584,22.14,1396.72,131.233683,8,552,23.93,1429.73
21,103.208104,8,619,22.87,1487.19,164.245098,5,589,21.72,1442.78,110.251973,7,559,23.47,1479.82
22,125.663093,9,628,22.58,1494.87,151.463314,7,596,21.31,1460.70,141.566939,7,566,23.09,1531.33
23,145.051746,7,635,22.26,1499.27,143.798356,7,603,20.86,1481.95,156.537163,8,574,22.68,1551.63
