2016-05-01 08:25:07.324330 I | etcdmain: etcd Version: 2.3.0+git
2016-05-01 08:25:07.324384 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-05-01 08:25:07.324391 I | etcdmain: Go Version: devel +ca8b627 Sun May 1 06:29:57 2016 +0000
2016-05-01 08:25:07.324396 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-01 08:25:07.324402 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-01 08:25:07.324464 I | etcdmain: listening for peers on http://10.240.0.27:2380
2016-05-01 08:25:07.324492 I | etcdmain: listening for client requests on 10.240.0.27:2379
2016-05-01 08:25:07.329190 I | etcdserver: name = etcd-3
2016-05-01 08:25:07.329205 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-01 08:25:07.329212 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-01 08:25:07.329222 I | etcdserver: heartbeat = 100ms
2016-05-01 08:25:07.329228 I | etcdserver: election = 1000ms
2016-05-01 08:25:07.329233 I | etcdserver: snapshot count = 10000
2016-05-01 08:25:07.329242 I | etcdserver: advertise client URLs = http://10.240.0.27:2379
2016-05-01 08:25:07.329248 I | etcdserver: initial advertise peer URLs = http://10.240.0.27:2380
2016-05-01 08:25:07.329262 I | etcdserver: initial cluster = etcd-1=http://10.240.0.25:2380,etcd-2=http://10.240.0.26:2380,etcd-3=http://10.240.0.27:2380
2016-05-01 08:25:07.331464 I | etcdserver: starting member 36850f32386ac2a in cluster 955473fb1bac9a64
2016-05-01 08:25:07.331505 I | raft: 36850f32386ac2a became follower at term 0
2016-05-01 08:25:07.331522 I | raft: newRaft 36850f32386ac2a [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-01 08:25:07.331529 I | raft: 36850f32386ac2a became follower at term 1
2016-05-01 08:25:07.331650 I | etcdserver: enabling compression snappy
2016-05-01 08:25:07.343157 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-05-01 08:25:07.343947 I | rafthttp: the connection with 420a9eb91bb9fcb8 became active
2016-05-01 08:25:07.344217 E | etcdmain: failed to notify systemd for readiness: No socket
2016-05-01 08:25:07.344233 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-05-01 08:25:07.345341 N | etcdserver: added local member 36850f32386ac2a [http://10.240.0.27:2380] to cluster 955473fb1bac9a64
2016-05-01 08:25:07.345597 N | etcdserver: added member 420a9eb91bb9fcb8 [http://10.240.0.26:2380] to cluster 955473fb1bac9a64
2016-05-01 08:25:07.345747 I | raft: 36850f32386ac2a [term: 1] received a MsgApp message with higher term from 902178d022a9e690 [term: 2]
2016-05-01 08:25:07.345834 I | rafthttp: the connection with 902178d022a9e690 became active
2016-05-01 08:25:07.345871 N | etcdserver: added member 902178d022a9e690 [http://10.240.0.25:2380] to cluster 955473fb1bac9a64
2016-05-01 08:25:07.346263 I | raft: 36850f32386ac2a became follower at term 2
