second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
33,36.191627,27285,874052,345.88,383.15,25.491720,38450,1042582,306.10,2036.35,25.157256,39655,1173697,295.25,2045.63,97.326280,20295,1069848,274.69,2052.31
34,36.497752,26313,900365,348.13,393.71,25.121439,40554,1083136,306.89,2036.35,21.585380,46284,1219981,296.92,2044.15,23.383738,42479,1112327,275.48,2053.02
35,40.061136,25561,925926,350.61,405.19,24.593463,39730,1122866,307.98,2030.30,23.315359,42846,1262827,298.52,2044.15,21.843179,45707,1158034,276.47,2053.02
36,36.246259,26328,952254,352.99,415.34,27.665130,36767,1159633,308.89,2026.32,21.625344,43530,1306357,300.62,2066.16,26.083294,38441,1196475,277.77,2053.79
37,40.828685,24405,976659,354.70,426.11,24.531351,40854,1200487,310.14,2026.32,23.275652,45411,1351768,303.24,2072.46,21.647240,45255,1241730,278.66,2053.79
38,40.804610,23472,1000131,355.93,433.53,30.641635,32530,1233017,310.53,2049.90,24.047859,41372,1393140,304.71,2072.46,24.336436,41777,1283507,279.41,2079.54
39,40.938574,25990,1026121,357.33,441.64,33.722794,29273,1262290,311.41,2050.08,22.051661,45050,1438190,306.88,2121.70,23.844196,41928,1325435,281.05,2086.95
40,36.875821,26194,1052315,358.73,451.21,26.877583,37020,1299310,310.95,2050.08,25.506814,39455,1477645,308.29,2133.43,21.761660,45686,1371121,281.74,2086.95
41,42.190512,23411,1075726,360.78,461.05,27.946729,35696,1335006,311.77,2065.47,23.312153,42818,1520463,309.47,2162.33,24.765255,38994,1410115,282.40,2086.95
42,41.147182,23809,1099535,361.96,466.86,77.425985,8570,1343576,311.17,2091.44,23.242659,42882,1563345,310.46,2163.95,23.435855,44161,1454276,284.33,2147.11
