second,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
0,4.428145,31,31,2.60,27.51,7.196191,35,35,2.51,58.08
1,4.885625,204,235,3.35,30.21,4.818989,207,242,3.55,64.69
2,5.044722,198,433,4.03,33.57,4.591267,218,460,4.41,71.21
3,5.033480,198,631,4.75,35.63,4.580304,218,678,5.09,75.27
4,5.048015,198,829,5.42,37.59,4.482653,223,901,5.54,77.66
5,5.074252,195,1024,6.01,39.28,4.564506,219,1120,5.87,82.32
6,4.851857,207,1231,6.56,40.19,4.516070,221,1341,6.17,84.51
7,4.787623,209,1440,7.08,41.17,4.492652,222,1563,6.46,87.24
8,4.934811,202,1642,7.60,42.61,4.415306,228,1791,6.68,89.46
9,4.901179,203,1845,8.03,43.08,4.306429,232,2023,7.27,96.93
10,4.979805,201,2046,8.40,43.17,4.367089,229,2252,7.42,100.38
11,4.835210,207,2253,8.85,44.10,4.383349,228,2480,7.55,102.42
12,4.890170,204,2457,9.21,44.38,4.441261,225,2705,7.76,107.41
13,4.712894,211,2668,9.55,44.38,4.288305,233,2938,8.26,111.65
14,5.037173,199,2867,9.90,44.76,4.298633,232,3170,8.43,116.48
15,5.087336,196,3063,10.21,45.54,4.362409,230,3400,8.59,117.08
16,4.898898,204,3267,10.53,45.84,4.302571,232,3632,8.70,117.13
17,4.847882,205,3472,10.80,46.29,4.432426,225,3857,8.78,117.81
18,4.748391,211,3683,11.07,46.68,4.496604,223,4080,8.85,118.49
19,4.912175,203,3886,11.33,47.27,4.310623,232,4312,8.95,119.09
20,4.868967,205,4091,11.59,47.54,4.360773,229,4541,8.99,119.65
21,4.927851,202,4293,11.81,47.64,4.391661,227,4768,9.10,123.74
22,4.746186,210,4503,12.04,48.33,4.282861,234,5002,9.17,123.74
23,4.766848,209,4712,12.25,48.52,4.429620,225,5227,9.24,123.83
24,4.750026,211,4923,12.44,48.80,4.358701,230,5457,9.49,127.36
25,4.948729,201,5124,12.63,49.00,4.470518,222,5679,10.45,130.06
26,4.810799,208,5332,12.84,49.59,4.573147,220,5899,10.68,129.37
27,4.863011,205,5537,13.03,49.88,4.443646,224,6123,10.70,129.37
28,4.895442,204,5741,13.19,50.17,4.433965,226,6349,10.73,129.37
29,4.810974,205,5946,13.36,50.46,4.385468,228,6577,10.77,131.05
30,4.950171,203,6149,13.49,50.96,4.318825,232,6809,10.84,130.71
31,4.953921,202,6351,13.65,51.12,4.297707,232,7041,10.83,130.65
32,5.077653,197,6548,13.78,51.46,4.403465,227,7268,10.83,130.65
33,5.069713,197,6745,13.91,51.85,4.372808,229,7497,10.83,130.65
34,4.909178,203,6948,14.05,51.85,4.411896,226,7723,10.83,134.07
35,5.157124,194,7142,14.20,52.58,4.381325,228,7951,10.82,134.05
36,4.760644,209,7351,14.32,54.92,4.474013,224,8175,10.82,134.05
37,5.031088,199,7550,14.40,55.11,4.409340,226,8401,10.83,134.05
38,4.750912,210,7760,14.51,56.75,4.471894,224,8625,10.82,134.05
39,4.986266,200,7960,14.65,57.63,4.325705,231,8856,10.82,134.67
40,4.673561,214,8174,14.75,57.63,4.403384,227,9083,10.82,134.67
41,4.784144,208,8382,14.84,57.63,4.471594,224,9307,10.83,134.67
42,4.848450,206,8588,14.94,58.31,4.505448,222,9529,10.84,134.67
43,5.055461,198,8786,15.02,58.72,4.515138,221,9750,10.86,134.67
44,5.203186,192,8978,15.11,59.36,4.428233,226,9976,10.87,134.67
45,5.073586,196,9174,15.18,59.36,4.461807,224,10200,10.88,134.71
46,4.981653,201,9375,15.27,59.71,4.414596,226,10426,10.89,134.71
47,5.017511,199,9574,15.35,59.82,4.554601,220,10646,10.92,134.74
48,4.911340,203,9777,15.42,62.48,4.370775,228,10874,10.93,136.10
49,4.902380,203,9980,15.55,63.49,4.528639,221,11095,10.94,137.58
50,4.850684,206,10186,15.61,63.59,4.360304,229,11324,10.94,137.58
51,4.829807,206,10392,15.67,63.69,4.482911,223,11547,10.97,141.08
52,4.901886,204,10596,15.74,63.79,4.411841,227,11774,10.98,141.08
53,4.864034,206,10802,15.82,64.21,4.360243,229,12003,10.98,141.08
54,4.871933,205,11007,15.88,64.52,4.386172,228,12231,10.96,141.08
55,4.950751,201,11208,15.94,64.80,4.358762,228,12459,10.97,142.44
56,4.810856,208,11416,16.02,64.86,4.302929,233,12692,10.95,142.44
57,4.952387,199,11615,16.08,64.86,4.343521,230,12922,10.94,142.44
58,4.797078,209,11824,16.13,65.05,4.372347,229,13151,10.95,142.44
59,4.835345,207,12031,16.18,65.05,4.298304,233,13384,10.95,145.58
60,5.002861,201,12232,16.24,65.05,4.299942,232,13616,10.93,145.58
61,5.008847,199,12431,16.29,65.05,4.305035,232,13848,10.93,145.58
62,4.932619,203,12634,16.33,65.27,4.320718,232,14080,10.94,145.58
63,5.038494,198,12832,16.41,65.77,4.382865,228,14308,10.94,145.58
64,4.761374,210,13042,16.45,65.77,4.256937,234,14542,10.93,145.58
65,4.987008,200,13242,16.49,65.77,4.299429,233,14775,10.93,145.58
66,4.686154,212,13454,16.53,65.89,4.354658,229,15004,10.95,146.95
67,5.037725,199,13653,16.59,66.01,4.353358,229,15233,10.95,146.95
68,4.772218,209,13862,16.63,66.04,4.573389,219,15452,10.96,146.95
69,4.852967,206,14068,16.66,66.13,4.432799,226,15678,10.96,152.37
70,4.719768,211,14279,16.70,66.13,4.397155,227,15905,10.96,152.37
71,4.702166,213,14492,16.74,66.45,4.338449,231,16136,10.97,152.37
