second,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
182,94.688768,14057,2386712,188.26,1249.98,,,,,
183,63.141137,12659,2399371,188.82,1257.76,,,,,
184,91.282857,11886,2411257,188.91,1261.40,,,,,
185,72.488185,15083,2426340,189.59,1272.99,,,,,
186,102.618372,9740,2436080,189.70,1275.60,,,,,
187,65.376111,14523,2450603,190.19,1279.94,,,,,
188,112.090142,9478,2460081,190.49,1282.52,,,,,
189,68.385042,13005,2473086,190.60,1286.23,,,,,
190,99.728702,8412,2481498,191.31,1293.88,,,,,
191,74.563911,16792,2498290,191.35,1294.39,,,,,
192,70.762841,11327,2509617,192.16,1306.80,,,,,
193,90.388821,13321,2522938,192.27,1309.33,,,,,
194,64.096493,14757,2537695,192.78,1317.34,,,,,
195,147.242593,7055,2544750,193.15,1323.87,,,,,
196,60.010286,16588,2561338,193.26,1324.82,,,,,
197,111.659948,9138,2570476,193.82,1331.59,,,,,
198,65.155233,15203,2585679,194.23,1335.33,,,,,
199,75.803677,9712,2595391,194.77,1344.79,,,,,
200,80.786857,14743,2610134,195.20,1349.79,,,,,
201,78.394283,13513,2623647,195.34,1354.76,,,,,
202,112.570144,7842,2631489,195.65,1361.57,,,,,
203,84.333516,13497,2644986,196.21,1369.54,,,,,
204,96.402204,8766,2653752,196.40,1373.21,,,,,
205,78.209610,14227,2667979,196.91,1379.24,,,,,
206,73.419500,13798,2681777,197.40,1386.20,,,,,
207,105.534725,9632,2691409,197.53,1388.22,,,,,
208,79.518609,12136,2703545,198.15,1394.26,,,,,
209,83.203568,9731,2713276,198.50,1399.53,,,,,
210,85.984549,13628,2726904,198.61,1402.10,,,,,
211,71.722297,12761,2739665,199.42,1413.22,,,,,
212,128.195808,8824,2748489,199.61,1416.56,,,,,
213,55.916746,15878,2764367,199.91,1418.49,,,,,
214,101.887874,8798,2773165,200.70,1430.37,,,,,
215,108.122946,11048,2784213,200.66,1431.94,,,,,
