second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
0,1.913998,432,432,3.07,23.73,2.503466,315,315,8.17,57.81
1,1.854873,536,968,9.33,30.51,2.023262,494,809,14.00,69.35
2,1.829221,545,1513,14.40,34.75,1.913809,522,1331,17.26,79.37
3,1.879315,529,2042,18.28,37.68,1.935824,516,1847,18.58,85.37
4,1.865561,533,2575,21.35,40.25,1.850408,540,2387,20.31,96.09
5,1.871030,532,3107,24.04,41.51,1.928411,518,2905,20.99,104.86
6,1.839355,541,3648,26.51,43.38,1.910875,523,3428,22.71,115.03
7,1.825696,544,4192,28.51,43.68,1.913242,522,3950,23.38,116.48
8,1.862406,535,4727,30.21,44.84,1.906616,524,4474,23.77,117.39
9,1.845735,539,5266,31.81,45.58,1.942611,515,4989,24.20,118.90
10,1.893696,526,5792,33.06,46.08,1.910289,523,5512,24.68,122.15
11,1.854540,536,6328,34.34,48.35,1.951132,512,6024,26.79,127.55
12,1.874526,531,6859,35.39,48.92,1.949954,512,6536,27.77,128.32
13,1.855035,537,7396,36.36,50.47,1.895098,527,7063,28.48,130.32
14,1.869822,532,7928,37.13,51.13,1.838026,543,7606,28.39,130.20
15,1.919267,519,8447,37.96,52.73,2.258682,443,8049,28.64,133.08
16,1.948394,511,8958,38.69,53.62,2.344906,426,8475,28.71,133.67
17,1.888741,528,9486,39.30,53.62,2.259592,442,8917,28.65,133.67
18,1.896190,524,10010,39.84,55.02,1.907773,524,9441,28.64,132.78
19,1.967384,508,10518,40.40,57.03,1.963687,509,9950,28.65,132.74
20,1.979327,504,11022,40.88,57.24,1.956766,511,10461,28.62,132.74
21,2.193351,455,11477,41.34,57.98,1.911675,522,10983,28.64,134.13
22,2.431341,409,11886,41.83,57.98,1.905656,524,11507,28.56,134.13
23,2.335232,428,12314,42.39,58.16,1.934119,517,12024,28.56,137.47
24,2.364632,422,12736,42.86,58.16,1.970759,507,12531,28.52,137.47
25,2.343994,425,13161,43.30,58.41,1.804739,553,13084,28.52,138.84
26,2.294901,434,13595,43.73,58.41,1.780377,562,13646,28.39,138.84
27,2.525602,394,13989,44.11,58.63,1.768803,565,14211,28.31,138.84
28,2.564009,389,14378,44.54,58.84,1.836450,544,14755,28.18,138.84
29,2.592106,384,14762,44.88,58.84,1.835317,545,15300,28.12,140.21
30,2.649750,376,15138,45.28,60.87,1.790501,558,15858,28.03,140.26
31,2.152348,463,15601,45.54,61.97,1.796052,556,16414,27.95,140.26
32,2.234729,445,16046,45.75,63.02,1.787211,559,16973,27.85,140.26
33,2.212476,450,16496,45.93,63.63,1.816262,550,17523,27.79,140.26
34,2.221507,448,16944,46.12,64.06,1.742681,574,18097,27.73,141.70
35,2.234348,446,17390,46.28,64.77,1.810467,552,18649,27.65,141.70
36,2.345542,425,17815,46.50,66.11,1.784219,560,19209,27.66,143.75
37,1.948012,511,18326,46.67,66.11,1.799883,554,19763,27.60,145.20
38,1.983885,501,18827,46.86,67.25,1.801129,556,20319,27.52,145.20
39,1.926203,515,19342,46.95,67.45,1.796240,556,20875,27.55,150.32
40,1.910483,521,19863,47.08,68.78,1.815068,550,21425,27.49,150.32
41,1.899450,523,20386,47.23,72.40,1.814491,551,21976,27.43,150.32
42,1.905749,522,20908,47.33,72.60,1.825352,548,22524,27.37,150.32
43,1.875706,529,21437,47.46,73.42,1.801544,554,23078,27.31,151.69
44,1.846524,539,21976,47.53,74.06,1.833009,545,23623,27.24,151.69
45,1.942117,511,22487,47.68,74.16,1.946372,514,24137,27.20,154.73
46,1.899540,524,23011,47.78,74.44,1.996536,499,24636,27.20,154.73
47,1.922247,518,23529,47.91,74.60,1.976832,507,25143,27.21,154.73
48,1.914847,519,24048,47.97,74.60,1.949630,512,25655,27.21,154.73
49,1.903946,522,24570,48.09,74.60,1.956808,511,26166,27.23,157.40
50,1.870958,533,25103,48.20,74.60,1.987429,502,26668,27.22,157.40
51,1.901437,523,25626,48.29,74.61,1.983996,504,27172,27.22,157.40
52,1.920641,518,26144,48.43,75.76,1.961444,509,27681,27.24,161.12
53,2.007357,496,26640,48.49,75.76,1.959667,510,28191,27.25,162.49
54,1.892459,526,27166,48.60,75.76,1.949460,513,28704,27.25,162.49
55,1.850177,537,27703,48.68,77.11,1.764622,566,29270,27.23,162.49
56,1.904370,523,28226,48.78,77.11,1.809212,552,29822,27.18,162.49
57,1.859188,535,28761,48.88,77.11,1.820347,549,30371,27.13,162.49
58,1.969384,505,29266,48.97,77.48,1.819486,549,30920,27.09,162.54
59,1.930772,516,29782,49.03,78.23,1.779886,562,31482,27.06,164.04
60,1.948580,510,30292,49.11,80.58,1.821606,548,32030,27.01,164.04
61,1.820540,546,30838,49.15,80.83,1.761958,567,32597,27.00,166.22
62,1.881656,529,31367,49.24,82.03,1.765889,566,33163,26.95,166.22
63,1.902381,523,31890,49.33,82.34,1.769894,565,33728,26.92,168.35
64,1.838438,540,32430,49.42,82.34,1.776749,562,34290,26.96,169.63
65,1.842159,540,32970,49.48,82.56,1.820838,549,34839,26.92,169.63
66,1.810561,549,33519,49.54,82.68,1.811401,551,35390,26.88,169.63
67,1.856354,536,34055,49.59,82.85,1.785565,560,35950,26.84,169.63
68,1.860736,534,34589,49.66,82.85,1.887525,529,36479,26.86,171.75
69,1.930958,516,35105,49.70,82.95,1.841246,543,37022,26.91,171.98
70,1.852655,536,35641,49.77,83.14,1.927872,517,37539,26.93,171.98
71,1.866566,534,36175,49.81,84.12,1.873907,534,38073,26.93,171.98
72,1.825636,545,36720,49.89,84.31,1.806043,554,38627,26.94,171.98
73,1.893208,525,37245,49.93,84.55,1.800333,555,39182,26.94,171.98
74,1.858252,536,37781,49.97,86.37,1.789013,558,39740,26.96,171.98
75,2.049702,486,38267,50.02,86.63,2.196666,455,40195,26.98,177.12
76,1.901194,523,38790,50.09,86.99,2.235345,447,40642,26.99,179.93
77,1.887184,529,39319,50.14,87.15,2.280984,438,41080,27.01,179.93
78,1.913127,520,39839,50.20,88.24,1.908271,524,41604,27.03,182.74
79,1.925181,518,40357,50.21,89.26,1.877477,532,42136,27.04,182.74
80,1.910665,521,40878,50.27,90.13,1.895079,527,42663,27.04,182.74
81,2.202161,453,41331,50.33,90.50,1.918011,521,43184,27.04,182.74
82,2.385292,418,41749,50.40,91.34,1.871058,534,43718,27.04,182.74
83,2.268831,440,42189,50.45,91.34,1.904295,525,44243,27.04,182.74
84,2.358610,422,42611,50.53,91.87,1.925183,519,44762,27.05,184.92
85,2.372400,421,43032,50.58,91.99,1.783080,560,45322,27.04,184.92
86,2.310569,431,43463,50.65,92.13,1.773155,564,45886,27.01,184.92
87,2.464965,403,43866,50.74,92.22,1.777793,562,46448,27.00,187.65
88,2.580068,387,44253,50.81,92.37,1.796373,556,47004,26.96,187.65
89,2.778974,359,44612,50.88,92.37,1.801978,555,47559,26.94,188.33
90,2.670676,373,44985,50.98,92.37,1.800865,555,48114,26.91,188.33
91,2.316308,430,45415,51.04,92.37,1.811308,551,48665,26.88,188.67
92,2.387556,417,45832,51.06,92.56,1.870985,534,49199,26.85,188.67
93,2.388769,417,46249,51.09,92.74,1.798937,556,49755,26.83,188.67
94,2.343778,425,46674,51.12,93.64,1.834453,545,50300,26.80,188.67
95,2.379133,418,47092,51.14,93.97,1.808887,552,50852,26.78,190.88
96,2.150886,463,47555,51.16,95.61,1.798866,555,51407,26.77,191.06
97,1.959549,508,48063,51.21,95.87,1.889777,529,51936,26.74,190.96
98,1.892881,525,48588,51.24,95.96,1.762281,567,52503,26.78,192.55
99,1.961900,507,49095,51.26,96.31,1.778761,562,53065,26.76,192.55
100,1.929621,515,49610,51.29,97.41,1.755866,569,53634,26.74,192.55
101,1.884623,528,50138,51.30,98.63,1.756566,569,54203,26.73,195.37
