2016-04-12 09:42:04.524263 I | etcdserver: start to snapshot (applied: 100010, lastsnap: 90009)
2016-04-12 09:42:04.527945 I | etcdserver: saved snapshot at index 100010
2016-04-12 09:42:04.528108 I | etcdserver: compacted raft log at 95010
2016-04-12 09:42:09.215271 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000009c44.snap successfully
2016-04-12 09:42:09.215323 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000c355.snap successfully
2016-04-12 09:42:26.535724 I | etcdserver: start to snapshot (applied: 110011, lastsnap: 100010)
2016-04-12 09:42:26.539081 I | etcdserver: saved snapshot at index 110011
2016-04-12 09:42:26.539202 I | etcdserver: compacted raft log at 105011
2016-04-12 09:42:39.215596 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000ea66.snap successfully
2016-04-12 09:42:45.290467 I | etcdserver: start to snapshot (applied: 120012, lastsnap: 110011)
2016-04-12 09:42:45.294500 I | etcdserver: saved snapshot at index 120012
2016-04-12 09:42:45.294674 I | etcdserver: compacted raft log at 115012
2016-04-12 09:43:04.262951 I | etcdserver: start to snapshot (applied: 130013, lastsnap: 120012)
2016-04-12 09:43:04.266824 I | etcdserver: saved snapshot at index 130013
2016-04-12 09:43:04.267052 I | etcdserver: compacted raft log at 125013
2016-04-12 09:43:09.215872 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000011177.snap successfully
2016-04-12 09:43:09.216191 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000013888.snap successfully
2016-04-12 09:43:26.255647 I | etcdserver: start to snapshot (applied: 140014, lastsnap: 130013)
2016-04-12 09:43:26.259816 I | etcdserver: saved snapshot at index 140014
2016-04-12 09:43:26.260050 I | etcdserver: compacted raft log at 135014
2016-04-12 09:43:39.216496 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000015f99.snap successfully
2016-04-12 09:43:45.021560 I | etcdserver: start to snapshot (applied: 150015, lastsnap: 140014)
2016-04-12 09:43:45.025291 I | etcdserver: saved snapshot at index 150015
2016-04-12 09:43:45.025433 I | etcdserver: compacted raft log at 145015
2016-04-12 09:44:03.005109 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000026ee1.wal is created
2016-04-12 09:44:04.058470 I | etcdserver: start to snapshot (applied: 160016, lastsnap: 150015)
2016-04-12 09:44:04.063147 I | etcdserver: saved snapshot at index 160016
2016-04-12 09:44:04.063407 I | etcdserver: compacted raft log at 155016
2016-04-12 09:44:09.216774 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000186aa.snap successfully
2016-04-12 09:44:09.216851 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001adbb.snap successfully
2016-04-12 09:44:26.121498 I | etcdserver: start to snapshot (applied: 170017, lastsnap: 160016)
