second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
0,104.854313,4714,4714,1.43,16.42
1,90.243022,11264,15978,32.89,56.97
2,96.644916,9992,25970,56.88,73.11
3,110.008647,9275,35245,75.70,94.77
4,118.798399,8254,43499,89.16,98.93
5,124.471485,7935,51434,100.27,117.62
6,126.187199,7837,59271,108.89,133.43
7,128.315248,8118,67389,116.53,152.63
8,112.247594,8493,75882,123.42,142.10
9,117.696030,8953,84835,129.81,163.08
10,117.845136,8391,93226,135.87,179.62
11,112.617550,8921,102147,141.18,197.82
12,120.267054,8295,110442,145.89,217.17
13,114.620082,8810,119252,150.16,235.91
14,99.097322,10163,129415,154.59,256.38
15,105.497102,9090,138505,159.65,221.49
16,100.460286,10304,148809,163.98,241.49
17,96.319345,10198,159007,167.91,265.80
18,111.442226,8885,167892,171.36,285.81
19,107.371406,9514,177406,174.79,302.50
20,105.719678,9501,186907,177.91,325.99
21,103.058306,9578,196485,180.76,350.15
22,103.311630,3515,,,
