second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
0,4.555991,125,125,2.13,16.82
1,4.584714,218,343,5.22,17.74
2,4.381011,228,571,7.50,18.41
3,4.412867,226,797,9.21,18.97
4,4.623517,216,1013,10.56,19.46
5,4.554978,220,1233,11.74,19.83
6,4.627884,216,1449,12.77,20.13
7,4.602018,217,1666,13.59,20.61
8,4.835867,206,1872,14.40,21.20
9,4.679823,213,2085,15.09,21.69
10,4.563140,220,2305,15.73,20.95
11,4.589883,217,2522,16.19,22.18
12,4.566273,219,2741,16.64,22.63
13,4.670575,214,2955,17.02,23.10
14,4.578362,218,3173,17.44,23.27
15,4.584843,218,3391,17.80,24.25
16,4.679429,214,3605,18.13,24.77
17,4.729577,211,3816,18.37,25.37
18,4.946025,201,4017,18.60,26.08
19,5.964697,168,4185,18.84,24.29
20,5.811998,172,4357,19.12,24.67
21,5.793856,172,4529,19.43,25.19
22,5.851281,171,4700,19.69,25.39
23,5.884489,170,4870,19.96,25.56
24,5.837966,171,5041,20.22,26.73
25,5.840602,171,5212,20.42,27.61
26,6.244181,160,5372,20.64,28.12
27,6.128122,163,5535,20.84,28.56
28,5.469167,183,5718,21.02,28.73
29,4.634086,216,5934,21.16,29.26
30,4.483235,222,6156,21.23,30.23
31,4.455500,225,6381,21.32,30.57
32,4.554925,219,6600,21.43,30.83
33,4.568305,219,6819,21.51,31.27
34,4.660145,214,7033,21.59,31.70
35,4.693283,213,7246,21.68,32.58
36,4.787186,209,7455,21.77,33.01
37,4.579569,218,7673,21.85,33.35
38,4.561225,219,7892,21.91,33.61
39,4.643179,215,8107,22.01,34.40
40,4.648970,215,8322,22.05,30.47
41,4.633328,216,8538,22.11,30.92
42,4.445673,225,8763,22.17,31.42
43,4.437254,225,8988,22.24,31.82
44,4.603601,216,9204,22.31,32.27
45,4.459342,225,9429,22.38,32.75
46,4.478697,223,9652,22.39,33.19
47,4.573845,219,9871,22.46,33.99
48,4.462784,224,10095,22.53,34.51
49,4.570233,218,10313,22.59,35.14
50,4.722910,211,10524,22.62,35.49
51,4.711019,212,10736,22.66,35.84
52,4.707546,213,10949,22.73,36.29
53,4.682046,214,11163,22.82,37.08
54,4.698476,212,11375,22.91,37.34
55,4.872165,205,11580,23.00,37.96
56,4.637559,216,11796,23.07,38.14
57,4.600993,216,12012,23.18,38.58
58,4.621088,217,12229,23.26,39.28
59,4.553836,220,12449,23.36,39.80
60,4.540756,219,12668,23.45,40.32
61,4.582308,219,12887,23.52,40.85
62,4.506297,222,13109,23.55,41.82
63,4.460232,224,13333,23.57,42.34
64,4.477415,223,13556,23.61,42.69
65,4.552074,220,13776,23.64,43.04
66,4.483294,223,13999,23.66,43.83
67,4.436979,225,14224,23.69,44.27
68,4.476823,223,14447,23.71,44.71
69,4.520991,221,14668,23.74,44.98
70,4.482901,223,14891,23.75,45.24
71,4.429726,226,15117,23.77,45.77
72,4.382470,227,15344,23.79,46.39
73,4.443176,226,15570,23.82,46.93
74,4.336280,230,15800,23.83,47.27
75,4.368029,229,16029,23.84,48.06
76,4.407322,227,16256,23.88,40.54
77,4.544211,220,16476,23.89,40.72
78,4.967010,201,16677,23.89,41.09
79,5.807285,172,16849,23.92,41.56
80,5.959931,168,17017,23.96,41.66
81,5.711982,175,17192,24.00,42.20
82,5.875639,170,17362,24.04,42.76
83,5.796367,172,17534,24.06,43.15
84,5.859216,171,17705,24.08,43.85
85,6.010396,166,17871,24.09,44.38
86,6.051391,165,18036,24.13,44.64
87,6.090080,164,18200,24.17,44.99
88,5.347539,187,18387,24.20,45.24
89,4.524169,220,18607,24.22,45.77
90,4.560523,220,18827,24.22,46.04
91,4.553422,220,19047,24.23,46.73
92,4.439992,225,19272,24.24,47.43
93,4.438445,225,19497,24.25,47.87
94,4.509667,221,19718,24.26,48.22
95,4.497508,222,19940,24.26,48.48
96,4.530745,220,20160,24.26,48.92
97,4.481486,224,20384,24.27,49.62
98,4.440751,225,20609,24.28,49.80
99,4.419110,226,20835,24.28,50.42
100,4.426124,226,21061,24.30,51.03
101,4.475066,223,21284,24.30,51.30
102,4.477643,223,21507,24.30,51.91
103,4.691460,213,21720,24.32,52.52
104,4.824532,207,21927,24.32,53.39
105,4.494690,223,22150,24.32,53.48
106,4.399900,227,22377,24.33,54.01
107,4.395017,227,22604,24.33,54.44
108,4.437134,224,22828,24.32,54.98
109,4.542883,220,23048,24.33,55.42
110,4.559596,220,23268,24.34,55.95
111,4.560446,219,23487,24.34,56.38
112,4.606131,217,23704,24.39,57.25
113,4.559824,219,23923,24.43,57.60
114,4.467599,224,24147,24.47,58.21
115,4.426258,225,24372,24.51,58.83
116,4.420609,227,24599,24.53,59.09
117,4.508375,221,24820,24.57,59.62
118,4.483560,223,25043,24.66,65.89
119,4.557119,220,25263,24.73,68.27
120,4.551099,219,25482,24.78,68.45
121,4.465954,224,25706,24.84,68.80
122,4.268799,234,25940,24.87,68.98
123,4.342267,230,26170,24.90,69.24
124,4.260950,234,26404,24.93,69.50
125,4.253449,236,26640,24.96,70.12
126,4.178681,239,26879,25.00,70.82
127,4.332401,231,27110,25.00,71.35
128,4.297388,232,27342,25.03,71.69
129,4.149152,241,27583,25.07,71.86
130,4.240295,236,27819,25.08,72.04
131,4.241063,235,28054,25.11,72.56
132,4.196043,239,28293,25.13,72.83
133,4.216759,237,28530,25.15,73.10
134,4.061724,246,28776,25.18,73.63
135,4.147650,240,29016,25.20,73.80
136,4.278902,234,29250,25.22,74.42
137,4.246278,236,29486,25.24,74.77
138,4.641933,214,29700,25.26,74.95
139,5.480460,183,29883,25.28,75.47
140,5.502711,181,30064,25.29,76.08
141,5.522762,182,30246,25.34,76.43
142,5.392109,185,30431,25.37,76.87
143,5.458219,183,30614,25.37,77.32
144,5.475320,182,30796,25.41,77.57
145,5.518572,182,30978,25.41,77.93
146,5.360752,186,31164,25.45,78.37
147,5.547179,180,31344,25.47,78.46
148,5.016594,200,31544,25.49,78.72
149,4.148178,240,31784,25.52,79.34
150,4.187814,239,32023,25.52,79.42
151,4.117143,243,32266,25.55,79.69
152,4.126625,242,32508,25.57,69.24
153,4.067665,246,32754,25.57,69.64
154,3.989692,250,33004,25.58,70.01
155,4.169487,240,33244,25.60,70.11
156,4.158524,240,33484,25.63,70.37
157,4.200516,238,33722,25.65,71.16
158,4.061068,246,33968,25.64,71.51
