second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
0,102.504772,6765,6765,2.11,16.91
1,125.739849,7968,14733,33.02,52.87
2,107.275981,9440,24173,55.17,65.02
3,105.532946,9392,33565,75.56,85.97
4,120.728081,8272,41837,92.33,93.94
5,119.757371,8256,50093,104.05,111.26
6,111.735027,9021,59114,114.36,129.42
7,115.393089,8821,67935,123.31,149.07
8,138.571590,7179,75114,130.75,137.21
9,109.908480,8945,84059,136.50,155.10
10,111.762112,8836,92895,142.80,174.06
11,123.700236,8314,101209,148.51,190.94
12,105.729829,9240,110449,153.52,210.09
13,107.965877,9325,119774,158.95,232.46
14,117.531191,8700,128474,163.10,250.68
15,102.337692,9198,137672,166.75,216.37
16,110.340917,9592,147264,171.21,236.07
17,118.535457,8458,155722,173.98,251.36
18,107.061256,8852,164574,177.04,273.90
19,114.846963,9285,173859,180.28,293.61
20,120.248666,8143,182002,182.49,310.16
21,105.984309,9338,191340,184.46,327.53
22,113.344837,8866,200206,186.86,348.50
23,122.272238,7998,208204,188.78,369.81
24,110.059932,9280,217484,190.21,386.25
25,110.353182,9077,226561,192.32,405.73
26,114.728580,8651,235212,194.17,425.47
27,106.997389,9310,244522,195.56,446.68
28,99.812456,10119,254641,197.59,467.47
29,117.354234,8585,263226,198.82,486.87
30,107.689539,9347,272573,200.48,398.00
31,111.513454,8939,281512,201.94,413.46
32,111.447345,8713,290225,202.95,435.85
33,116.850980,8827,299052,204.01,452.74
34,108.263362,9201,308253,204.83,469.22
35,109.385361,8985,317238,206.18,488.29
36,123.789934,8203,325441,206.86,504.60
37,118.331473,8419,333860,207.56,522.77
38,104.347676,9663,343523,208.86,541.34
39,120.055584,8279,351802,209.46,557.88
40,114.240732,8682,360484,210.03,572.91
41,111.509213,9008,369492,211.24,596.69
42,111.396554,8864,378356,211.63,607.79
43,96.991263,10400,388756,212.76,625.91
44,132.280277,7311,396067,213.39,645.15
45,104.564621,9811,405878,213.66,657.20
46,114.345220,8813,414691,214.49,678.14
47,115.266861,8080,422771,215.31,700.33
48,126.492281,8432,431203,215.47,716.35
49,110.284407,8120,439323,215.48,732.87
50,144.479988,7496,446819,215.87,746.32
51,137.213054,7523,454342,215.41,758.34
52,146.117637,6749,461091,215.74,779.85
53,126.644381,7650,468741,215.63,791.46
54,152.925035,6132,474873,214.80,803.95
55,130.668101,8401,483274,215.12,819.30
56,114.496438,8471,491745,215.44,832.68
57,175.649694,5886,497631,215.63,854.29
58,112.459610,8599,506230,215.17,865.57
59,158.452363,6356,512586,215.03,892.32
60,104.930691,9798,522384,215.63,825.28
61,118.383991,7102,529486,215.83,695.74
62,118.466828,9765,539251,216.72,717.87
63,96.906273,8925,548176,216.99,724.26
64,139.082794,8049,556225,218.10,761.69
65,110.038261,9226,565451,218.14,766.12
66,123.499415,7833,573284,218.85,790.64
67,113.874681,9008,582292,219.35,806.83
68,142.579667,7010,589302,219.26,822.40
69,113.244640,8919,598221,219.84,841.01
70,97.684737,8858,607079,220.14,855.44
71,130.746598,8574,615653,220.18,869.44
72,116.626936,8643,624296,220.49,896.15
73,136.990363,7335,631631,220.94,912.01
74,104.420476,9304,640935,220.83,926.45
75,114.711434,8493,649428,221.29,949.74
76,122.791622,8586,658014,221.65,964.64
77,99.068811,9967,667981,221.64,980.77
78,140.123672,7188,675169,222.58,1010.94
79,102.122584,9776,684945,222.51,1014.97
80,101.802653,9747,694692,222.40,1033.71
81,132.005192,7594,702286,223.25,1063.16
82,102.653334,9664,711950,223.25,1068.26
83,114.728528,7529,719479,223.05,1087.10
84,113.156639,10061,729540,223.85,1116.22
85,93.926231,10781,740321,224.17,1124.06
86,140.414935,6919,747240,224.21,1143.24
87,101.057104,10182,757422,224.60,1170.12
88,101.802111,9778,767200,225.03,1175.72
89,137.212812,7232,774432,225.01,1197.51
90,104.658259,9358,783790,225.30,1217.35
91,96.658759,10665,794455,225.86,1237.51
92,140.097298,7019,801474,225.91,1257.52
93,109.848713,9331,810805,225.64,1265.25
94,125.669136,7718,818523,226.31,1296.06
95,138.392156,7216,825739,225.81,1303.17
96,161.915375,6328,832067,225.73,1319.78
97,99.616910,10053,842120,225.58,1338.44
98,108.670229,9048,851168,226.44,1360.17
99,138.148038,6145,857313,226.32,1379.57
100,133.093222,8573,865886,226.22,1381.18
101,100.407832,9922,875808,226.49,1403.80
102,118.675734,8326,884134,227.00,1423.38
103,154.902744,6633,890767,226.98,1443.04
104,94.514450,10664,901431,226.92,1446.87
105,107.587371,9177,910608,227.31,1466.58
106,105.334224,8706,919314,227.83,1498.00
107,134.624645,8129,927443,227.94,1507.12
108,132.261557,7504,934947,227.63,1513.05
109,106.426578,9488,944435,227.36,1534.99
110,115.017479,7744,952179,228.19,1569.48
111,211.377776,5043,957222,228.16,1577.29
112,127.308628,8128,965350,227.66,1580.64
113,112.610500,8902,974252,227.42,1586.90
114,140.064396,6903,981155,227.48,1608.20
115,176.767985,4646,985801,227.23,1645.43
116,157.000823,7632,993433,227.59,1648.45
117,117.551445,6411,999844,227.23,1654.50
118,504.087780,156,,,
