second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
0,45.199614,1297,1297,2.83,20.20
1,26.772844,28286,29583,43.83,119.60
2,37.789761,25628,55211,81.20,215.37
3,42.094945,23479,78690,118.24,306.03
4,39.890537,22872,101562,154.07,406.95
5,47.890425,20160,121722,182.74,495.94
6,57.383410,18842,140564,207.96,683.06
7,58.833894,15314,155878,231.18,745.78
8,67.308112,16149,172027,249.13,904.76
9,63.920553,14446,186473,264.86,904.97
10,61.152347,16136,202609,280.85,955.62
11,83.764118,11843,214452,295.69,1038.30
12,64.179066,16207,230659,309.05,1125.95
13,126.330220,7961,238620,323.68,1353.97
14,65.990392,14819,253439,335.97,1555.36
15,79.155632,10272,263711,345.70,1645.68
16,95.389113,10220,273931,354.69,1792.57
17,85.532615,12056,285987,364.45,1842.88
18,93.944825,11631,297618,373.85,1878.55
19,93.658169,11130,308748,380.44,1914.44
20,270.931315,3690,312438,384.44,2026.94
21,146.483513,6199,318637,388.16,2236.21
22,110.693351,6123,324760,388.85,2426.18
23,127.245418,9982,334742,387.55,2467.13
24,95.393531,7891,342633,387.34,2467.18
25,51.795811,10669,353302,390.64,2467.18
26,169.208484,4955,358257,392.71,2467.19
27,57.340319,6894,365151,393.14,2467.27
28,452.875950,567,365718,396.36,2467.64
29,98.173330,8852,374570,392.10,2480.68
30,59.379907,10041,384611,388.63,2480.68
31,74.962685,10303,394914,385.77,2482.47
32,139.624011,5318,400232,384.90,2497.00
33,65.319740,5322,405554,384.15,2497.00
34,79.280678,10058,415612,384.78,2521.65
35,594.720359,475,416087,384.95,2522.08
36,66.829391,6130,422217,384.64,2522.23
37,132.013971,2584,424801,383.54,2523.80
38,315.060886,951,425752,381.97,2687.16
39,894.541281,200,,,
