second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
0,92.180927,2734,2734,1.60,17.07
1,95.392966,10709,13443,33.41,56.92
2,93.983905,10243,23686,59.30,73.62
3,172.879178,5491,29177,74.07,92.61
4,401.513658,2157,31334,75.59,98.77
5,459.908176,2272,33606,75.77,87.94
6,439.984092,2115,35721,77.32,94.77
7,477.547520,1928,37649,77.27,99.09
8,516.736373,2104,39753,77.04,103.07
9,459.598706,2466,42219,77.18,108.29
10,242.681918,4448,46667,78.82,114.57
11,160.799106,6109,52776,83.71,128.54
12,213.790414,4516,57292,87.46,139.84
13,177.234365,5901,63193,91.65,153.61
14,178.091400,5588,68781,95.00,134.17
15,110.204987,9296,78077,100.18,152.66
16,101.425983,9880,87957,107.81,173.02
17,106.602540,9126,97083,113.80,196.42
18,99.455336,10075,107158,119.41,216.12
19,95.365591,10601,117759,125.01,238.13
20,105.356465,9728,127487,129.60,259.82
21,98.047793,10125,137612,134.56,226.73
22,95.902897,10482,148094,138.99,248.59
23,93.339281,10697,158791,143.44,267.88
24,108.249967,9035,167826,146.92,291.42
25,103.516028,9920,177746,149.95,311.74
26,98.107711,10257,188003,153.11,332.84
27,99.702912,10011,198014,156.22,355.97
28,95.390708,10426,208440,159.40,374.68
29,104.093898,9575,218015,162.08,391.20
30,112.706112,8896,226911,164.16,415.01
31,119.995397,8269,235180,165.70,434.37
32,115.885205,8588,243768,167.35,453.40
33,108.218900,9088,252856,169.16,474.22
34,106.904250,9472,262328,170.66,381.79
35,117.604056,8640,270968,172.10,397.34
36,116.267092,8518,279486,173.35,412.45
37,114.719498,8756,288242,174.91,435.41
38,107.318973,9282,297524,176.40,451.65
39,120.924533,8387,305911,177.36,469.89
40,97.077177,10013,315924,179.12,488.66
41,94.805502,9890,325814,181.00,508.58
42,101.915078,10631,336445,182.70,534.54
43,107.778736,9156,345601,184.46,560.50
44,100.635453,9940,355541,185.96,580.83
45,96.367843,10519,366060,187.04,592.34
46,108.745391,9260,375320,188.80,619.80
47,94.179568,9860,385180,189.64,634.08
48,109.420035,9667,394847,190.76,653.76
49,106.474436,9449,404296,192.08,680.27
50,94.401672,10396,414692,192.79,684.79
51,111.208773,9112,423804,194.35,716.55
52,88.760427,11278,435082,195.39,731.68
53,122.314517,8018,443100,196.11,752.74
54,96.070990,9734,452834,197.17,781.30
55,113.877184,9512,462346,198.00,788.33
56,97.484095,8716,471062,198.91,818.43
57,107.429035,10653,481715,199.73,823.91
58,108.482044,8740,490455,200.96,858.85
59,98.119135,10726,501181,201.44,862.38
60,105.277760,8151,509332,202.38,897.66
61,109.605372,10483,519815,202.92,760.39
62,97.087872,9388,529203,203.90,719.72
63,122.027976,8673,537876,204.58,728.74
64,219.692295,4019,541895,203.28,733.52
65,421.378466,2238,544133,201.44,741.97
66,466.492538,1950,546083,200.31,769.77
67,419.558567,2805,548888,199.47,773.34
68,418.711343,2155,551043,197.73,776.04
69,413.546291,2733,553776,196.05,778.78
70,364.602674,2489,556265,194.49,781.23
71,406.780993,2473,558738,193.25,797.96
72,430.621075,2424,561162,192.80,821.92
73,219.887153,4866,566028,191.93,825.12
74,216.481525,4537,570565,190.96,830.17
75,222.694086,4429,574994,190.06,836.70
76,255.004126,4225,579219,190.17,843.34
77,94.289333,10765,589984,190.61,848.03
78,98.459140,9415,599399,191.66,868.42
79,112.577513,9469,608868,192.36,874.46
80,91.610356,10752,619620,192.75,889.48
81,124.017571,8110,627730,193.96,914.63
82,89.941510,11192,638922,194.41,919.91
83,112.106521,8895,647817,195.50,959.80
84,91.758406,10954,658771,196.34,968.45
85,91.885224,9431,668202,196.70,985.61
86,143.931789,7632,675834,197.73,1014.49
87,111.335051,9185,685019,197.72,1019.41
88,113.448051,8842,693861,198.24,1041.50
89,118.929744,8246,702107,199.17,1067.73
90,105.121397,9678,711785,199.32,1072.86
91,138.772523,7168,718953,199.67,1087.20
92,133.185138,7466,726419,199.67,1097.21
93,104.890422,9680,736099,200.34,1119.47
94,128.863386,7295,743394,200.79,1134.86
95,112.068844,9525,752919,200.62,1138.34
96,112.407683,8847,761766,200.85,1165.63
97,110.704448,7486,769252,201.65,1189.28
98,124.550060,9282,778534,201.48,1193.02
99,117.614521,8660,787194,201.35,1200.40
100,88.752666,9563,796757,202.19,1231.06
101,111.829196,10245,807002,202.49,1250.55
102,101.989591,9425,816427,202.92,1256.89
103,141.385542,7207,823634,203.87,1293.26
104,129.330561,7910,831544,203.51,1312.15
105,95.826604,10375,841919,203.82,1320.47
