second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
0,1.902804,128,128,2.91,22.41
1,1.889799,527,655,9.41,26.51
2,1.797710,553,1208,14.19,30.33
3,1.811436,549,1757,17.81,35.53
4,1.823116,547,2304,20.96,38.00
5,1.807284,550,2854,23.36,38.51
6,1.825472,545,3399,25.47,39.17
7,1.835722,541,3940,27.34,40.88
8,1.826058,546,4486,29.04,42.02
9,1.834052,542,5028,30.39,42.96
10,1.804764,552,5580,31.73,44.17
11,1.786843,556,6136,32.83,44.34
12,1.722225,578,6714,33.88,46.43
13,1.777838,559,7273,34.84,47.87
14,1.820693,546,7819,35.79,48.74
15,1.775464,561,8380,36.59,49.44
16,1.752674,568,8948,37.32,50.35
17,1.787628,556,9504,38.01,51.30
18,1.800872,552,10056,38.78,57.56
19,1.802421,552,10608,39.56,68.26
20,1.782445,557,11165,40.02,68.32
21,1.840067,540,11705,40.54,68.32
22,1.983385,502,12207,41.02,70.33
23,1.946872,512,12719,41.46,70.81
24,2.000494,497,13216,41.89,72.01
25,1.990929,500,13716,42.28,72.26
26,1.950963,510,14226,42.63,72.26
27,1.981328,503,14729,42.94,72.26
28,1.990612,500,15229,43.30,72.26
29,1.968131,506,15735,43.59,72.26
30,1.979966,503,16238,43.88,72.54
31,1.931377,515,16753,44.15,72.54
32,1.740783,571,17324,44.33,72.81
33,1.799062,552,17876,44.57,74.29
34,1.805244,551,18427,44.79,74.29
35,1.822534,546,18973,44.97,74.37
36,1.783393,557,19530,45.17,74.37
37,1.891621,526,20056,45.78,112.31
38,1.742509,571,20627,45.93,112.31
39,1.778897,560,21187,46.08,112.39
40,1.782934,558,21745,46.20,112.65
41,1.791173,555,22300,46.32,112.65
42,1.782402,559,22859,46.46,113.01
43,1.816636,548,23407,46.59,113.01
44,1.772778,561,23968,46.71,113.01
45,1.850280,538,24506,46.91,113.01
46,1.875312,531,25037,47.03,113.01
47,1.859405,534,25571,47.20,113.01
48,1.935258,514,26085,47.36,113.09
49,1.888349,527,26612,47.51,113.09
50,1.944656,512,27124,47.68,113.09
51,1.943064,512,27636,47.80,113.09
52,2.379828,418,28054,47.87,113.11
53,2.334147,427,28481,47.94,113.11
54,2.359161,422,28903,48.05,113.11
55,1.936426,515,29418,48.15,113.11
56,1.921596,518,29936,48.40,113.19
57,1.878439,530,30466,48.90,153.60
58,1.865521,533,30999,49.02,153.60
59,1.858812,535,31534,49.11,153.60
60,1.920156,519,32053,49.17,153.60
61,2.011264,495,32548,49.22,153.60
62,1.851476,538,33086,49.26,153.60
63,1.827702,544,33630,49.26,153.60
64,1.873063,532,34162,49.31,153.60
65,1.858579,535,34697,49.34,153.60
66,1.861585,535,35232,49.36,154.28
67,1.947221,511,35743,49.38,154.99
68,1.880759,528,36271,49.37,155.76
69,1.855673,536,36807,49.38,155.93
70,1.869372,533,37340,49.42,155.93
71,1.830498,544,37884,49.44,156.02
72,1.811249,550,38434,49.49,156.10
73,1.813746,549,38983,49.52,156.10
74,1.808960,550,39533,49.53,156.10
75,1.910649,521,40054,49.56,156.10
76,1.892255,526,40580,50.07,200.63
77,1.838879,541,41121,50.10,200.63
78,1.824659,546,41667,50.13,200.63
79,1.877790,529,42196,50.13,200.63
80,1.867176,533,42729,50.13,200.63
81,1.935704,515,43244,50.16,200.63
82,2.118240,469,43713,50.16,200.63
83,2.159111,462,44175,50.18,200.63
84,2.130926,468,44643,50.21,200.63
85,2.100833,474,45117,50.24,200.66
86,2.080623,479,45596,50.28,200.74
87,2.117807,469,46065,50.30,200.74
88,2.045786,488,46553,50.28,200.74
89,2.046777,486,47039,50.32,200.74
90,2.041120,488,47527,50.35,200.74
91,2.032599,489,48016,50.36,200.74
92,1.819688,547,48563,50.36,200.74
93,1.800136,552,49115,50.37,200.82
94,1.780648,559,49674,50.40,200.90
95,2.073047,479,50153,50.42,200.90
96,1.883988,528,50681,50.93,250.30
97,1.891408,527,51208,50.92,250.30
98,1.858317,535,51743,50.91,250.30
99,1.855557,536,52279,50.92,250.30
100,1.819599,547,52826,50.92,250.30
101,1.842144,540,53366,50.91,250.30
102,1.848915,538,53904,50.91,251.38
103,1.867612,533,54437,50.91,251.88
104,1.863728,534,54971,50.91,252.56
