second,avg_latency_ms_etcd3_0,throughput_etcd3_0,cumulative_throughput_etcd3_0,avg_cpu_etcd3_0,avg_memory_mb_etcd3_0,avg_latency_ms_etcd3_1,throughput_etcd3_1,cumulative_throughput_etcd3_1,avg_cpu_etcd3_1,avg_memory_mb_etcd3_1
75,88.139376,16951,1239150,141.57,677.93,93.323716,16219,1230843,130.43,681.78
76,89.310036,16511,1255661,142.74,686.85,89.049985,16755,1247598,131.63,689.77
77,90.275527,16300,1271961,143.91,692.10,97.016482,13492,1261090,132.40,695.17
78,94.444670,15628,1287589,145.04,703.21,108.933010,15585,1276675,133.48,704.59
79,91.875813,15649,1303238,146.18,706.40,90.599549,16701,1293376,134.65,712.71
80,97.665046,15377,1318615,147.26,714.84,95.144299,15556,1308932,135.75,715.21
81,119.860969,13638,1332253,148.17,728.04,87.097860,17159,1326091,136.96,726.91
82,92.262616,15338,1347591,149.25,735.74,105.323261,13564,1339655,137.68,740.81
83,87.168474,16910,1364501,150.30,742.03,96.857683,16090,1355745,138.78,746.51
84,96.925763,16173,1380674,151.42,749.49,93.178924,16418,1372163,139.90,750.56
85,96.176355,15924,1396598,152.34,758.70,89.817542,15832,1387995,140.99,761.69
86,110.653998,13301,1409899,153.11,762.13,84.088484,15811,1403806,141.99,770.33
87,90.678717,16547,1426446,154.23,771.73,106.103525,16322,1420128,142.71,773.78
88,93.677681,15746,1442192,155.32,779.56,94.237106,15174,1435302,143.71,777.43
89,96.055104,15174,1457366,156.35,785.74,95.165776,16003,1451305,144.71,781.16
90,92.778678,16622,1473988,157.32,795.58,95.874496,16142,1467447,145.70,792.60
91,105.058101,13871,1487859,157.71,801.36,96.659433,14916,1482363,146.72,795.82
92,111.703841,14107,1501966,158.73,814.75,121.819231,12804,1495167,147.41,802.96
93,99.365989,14085,1516051,159.69,823.98,100.531520,14682,1509849,148.45,811.23
94,95.024708,16561,1532612,160.61,828.48,77.692357,16208,1526057,149.29,819.05
95,111.441527,13267,1545879,161.24,830.88,91.186722,17827,1543884,150.34,831.29
96,108.095360,14005,1559884,161.98,836.70,101.848356,15734,1559618,151.22,837.89
97,91.324685,14714,1574598,163.02,855.69,99.596220,14855,1574473,152.11,844.05
98,110.742049,14989,1589587,163.67,859.31,95.737089,15751,1590224,153.09,848.68
99,106.011395,14199,1603786,164.55,864.59,90.019722,14458,1604682,153.95,855.11
100,102.646299,13871,1617657,165.52,871.19,102.446684,15026,1619708,154.87,865.64
101,88.236591,17512,1635169,166.44,876.63,83.734786,16788,1636496,155.52,868.24
102,98.118762,15561,1650730,167.12,882.96,125.350750,13924,1650420,156.25,877.10
103,97.020430,15071,1665801,168.11,890.96,106.034243,13972,1664392,157.23,889.30
104,90.783142,16146,1681947,169.14,898.45,103.827460,14779,1679171,158.05,896.73
105,97.731182,15698,1697645,170.03,907.19,77.047198,17245,1696416,159.09,903.11
106,109.306565,14084,1711729,170.43,910.77,93.051813,15185,1711601,159.70,907.50
107,103.102017,13576,1725305,171.38,919.62,116.635153,15012,1726613,160.58,910.98
108,106.782821,14940,1740245,172.17,929.11,100.968219,14153,1740766,161.43,917.88
109,86.434307,15009,1755254,172.78,932.66,83.684567,16334,1757100,162.26,925.85
110,104.238319,14915,1770169,173.80,945.66,99.629424,17139,1774239,163.18,933.49
111,131.195663,12528,1782697,174.18,948.74,102.211593,12443,1786682,163.81,939.58
112,87.410412,14338,1797035,174.96,953.66,119.341367,14072,1800754,164.63,949.46
113,90.889876,17363,1814398,175.97,960.80,80.235376,18998,1819752,165.63,960.58
114,101.420016,16400,1830798,176.66,968.90,95.977147,15061,1834813,166.30,968.79
115,117.485497,12853,1843651,177.36,974.03,113.320282,13853,1848666,167.02,977.47
116,86.764873,16662,1860313,178.24,981.47,94.450757,14544,1863210,167.86,983.12
117,92.400007,16568,1876881,178.96,991.19,79.780676,19173,1882383,168.76,993.13
118,104.370772,13935,1890816,179.75,996.71,106.260427,14813,1897196,169.49,999.41
119,94.642777,15640,1906456,180.77,1009.83,110.414617,13915,1911111,170.29,1005.54
120,77.747613,19699,1926155,181.21,1013.77,79.264205,16806,1927917,171.26,1011.99
121,124.285250,11293,1937448,182.01,1019.15,113.772556,14312,1942229,171.75,1019.74
122,105.536588,15308,1952756,182.89,1026.09,107.958721,12360,1954589,172.42,1022.43
123,85.336143,17500,1970256,183.36,1029.39,88.064111,18414,1973003,173.15,1028.40
124,112.623943,12857,1983113,184.24,1037.83,112.945924,13687,1986690,173.84,1035.26
125,106.945580,14502,1997615,184.60,1041.29,109.190347,13868,2000558,174.57,1044.86
126,86.996635,15494,2013109,185.47,1048.87,90.793436,16284,2016842,175.24,1051.14
127,106.980921,14984,2028093,186.27,1058.68,108.536816,13270,2030112,175.88,1054.25
128,95.339212,13072,2041165,186.75,1064.79,99.487935,13236,2043348,176.60,1061.59
129,92.233393,18973,2060138,187.70,1073.35,90.075260,19228,2062576,177.50,1072.38
130,116.966271,13239,2073377,187.97,1077.73,99.250152,15410,2077986,178.09,1076.66
131,88.450136,14411,2087788,188.96,1090.86,100.565027,12381,2090367,178.61,1083.59
132,95.949918,17944,2105732,189.92,1094.75,105.319427,16510,2106877,179.29,1087.47
133,113.003499,13241,2118973,190.35,1097.29,118.861567,12367,2119244,180.03,1097.25
134,69.294166,17635,2136608,191.33,1109.59,74.510733,18762,2138006,180.74,1103.57
135,105.496909,16673,2153281,191.55,1113.96,112.157163,13281,2151287,181.36,1109.48
136,136.223549,11072,2164353,192.46,1122.94,111.485894,12101,2163388,181.93,1117.97
137,78.648706,19140,2183493,193.18,1129.96,94.702705,18024,2181412,182.55,1125.23
138,101.265724,13907,2197400,193.78,1135.13,114.375397,13822,2195234,183.36,1130.00
139,89.202325,14122,2211522,194.40,1141.31,76.206630,18316,2213550,184.10,1140.41
140,113.550776,15966,2227488,194.80,1149.33,107.041456,14898,2228448,184.81,1150.54
141,123.307172,9335,2236823,195.30,1157.48,113.861933,10516,2238964,185.21,1154.29
142,91.937376,18230,2255053,196.04,1165.69,101.445543,17739,2256703,185.95,1161.63
143,121.068562,13767,2268820,196.71,1169.32,122.943676,12299,2269002,186.58,1166.88
144,85.790309,17115,2285935,197.17,1174.53,78.373873,18956,2287958,187.33,1174.44
145,108.360459,13503,2299438,197.82,1185.05,111.529921,13132,2301090,187.93,1180.06
146,110.841419,13712,2313150,198.21,1190.54,99.590621,14786,2315876,188.45,1185.46
147,101.619709,14952,2328102,198.99,1207.52,106.030495,14434,2330310,189.07,1191.36
148,104.633601,11450,2339552,199.42,1213.28,89.615411,12894,2343204,189.84,1197.03
149,89.413424,19817,2359369,200.47,1225.29,89.471067,19536,2362740,190.43,1203.27
150,123.434291,12626,2371995,200.65,1225.80,120.928647,12457,2375197,191.04,1213.84
151,79.361325,17695,2389690,201.68,1232.51,99.455286,15531,2390728,191.47,1222.45
152,114.786205,13803,2403493,201.97,1234.41,126.067406,12092,2402820,192.04,1228.28
153,67.832498,16818,2420311,202.92,1243.29,81.614418,17546,2420366,192.66,1234.95
154,114.108796,16232,2436543,203.34,1247.19,122.778062,12881,2433247,193.20,1238.83
155,108.155792,13913,2450456,204.10,1254.64,81.321772,17455,2450702,193.86,1248.00
156,90.676312,16367,2466823,204.57,1258.92,129.107326,11170,2461872,194.26,1252.52
157,109.357704,13959,2480782,205.34,1264.54,94.186738,17219,2479091,194.94,1260.68
158,80.996052,18140,2498922,205.67,1272.17,116.085222,13154,2492245,195.52,1267.08
159,110.293805,12375,2511297,206.47,1287.25,82.876634,15251,2507496,195.92,1272.95
160,91.040377,17928,2529225,206.77,1290.04,121.113675,14373,2521869,196.60,1277.07
161,111.379324,12506,2541731,207.58,1296.09,89.359028,14057,2535926,196.79,1283.77
162,89.406874,18323,2560054,207.85,1300.27,138.905715,11722,2547648,197.34,1290.83
163,115.302075,12216,2572270,208.68,1307.54,88.849202,16808,2564456,197.92,1298.36
164,87.921706,16223,2588493,209.01,1312.41,111.390910,12992,2577448,198.40,1306.40
165,106.763336,14683,2603176,209.57,1319.06,88.301041,15580,2593028,199.04,1315.54
166,91.536973,14707,2617883,210.02,1323.71,119.399844,14385,2607413,199.46,1321.81
167,127.073114,13541,2631424,210.62,1330.53,94.402149,15000,2622413,200.09,1327.20
168,78.043226,16156,2647580,211.16,1341.73,123.142226,13271,2635684,200.56,1333.28
169,116.531429,14946,2662526,211.75,1357.21,82.005552,16533,2652217,201.30,1343.92
170,81.115663,15124,2677650,212.22,1363.98,117.809346,13772,2665989,201.69,1345.33
171,135.757969,12875,2690525,212.51,1371.31,83.233665,16418,2682407,202.27,1353.45
172,74.553786,17862,2708387,213.45,1378.49,162.578928,9740,2692147,202.55,1356.94
173,109.758057,15418,2723805,213.85,1380.59,69.122245,20024,2712171,203.14,1366.08
174,74.762052,15566,2739371,214.68,1388.22,142.213371,10551,2722722,203.66,1375.28
175,113.610940,15591,2754962,214.71,1392.37,83.809770,19419,2742141,204.29,1392.56
176,92.202848,15016,2769978,215.54,1402.00,136.748663,11102,2753243,204.80,1397.70
177,110.566977,13173,2783151,215.89,1408.11,93.824929,16105,2769348,205.28,1403.19
178,87.272633,18119,2801270,216.58,1417.17,133.100871,11339,2780687,205.81,1409.42
179,118.104252,13092,2814362,217.07,1422.97,76.300440,18778,2799465,206.30,1418.14
180,80.835336,17362,2831724,217.31,1427.72,140.828303,11298,2810763,206.87,1420.65
181,123.400046,11727,2843451,218.05,1435.49,71.084432,18832,2829595,207.33,1427.76
182,98.577985,17469,2860920,218.27,1441.38,152.407728,10233,2839828,207.85,1431.35
183,127.916246,11140,2872060,218.98,1449.88,83.023767,18533,2858361,208.42,1444.12
184,81.383422,17207,2889267,219.31,1458.47,92.251739,10386,2868747,208.82,1449.90
185,149.052087,11149,2900416,219.61,1462.41,107.639360,18414,2887161,209.40,1455.37
186,87.878696,16259,2916675,220.32,1467.51,91.944211,13581,2900742,209.71,1459.83
187,101.064130,12377,2929052,220.45,1468.70,135.234263,11317,2912059,210.11,1464.84
188,95.276630,17626,2946678,221.29,1482.53,88.613046,19654,2931713,210.69,1472.75
189,101.637097,14389,2961067,221.45,1486.33,139.685282,11281,2942994,211.15,1476.88
190,120.344252,13962,,,,78.729875,18260,2961254,211.84,1485.22
191,91.805737,15977,,,,153.250139,10132,2971386,212.06,1487.77
192,154.570280,8994,,,,77.254598,17017,2988403,212.48,1496.87
193,,,,,,106.960827,10802,,,
194,,,,,,670.704141,795,,,
