2016-04-16 16:59:00.131476 I | etcdmain: etcd Version: 2.3.0+git
2016-04-16 16:59:00.131533 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-16 16:59:00.131548 I | etcdmain: Go Version: go1.6
2016-04-16 16:59:00.131554 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-16 16:59:00.131570 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-16 16:59:00.131647 I | etcdmain: listening for peers on http://10.240.0.20:2380
2016-04-16 16:59:00.131675 I | etcdmain: listening for client requests on 10.240.0.20:2379
2016-04-16 16:59:00.137702 I | etcdserver: name = etcd-1
2016-04-16 16:59:00.137720 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-16 16:59:00.137727 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-16 16:59:00.137733 I | etcdserver: heartbeat = 100ms
2016-04-16 16:59:00.137739 I | etcdserver: election = 1000ms
2016-04-16 16:59:00.137744 I | etcdserver: snapshot count = 10000
2016-04-16 16:59:00.137754 I | etcdserver: advertise client URLs = http://10.240.0.20:2379
2016-04-16 16:59:00.137761 I | etcdserver: initial advertise peer URLs = http://10.240.0.20:2380
2016-04-16 16:59:00.137775 I | etcdserver: initial cluster = etcd-1=http://10.240.0.20:2380,etcd-2=http://10.240.0.21:2380,etcd-3=http://10.240.0.22:2380
2016-04-16 16:59:00.140319 I | etcdserver: starting member 20722e46d7802cab in cluster 4ce5e214d26bfb9e
2016-04-16 16:59:00.140375 I | raft: 20722e46d7802cab became follower at term 0
2016-04-16 16:59:00.140396 I | raft: newRaft 20722e46d7802cab [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-16 16:59:00.140404 I | raft: 20722e46d7802cab became follower at term 1
2016-04-16 16:59:00.152517 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-16 16:59:00.154499 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-16 16:59:00.154513 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-16 16:59:00.154676 N | etcdmain: serving insecure client requests on 10.240.0.20:2379, this is strongly discouraged!
2016-04-16 16:59:00.154902 N | etcdserver: added local member 20722e46d7802cab [http://10.240.0.20:2380] to cluster 4ce5e214d26bfb9e
2016-04-16 16:59:00.154991 N | etcdserver: added member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster 4ce5e214d26bfb9e
2016-04-16 16:59:00.155095 N | etcdserver: added member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster 4ce5e214d26bfb9e
2016-04-16 16:59:00.740774 I | raft: 20722e46d7802cab is starting a new election at term 1
2016-04-16 16:59:00.740901 I | raft: 20722e46d7802cab became candidate at term 2
2016-04-16 16:59:00.740913 I | raft: 20722e46d7802cab received vote from 20722e46d7802cab at term 2
2016-04-16 16:59:00.740924 I | raft: 20722e46d7802cab [logterm: 1, index: 3] sent vote request to 2087a91b2ccc6d93 at term 2
2016-04-16 16:59:00.740934 I | raft: 20722e46d7802cab [logterm: 1, index: 3] sent vote request to 21d3c625100d5241 at term 2
2016-04-16 16:59:01.158430 I | rafthttp: the connection with 2087a91b2ccc6d93 became active
