second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
29,96.947834,10327,193522,146.04,334.06,1047.199659,16,125627,102.90,609.07,39.883639,25376,782301,354.85,356.95,126.423292,12736,1006142,315.01,2051.79
30,106.590076,9135,202657,149.01,354.80,1088.771735,3,125630,100.16,609.07,35.635400,27802,810103,357.89,362.17,31.792238,36485,1042627,315.86,2052.75
31,122.403418,8222,210879,151.87,377.24,2471.172685,1,125631,97.57,609.07,36.459347,27210,837313,361.26,376.77,21.396488,47928,1090555,317.22,2052.84
32,122.829899,8240,219119,153.79,391.06,0.000000,0,125631,95.11,609.07,39.886123,24726,862039,363.42,383.60,22.082813,45287,1135842,320.01,2045.26
33,114.210588,8677,227796,155.62,407.98,0.000000,0,125631,92.78,609.07,38.841760,24643,886682,364.95,393.43,20.839327,47165,1183007,322.34,2040.94
34,113.572631,8841,236637,157.56,423.85,0.000000,0,125631,90.56,609.07,41.994163,24647,911329,366.87,401.88,24.836710,40129,1223136,323.87,2040.94
35,116.223223,8574,245211,159.47,440.29,0.000000,0,125631,88.45,609.07,43.114810,22854,934183,367.96,409.46,38.640655,21878,1245014,324.29,2047.72
36,124.593734,8027,253238,161.36,460.43,0.000000,0,125631,86.42,609.07,42.744763,23487,957670,369.20,417.86,39.602203,29134,1274148,320.69,2047.72
37,105.032998,8680,261918,163.10,482.08,0.000000,0,125631,84.50,609.07,35.039513,27035,984705,371.86,429.98,22.906565,40053,1314201,320.68,2066.37
38,112.982508,9664,271582,164.76,395.40,0.000000,0,125631,82.65,609.07,44.322223,23345,1008050,372.97,436.29,69.483923,13087,1327288,321.63,2081.91
39,116.415738,8616,280198,166.46,411.50,0.000000,0,125631,80.90,609.07,39.907778,24914,1032964,373.92,444.24,33.779400,34695,1361983,317.78,2081.91
40,114.226237,8781,288979,167.93,427.76,0.000000,0,125631,79.21,609.46,40.597765,24123,1057087,375.06,452.72,36.943390,17176,1379159,318.51,2079.60
41,110.858649,9065,298044,169.74,445.21,0.000000,0,125631,77.60,609.46,42.694820,21870,1078957,376.14,462.17,899.597577,1138,1380297,314.22,2102.29
42,100.509710,9836,307880,171.64,467.52,0.000000,0,125631,76.05,609.46,45.102721,23754,1102711,377.30,473.71,659.592598,1947,1382244,309.55,2124.98
