second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
0,34.203258,18597,18597,2.56,22.19
1,39.217274,22411,41008,55.02,110.73
2,43.323664,19772,60780,95.20,178.65
3,47.948399,20143,80923,133.46,266.81
4,48.371202,19938,100861,165.68,376.85
5,116.881637,4287,105148,192.66,424.86
6,362.689739,1605,106753,192.10,568.95
7,354.477889,1182,107935,182.60,571.08
8,453.747918,1143,109078,174.53,571.08
9,272.998507,1728,110806,166.89,571.08
10,379.151638,1253,112059,161.87,572.94
11,383.109803,1641,113700,162.89,630.75
12,448.010904,1226,114926,157.58,630.75
13,273.493091,1422,116348,152.42,630.75
14,501.568669,1194,117542,147.78,630.75
15,362.236266,1412,118954,143.66,630.75
16,434.429581,1441,120395,140.05,630.84
17,391.065647,1404,121799,136.97,631.00
18,410.034598,1145,122944,138.54,639.72
19,466.959762,730,123674,136.24,656.03
20,656.698958,315,123989,132.38,656.03
21,902.580544,367,124356,128.53,656.03
22,701.350454,379,124735,124.78,656.03
23,517.246658,238,124973,121.49,656.11
24,576.011265,102,125075,118.13,656.22
25,1395.858476,205,125280,114.87,656.22
26,1132.561349,78,125358,111.78,656.22
27,936.984817,30,125388,108.69,656.22
28,1888.039621,5,125393,105.71,656.22
29,789.133359,79,125472,102.86,656.22
30,127.594331,34,125506,100.39,656.22
31,957.946330,4,125510,97.79,656.22
32,0.000000,0,125510,95.32,656.22
33,300.669119,24,125534,93.01,656.22
34,0.000000,0,125534,90.85,658.33
35,2220.869611,1,125535,88.70,658.33
36,1969.999772,1,125536,86.68,658.33
37,0.000000,0,125536,84.78,658.33
38,0.000000,0,125536,82.93,658.33
39,0.000000,0,125536,81.15,658.33
40,0.000000,0,125536,79.47,658.33
41,0.000000,0,125536,77.84,658.33
42,0.000000,0,125536,76.31,658.33
43,0.000000,0,125536,74.80,658.33
44,0.000000,0,125536,73.38,658.36
45,0.000000,0,125536,71.99,658.36
46,0.000000,0,125536,70.68,658.36
47,0.000000,0,125536,69.40,658.36
48,0.000000,0,125536,68.19,658.36
49,0.000000,0,125536,66.98,658.36
50,0.000000,0,125536,65.84,658.36
51,0.000000,0,125536,64.74,658.36
52,0.000000,0,125536,63.67,658.36
53,0.000000,0,125536,62.63,658.36
54,0.000000,0,125536,61.63,658.36
55,0.000000,0,125536,60.68,658.36
56,0.000000,0,125536,59.73,658.36
57,0.000000,0,125536,58.83,658.36
58,0.000000,0,125536,57.95,658.96
59,0.000000,0,125536,57.10,658.96
60,95.253291,7993,133529,56.43,658.96
61,48.052612,17836,151365,60.74,660.28
62,74.518017,13940,165305,67.43,748.00
63,62.930890,15292,180597,74.17,862.19
64,75.065820,11212,191809,80.73,915.82
65,74.923691,14155,205964,87.14,989.36
66,80.495028,12060,218024,93.42,1003.04
67,99.562133,10515,228539,99.40,1035.84
68,117.570793,7462,236001,105.37,1145.96
69,130.148535,6018,242019,109.80,1315.41
70,120.192416,5149,247168,112.78,1439.82
71,354.790805,1718,248886,115.62,1543.12
72,425.049347,1718,250604,116.70,1543.12
73,325.476083,1643,252247,116.49,1568.35
74,384.348512,1179,253426,116.59,1568.43
75,404.625396,1393,254819,117.21,1568.60
76,337.039483,1085,255904,118.18,1568.60
77,470.152599,1120,257024,117.34,1568.60
78,445.292592,1404,258428,116.60,1568.60
79,511.246509,868,259296,115.89,1568.60
80,685.638887,309,259605,114.94,1568.60
