2016-04-16 16:59:44.631967 I | etcdserver: start to snapshot (applied: 51117, lastsnap: 41041)
2016-04-16 16:59:44.650843 I | etcdserver: saved snapshot at index 51117
2016-04-16 16:59:44.651093 I | etcdserver: compacted raft log at 46117
2016-04-16 16:59:44.957132 I | etcdserver: start to snapshot (applied: 61139, lastsnap: 51117)
2016-04-16 16:59:44.971419 I | etcdserver: saved snapshot at index 61139
2016-04-16 16:59:44.972193 I | etcdserver: compacted raft log at 56139
2016-04-16 16:59:45.307147 I | etcdserver: start to snapshot (applied: 71176, lastsnap: 61139)
2016-04-16 16:59:45.321694 I | etcdserver: saved snapshot at index 71176
2016-04-16 16:59:45.321974 I | etcdserver: compacted raft log at 66176
2016-04-16 16:59:45.670935 I | etcdserver: start to snapshot (applied: 81543, lastsnap: 71176)
2016-04-16 16:59:45.688503 I | etcdserver: saved snapshot at index 81543
2016-04-16 16:59:45.688710 I | etcdserver: compacted raft log at 76543
2016-04-16 16:59:46.035382 I | etcdserver: start to snapshot (applied: 91856, lastsnap: 81543)
2016-04-16 16:59:46.053011 I | etcdserver: saved snapshot at index 91856
2016-04-16 16:59:46.053229 I | etcdserver: compacted raft log at 86856
2016-04-16 16:59:46.362616 I | etcdserver: start to snapshot (applied: 102014, lastsnap: 91856)
2016-04-16 16:59:46.387092 I | etcdserver: saved snapshot at index 102014
2016-04-16 16:59:46.389688 I | etcdserver: compacted raft log at 97014
2016-04-16 16:59:46.713822 I | etcdserver: start to snapshot (applied: 112266, lastsnap: 102014)
2016-04-16 16:59:46.727834 I | etcdserver: saved snapshot at index 112266
2016-04-16 16:59:46.728135 I | etcdserver: compacted raft log at 107266
2016-04-16 16:59:47.074465 I | etcdserver: start to snapshot (applied: 122545, lastsnap: 112266)
2016-04-16 16:59:47.082622 I | etcdserver: saved snapshot at index 122545
2016-04-16 16:59:47.082844 I | etcdserver: compacted raft log at 117545
2016-04-16 16:59:47.419291 I | etcdserver: start to snapshot (applied: 132775, lastsnap: 122545)
2016-04-16 16:59:47.430571 I | etcdserver: saved snapshot at index 132775
2016-04-16 16:59:47.430831 I | etcdserver: compacted raft log at 127775
2016-04-16 16:59:47.760829 I | etcdserver: start to snapshot (applied: 143066, lastsnap: 132775)
2016-04-16 16:59:47.774666 I | etcdserver: saved snapshot at index 143066
2016-04-16 16:59:47.774925 I | etcdserver: compacted raft log at 138066
2016-04-16 16:59:48.104876 I | etcdserver: start to snapshot (applied: 153433, lastsnap: 143066)
2016-04-16 16:59:48.126647 I | etcdserver: saved snapshot at index 153433
2016-04-16 16:59:48.127271 I | etcdserver: compacted raft log at 148433
2016-04-16 16:59:48.456427 I | etcdserver: start to snapshot (applied: 163482, lastsnap: 153433)
2016-04-16 16:59:48.484824 I | etcdserver: saved snapshot at index 163482
2016-04-16 16:59:48.485045 I | etcdserver: compacted raft log at 158482
2016-04-16 16:59:48.819642 I | etcdserver: start to snapshot (applied: 173552, lastsnap: 163482)
2016-04-16 16:59:48.846847 I | etcdserver: saved snapshot at index 173552
2016-04-16 16:59:48.847198 I | etcdserver: compacted raft log at 168552
2016-04-16 16:59:49.162939 I | etcdserver: start to snapshot (applied: 183694, lastsnap: 173552)
2016-04-16 16:59:49.190609 I | etcdserver: saved snapshot at index 183694
2016-04-16 16:59:49.190906 I | etcdserver: compacted raft log at 178694
2016-04-16 16:59:49.556097 I | etcdserver: start to snapshot (applied: 193906, lastsnap: 183694)
2016-04-16 16:59:49.574772 I | etcdserver: saved snapshot at index 193906
2016-04-16 16:59:49.574983 I | etcdserver: compacted raft log at 188906
2016-04-16 16:59:49.907935 I | etcdserver: start to snapshot (applied: 204102, lastsnap: 193906)
2016-04-16 16:59:49.915844 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000031f6a.wal is created
2016-04-16 16:59:49.925338 I | etcdserver: saved snapshot at index 204102
2016-04-16 16:59:49.925606 I | etcdserver: compacted raft log at 199102
2016-04-16 16:59:50.272568 I | etcdserver: start to snapshot (applied: 214149, lastsnap: 204102)
2016-04-16 16:59:50.287886 I | etcdserver: saved snapshot at index 214149
2016-04-16 16:59:50.288101 I | etcdserver: compacted raft log at 209149
2016-04-16 16:59:50.642482 I | etcdserver: start to snapshot (applied: 224317, lastsnap: 214149)
2016-04-16 16:59:50.658618 I | etcdserver: saved snapshot at index 224317
2016-04-16 16:59:50.658822 I | etcdserver: compacted raft log at 219317
2016-04-16 16:59:51.010620 I | etcdserver: start to snapshot (applied: 234381, lastsnap: 224317)
2016-04-16 16:59:51.024075 I | etcdserver: saved snapshot at index 234381
2016-04-16 16:59:51.024488 I | etcdserver: compacted raft log at 229381
2016-04-16 16:59:51.361671 I | etcdserver: start to snapshot (applied: 244442, lastsnap: 234381)
2016-04-16 16:59:51.375245 I | etcdserver: saved snapshot at index 244442
2016-04-16 16:59:51.376245 I | etcdserver: compacted raft log at 239442
2016-04-16 16:59:51.719834 I | etcdserver: start to snapshot (applied: 254455, lastsnap: 244442)
2016-04-16 16:59:51.737543 I | etcdserver: saved snapshot at index 254455
2016-04-16 16:59:51.737833 I | etcdserver: compacted raft log at 249455
2016-04-16 16:59:52.036628 I | etcdserver: start to snapshot (applied: 264618, lastsnap: 254455)
2016-04-16 16:59:52.077368 I | etcdserver: saved snapshot at index 264618
2016-04-16 16:59:52.080023 I | etcdserver: compacted raft log at 259618
2016-04-16 16:59:52.399311 I | etcdserver: start to snapshot (applied: 274683, lastsnap: 264618)
2016-04-16 16:59:52.411253 I | etcdserver: saved snapshot at index 274683
2016-04-16 16:59:52.411481 I | etcdserver: compacted raft log at 269683
2016-04-16 16:59:52.772569 I | etcdserver: start to snapshot (applied: 284847, lastsnap: 274683)
2016-04-16 16:59:52.786999 I | etcdserver: saved snapshot at index 284847
2016-04-16 16:59:52.787431 I | etcdserver: compacted raft log at 279847
2016-04-16 16:59:53.092005 I | etcdserver: start to snapshot (applied: 295089, lastsnap: 284847)
2016-04-16 16:59:53.102026 I | etcdserver: saved snapshot at index 295089
2016-04-16 16:59:53.102229 I | etcdserver: compacted raft log at 290089
2016-04-16 16:59:53.443685 I | etcdserver: start to snapshot (applied: 305131, lastsnap: 295089)
2016-04-16 16:59:53.453652 I | etcdserver: saved snapshot at index 305131
2016-04-16 16:59:53.453908 I | etcdserver: compacted raft log at 300131
2016-04-16 16:59:53.758474 I | etcdserver: start to snapshot (applied: 315284, lastsnap: 305131)
2016-04-16 16:59:53.771740 I | etcdserver: saved snapshot at index 315284
