second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3
0,30.112199,24770,24770,2.98,20.85
1,30.540096,32284,57054,51.22,74.27
2,34.364176,28861,85915,92.44,87.53
3,36.129954,27776,113691,127.17,96.59
4,34.673587,28208,141899,154.43,107.76
5,35.572646,28073,169972,178.49,116.87
6,35.650292,27247,197219,198.72,127.06
7,36.754220,26789,224008,215.56,136.23
8,40.281333,24797,248805,230.72,145.96
9,36.561825,27071,275876,242.52,157.35
10,38.460174,25839,301715,254.63,167.22
11,38.559703,25565,327280,263.97,180.02
12,35.475044,27575,354855,273.96,189.45
13,38.630080,25353,380208,282.64,200.65
14,36.384640,27529,407737,289.97,208.59
15,36.641492,27165,434902,297.80,218.63
16,36.518480,26820,461722,304.58,230.11
17,38.352080,26236,487958,310.71,240.88
18,38.207143,25761,513719,316.04,248.63
19,36.030876,27373,541092,321.37,259.73
20,37.096169,27240,568332,326.32,269.83
21,40.853182,24373,592705,330.97,279.46
22,42.293861,22661,615366,334.63,287.68
23,42.615904,24203,639569,337.23,299.09
24,37.616818,26295,665864,339.99,306.20
25,36.701704,26306,692170,344.07,313.66
26,40.815630,23852,716022,346.83,324.26
27,41.932859,24825,740847,349.71,334.18
28,39.843262,24971,765818,351.71,341.74
29,39.053655,25158,790976,354.51,351.26
30,37.949472,25290,816266,356.66,363.67
31,41.741447,24578,840844,358.76,368.95
32,37.120166,25779,866623,361.03,377.53
33,37.504644,27149,893772,363.50,389.60
34,39.845783,24987,918759,365.48,399.87
35,41.910776,24354,943113,367.23,407.59
36,36.622967,26564,969677,368.78,414.10
37,38.993916,26005,995682,370.59,424.40
38,36.269638,26474,1022156,372.92,437.03
39,40.307215,24776,1046932,374.71,447.18
40,38.310169,25999,1072931,375.60,453.95
41,40.736303,23676,1096607,377.29,464.44
42,38.464951,27255,1123862,378.78,474.61
43,35.025769,28182,1152044,380.88,489.15
44,37.035338,25763,1177807,382.67,497.80
45,40.386492,24075,1201882,383.93,508.00
46,39.466349,24096,1225978,385.00,515.58
47,42.322504,25819,1251797,386.08,523.77
48,35.629144,27550,1279347,387.46,533.88
49,37.106119,26466,1305813,388.55,544.74
50,36.209492,25732,1331545,390.07,553.19
51,44.797887,23926,1355471,390.60,561.06
52,36.609622,25710,1381181,391.73,571.93
53,38.055268,25926,1407107,392.52,582.84
54,44.142050,23710,1430817,392.95,589.41
55,38.081620,26161,1456978,394.32,597.94
56,38.134405,22964,1479942,395.29,607.05
57,47.093526,23526,1503468,395.86,614.42
58,45.020051,22008,1525476,396.00,627.23
59,42.005185,22839,1548315,396.64,634.59
60,44.310754,21858,1570173,396.53,641.84
61,38.400657,26936,1597109,397.45,650.20
62,49.292541,20644,1617753,397.45,662.06
63,33.012521,29604,1647357,398.39,667.12
64,41.672827,23628,1670985,399.16,674.78
65,36.386479,25235,1696220,400.08,686.88
66,43.459736,24771,1720991,400.76,699.99
67,38.634494,24923,1745914,400.93,704.93
68,42.201021,24922,1770836,401.67,721.61
69,35.163084,26316,1797152,402.35,727.58
70,41.836243,25221,1822373,403.54,736.27
71,35.750763,27300,1849673,403.78,744.24
72,44.573788,23005,1872678,404.62,751.42
73,32.630704,28841,1901519,405.40,764.44
74,44.465837,23425,1924944,406.21,771.55
75,36.390900,27205,1952149,406.90,780.18
76,37.181462,26219,1978368,407.22,787.56
77,46.845111,21632,,,
