second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
0,49.309309,71,71,2.72,19.98
1,36.329976,25374,25445,53.83,103.35
2,38.797152,23200,48645,98.64,188.72
3,48.595030,18498,67143,131.94,263.74
4,51.780164,17103,84246,162.09,354.38
5,50.527088,17727,101973,188.17,405.97
6,227.184655,2470,104443,192.00,517.89
7,340.750966,2152,106595,184.49,517.89
8,411.943914,1720,108315,177.15,517.89
9,317.312217,1309,109624,170.98,517.89
10,404.634745,1663,111287,165.24,517.89
11,402.856416,1096,112383,161.65,544.56
12,445.023947,1587,113970,160.63,571.38
13,389.860515,1623,115593,155.97,601.32
14,300.473531,1244,116837,150.98,601.32
15,408.148818,1142,117979,146.22,601.32
16,463.871845,1472,119451,142.08,601.32
17,459.294968,1067,120518,138.36,601.32
18,389.607519,966,121484,135.67,601.67
19,961.599641,285,121769,134.47,610.57
20,498.116717,324,122093,133.96,635.61
21,772.857647,147,122240,129.86,635.61
22,937.328040,40,122280,125.89,635.61
23,884.499079,67,122347,121.98,635.61
24,849.737699,113,122460,118.29,635.61
25,152.205587,76,122536,114.83,635.61
26,230.168719,29,122565,111.61,635.61
27,925.019623,29,122594,108.41,635.61
28,1594.004626,8,122602,105.39,635.61
29,305.101505,30,122632,102.45,635.61
30,90.252846,27,122659,99.78,635.61
31,183.473822,7,122666,97.23,635.61
32,2144.420302,1,122667,94.74,635.61
33,0.000000,0,122667,92.37,635.61
34,2660.649781,1,122668,90.10,635.61
35,0.000000,0,122668,87.96,635.61
36,0.000000,0,122668,85.91,635.61
37,3958.126942,1,122669,83.96,635.61
38,0.000000,0,122669,82.08,635.61
39,0.000000,0,122669,80.30,635.61
40,0.000000,0,122669,78.60,635.61
41,0.000000,0,122669,76.96,635.61
42,0.000000,0,122669,75.38,635.61
43,0.000000,0,122669,73.88,635.61
44,0.000000,0,122669,72.44,636.80
45,0.000000,0,122669,71.06,636.80
46,0.000000,0,122669,69.71,636.80
47,0.000000,0,122669,68.42,636.80
48,0.000000,0,122669,67.20,636.80
49,0.000000,0,122669,66.01,636.80
50,0.000000,0,122669,64.84,636.80
51,0.000000,0,122669,63.75,637.81
52,0.000000,0,122669,62.68,637.81
53,0.000000,0,122669,61.64,637.81
54,0.000000,0,122669,60.64,639.23
55,0.000000,0,122669,59.67,639.23
56,0.000000,0,122669,58.74,639.23
57,0.000000,0,122669,57.83,639.23
58,0.000000,0,122669,56.94,639.23
59,0.000000,0,122669,56.10,639.23
60,0.000000,0,122669,55.27,639.23
61,62.521921,13000,135669,54.51,640.66
62,50.577764,15923,151592,58.14,641.09
63,71.442762,14814,166406,64.22,704.99
64,63.956369,14595,181001,71.18,793.11
65,76.261080,12642,193643,77.86,869.49
66,88.474666,12226,205869,84.36,900.00
67,62.713619,14864,220733,90.79,987.46
68,72.033474,12226,232959,96.98,1050.23
69,155.989418,6128,239087,103.37,1178.16
70,319.295925,1261,240348,108.44,1413.60
71,367.139666,1793,242141,111.23,1504.01
72,342.688523,1732,243873,111.81,1585.31
73,317.860955,1604,245477,112.07,1586.72
