second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
87,,,,,,0.000000,0,961629,125.91,2186.39
88,,,,,,0.000000,0,961629,124.70,2189.21
89,,,,,,0.000000,0,961629,123.47,2189.21
90,,,,,,0.000000,0,961629,122.55,2187.16
91,,,,,,0.000000,0,961629,121.69,2186.14
92,,,,,,0.000000,0,961629,120.62,2185.11
93,,,,,,0.000000,0,961629,119.45,2187.69
94,,,,,,0.000000,0,961629,118.32,2190.77
95,,,,,,154.958168,9529,971158,117.31,2191.27
96,,,,,,11.808190,18233,,,
