2016-04-25 12:34:59.289970 I | etcdmain: etcd Version: 2.3.0+git
2016-04-25 12:34:59.290043 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-25 12:34:59.290049 I | etcdmain: Go Version: devel +093ac15 Mon Apr 25 06:00:15 2016 +0000
2016-04-25 12:34:59.290055 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-25 12:34:59.290060 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-25 12:34:59.290120 I | etcdmain: listening for peers on http://10.240.0.21:2380
2016-04-25 12:34:59.290149 I | etcdmain: listening for client requests on 10.240.0.21:2379
2016-04-25 12:34:59.295456 I | etcdserver: name = etcd-1
2016-04-25 12:34:59.295484 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-25 12:34:59.295494 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-25 12:34:59.295503 I | etcdserver: heartbeat = 100ms
2016-04-25 12:34:59.295513 I | etcdserver: election = 1000ms
2016-04-25 12:34:59.295522 I | etcdserver: snapshot count = 10000
2016-04-25 12:34:59.295594 I | etcdserver: advertise client URLs = http://10.240.0.21:2379
2016-04-25 12:34:59.295607 I | etcdserver: initial advertise peer URLs = http://10.240.0.21:2380
2016-04-25 12:34:59.295631 I | etcdserver: initial cluster = etcd-1=http://10.240.0.21:2380,etcd-2=http://10.240.0.22:2380,etcd-3=http://10.240.0.23:2380
2016-04-25 12:34:59.298138 I | etcdserver: starting member 2087a91b2ccc6d93 in cluster e05fb31d21672c21
2016-04-25 12:34:59.298204 I | raft: 2087a91b2ccc6d93 became follower at term 0
2016-04-25 12:34:59.298219 I | raft: newRaft 2087a91b2ccc6d93 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-25 12:34:59.298226 I | raft: 2087a91b2ccc6d93 became follower at term 1
2016-04-25 12:34:59.298355 I | etcdserver: no compression enabled
2016-04-25 12:34:59.311566 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-25 12:34:59.312735 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-25 12:34:59.312755 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-25 12:34:59.312797 N | etcdserver: added local member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster e05fb31d21672c21
2016-04-25 12:34:59.312839 N | etcdmain: serving insecure client requests on 10.240.0.21:2379, this is strongly discouraged!
2016-04-25 12:34:59.312887 N | etcdserver: added member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster e05fb31d21672c21
2016-04-25 12:34:59.312950 N | etcdserver: added member 3e07e8086be420d2 [http://10.240.0.23:2380] to cluster e05fb31d21672c21
2016-04-25 12:35:00.198534 I | raft: 2087a91b2ccc6d93 is starting a new election at term 1
2016-04-25 12:35:00.198603 I | raft: 2087a91b2ccc6d93 became candidate at term 2
2016-04-25 12:35:00.198617 I | raft: 2087a91b2ccc6d93 received vote from 2087a91b2ccc6d93 at term 2
2016-04-25 12:35:00.198633 I | raft: 2087a91b2ccc6d93 [logterm: 1, index: 3] sent vote request to 21d3c625100d5241 at term 2
2016-04-25 12:35:00.198649 I | raft: 2087a91b2ccc6d93 [logterm: 1, index: 3] sent vote request to 3e07e8086be420d2 at term 2
2016-04-25 12:35:00.311073 I | rafthttp: the connection with 21d3c625100d5241 became active
