2016-04-25 13:33:17.519488 I | etcdserver: compacted raft log at 65007
2016-04-25 13:33:38.801461 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000004e22.snap successfully
2016-04-25 13:33:39.542812 I | etcdserver: start to snapshot (applied: 80008, lastsnap: 70007)
2016-04-25 13:33:39.546932 I | etcdserver: saved snapshot at index 80008
2016-04-25 13:33:39.547094 I | etcdserver: compacted raft log at 75008
2016-04-25 13:33:59.567750 I | etcdserver: start to snapshot (applied: 90009, lastsnap: 80008)
2016-04-25 13:33:59.572567 I | etcdserver: saved snapshot at index 90009
2016-04-25 13:33:59.572810 I | etcdserver: compacted raft log at 85009
2016-04-25 13:34:08.801840 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000007533.snap successfully
2016-04-25 13:34:08.801896 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000009c44.snap successfully
2016-04-25 13:34:19.994708 I | etcdserver: start to snapshot (applied: 100010, lastsnap: 90009)
2016-04-25 13:34:20.004132 I | etcdserver: saved snapshot at index 100010
2016-04-25 13:34:20.004418 I | etcdserver: compacted raft log at 95010
2016-04-25 13:34:38.802158 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000c355.snap successfully
2016-04-25 13:34:43.437892 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-000000000001ad5d.wal is created
2016-04-25 13:34:43.659049 I | etcdserver: start to snapshot (applied: 110011, lastsnap: 100010)
2016-04-25 13:34:43.663835 I | etcdserver: saved snapshot at index 110011
2016-04-25 13:34:43.664096 I | etcdserver: compacted raft log at 105011
2016-04-25 13:35:06.561375 I | etcdserver: start to snapshot (applied: 120012, lastsnap: 110011)
2016-04-25 13:35:06.569004 I | etcdserver: saved snapshot at index 120012
2016-04-25 13:35:06.569143 I | etcdserver: compacted raft log at 115012
2016-04-25 13:35:08.802455 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000ea66.snap successfully
2016-04-25 13:35:08.802529 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000011177.snap successfully
2016-04-25 13:35:28.763048 I | etcdserver: start to snapshot (applied: 130013, lastsnap: 120012)
2016-04-25 13:35:28.766776 I | etcdserver: saved snapshot at index 130013
2016-04-25 13:35:28.766934 I | etcdserver: compacted raft log at 125013
2016-04-25 13:35:38.802767 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000013888.snap successfully
2016-04-25 13:35:53.633320 I | etcdserver: start to snapshot (applied: 140014, lastsnap: 130013)
2016-04-25 13:35:53.638091 I | etcdserver: saved snapshot at index 140014
2016-04-25 13:35:53.638374 I | etcdserver: compacted raft log at 135014
2016-04-25 13:36:08.803068 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000015f99.snap successfully
2016-04-25 13:36:16.747357 I | etcdserver: start to snapshot (applied: 150015, lastsnap: 140014)
2016-04-25 13:36:16.765853 I | etcdserver: saved snapshot at index 150015
2016-04-25 13:36:16.766024 I | etcdserver: compacted raft log at 145015
2016-04-25 13:36:38.803372 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000186aa.snap successfully
2016-04-25 13:36:40.706269 I | etcdserver: start to snapshot (applied: 160016, lastsnap: 150015)
2016-04-25 13:36:40.710449 I | etcdserver: saved snapshot at index 160016
2016-04-25 13:36:40.710635 I | etcdserver: compacted raft log at 155016
2016-04-25 13:36:51.943339 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-0000000000028402.wal is created
2016-04-25 13:37:02.697757 I | etcdserver: start to snapshot (applied: 170017, lastsnap: 160016)
2016-04-25 13:37:02.702418 I | etcdserver: saved snapshot at index 170017
2016-04-25 13:37:02.702595 I | etcdserver: compacted raft log at 165017
2016-04-25 13:37:08.803648 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001adbb.snap successfully
2016-04-25 13:37:08.803699 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001d4cc.snap successfully
2016-04-25 13:37:23.984383 I | etcdserver: start to snapshot (applied: 180018, lastsnap: 170017)
2016-04-25 13:37:23.988847 I | etcdserver: saved snapshot at index 180018
2016-04-25 13:37:23.989000 I | etcdserver: compacted raft log at 175018
2016-04-25 13:37:38.803977 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000001fbdd.snap successfully
2016-04-25 13:37:47.222970 I | etcdserver: start to snapshot (applied: 190019, lastsnap: 180018)
2016-04-25 13:37:47.227951 I | etcdserver: saved snapshot at index 190019
2016-04-25 13:37:47.228189 I | etcdserver: compacted raft log at 185019
2016-04-25 13:38:08.027941 I | etcdserver: start to snapshot (applied: 200020, lastsnap: 190019)
2016-04-25 13:38:08.031869 I | etcdserver: saved snapshot at index 200020
2016-04-25 13:38:08.032019 I | etcdserver: compacted raft log at 195020
2016-04-25 13:38:08.804232 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000222ee.snap successfully
2016-04-25 13:38:08.804290 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000249ff.snap successfully
