second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy
0,30.470980,4419,4419,2.32,23.49,184.300547,4989,4989,4.54,58.88
1,31.468595,31473,35892,46.32,104.08,166.608938,5970,10959,8.93,72.62
2,32.289853,30919,66811,84.51,122.60,167.388570,6078,17037,13.15,78.06
3,37.253926,26646,93457,116.32,131.30,166.302682,5993,23030,17.16,93.84
4,37.120849,26791,120248,142.52,139.45,166.478877,5857,28887,20.74,94.84
5,39.919563,24697,144945,165.50,153.31,166.354768,6020,34907,24.29,97.60
6,39.733277,25230,170175,184.18,167.07,166.623628,6028,40935,27.48,98.70
7,40.863012,24734,194909,200.59,174.05,166.649526,5990,46925,30.57,104.95
8,39.054035,24734,219643,214.96,184.34,167.042029,6018,52943,33.46,107.91
9,41.152708,24700,244343,227.61,194.39,166.979747,6001,58944,36.14,109.16
10,39.381047,24837,269180,239.38,206.43,166.503798,5958,64902,38.65,113.17
11,42.507257,23951,293131,248.24,217.39,167.337991,6003,70905,41.17,114.02
12,42.208429,23328,316459,256.70,227.01,167.659485,5967,76872,43.65,118.80
13,38.738394,25690,342149,265.18,240.17,167.032618,6040,82912,45.88,121.10
14,39.906051,25295,367444,273.41,253.16,166.587369,5931,88843,47.98,122.27
15,39.245855,25051,392495,281.10,255.80,166.937621,6046,94889,50.00,129.52
16,41.496580,23840,416335,286.36,268.85,166.551430,5940,100829,51.89,130.30
17,43.082748,23587,439922,291.64,280.74,167.785348,5995,106824,53.71,135.58
18,44.185298,22469,462391,296.13,289.67,167.363005,5927,112751,55.48,136.80
19,43.571109,22329,484720,299.91,303.01,166.834663,6039,118790,57.23,139.52
20,43.659672,23348,508068,303.80,313.03,167.916717,6027,124817,58.76,143.94
21,44.767060,22428,530496,307.24,324.94,167.365171,5863,130680,60.28,144.94
22,45.989590,21543,552039,310.60,334.08,167.939506,6057,136737,61.85,150.89
23,41.671304,22985,575024,313.76,342.54,167.448875,5927,142664,63.16,151.75
24,39.996021,25919,600943,317.67,352.06,167.573983,5893,148557,64.57,155.48
25,42.758902,23086,624029,320.27,362.34,168.062684,5991,154548,65.90,158.65
26,40.247777,24010,648039,323.53,374.96,167.847134,5935,160483,67.24,159.61
27,41.205923,24944,672983,326.81,387.70,169.174513,5894,166377,68.40,162.93
28,41.505795,24065,697048,329.56,399.57,168.167305,5917,172294,69.64,166.75
29,40.901164,24208,721256,332.47,413.21,169.002287,5904,178198,70.83,168.32
30,41.678303,23037,744293,334.98,421.33,168.647945,6008,184206,71.99,171.81
31,41.933360,24313,768606,337.77,429.16,169.156265,5911,190117,73.03,173.73
32,41.390011,23668,792274,339.94,442.44,169.244055,5902,196019,74.08,181.23
33,41.168536,24593,816867,342.23,450.62,168.558961,5947,201966,75.05,181.70
34,59.926620,15181,832048,340.82,465.33,168.624990,5914,207880,76.07,184.68
35,90.652376,11159,843207,338.70,473.50,168.037774,5920,213800,76.88,187.01
36,81.427515,12690,855897,335.58,476.30,167.629820,5861,219661,77.89,192.11
37,81.903400,11407,867304,332.44,476.53,167.366621,6033,225694,78.75,194.99
38,86.526507,11854,879158,329.95,481.98,169.445189,5933,231627,79.49,196.81
39,87.410103,12383,891541,328.51,484.52,168.670981,6072,237699,80.31,201.31
40,80.402200,11454,902995,327.04,486.65,171.613989,5618,243317,81.04,203.44
41,91.000582,11673,914668,324.26,491.05,169.743586,5909,249226,81.85,208.33
42,86.738117,10979,925647,321.66,494.71,170.147436,5960,255186,82.61,211.13
43,92.629969,10942,936589,319.41,501.13,168.696790,5914,261100,83.30,212.13
44,88.840793,11765,948354,317.42,507.96,172.467230,5586,266686,84.06,216.36
45,91.360236,11204,959558,315.55,509.39,170.818001,5919,272605,84.72,220.65
46,83.735832,10697,970255,313.42,510.88,170.762204,5958,278563,85.31,224.33
47,91.238429,11978,982233,310.68,516.97,168.774400,5956,284519,86.09,226.07
48,87.904541,10535,992768,308.20,523.31,172.395570,5878,290397,86.71,227.21
49,87.021680,7232,,,,171.488946,5641,296038,87.23,232.06
50,,,,,,169.193914,5994,302032,87.97,233.68
51,,,,,,169.893536,5827,307859,88.59,237.07
52,,,,,,168.923320,5951,313810,89.12,237.59
53,,,,,,168.844260,5946,319756,89.74,242.74
54,,,,,,169.507212,5924,325680,90.28,247.03
55,,,,,,168.259380,5987,331667,90.80,248.25
56,,,,,,169.407129,5757,337424,91.39,252.69
57,,,,,,169.261795,5940,343364,91.83,254.15
58,,,,,,170.394467,5998,349362,92.37,260.00
59,,,,,,171.255625,5816,355178,92.74,261.00
60,,,,,,169.428511,5776,360954,93.17,265.04
61,,,,,,168.449713,6063,367017,93.65,266.61
62,,,,,,171.295505,5680,372697,94.09,266.72
63,,,,,,170.766764,5794,378491,94.50,272.96
64,,,,,,171.046740,5938,384429,94.92,275.60
65,,,,,,172.450602,5799,390228,95.29,280.64
66,,,,,,169.609437,6029,396257,95.72,284.44
67,,,,,,170.387146,5763,402020,96.13,285.97
68,,,,,,167.737574,5787,407807,96.45,286.72
69,,,,,,172.615506,5804,413611,96.95,288.99
70,,,,,,167.974403,6104,419715,97.26,294.05
71,,,,,,168.559537,5945,425660,97.62,296.30
72,,,,,,170.531910,5998,431658,98.06,299.18
73,,,,,,168.951840,5681,437339,98.44,305.26
74,,,,,,168.956175,6032,443371,98.69,306.35
75,,,,,,167.641298,5911,449282,99.00,312.86
76,,,,,,169.778991,5986,455268,99.39,313.72
77,,,,,,168.516694,5910,461178,99.79,317.00
78,,,,,,171.443180,5624,466802,100.02,320.12
79,,,,,,169.799777,6037,472839,100.40,320.93
80,,,,,,171.797080,5862,478701,100.66,323.97
81,,,,,,170.690143,5775,484476,100.91,326.10
82,,,,,,172.963390,5621,490097,101.13,327.23
83,,,,,,172.903062,5990,496087,101.48,331.45
84,,,,,,169.713040,5745,501832,101.72,334.23
85,,,,,,169.971700,5993,507825,102.03,339.74
86,,,,,,171.456900,5790,513615,102.31,342.46
87,,,,,,171.659383,5947,519562,102.71,345.64
88,,,,,,171.132555,5721,525283,102.97,348.73
89,,,,,,171.519775,5992,531275,103.25,350.27
90,,,,,,171.053262,5611,536886,103.49,354.39
91,,,,,,170.705107,6006,542892,103.78,354.91
92,,,,,,170.114896,5884,548776,104.04,358.73
93,,,,,,170.983555,5916,554692,104.30,360.19
94,,,,,,169.188731,5837,560529,104.56,365.23
95,,,,,,169.122070,5783,566312,104.80,368.75
96,,,,,,171.434242,5872,572184,104.99,374.82
97,,,,,,170.099600,5857,578041,105.21,375.31
98,,,,,,171.643375,5888,583929,105.45,375.31
99,,,,,,170.548380,5842,589771,105.68,382.34
100,,,,,,169.725285,5951,595722,105.91,382.85
101,,,,,,176.240147,5567,601289,106.11,389.68
102,,,,,,176.069372,5744,607033,106.31,392.33
103,,,,,,171.966658,5858,612891,106.57,392.33
104,,,,,,170.779987,5705,618596,106.82,400.09
105,,,,,,173.636645,5677,624273,107.07,400.86
106,,,,,,173.591111,5804,630077,107.18,401.79
107,,,,,,170.313512,6028,636105,107.31,404.47
108,,,,,,172.129951,5796,641901,107.53,412.37
109,,,,,,171.291674,5573,647474,107.78,414.31
110,,,,,,171.307389,6075,653549,107.90,415.03
111,,,,,,172.542761,5817,659366,108.11,418.81
112,,,,,,171.557671,5860,665226,108.31,419.69
113,,,,,,168.029128,5867,671093,108.47,422.42
114,,,,,,170.268895,5986,677079,108.56,422.68
115,,,,,,172.473411,5758,682837,108.58,422.93
116,,,,,,170.527572,5846,688683,108.76,431.64
117,,,,,,169.189649,5664,694347,108.94,434.89
118,,,,,,173.096259,6014,700361,109.16,435.63
119,,,,,,168.698367,6051,706412,109.28,436.14
120,,,,,,171.600765,5668,712080,109.31,439.40
121,,,,,,173.628683,5625,717705,109.48,443.41
122,,,,,,172.417999,6051,723756,109.69,446.69
123,,,,,,169.894891,5840,729596,109.86,447.43
124,,,,,,169.655861,5939,735535,110.05,455.99
125,,,,,,171.959208,5665,741200,109.96,455.99
126,,,,,,170.221429,5836,747036,110.19,461.30
127,,,,,,171.884981,5781,752817,110.39,462.00
128,,,,,,167.118996,6046,758863,110.63,462.11
129,,,,,,176.017415,5746,764609,110.66,470.91
130,,,,,,171.577388,5911,770520,110.72,472.76
131,,,,,,174.889201,5588,776108,110.92,476.04
132,,,,,,167.661901,5558,781666,111.15,477.58
133,,,,,,170.411536,6079,787745,111.20,478.32
134,,,,,,178.388605,5612,793357,111.24,478.81
135,,,,,,172.575725,6068,799425,111.41,480.15
136,,,,,,170.100878,5749,805174,111.63,490.37
137,,,,,,168.914434,5946,811120,111.65,491.24
138,,,,,,172.893576,5718,816838,111.76,493.38
139,,,,,,168.784673,5741,822579,111.95,494.42
140,,,,,,170.358736,6002,828581,112.05,494.64
141,,,,,,179.153688,5657,834238,112.17,500.92
142,,,,,,173.938970,5621,839859,112.25,501.28
143,,,,,,172.945041,5998,845857,112.35,507.85
144,,,,,,172.138640,5866,851723,112.41,508.25
145,,,,,,179.473750,5383,857106,112.52,516.49
146,,,,,,172.450842,6057,863163,112.59,518.46
147,,,,,,170.635355,5814,868977,112.68,519.18
148,,,,,,175.827794,5681,874658,112.86,526.37
149,,,,,,174.609668,5545,880203,112.98,527.97
150,,,,,,171.599782,5781,885984,113.03,528.40
151,,,,,,174.008421,5714,891698,113.27,529.03
152,,,,,,172.895592,5729,897427,113.25,535.07
153,,,,,,172.221081,5901,903328,113.34,535.85
154,,,,,,171.185969,5841,909169,113.54,538.35
155,,,,,,173.523968,5794,914963,113.55,541.38
156,,,,,,168.782011,5778,920741,113.61,546.91
157,,,,,,176.373829,5859,926600,113.82,549.70
158,,,,,,180.490482,5390,931990,113.76,551.42
159,,,,,,171.565311,6058,938048,113.92,558.90
160,,,,,,175.056002,5549,943597,113.98,560.00
161,,,,,,178.204927,5606,949203,114.01,560.00
162,,,,,,168.217900,5853,955056,114.22,562.22
163,,,,,,180.230852,5717,960773,114.24,563.64
164,,,,,,170.663589,5629,966402,114.33,567.10
165,,,,,,180.260113,5694,972096,114.47,572.32
166,,,,,,175.583921,5430,977526,114.50,573.37
167,,,,,,172.322530,6043,983569,114.70,575.19
168,,,,,,179.039446,5545,989114,114.74,576.40
169,,,,,,173.777137,5862,994976,114.80,577.67
170,,,,,,171.921214,5024,,,
