second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy
0,2.112483,117,117,2.72,24.66,2.273688,153,153,2.63,20.75
1,2.137505,466,583,8.45,32.41,2.364671,421,574,8.05,29.54
2,2.121860,470,1053,12.93,36.88,2.294449,434,1008,12.35,34.09
3,2.040390,488,1541,16.62,40.58,1.974252,504,1512,15.86,37.48
4,2.061590,483,2024,19.56,45.34,1.977139,504,2016,18.85,38.79
5,2.112177,472,2496,22.06,47.17,1.931693,516,2532,21.35,41.49
6,2.110537,472,2968,24.11,48.95,1.954220,510,3042,23.60,44.14
7,2.035249,488,3456,25.71,52.47,1.922426,518,3560,25.33,45.20
8,2.156919,462,3918,27.24,53.86,1.976644,504,4064,26.91,47.52
9,2.150534,462,4380,28.56,56.47,1.946012,512,4576,28.27,50.25
10,2.141996,466,4846,29.70,58.14,2.001917,498,5074,29.42,54.21
11,2.129246,467,5313,30.77,60.53,2.070560,481,5555,30.44,56.76
12,2.112407,472,5785,31.71,61.60,1.999430,498,6053,31.35,59.48
13,2.196919,454,6239,32.58,63.95,1.994900,499,6552,32.14,62.40
14,2.081259,479,6718,33.30,64.86,2.005399,497,7049,32.78,62.88
15,2.162110,460,7178,33.94,66.74,2.062653,483,7532,33.52,67.92
16,2.259964,441,7619,34.62,68.49,2.063380,483,8015,34.10,69.47
17,2.278406,438,8057,35.17,70.47,2.034342,490,8505,34.68,72.33
18,2.179926,457,8514,35.75,72.46,2.059209,484,8989,35.18,72.41
19,2.221607,449,8963,36.15,73.06,1.970888,505,9494,35.78,75.91
20,2.173254,458,9421,36.65,76.13,1.995559,499,9993,36.25,77.90
21,2.199908,453,9874,36.97,76.41,1.962979,508,10501,36.69,79.88
22,2.115733,471,10345,37.37,79.94,1.926102,517,11018,37.15,81.95
23,2.123600,469,10814,37.69,81.23,1.932598,516,11534,37.53,82.27
24,2.130308,468,11282,38.02,81.75,1.985613,499,12033,37.87,82.77
25,2.178801,458,11740,38.34,81.93,1.991703,501,12534,38.20,82.89
26,2.170993,458,12198,38.63,82.17,2.028753,490,13024,38.53,83.35
27,2.303077,433,12631,38.94,82.55,1.985136,501,13525,38.79,83.61
28,2.155601,462,13093,39.25,83.52,2.002097,496,14021,39.08,83.90
29,2.198205,453,13546,39.55,83.59,2.039832,488,14509,39.27,83.90
30,2.235874,446,13992,39.84,83.59,2.044234,487,14996,39.52,86.37
31,2.250164,443,14435,40.08,83.59,2.071977,480,15476,39.71,87.11
32,2.210062,451,14886,40.36,85.08,2.026065,491,15967,39.85,87.11
33,2.285361,436,15322,40.54,85.08,1.986132,502,16469,40.07,90.83
34,2.141278,465,15787,40.78,87.56,2.042266,487,16956,40.23,91.88
35,2.159821,461,16248,40.96,89.13,1.948256,511,17467,40.47,96.00
36,2.099311,474,16722,41.14,90.98,2.035803,489,17956,40.64,96.80
37,1.934961,514,17236,41.37,93.37,1.998290,499,18455,40.80,97.24
38,1.906974,523,17759,41.59,95.84,2.149174,462,18917,41.06,101.32
39,1.884023,528,18287,41.81,96.89,2.115902,471,19388,41.25,103.20
40,2.138088,466,18753,42.04,99.62,2.164538,461,19849,41.39,103.44
41,2.247663,444,19197,42.17,99.88,2.139274,466,20315,41.57,107.07
42,2.200105,452,19649,42.30,101.21,2.110773,472,20787,41.74,107.80
43,2.230310,448,20097,42.49,105.12,2.159760,461,21248,41.88,107.80
44,2.133040,467,20564,42.62,105.53,2.088986,477,21725,42.08,107.80
45,2.177799,458,21022,42.76,107.10,2.121779,469,22194,42.24,107.92
46,2.177381,458,21480,42.94,108.56,2.166210,459,22653,42.40,107.92
47,2.187152,455,21935,43.09,108.80,2.357267,422,23075,42.54,108.50
48,2.398803,415,22350,43.24,109.08,2.160040,461,23536,42.66,108.68
49,2.541729,394,22744,43.40,109.08,2.065076,482,24018,42.86,109.00
50,2.421740,412,23156,43.48,109.74,2.108784,473,24491,43.00,109.67
51,2.399947,416,23572,43.59,109.93,2.130240,467,24958,43.17,109.67
52,2.487536,401,23973,43.63,109.93,2.161062,461,25419,43.29,109.92
53,2.415054,413,24386,43.73,109.93,2.439800,408,25827,43.42,110.19
54,2.552043,391,24777,43.81,109.93,2.501031,398,26225,43.51,110.38
55,2.381698,419,25196,43.88,109.93,2.603397,383,26608,43.67,110.75
56,2.515299,397,25593,43.94,110.14,2.507531,397,27005,43.76,110.75
57,2.513487,397,25990,43.99,110.34,2.439194,408,27413,43.84,112.12
58,2.197083,454,26444,44.06,110.34,2.333641,426,27839,43.90,112.12
59,2.023975,491,26935,44.12,110.94,2.386278,417,28256,43.93,113.33
60,2.006960,497,27432,44.22,112.41,2.412787,412,28668,43.95,113.50
61,1.941841,512,27944,44.32,112.90,2.421220,412,29080,43.97,114.52
62,2.000930,497,28441,44.39,113.24,2.267027,440,29520,44.07,116.74
63,1.920611,518,28959,44.46,115.58,1.983683,502,30022,44.13,118.86
64,1.890809,526,29485,44.55,116.01,1.943326,512,30534,44.18,118.86
65,1.896998,525,30010,44.65,117.44,1.965328,507,31041,44.26,122.49
66,1.917415,519,30529,44.73,119.01,1.957858,508,31549,44.34,122.76
67,1.877035,530,31059,44.83,121.29,1.889799,527,32076,44.41,123.16
68,1.951068,510,31569,44.89,121.89,1.938304,513,32589,44.46,123.39
69,1.969175,506,32075,44.98,122.76,2.002956,498,33087,44.52,123.57
70,1.945143,512,32587,45.05,123.22,2.005660,497,33584,44.60,123.57
71,1.975607,504,33091,45.13,123.68,2.023600,493,34077,44.64,123.57
72,2.001931,497,33588,45.21,124.09,1.976882,503,34580,44.71,123.79
73,2.009174,496,34084,45.26,124.45,2.025348,492,35072,44.75,123.79
74,2.087312,477,34561,45.36,125.07,1.964025,507,35579,44.78,123.79
75,2.015289,494,35055,45.41,125.60,1.990606,501,36080,44.82,123.79
76,2.036671,489,35544,45.47,125.60,1.958855,510,36590,44.86,124.00
77,2.047136,486,36030,45.57,125.60,1.984908,502,37092,44.88,124.49
78,1.994870,500,36530,45.64,125.60,2.013721,495,37587,44.94,126.46
79,1.970116,505,37035,45.71,126.04,1.999082,498,38085,45.00,126.46
80,1.941278,512,37547,45.79,126.54,1.974604,504,38589,45.03,126.46
81,1.926277,517,38064,45.86,127.23,1.996282,498,39087,45.08,128.03
82,1.891958,526,38590,45.88,127.23,1.988123,500,39587,45.12,128.27
83,1.964385,507,39097,45.98,128.48,1.990244,500,40087,45.15,130.90
84,1.955209,509,39606,46.03,128.68,1.992438,500,40587,45.18,130.90
85,1.955383,510,40116,46.08,128.99,1.961695,507,41094,45.25,137.31
86,2.014938,495,40611,46.17,135.21,1.983062,502,41596,45.28,137.65
87,2.155613,462,41073,46.16,135.33,1.987414,501,42097,45.32,138.02
88,2.166862,460,41533,46.19,135.98,1.996782,498,42595,45.36,138.43
89,2.233208,447,41980,46.26,136.11,1.951271,510,43105,45.39,138.93
90,2.179134,457,42437,46.32,136.46,1.977566,504,43609,45.43,139.60
91,2.238716,445,42882,46.35,136.87,2.056057,484,44093,45.45,139.74
92,2.173541,458,43340,46.40,136.97,1.979825,503,44596,45.45,139.91
93,2.302864,433,43773,46.45,136.97,2.047225,486,45082,45.50,140.42
94,2.223048,448,44221,46.48,137.20,2.058188,484,45566,45.52,141.05
95,2.304557,431,44652,46.52,137.20,2.049670,486,46052,45.55,141.05
96,2.378555,420,45072,46.57,137.53,2.094112,475,46527,45.58,141.05
97,2.342118,425,45497,46.63,137.78,2.033453,489,47016,45.60,141.28
98,2.245949,444,45941,46.63,138.02,2.114247,471,47487,45.65,141.69
99,2.244718,443,46384,46.66,138.91,2.117560,470,47957,45.67,142.07
100,2.194079,454,46838,46.67,139.90,2.125908,468,48425,45.72,142.07
101,2.153197,463,47301,46.69,140.18,2.065650,483,48908,45.75,142.07
102,2.110325,472,47773,46.75,140.93,2.056121,484,49392,45.78,142.07
103,2.221053,448,48221,46.79,140.93,2.118750,470,49862,45.83,146.21
104,2.292967,435,48656,46.79,141.51,2.185863,456,50318,45.86,146.98
105,2.292749,435,49091,46.81,141.51,2.205900,452,50770,45.89,148.71
106,2.320028,429,49520,46.82,141.51,2.113447,471,51241,45.91,149.31
107,2.289600,436,49956,46.85,143.29,2.322791,429,51670,45.97,151.29
108,2.771584,360,50316,46.87,145.54,2.181213,456,52126,45.99,151.29
109,2.941952,339,50655,46.88,147.67,2.175937,458,52584,46.02,151.42
110,2.668936,374,51029,46.88,147.67,2.215053,449,53033,46.09,151.96
111,2.726001,366,51395,46.85,151.18,2.192225,455,53488,46.12,152.40
112,2.549506,391,51786,46.85,152.99,2.267711,439,53927,46.15,153.05
113,2.530313,394,52180,46.84,153.37,2.538726,392,54319,46.18,153.35
114,2.530307,395,52575,46.84,153.93,2.612718,379,54698,46.19,155.55
115,2.575934,386,52961,46.84,155.56,2.727807,367,55065,46.20,156.14
116,2.646299,379,53340,46.86,155.80,2.717696,367,55432,46.20,157.61
117,2.577531,386,53726,46.85,155.80,2.575720,387,55819,46.21,157.75
118,2.121397,471,54197,46.83,155.80,2.430692,410,56229,46.19,158.05
119,2.066148,482,54679,46.86,155.80,2.466652,404,56633,46.18,158.88
120,2.054733,485,55164,46.89,155.80,2.456283,405,57038,46.18,159.10
121,1.997820,498,55662,46.91,158.69,2.621985,381,57419,46.17,159.68
122,2.087319,477,56139,46.96,159.18,2.378938,419,57838,46.20,159.94
123,2.005815,497,56636,46.96,159.18,2.009399,496,58334,46.20,159.94
124,2.094540,476,57112,46.96,159.81,1.978486,503,58837,46.22,159.94
125,2.218137,448,57560,47.00,161.57,1.986536,500,59337,46.24,160.25
126,2.169247,460,58020,47.02,162.19,2.064849,484,59821,46.28,160.72
127,2.071577,481,58501,47.04,162.42,1.945431,512,60333,46.27,160.72
128,2.089847,475,58976,47.04,162.79,1.997099,499,60832,46.29,160.93
129,2.200352,454,59430,47.06,164.00,2.014893,495,61327,46.30,163.77
130,2.091078,477,59907,47.08,164.44,2.053322,484,61811,46.31,164.68
131,2.119052,470,60377,47.07,165.08,2.119280,471,62282,46.31,164.68
132,2.131720,468,60845,47.07,165.51,2.046146,488,62770,46.32,164.80
133,2.060003,484,61329,47.11,168.31,1.998480,496,63266,46.35,165.20
134,2.100915,474,61803,47.14,169.96,2.048861,489,63755,46.37,165.78
135,2.110332,473,62276,47.16,170.49,2.056762,484,64239,46.39,165.78
