second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy
0,36.732554,8450,8450,2.54,20.75,180.632209,498,498,2.18,27.74
1,37.761492,26411,34861,43.80,105.49,183.349307,5911,6409,4.73,60.47
2,39.976217,24811,59672,79.29,123.54,168.723733,5790,12199,9.20,77.19
3,41.296983,24197,83869,108.61,136.42,167.875917,6028,18227,13.67,83.61
4,42.241408,23514,107383,133.94,148.91,168.502238,5936,24163,17.71,98.15
5,44.588977,22527,129910,153.74,155.48,168.458799,5758,29921,21.48,100.21
6,44.087445,22571,152481,170.53,164.49,169.728880,5975,35896,24.96,105.55
7,44.133671,22252,174733,185.42,176.38,168.078546,5961,41857,28.44,106.25
8,45.500344,22027,196760,197.61,187.35,168.021785,5993,47850,31.65,113.78
9,43.755852,22626,219386,208.58,195.56,167.529730,5942,53792,34.61,114.92
10,43.201275,22912,242298,220.10,208.15,168.252330,5956,59748,37.41,118.91
11,43.168622,23493,265791,229.32,225.74,168.541527,5901,65649,40.07,122.69
12,43.789806,22235,288026,238.26,235.37,167.291640,5979,71628,42.54,123.47
13,44.113100,23078,311104,245.30,239.88,167.543687,5972,77600,45.04,127.58
14,40.888858,24018,335122,253.64,254.56,168.065846,5974,83574,47.21,129.27
15,43.482883,23362,358484,260.43,267.31,167.791661,5911,89485,49.51,133.71
16,40.961445,24272,382756,267.53,281.80,167.808994,5960,95445,51.63,138.86
17,42.326255,23245,406001,273.50,293.08,167.296478,5906,101351,53.66,139.98
18,44.781799,22597,428598,278.62,302.49,168.389523,6061,107412,55.56,145.37
19,43.221496,23000,451598,283.18,312.31,168.526171,5844,113256,57.38,146.21
20,42.098574,23167,474765,288.19,327.37,168.128166,5960,119216,59.14,154.36
21,43.992414,22602,497367,292.45,332.68,168.763261,5907,125123,60.79,156.38
22,43.374358,23024,520391,296.42,354.98,168.241354,5944,131067,62.39,157.37
23,42.245992,24206,544597,300.07,365.46,168.297742,5907,136974,63.94,162.95
24,41.453467,23716,568313,304.53,367.04,167.480950,6008,142982,65.35,163.84
25,44.307989,21717,590030,307.37,378.86,168.601221,5921,148903,66.87,168.11
26,88.098295,10214,600244,304.50,381.96,168.607832,5882,154785,68.22,172.69
27,118.984337,8668,608912,299.80,393.69,169.290857,6005,160790,69.68,178.54
28,120.111417,8769,617681,295.44,396.87,169.113826,5796,166586,71.00,182.81
29,105.911495,8381,626062,291.77,398.95,170.627466,5896,172482,72.19,184.75
30,133.564957,8700,634762,287.73,403.58,169.630312,5961,178443,73.39,188.91
31,109.012747,8594,643356,284.03,405.98,170.578389,5860,184303,74.61,191.44
32,106.710634,9519,652875,281.29,410.47,169.987815,5934,190237,75.71,191.99
