2016-04-25 13:11:35.788337 I | etcdserver: start to snapshot (applied: 100248, lastsnap: 90200)
2016-04-25 13:11:35.800492 I | etcdserver: saved snapshot at index 100248
2016-04-25 13:11:35.800757 I | etcdserver: compacted raft log at 95248
2016-04-25 13:11:37.498480 I | etcdserver: start to snapshot (applied: 110348, lastsnap: 100248)
2016-04-25 13:11:37.509095 I | etcdserver: saved snapshot at index 110348
2016-04-25 13:11:37.509333 I | etcdserver: compacted raft log at 105348
2016-04-25 13:11:39.173705 I | etcdserver: start to snapshot (applied: 120412, lastsnap: 110348)
2016-04-25 13:11:39.192972 I | etcdserver: saved snapshot at index 120412
2016-04-25 13:11:39.193187 I | etcdserver: compacted raft log at 115412
2016-04-25 13:11:40.853169 I | etcdserver: start to snapshot (applied: 130424, lastsnap: 120412)
2016-04-25 13:11:40.870909 I | etcdserver: saved snapshot at index 130424
2016-04-25 13:11:40.871128 I | etcdserver: compacted raft log at 125424
2016-04-25 13:11:42.550323 I | etcdserver: start to snapshot (applied: 140443, lastsnap: 130424)
2016-04-25 13:11:42.575838 I | etcdserver: saved snapshot at index 140443
2016-04-25 13:11:42.576050 I | etcdserver: compacted raft log at 135443
2016-04-25 13:11:42.885076 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000022cb5.wal is created
2016-04-25 13:11:44.221728 I | etcdserver: start to snapshot (applied: 150457, lastsnap: 140443)
2016-04-25 13:11:44.248491 I | etcdserver: saved snapshot at index 150457
2016-04-25 13:11:44.248852 I | etcdserver: compacted raft log at 145457
2016-04-25 13:11:45.898321 I | etcdserver: start to snapshot (applied: 160458, lastsnap: 150457)
2016-04-25 13:11:45.957461 I | etcdserver: saved snapshot at index 160458
2016-04-25 13:11:45.957929 I | etcdserver: compacted raft log at 155458
2016-04-25 13:11:47.609930 I | etcdserver: start to snapshot (applied: 170492, lastsnap: 160458)
2016-04-25 13:11:47.614803 I | etcdserver: saved snapshot at index 170492
2016-04-25 13:11:47.614995 I | etcdserver: compacted raft log at 165492
2016-04-25 13:11:49.298966 I | etcdserver: start to snapshot (applied: 180515, lastsnap: 170492)
2016-04-25 13:11:49.313110 I | etcdserver: saved snapshot at index 180515
2016-04-25 13:11:49.313302 I | etcdserver: compacted raft log at 175515
2016-04-25 13:11:50.979602 I | etcdserver: start to snapshot (applied: 190525, lastsnap: 180515)
2016-04-25 13:11:51.005638 I | etcdserver: saved snapshot at index 190525
2016-04-25 13:11:51.005868 I | etcdserver: compacted raft log at 185525
2016-04-25 13:11:52.665192 I | etcdserver: start to snapshot (applied: 200582, lastsnap: 190525)
2016-04-25 13:11:52.677962 I | etcdserver: saved snapshot at index 200582
2016-04-25 13:11:52.678183 I | etcdserver: compacted raft log at 195582
2016-04-25 13:11:54.350713 I | etcdserver: start to snapshot (applied: 210584, lastsnap: 200582)
2016-04-25 13:11:54.367442 I | etcdserver: saved snapshot at index 210584
2016-04-25 13:11:54.367650 I | etcdserver: compacted raft log at 205584
2016-04-25 13:11:54.905607 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-0000000000034339.wal is created
2016-04-25 13:11:55.589206 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000002719.snap successfully
2016-04-25 13:11:55.589263 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000004e33.snap successfully
2016-04-25 13:11:55.589297 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000007582.snap successfully
2016-04-25 13:11:55.589326 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000009cb5.snap successfully
2016-04-25 13:11:55.589361 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000c3c6.snap successfully
2016-04-25 13:11:55.589391 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000000ead8.snap successfully
2016-04-25 13:11:55.589421 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000111fb.snap successfully
2016-04-25 13:11:55.589452 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000013944.snap successfully
2016-04-25 13:11:55.589480 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000016058.snap successfully
2016-04-25 13:11:55.589508 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000018798.snap successfully
2016-04-25 13:11:55.589537 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001af0c.snap successfully
2016-04-25 13:11:55.589565 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001d65c.snap successfully
2016-04-25 13:11:55.589592 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000001fd78.snap successfully
2016-04-25 13:11:55.589619 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002249b.snap successfully
2016-04-25 13:11:55.589646 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000024bb9.snap successfully
2016-04-25 13:11:55.589682 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000272ca.snap successfully
2016-04-25 13:11:56.040195 I | etcdserver: start to snapshot (applied: 220588, lastsnap: 210584)
2016-04-25 13:11:56.062820 I | etcdserver: saved snapshot at index 220588
2016-04-25 13:11:56.063001 I | etcdserver: compacted raft log at 215588
2016-04-25 13:11:57.757295 I | etcdserver: start to snapshot (applied: 230672, lastsnap: 220588)
2016-04-25 13:11:57.776248 I | etcdserver: saved snapshot at index 230672
2016-04-25 13:11:57.776442 I | etcdserver: compacted raft log at 225672
2016-04-25 13:11:59.444809 I | etcdserver: start to snapshot (applied: 240742, lastsnap: 230672)
2016-04-25 13:11:59.469081 I | etcdserver: saved snapshot at index 240742
2016-04-25 13:11:59.469453 I | etcdserver: compacted raft log at 235742
2016-04-25 13:12:01.151433 I | etcdserver: start to snapshot (applied: 250746, lastsnap: 240742)
2016-04-25 13:12:01.163229 I | etcdserver: saved snapshot at index 250746
2016-04-25 13:12:01.163459 I | etcdserver: compacted raft log at 245746
2016-04-25 13:12:02.857397 I | etcdserver: start to snapshot (applied: 260831, lastsnap: 250746)
2016-04-25 13:12:02.869581 I | etcdserver: saved snapshot at index 260831
2016-04-25 13:12:02.869757 I | etcdserver: compacted raft log at 255831
2016-04-25 13:12:04.599712 I | etcdserver: start to snapshot (applied: 270842, lastsnap: 260831)
2016-04-25 13:12:04.609815 I | etcdserver: saved snapshot at index 270842
2016-04-25 13:12:04.610142 I | etcdserver: compacted raft log at 265842
2016-04-25 13:12:06.287006 I | etcdserver: start to snapshot (applied: 280845, lastsnap: 270842)
2016-04-25 13:12:06.299054 I | etcdserver: saved snapshot at index 280845
2016-04-25 13:12:06.299230 I | etcdserver: compacted raft log at 275845
2016-04-25 13:12:07.044658 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000004-0000000000045974.wal is created
2016-04-25 13:12:08.000635 I | etcdserver: start to snapshot (applied: 290866, lastsnap: 280845)
2016-04-25 13:12:08.020726 I | etcdserver: saved snapshot at index 290866
2016-04-25 13:12:08.020950 I | etcdserver: compacted raft log at 285866
2016-04-25 13:12:09.705316 I | etcdserver: start to snapshot (applied: 300886, lastsnap: 290866)
2016-04-25 13:12:09.715732 I | etcdserver: saved snapshot at index 300886
2016-04-25 13:12:09.715919 I | etcdserver: compacted raft log at 295886
2016-04-25 13:12:11.394990 I | etcdserver: start to snapshot (applied: 310937, lastsnap: 300886)
2016-04-25 13:12:11.420208 I | etcdserver: saved snapshot at index 310937
2016-04-25 13:12:11.420421 I | etcdserver: compacted raft log at 305937
2016-04-25 13:12:13.098989 I | etcdserver: start to snapshot (applied: 320967, lastsnap: 310937)
2016-04-25 13:12:13.118926 I | etcdserver: saved snapshot at index 320967
2016-04-25 13:12:13.119149 I | etcdserver: compacted raft log at 315967
2016-04-25 13:12:14.787941 I | etcdserver: start to snapshot (applied: 331001, lastsnap: 320967)
2016-04-25 13:12:14.800550 I | etcdserver: saved snapshot at index 331001
2016-04-25 13:12:14.800735 I | etcdserver: compacted raft log at 326001
2016-04-25 13:12:16.484007 I | etcdserver: start to snapshot (applied: 341059, lastsnap: 331001)
2016-04-25 13:12:16.509763 I | etcdserver: saved snapshot at index 341059
2016-04-25 13:12:16.510018 I | etcdserver: compacted raft log at 336059
2016-04-25 13:12:18.189823 I | etcdserver: start to snapshot (applied: 351108, lastsnap: 341059)
2016-04-25 13:12:18.201362 I | etcdserver: saved snapshot at index 351108
2016-04-25 13:12:18.201544 I | etcdserver: compacted raft log at 346108
2016-04-25 13:12:19.081748 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000005-0000000000056fd8.wal is created
2016-04-25 13:12:19.921979 I | etcdserver: start to snapshot (applied: 361121, lastsnap: 351108)
2016-04-25 13:12:19.930758 I | etcdserver: saved snapshot at index 361121
2016-04-25 13:12:19.930959 I | etcdserver: compacted raft log at 356121
2016-04-25 13:12:21.610158 I | etcdserver: start to snapshot (applied: 371128, lastsnap: 361121)
2016-04-25 13:12:21.630492 I | etcdserver: saved snapshot at index 371128
2016-04-25 13:12:21.630713 I | etcdserver: compacted raft log at 366128
2016-04-25 13:12:23.315201 I | etcdserver: start to snapshot (applied: 381130, lastsnap: 371128)
2016-04-25 13:12:23.328831 I | etcdserver: saved snapshot at index 381130
2016-04-25 13:12:23.329173 I | etcdserver: compacted raft log at 376130
2016-04-25 13:12:25.042549 I | etcdserver: start to snapshot (applied: 391164, lastsnap: 381130)
2016-04-25 13:12:25.053762 I | etcdserver: saved snapshot at index 391164
2016-04-25 13:12:25.053935 I | etcdserver: compacted raft log at 386164
2016-04-25 13:12:25.590479 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-00000000000299fc.snap successfully
2016-04-25 13:12:25.590547 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002c123.snap successfully
2016-04-25 13:12:25.590583 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-000000000002e83d.snap successfully
2016-04-25 13:12:25.590617 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000030f86.snap successfully
2016-04-25 13:12:25.590649 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000033698.snap successfully
2016-04-25 13:12:25.590680 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000002-0000000000035dac.snap successfully
