second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy
0,10.216910,43,43,2.39,20.13,12.902214,26,26,2.26,19.10
1,9.536889,105,148,6.75,95.80,11.928247,83,109,6.35,81.24
2,9.810271,102,250,10.04,155.88,11.283810,89,198,9.40,143.41
3,9.875791,101,351,12.64,209.56,11.372168,88,286,11.78,205.82
4,9.801408,102,453,14.88,271.05,11.788269,85,371,13.79,239.99
5,9.753723,102,555,16.68,324.42,11.969473,83,454,15.58,288.95
6,9.582629,105,660,18.25,388.68,11.665581,86,540,17.09,337.54
7,9.655584,103,763,19.71,451.27,11.618649,85,625,18.28,382.65
8,9.777231,102,865,20.81,516.10,12.136804,83,708,19.39,452.27
9,9.772775,102,967,21.78,567.45,11.804965,84,792,20.22,497.46
10,9.620460,104,1071,22.67,630.08,11.750727,86,878,21.05,537.42
11,9.956586,101,1172,23.44,695.08,11.535479,86,964,21.86,615.75
12,9.942727,100,1272,24.09,738.61,11.686963,86,1050,22.36,639.45
13,9.929082,101,1373,24.70,800.70,11.723066,85,1135,22.98,718.03
14,9.775112,102,1475,25.31,873.00,11.115334,90,1225,23.32,740.73
15,10.042049,99,1574,25.76,919.89,12.001518,83,1308,23.85,817.14
16,9.465949,106,1680,26.28,995.85,11.643877,86,1394,24.28,873.09
17,9.906769,100,1780,26.66,1038.20,11.466359,86,1480,24.59,889.80
18,9.515556,104,1884,27.12,1099.58,11.627358,87,1567,25.03,989.95
19,9.975989,102,1986,27.52,1193.68,11.164698,90,1657,25.34,1026.50
20,9.457709,105,2091,27.79,1211.48,11.290327,88,1745,25.58,1036.93
21,10.302540,97,2188,28.12,1280.56,11.458334,87,1832,25.94,1148.30
22,33.245561,30,2218,27.95,1336.03,11.521023,87,1919,26.18,1198.83
23,30.273761,33,2251,27.44,1356.84,10.907886,92,2011,26.38,1215.79
24,31.162319,30,2281,26.97,1377.10,11.473508,87,2098,26.57,1274.04
25,34.322173,31,2312,26.53,1400.20,10.938303,91,2189,26.86,1378.12
26,29.545866,33,2345,26.11,1408.82,11.526437,87,2276,27.08,1418.12
27,31.071415,31,2376,25.69,1413.92,19.410836,50,2326,26.96,1431.57
28,32.170015,32,2408,25.36,1435.05,34.143995,30,2356,26.54,1436.67
29,32.215373,32,2440,25.02,1465.96,32.388260,28,2384,26.11,1441.85
30,33.443744,30,2470,24.71,1473.81,36.260168,30,2414,25.74,1448.50
31,33.468783,30,2500,24.42,1497.39,31.976179,30,2444,25.45,1490.05
32,34.435728,29,2529,24.12,1518.45,32.920321,29,2473,25.21,1549.21
33,34.221067,27,2556,23.87,1540.89,36.121162,30,2503,24.95,1585.16
34,32.767973,31,2587,23.63,1555.07,31.115191,32,2535,24.71,1624.39
35,37.503739,28,2615,23.41,1571.81,33.309832,29,2564,24.45,1639.78
36,31.665215,30,2645,23.15,1595.05,36.414024,28,2592,24.15,1643.01
37,37.456707,28,2673,22.95,1640.55,32.195973,31,2623,23.90,1649.42
38,33.148707,29,2702,22.76,1688.19,33.999933,28,2651,23.63,1673.19
39,35.755793,29,2731,22.56,1700.33,32.680133,30,2681,23.44,1701.05
40,32.153348,30,2761,22.32,1704.53,35.327866,31,2712,23.21,1705.27
41,32.543446,30,2791,22.09,1709.92,32.560731,29,2741,22.97,1709.16
42,33.573299,31,2822,21.88,1713.14,36.341578,29,2770,22.75,1711.96
43,33.095148,27,2849,21.66,1719.24,34.306145,29,2799,22.55,1724.03
44,35.463662,32,2881,21.44,1732.16,33.324343,30,2829,22.34,1726.43
45,29.287875,34,2915,21.32,1755.15,33.754109,29,2858,22.17,1757.53
46,37.664038,26,2941,21.20,1776.74,33.828076,30,2888,22.08,1828.65
47,31.863397,32,2973,21.02,1796.29,31.457173,31,2919,21.96,1878.87
48,33.452993,27,,,,32.872458,30,2949,21.82,1918.29
49,,,,,,36.022006,29,2978,21.69,1944.95
50,,,,,,34.179433,22,,,
