2016-05-02 05:33:32.697584 I | etcdmain: etcd Version: 2.3.0+git
2016-05-02 05:33:32.697636 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-05-02 05:33:32.697643 I | etcdmain: Go Version: devel +e50346d Mon May 2 04:42:12 2016 +0000
2016-05-02 05:33:32.697648 I | etcdmain: Go OS/Arch: linux/amd64
2016-05-02 05:33:32.697654 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-05-02 05:33:32.697708 I | etcdmain: listening for peers on http://10.240.0.23:2380
2016-05-02 05:33:32.697738 I | etcdmain: listening for client requests on 10.240.0.23:2379
2016-05-02 05:33:32.702125 I | etcdserver: name = etcd-3
2016-05-02 05:33:32.702139 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-05-02 05:33:32.702146 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-05-02 05:33:32.702152 I | etcdserver: heartbeat = 100ms
2016-05-02 05:33:32.702157 I | etcdserver: election = 1000ms
2016-05-02 05:33:32.702161 I | etcdserver: snapshot count = 10000
2016-05-02 05:33:32.702174 I | etcdserver: advertise client URLs = http://10.240.0.23:2379
2016-05-02 05:33:32.702180 I | etcdserver: initial advertise peer URLs = http://10.240.0.23:2380
2016-05-02 05:33:32.702192 I | etcdserver: initial cluster = etcd-1=http://10.240.0.21:2380,etcd-2=http://10.240.0.22:2380,etcd-3=http://10.240.0.23:2380
2016-05-02 05:33:32.704517 I | etcdserver: starting member 3e07e8086be420d2 in cluster e05fb31d21672c21
2016-05-02 05:33:32.704557 I | raft: 3e07e8086be420d2 became follower at term 0
2016-05-02 05:33:32.704574 I | raft: newRaft 3e07e8086be420d2 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-05-02 05:33:32.704581 I | raft: 3e07e8086be420d2 became follower at term 1
2016-05-02 05:33:32.704706 I | etcdserver: enabling compression snappy
2016-05-02 05:33:32.716274 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-05-02 05:33:32.716830 I | rafthttp: the connection with 2087a91b2ccc6d93 became active
2016-05-02 05:33:32.718375 E | etcdmain: failed to notify systemd for readiness: No socket
2016-05-02 05:33:32.718398 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-05-02 05:33:32.719356 I | rafthttp: the connection with 21d3c625100d5241 became active
2016-05-02 05:33:32.719939 N | etcdserver: added member 2087a91b2ccc6d93 [http://10.240.0.21:2380] to cluster e05fb31d21672c21
2016-05-02 05:33:32.720029 N | etcdserver: added member 21d3c625100d5241 [http://10.240.0.22:2380] to cluster e05fb31d21672c21
2016-05-02 05:33:32.720106 N | etcdserver: added local member 3e07e8086be420d2 [http://10.240.0.23:2380] to cluster e05fb31d21672c21
2016-05-02 05:33:32.907603 I | raft: 3e07e8086be420d2 [term: 1] received a MsgVote message with higher term from 2087a91b2ccc6d93 [term: 3]
2016-05-02 05:33:32.907665 I | raft: 3e07e8086be420d2 became follower at term 3
2016-05-02 05:33:32.907678 I | raft: 3e07e8086be420d2 [logterm: 1, index: 3, vote: 0] voted for 2087a91b2ccc6d93 [logterm: 1, index: 3] at term 3
2016-05-02 05:33:32.909438 I | raft: raft.node: 3e07e8086be420d2 elected leader 2087a91b2ccc6d93 at term 3
2016-05-02 05:33:32.913038 I | etcdserver: published {Name:etcd-3 ClientURLs:[http://10.240.0.23:2379]} to cluster e05fb31d21672c21
2016-05-02 05:33:32.913057 I | etcdmain: ready to serve client requests
2016-05-02 05:33:32.913202 N | etcdmain: serving insecure client requests on 10.240.0.23:2379, this is strongly discouraged!
2016-05-02 05:33:32.914495 N | membership: set the initial cluster version to 2.3
2016-05-02 05:33:33.217639 I | v2http: enabled capabilities for version 2.3.0
2016-05-02 05:33:41.259610 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-00000000000000f2.wal is created
2016-05-02 05:33:43.886164 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-00000000000001ce.wal is created
2016-05-02 05:33:46.492272 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-00000000000002aa.wal is created
2016-05-02 05:33:49.176812 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000004-0000000000000386.wal is created
2016-05-02 05:33:51.765233 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000005-0000000000000463.wal is created
2016-05-02 05:33:54.336979 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000006-000000000000053f.wal is created
2016-05-02 05:33:56.972590 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000007-000000000000061b.wal is created
2016-05-02 05:33:59.773702 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000008-00000000000006f8.wal is created
2016-05-02 05:34:02.541908 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000009-00000000000007d4.wal is created
