2016-03-25 14:00:02.886227 I | etcdmain: etcd Version: 2.3.0+git
2016-03-25 14:00:02.886274 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-03-25 14:00:02.886281 I | etcdmain: Go Version: go1.6
2016-03-25 14:00:02.886288 I | etcdmain: Go OS/Arch: linux/amd64
2016-03-25 14:00:02.886296 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-03-25 14:00:02.886350 I | etcdmain: listening for peers on http://10.240.0.13:2380
2016-03-25 14:00:02.886377 I | etcdmain: listening for client requests on 10.240.0.13:2379
2016-03-25 14:00:02.888029 I | etcdserver: name = etcd-2
2016-03-25 14:00:02.888043 I | etcdserver: data dir = /mnt/ssd0/data.etcd
2016-03-25 14:00:02.888051 I | etcdserver: member dir = /mnt/ssd0/data.etcd/member
2016-03-25 14:00:02.888057 I | etcdserver: heartbeat = 100ms
2016-03-25 14:00:02.888068 I | etcdserver: election = 1000ms
2016-03-25 14:00:02.888074 I | etcdserver: snapshot count = 10000
2016-03-25 14:00:02.888082 I | etcdserver: advertise client URLs = http://10.240.0.13:2379
2016-03-25 14:00:02.888090 I | etcdserver: initial advertise peer URLs = http://10.240.0.13:2380
2016-03-25 14:00:02.888103 I | etcdserver: initial cluster = etcd-1=http://10.240.0.12:2380,etcd-2=http://10.240.0.13:2380,etcd-3=http://10.240.0.14:2380
2016-03-25 14:00:02.898219 I | etcdserver: starting member cfc6e2e1de0e7922 in cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:02.898262 I | raft: cfc6e2e1de0e7922 became follower at term 0
2016-03-25 14:00:02.898275 I | raft: newRaft cfc6e2e1de0e7922 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-03-25 14:00:02.898281 I | raft: cfc6e2e1de0e7922 became follower at term 1
2016-03-25 14:00:02.931500 I | rafthttp: the connection with f8ba34e834cb847d became active
2016-03-25 14:00:02.934215 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-03-25 14:00:02.936305 E | etcdmain: failed to notify systemd for readiness: No socket
2016-03-25 14:00:02.936325 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-03-25 14:00:02.936362 N | etcdserver: added local member cfc6e2e1de0e7922 [http://10.240.0.13:2380] to cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:02.936433 N | etcdserver: added member f8ba34e834cb847d [http://10.240.0.12:2380] to cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:02.936496 N | etcdserver: added member f9e96ef8c0d0e08c [http://10.240.0.14:2380] to cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:02.936525 N | etcdmain: serving insecure client requests on 10.240.0.13:2379, this is strongly discouraged!
2016-03-25 14:00:03.398622 I | raft: cfc6e2e1de0e7922 is starting a new election at term 1
2016-03-25 14:00:03.398706 I | raft: cfc6e2e1de0e7922 became candidate at term 2
2016-03-25 14:00:03.398715 I | raft: cfc6e2e1de0e7922 received vote from cfc6e2e1de0e7922 at term 2
2016-03-25 14:00:03.398725 I | raft: cfc6e2e1de0e7922 [logterm: 1, index: 3] sent vote request to f8ba34e834cb847d at term 2
2016-03-25 14:00:03.398734 I | raft: cfc6e2e1de0e7922 [logterm: 1, index: 3] sent vote request to f9e96ef8c0d0e08c at term 2
2016-03-25 14:00:03.402067 I | raft: cfc6e2e1de0e7922 received vote rejection from f8ba34e834cb847d at term 2
2016-03-25 14:00:03.402089 I | raft: cfc6e2e1de0e7922 [quorum:2] has received 1 votes and 1 vote rejections
2016-03-25 14:00:03.601566 I | raft: cfc6e2e1de0e7922 [term: 2] received a MsgVote message with higher term from f8ba34e834cb847d [term: 3]
2016-03-25 14:00:03.601635 I | raft: cfc6e2e1de0e7922 became follower at term 3
2016-03-25 14:00:03.601649 I | raft: cfc6e2e1de0e7922 [logterm: 1, index: 3, vote: 0] voted for f8ba34e834cb847d [logterm: 1, index: 3] at term 3
2016-03-25 14:00:03.604356 I | raft: raft.node: cfc6e2e1de0e7922 elected leader f8ba34e834cb847d at term 3
2016-03-25 14:00:03.623087 I | etcdserver: published {Name:etcd-2 ClientURLs:[http://10.240.0.13:2379]} to cluster 1f5ca66cfce5f0e7
2016-03-25 14:00:03.623348 N | etcdserver: set the initial cluster version to 2.2
2016-03-25 14:00:03.956951 I | rafthttp: the connection with f9e96ef8c0d0e08c became active
2016-03-25 14:00:07.622144 N | etcdserver: updated the cluster version from 2.2 to 2.3
2016-03-25 14:01:06.318887 I | etcdserver: start to snapshot (applied: 10001, lastsnap: 0)
2016-03-25 14:01:06.460973 I | etcdserver: saved snapshot at index 10001
2016-03-25 14:01:06.461291 I | etcdserver: compacted raft log at 5001
2016-03-25 14:01:49.826396 I | etcdserver: start to snapshot (applied: 20002, lastsnap: 10001)
2016-03-25 14:01:50.127251 I | etcdserver: saved snapshot at index 20002
2016-03-25 14:01:50.127383 I | etcdserver: compacted raft log at 15002
2016-03-25 14:02:33.689319 I | etcdserver: start to snapshot (applied: 30003, lastsnap: 20002)
2016-03-25 14:02:34.119262 I | etcdserver: saved snapshot at index 30003
2016-03-25 14:02:34.119443 I | etcdserver: compacted raft log at 25003
2016-03-25 14:03:17.415955 I | etcdserver: start to snapshot (applied: 40004, lastsnap: 30003)
2016-03-25 14:03:18.014772 I | etcdserver: saved snapshot at index 40004
2016-03-25 14:03:18.014930 I | etcdserver: compacted raft log at 35004
2016-03-25 14:04:01.226646 I | etcdserver: start to snapshot (applied: 50005, lastsnap: 40004)
