second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_3.4.8,throughput_zookeeper_3.4.8,cumulative_throughput_zookeeper_3.4.8,avg_cpu_zookeeper_3.4.8,avg_memory_mb_zookeeper_3.4.8,avg_latency_ms_consul_0.6.4,throughput_consul_0.6.4,cumulative_throughput_consul_0.6.4,avg_cpu_consul_0.6.4,avg_memory_mb_consul_0.6.4
0,4.643065,26,26,2.20,27.76,5.052057,211,211,3.55,62.35,15.653995,25,25,1.54,18.85
1,4.628326,216,242,2.94,29.51,4.383200,229,440,4.80,65.56,15.647454,64,89,1.89,19.02
2,4.596003,217,459,4.41,32.24,4.226771,235,675,5.75,72.83,14.657024,68,157,2.23,19.28
3,4.644945,215,674,5.55,37.73,4.267553,235,910,6.36,75.78,15.597228,64,221,2.58,19.18
4,4.634645,215,889,6.65,39.80,4.382337,228,1138,6.85,79.74,14.815527,67,288,2.88,19.15
5,4.778534,209,1098,7.59,40.71,4.341270,231,1369,7.18,81.60,15.045770,67,355,3.16,19.47
6,4.738558,211,1309,8.34,42.68,4.430277,224,1593,7.49,85.02,15.151465,66,421,3.50,19.68
7,4.583083,218,1527,9.04,44.42,4.393211,229,1822,7.76,87.29,15.594672,64,485,3.72,19.63
8,4.616887,216,1743,9.49,44.61,4.433809,225,2047,8.37,93.37,15.179114,66,551,3.93,20.01
9,4.717189,212,1955,10.03,45.21,4.308875,232,2279,8.55,96.17,15.551919,64,615,4.14,20.10
10,4.752151,210,2165,10.46,45.85,4.470567,224,2503,8.67,99.46,14.955737,66,681,4.33,20.39
11,4.579909,218,2383,10.89,46.59,4.386121,228,2731,8.90,103.63,15.439513,66,747,4.56,21.31
12,4.793013,208,2591,11.28,46.78,4.421688,226,2957,9.47,108.68,15.510541,64,811,4.69,21.77
13,4.754398,210,2801,11.65,46.87,4.250860,235,3192,9.65,113.54,15.361966,65,876,4.85,22.01
14,4.836484,207,3008,12.06,50.30,4.196175,238,3430,9.81,114.13,15.570789,64,940,4.99,22.21
15,4.578961,218,3226,12.35,50.30,4.181571,239,3669,9.94,115.08,15.779444,64,1004,5.09,22.02
16,4.725106,211,3437,12.61,50.60,4.162826,240,3909,10.05,115.88,15.785887,63,1067,5.21,22.35
17,4.851461,206,3643,12.89,51.26,4.194291,239,4148,10.12,116.56,15.502742,65,1132,5.33,22.35
18,4.671181,213,3856,13.14,51.46,4.183289,239,4387,10.15,117.10,15.275644,65,1197,5.42,22.47
19,4.888387,205,4061,13.33,51.74,4.262829,233,4620,10.19,117.77,15.638688,64,1261,5.53,22.65
20,4.663617,212,4273,13.55,52.25,4.286083,234,4854,10.29,120.96,15.356405,65,1326,5.60,22.90
21,4.876572,206,4479,13.74,52.72,4.329654,230,5084,10.35,120.96,15.583781,64,1390,5.69,23.01
22,4.795741,209,4688,13.90,52.91,4.430966,227,5311,10.43,120.96,15.322373,66,1456,5.76,23.10
23,4.904483,203,4891,14.08,53.47,4.282711,233,5544,10.63,122.36,15.299583,64,1520,5.84,23.39
24,4.731599,211,5102,14.24,53.92,4.364668,229,5773,11.72,127.94,15.567824,64,1584,5.90,23.60
25,4.844095,206,5308,14.39,54.21,4.313885,232,6005,11.84,127.08,15.437162,66,1650,5.98,24.10
26,4.613378,217,5525,14.57,54.77,4.293471,233,6238,11.83,127.08,15.531092,64,1714,6.02,24.31
27,4.531474,219,5744,14.70,54.87,4.364451,229,6467,11.87,127.08,15.561483,65,1779,6.08,24.40
28,4.804265,209,5953,14.84,54.87,4.282600,233,6700,11.89,129.28,15.527929,64,1843,6.13,24.40
29,4.500527,221,6174,14.96,55.57,4.155812,240,6940,12.02,129.71,14.707748,68,1911,6.19,24.57
30,4.575602,219,6393,15.08,56.31,4.208247,238,7178,11.99,129.64,15.560081,64,1975,6.25,24.76
31,4.664652,214,6607,15.14,56.41,4.356712,230,7408,11.97,129.73,15.695801,64,2039,6.30,23.54
32,4.533674,220,6827,15.24,56.72,4.520742,221,7629,11.95,129.73,15.517823,64,2103,6.34,23.54
33,4.714524,212,7039,15.34,56.88,4.541282,220,7849,11.96,133.14,16.022195,63,2166,6.39,23.73
34,4.554411,219,7258,15.42,57.25,4.492586,221,8070,11.93,132.86,16.321957,61,2227,6.44,24.45
35,4.574489,218,7476,15.51,57.54,4.518667,222,8292,11.95,132.82,15.582382,64,2291,6.47,24.61
36,4.657358,215,7691,15.56,57.54,4.555647,220,8512,11.95,132.82,15.949687,63,2354,6.52,24.71
37,4.559060,219,7910,15.62,59.30,4.449322,225,8737,11.94,132.82,15.393589,64,2418,6.55,24.71
38,4.928867,202,8112,15.69,59.67,4.177728,239,8976,11.91,132.82,15.645203,64,2482,6.60,24.80
39,4.699001,213,8325,15.73,59.67,4.427272,226,9202,11.90,132.82,15.495503,65,2547,6.64,25.17
40,4.579078,218,8543,15.77,59.76,4.325699,231,9433,11.91,133.95,15.227707,66,2613,6.68,25.52
41,4.720824,210,8753,15.82,60.24,4.402460,227,9660,11.89,134.96,15.449730,65,2678,6.71,25.69
42,4.681843,214,8967,15.88,60.97,4.363809,229,9889,11.90,134.96,15.582654,64,2742,6.75,25.83
43,4.904576,204,9171,15.91,60.97,4.211097,237,10126,11.88,134.96,15.560766,64,2806,6.78,25.92
44,4.451243,224,9395,15.94,60.97,4.262589,234,10360,11.87,134.96,15.675699,63,2869,6.81,25.92
45,4.805930,208,9603,15.99,61.33,4.266196,235,10595,11.86,134.99,15.315044,66,2935,6.83,26.30
46,4.584075,218,9821,16.02,61.83,4.264024,234,10829,11.85,136.36,15.551820,64,2999,6.88,26.49
47,4.670146,214,10035,16.09,63.71,4.304445,233,11062,11.83,136.36,15.631407,64,3063,6.90,26.59
48,4.722616,211,10246,16.14,63.71,4.201913,238,11300,11.79,136.36,15.344919,65,3128,6.93,26.77
49,4.637682,215,10461,16.22,63.81,4.190271,238,11538,11.83,137.43,15.580176,65,3193,6.96,27.11
50,4.878974,205,10666,16.28,64.13,4.181692,239,11777,11.83,142.31,15.335429,64,3257,6.98,27.43
51,4.745296,210,10876,16.33,64.39,4.120474,243,12020,11.81,146.07,16.052632,63,3320,7.02,27.43
52,4.754225,209,11085,16.39,64.39,4.030173,248,12268,11.78,146.07,16.116239,62,3382,7.04,27.51
53,4.846461,207,11292,16.42,64.58,4.098734,244,12512,11.74,146.08,15.562888,64,3446,7.07,27.51
54,4.655498,214,11506,16.47,64.58,4.138744,241,12753,11.74,147.45,15.768455,64,3510,7.09,27.69
55,4.801813,208,11714,16.53,64.68,4.157916,241,12994,11.71,146.51,15.701398,63,3573,7.13,27.69
56,4.631792,216,11930,16.58,64.86,4.218263,237,13231,11.69,146.51,15.772194,64,3637,7.14,28.04
57,4.798098,208,12138,16.63,64.86,4.178838,239,13470,11.67,146.51,15.629120,63,3700,7.16,28.04
58,4.819170,205,12343,16.65,64.86,4.234738,236,13706,11.63,146.51,16.121376,63,3763,7.19,28.12
59,4.696197,215,12558,16.70,65.07,4.208159,236,13942,11.62,146.51,16.161429,62,3825,7.21,28.30
60,4.655345,214,12772,16.73,65.07,4.177743,240,14182,11.60,151.92,15.019498,66,3891,7.22,28.64
61,4.748202,207,12979,16.77,65.31,4.192053,239,14421,11.58,157.36,15.488941,65,3956,7.25,28.91
62,4.677461,217,13196,16.80,65.31,4.167239,240,14661,11.57,158.30,14.742433,67,4023,7.27,26.64
63,4.587372,218,13414,16.85,65.31,4.160573,240,14901,11.54,158.30,15.490750,65,4088,7.28,26.88
64,4.636415,212,13626,16.88,65.31,4.185236,239,15140,11.54,159.74,15.780143,63,4151,7.30,26.88
65,4.912210,206,13832,16.92,65.41,4.237958,236,15376,11.53,159.74,15.538031,64,4215,7.33,27.18
66,4.553593,219,14051,16.95,65.67,4.298207,232,15608,11.52,159.74,15.707226,64,4279,7.36,27.38
67,4.945805,202,14253,16.97,65.67,4.358576,230,15838,11.50,159.74,15.446692,65,4344,7.37,27.38
68,4.728115,211,14464,17.02,65.82,4.455954,224,16062,11.49,159.74,15.261540,66,4410,7.38,27.55
69,4.744727,211,14675,17.03,66.07,4.470674,224,16286,11.51,159.74,15.583743,64,4474,7.40,27.82
70,4.714666,212,14887,17.07,67.15,4.515971,221,16507,11.49,162.24,15.630560,64,4538,7.42,28.13
71,4.570102,218,15105,17.07,67.15,4.409270,227,16734,11.49,162.82,15.949506,62,4600,7.44,28.34
72,4.839466,206,15311,17.08,67.15,4.378733,228,16962,11.48,164.56,15.326805,66,4666,7.45,28.77
73,4.688365,212,15523,17.10,67.29,4.373166,228,17190,11.49,164.57,15.884086,63,4729,7.45,28.77
74,4.797425,209,15732,17.13,67.29,4.280753,234,17424,11.48,164.57,15.797911,63,4792,7.47,28.94
75,4.770550,209,15941,17.12,67.29,4.081949,245,17669,11.49,166.01,15.310729,65,4857,7.50,29.18
76,5.091029,196,16137,17.11,67.39,4.038006,248,17917,11.46,166.01,15.329410,66,4923,7.51,29.54
77,5.068637,197,16334,17.11,67.97,4.071438,245,18162,11.43,166.01,15.389079,64,4987,7.53,29.63
78,4.949789,202,16536,17.14,68.40,4.150240,241,18403,11.41,166.01,15.248158,66,5053,7.54,29.63
79,5.037019,198,16734,17.15,69.03,4.195816,238,18641,11.40,168.06,15.485849,64,5117,7.55,29.80
80,4.694320,212,16946,17.17,69.12,4.290337,233,18874,11.41,168.77,15.270663,66,5183,7.56,30.17
81,4.967252,201,17147,17.17,69.12,4.290094,233,19107,11.39,168.77,15.169830,66,5249,7.58,30.44
82,4.712834,212,17359,17.20,70.60,4.226858,236,19343,11.38,174.17,15.336000,65,5314,7.59,30.44
83,4.650461,215,17574,17.22,71.11,4.353867,230,19573,11.39,175.54,15.098690,66,5380,7.60,30.53
84,4.584897,217,17791,17.22,71.22,4.323556,231,19804,11.39,175.54,15.336369,66,5446,7.61,30.61
85,4.799956,208,17999,17.25,71.61,4.446285,225,20029,11.38,175.54,15.601652,64,5510,7.62,30.96
86,4.644427,215,18214,17.26,71.67,4.413900,227,20256,11.39,180.14,15.530261,64,5574,7.63,31.05
87,4.516890,221,18435,17.28,71.67,4.411849,226,20482,11.39,180.15,15.364913,65,5639,7.64,31.14
88,4.458075,223,18658,17.31,72.11,4.317488,232,20714,11.41,180.48,15.668072,64,5703,7.65,31.31
89,4.531845,221,18879,17.33,72.43,4.275039,234,20948,11.41,180.48,15.919278,63,5766,7.65,31.57
90,4.509390,222,19101,17.37,73.22,4.289952,232,21180,11.40,180.51,15.370760,65,5831,7.66,31.66
91,4.636774,215,19316,17.39,73.33,4.292300,234,21414,11.40,180.51,15.915581,63,5894,7.67,31.84
92,4.647182,215,19531,17.42,73.46,4.328177,230,21644,11.40,183.23,15.283385,65,5959,7.67,32.10
93,4.623565,215,19746,17.43,73.93,4.386151,228,21872,11.39,183.23,15.292664,65,6024,7.68,32.10
94,4.707235,212,19958,17.48,75.51,4.468807,224,22096,11.38,183.23,15.033899,67,6091,7.69,32.19
95,4.519632,221,20179,17.52,75.82,4.504389,222,22318,11.38,183.23,15.026265,67,6158,7.71,32.45
96,4.768352,209,20388,17.54,75.82,4.399273,227,22545,11.39,184.59,15.232988,65,6223,7.71,32.63
97,4.489514,223,20611,17.55,75.92,4.426721,226,22771,11.39,184.59,15.339773,65,6288,7.73,32.98
98,4.456449,223,20834,17.59,76.14,4.392536,228,22999,11.38,184.59,15.225074,66,6354,7.74,33.22
99,4.496007,222,21056,17.62,76.36,4.300677,232,23231,11.38,184.59,15.400884,65,6419,7.74,33.22
100,4.650362,215,21271,17.64,76.95,4.463120,224,23455,11.37,184.59,15.626377,64,6483,7.76,33.22
101,4.551639,219,21490,17.65,76.95,4.493044,222,23677,11.38,187.75,15.474922,65,6548,7.76,33.22
102,4.500062,222,21712,17.67,77.07,4.384423,228,23905,11.37,188.30,15.538608,64,6612,7.76,33.75
103,4.661725,214,21926,17.69,77.07,4.247574,236,24141,11.37,188.30,15.729569,63,6675,7.78,34.01
104,4.481564,223,22149,17.70,77.07,4.253652,235,24376,11.36,188.30,15.448448,65,6740,7.78,34.01
105,4.831480,206,22355,17.73,77.07,4.250279,235,24611,11.35,188.30,15.286049,66,6806,7.79,34.01
106,4.825886,207,22562,17.72,77.07,4.204242,237,24848,11.34,188.30,15.600906,64,6870,7.79,34.19
107,4.821512,207,22769,17.72,77.39,4.233312,237,25085,11.33,188.30,15.289293,65,6935,7.80,34.36
108,4.644940,215,22984,17.72,77.50,4.196560,238,25323,11.32,188.30,15.626150,64,6999,7.82,34.79
109,4.750501,210,23194,17.74,77.50,4.164482,240,25563,11.33,188.33,15.587536,64,7063,7.82,34.88
110,4.747086,210,23404,17.74,77.50,4.244364,236,25799,11.33,190.38,15.624425,64,7127,7.83,34.88
111,4.654452,214,23618,17.75,77.64,4.216530,237,26036,11.33,190.38,15.791358,64,7191,7.83,34.88
112,4.708657,212,23830,17.75,77.76,4.166163,240,26276,11.33,190.38,15.427928,64,7255,7.85,35.15
113,4.597551,217,24047,17.77,78.01,4.209476,237,26513,11.32,190.38,15.520850,64,7319,7.85,35.23
114,4.656587,215,24262,17.77,78.17,4.226436,237,26750,11.32,190.38,15.599281,64,7383,7.86,35.50
115,4.748622,210,24472,17.78,78.30,4.305271,232,26982,11.31,190.38,15.885038,64,7447,7.87,35.76
116,4.631954,215,24687,17.80,78.30,4.242528,235,27217,11.31,190.38,16.129405,62,7509,7.87,35.94
117,4.612858,217,24904,17.80,78.30,4.195124,238,27455,11.31,194.16,15.857067,63,7572,7.89,36.03
118,4.534492,220,25124,17.81,78.42,4.201643,238,27693,11.31,194.16,15.595588,64,7636,7.90,36.11
119,4.647743,215,25339,17.81,78.42,4.207573,238,27931,11.32,195.53,15.668625,64,7700,7.91,36.47
120,4.583196,218,25557,17.82,78.66,4.185386,239,28170,11.31,195.53,15.535207,64,7764,7.91,36.47
121,4.813019,208,25765,17.83,78.81,4.196368,238,28408,11.31,195.53,15.765147,63,7827,7.92,36.47
122,4.836020,205,25970,17.83,78.81,4.169795,240,28648,11.30,195.53,15.756849,64,7891,7.92,36.47
123,4.748095,212,26182,17.82,79.10,4.307083,232,28880,11.30,195.53,15.712812,64,7955,7.94,36.73
124,4.856544,205,26387,17.82,79.10,4.251539,235,29115,11.30,195.53,15.797609,63,8018,7.94,36.91
125,4.661760,215,26602,17.83,79.23,4.352242,230,29345,11.29,195.53,15.829756,63,8081,7.95,32.85
126,4.554363,219,26821,17.85,79.60,4.006200,249,29594,11.28,195.53,15.710305,64,8145,7.94,32.94
127,4.599506,217,27038,17.85,79.60,4.210431,238,29832,11.27,195.53,14.866227,67,8212,7.95,33.03
128,4.709063,211,27249,17.85,80.82,4.188592,238,30070,11.27,195.53,15.511840,64,8276,7.96,33.39
129,4.924050,204,27453,17.85,80.96,4.218655,237,30307,11.27,195.53,15.294052,66,8342,7.97,33.69
130,4.745127,210,27663,17.87,80.96,4.220862,237,30544,11.26,195.57,15.245605,65,8407,7.98,33.80
131,4.776599,209,27872,17.87,80.96,4.303271,232,30776,11.26,195.57,15.683929,64,8471,8.00,34.06
