2016-03-25 16:34:22.602335 I | etcdserver: start to snapshot (applied: 122343, lastsnap: 112160)
2016-03-25 16:34:22.642641 I | etcdserver: saved snapshot at index 122343
2016-03-25 16:34:22.642797 I | etcdserver: compacted raft log at 117343
2016-03-25 16:34:23.250853 I | etcdserver: start to snapshot (applied: 132457, lastsnap: 122343)
2016-03-25 16:34:23.286479 I | etcdserver: saved snapshot at index 132457
2016-03-25 16:34:23.286638 I | etcdserver: compacted raft log at 127457
2016-03-25 16:34:24.057713 I | etcdserver: start to snapshot (applied: 142561, lastsnap: 132457)
2016-03-25 16:34:24.089324 I | etcdserver: saved snapshot at index 142561
2016-03-25 16:34:24.089638 I | etcdserver: compacted raft log at 137561
2016-03-25 16:34:24.690693 I | etcdserver: start to snapshot (applied: 152843, lastsnap: 142561)
2016-03-25 16:34:24.750257 I | etcdserver: saved snapshot at index 152843
2016-03-25 16:34:24.750533 I | etcdserver: compacted raft log at 147843
2016-03-25 16:34:25.312960 I | etcdserver: start to snapshot (applied: 163036, lastsnap: 152843)
2016-03-25 16:34:25.374682 I | etcdserver: saved snapshot at index 163036
2016-03-25 16:34:25.374934 I | etcdserver: compacted raft log at 158036
2016-03-25 16:34:25.977374 I | etcdserver: start to snapshot (applied: 173123, lastsnap: 163036)
2016-03-25 16:34:26.022824 I | etcdserver: saved snapshot at index 173123
2016-03-25 16:34:26.023113 I | etcdserver: compacted raft log at 168123
2016-03-25 16:34:26.041178 I | wal: segmented wal file /mnt/ssd0/data.etcd/member/wal/0000000000000001-000000000002a92f.wal is created
2016-03-25 16:34:26.633581 I | etcdserver: start to snapshot (applied: 183241, lastsnap: 173123)
2016-03-25 16:34:26.665600 I | etcdserver: saved snapshot at index 183241
2016-03-25 16:34:26.665770 I | etcdserver: compacted raft log at 178241
2016-03-25 16:34:27.332730 I | etcdserver: start to snapshot (applied: 193374, lastsnap: 183241)
2016-03-25 16:34:27.361079 I | etcdserver: saved snapshot at index 193374
2016-03-25 16:34:27.361253 I | etcdserver: compacted raft log at 188374
2016-03-25 16:34:28.005126 I | etcdserver: start to snapshot (applied: 203473, lastsnap: 193374)
2016-03-25 16:34:28.037498 I | etcdserver: saved snapshot at index 203473
2016-03-25 16:34:28.037706 I | etcdserver: compacted raft log at 198473
2016-03-25 16:34:28.813452 I | etcdserver: start to snapshot (applied: 213633, lastsnap: 203473)
2016-03-25 16:34:28.834719 I | etcdserver: saved snapshot at index 213633
2016-03-25 16:34:28.834903 I | etcdserver: compacted raft log at 208633
2016-03-25 16:34:29.505284 I | etcdserver: start to snapshot (applied: 223965, lastsnap: 213633)
2016-03-25 16:34:29.532771 I | etcdserver: saved snapshot at index 223965
2016-03-25 16:34:29.532935 I | etcdserver: compacted raft log at 218965
2016-03-25 16:34:30.185646 I | etcdserver: start to snapshot (applied: 233994, lastsnap: 223965)
2016-03-25 16:34:30.216198 I | etcdserver: saved snapshot at index 233994
2016-03-25 16:34:30.216439 I | etcdserver: compacted raft log at 228994
2016-03-25 16:34:30.863923 I | etcdserver: start to snapshot (applied: 244049, lastsnap: 233994)
2016-03-25 16:34:30.926113 I | etcdserver: saved snapshot at index 244049
2016-03-25 16:34:30.926288 I | etcdserver: compacted raft log at 239049
2016-03-25 16:34:31.498793 I | etcdserver: start to snapshot (applied: 254061, lastsnap: 244049)
2016-03-25 16:34:31.539256 I | etcdserver: saved snapshot at index 254061
2016-03-25 16:34:31.539581 I | etcdserver: compacted raft log at 249061
2016-03-25 16:34:32.141086 I | etcdserver: start to snapshot (applied: 264154, lastsnap: 254061)
2016-03-25 16:34:32.190184 I | etcdserver: saved snapshot at index 264154
2016-03-25 16:34:32.190504 I | etcdserver: compacted raft log at 259154
2016-03-25 16:34:33.027029 I | etcdserver: start to snapshot (applied: 274644, lastsnap: 264154)
2016-03-25 16:34:33.057635 I | etcdserver: saved snapshot at index 274644
2016-03-25 16:34:33.057794 I | etcdserver: compacted raft log at 269644
2016-03-25 16:34:33.654880 I | etcdserver: start to snapshot (applied: 284742, lastsnap: 274644)
2016-03-25 16:34:33.681698 I | etcdserver: saved snapshot at index 284742
2016-03-25 16:34:33.681845 I | etcdserver: compacted raft log at 279742
2016-03-25 16:34:34.407684 I | etcdserver: start to snapshot (applied: 295205, lastsnap: 284742)
2016-03-25 16:34:34.431231 I | etcdserver: saved snapshot at index 295205
2016-03-25 16:34:34.431372 I | etcdserver: compacted raft log at 290205
2016-03-25 16:34:35.079869 I | etcdserver: start to snapshot (applied: 305250, lastsnap: 295205)
2016-03-25 16:34:35.108288 I | etcdserver: saved snapshot at index 305250
2016-03-25 16:34:35.108453 I | etcdserver: compacted raft log at 300250
2016-03-25 16:34:35.843225 I | etcdserver: start to snapshot (applied: 315523, lastsnap: 305250)
2016-03-25 16:34:35.870365 I | etcdserver: saved snapshot at index 315523
2016-03-25 16:34:35.870524 I | etcdserver: compacted raft log at 310523
2016-03-25 16:34:36.519407 I | etcdserver: start to snapshot (applied: 325779, lastsnap: 315523)
2016-03-25 16:34:36.553488 I | etcdserver: saved snapshot at index 325779
2016-03-25 16:34:36.553629 I | etcdserver: compacted raft log at 320779
2016-03-25 16:34:37.372171 I | etcdserver: start to snapshot (applied: 335886, lastsnap: 325779)
2016-03-25 16:34:37.395439 I | etcdserver: saved snapshot at index 335886
2016-03-25 16:34:37.395567 I | etcdserver: compacted raft log at 330886
2016-03-25 16:34:38.149505 I | etcdserver: start to snapshot (applied: 345995, lastsnap: 335886)
2016-03-25 16:34:38.179291 I | etcdserver: saved snapshot at index 345995
2016-03-25 16:34:38.179461 I | etcdserver: compacted raft log at 340995
2016-03-25 16:34:38.262627 I | wal: segmented wal file /mnt/ssd0/data.etcd/member/wal/0000000000000002-000000000005504e.wal is created
2016-03-25 16:34:38.889746 I | etcdserver: start to snapshot (applied: 356349, lastsnap: 345995)
2016-03-25 16:34:38.930896 I | etcdserver: saved snapshot at index 356349
2016-03-25 16:34:38.931096 I | etcdserver: compacted raft log at 351349
2016-03-25 16:34:39.536911 I | etcdserver: start to snapshot (applied: 366528, lastsnap: 356349)
2016-03-25 16:34:39.583031 I | etcdserver: saved snapshot at index 366528
2016-03-25 16:34:39.585270 I | etcdserver: compacted raft log at 361528
2016-03-25 16:34:40.203601 I | etcdserver: start to snapshot (applied: 376580, lastsnap: 366528)
2016-03-25 16:34:40.252970 I | etcdserver: saved snapshot at index 376580
2016-03-25 16:34:40.253123 I | etcdserver: compacted raft log at 371580
2016-03-25 16:34:40.885578 I | etcdserver: start to snapshot (applied: 386757, lastsnap: 376580)
2016-03-25 16:34:40.918581 I | etcdserver: saved snapshot at index 386757
2016-03-25 16:34:40.918821 I | etcdserver: compacted raft log at 381757
2016-03-25 16:34:41.713135 I | etcdserver: start to snapshot (applied: 396793, lastsnap: 386757)
2016-03-25 16:34:41.750181 I | etcdserver: saved snapshot at index 396793
2016-03-25 16:34:41.750381 I | etcdserver: compacted raft log at 391793
2016-03-25 16:34:42.412834 I | etcdserver: start to snapshot (applied: 406988, lastsnap: 396793)
2016-03-25 16:34:42.459606 I | etcdserver: saved snapshot at index 406988
2016-03-25 16:34:42.460004 I | etcdserver: compacted raft log at 401988
2016-03-25 16:34:43.125577 I | etcdserver: start to snapshot (applied: 417002, lastsnap: 406988)
2016-03-25 16:34:43.157058 I | etcdserver: saved snapshot at index 417002
2016-03-25 16:34:43.157277 I | etcdserver: compacted raft log at 412002
2016-03-25 16:34:43.821925 I | etcdserver: start to snapshot (applied: 427043, lastsnap: 417002)
2016-03-25 16:34:43.855649 I | etcdserver: saved snapshot at index 427043
2016-03-25 16:34:43.855795 I | etcdserver: compacted raft log at 422043
2016-03-25 16:34:44.584960 I | etcdserver: start to snapshot (applied: 437130, lastsnap: 427043)
2016-03-25 16:34:44.618961 I | etcdserver: saved snapshot at index 437130
2016-03-25 16:34:44.619181 I | etcdserver: compacted raft log at 432130
2016-03-25 16:34:45.239185 I | etcdserver: start to snapshot (applied: 447179, lastsnap: 437130)
2016-03-25 16:34:45.272530 I | etcdserver: saved snapshot at index 447179
2016-03-25 16:34:45.272716 I | etcdserver: compacted raft log at 442179
2016-03-25 16:34:45.893963 I | etcdserver: start to snapshot (applied: 457318, lastsnap: 447179)
2016-03-25 16:34:45.914947 I | etcdserver: saved snapshot at index 457318
2016-03-25 16:34:45.915111 I | etcdserver: compacted raft log at 452318
2016-03-25 16:34:46.713597 I | etcdserver: start to snapshot (applied: 467380, lastsnap: 457318)
2016-03-25 16:34:46.750744 I | etcdserver: saved snapshot at index 467380
2016-03-25 16:34:46.750915 I | etcdserver: compacted raft log at 462380
2016-03-25 16:34:47.405460 I | etcdserver: start to snapshot (applied: 477771, lastsnap: 467380)
2016-03-25 16:34:47.434049 I | etcdserver: saved snapshot at index 477771
2016-03-25 16:34:47.434194 I | etcdserver: compacted raft log at 472771
2016-03-25 16:34:48.240871 I | etcdserver: start to snapshot (applied: 488128, lastsnap: 477771)
2016-03-25 16:34:48.280900 I | etcdserver: saved snapshot at index 488128
2016-03-25 16:34:48.281106 I | etcdserver: compacted raft log at 483128
2016-03-25 16:34:48.847052 I | etcdserver: start to snapshot (applied: 498164, lastsnap: 488128)
2016-03-25 16:34:48.886138 I | etcdserver: saved snapshot at index 498164
2016-03-25 16:34:48.886407 I | etcdserver: compacted raft log at 493164
2016-03-25 16:34:49.194173 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000004ed6.snap successfully
2016-03-25 16:34:49.194219 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000000771c.snap successfully
2016-03-25 16:34:49.194249 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000009f68.snap successfully
2016-03-25 16:34:49.194275 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000000c6a9.snap successfully
2016-03-25 16:34:49.194302 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000000ee7c.snap successfully
2016-03-25 16:34:49.194327 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000001162f.snap successfully
2016-03-25 16:34:49.194359 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000013e44.snap successfully
2016-03-25 16:34:49.194385 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000001665b.snap successfully
2016-03-25 16:34:49.194412 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000018d74.snap successfully
2016-03-25 16:34:49.194439 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000001b620.snap successfully
2016-03-25 16:34:49.194466 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000001dde7.snap successfully
2016-03-25 16:34:49.194492 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000020569.snap successfully
2016-03-25 16:34:49.194519 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000022ce1.snap successfully
2016-03-25 16:34:49.194544 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000002550b.snap successfully
2016-03-25 16:34:49.194570 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-0000000000027cdc.snap successfully
2016-03-25 16:34:49.194596 I | fileutil: purged file /mnt/ssd0/data.etcd/member/snap/0000000000000003-000000000002a443.snap successfully
