second,avg_latency_ms_consul,throughput_consul,cumulative_throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_etcd3multi,throughput_etcd3multi,cumulative_throughput_etcd3multi,avg_cpu_etcd3multi,avg_memory_mb_etcd3multi,avg_latency_ms_etcd2,throughput_etcd2,cumulative_throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
126,1801.193523,470,333487,50.64,897.34,78.491373,14916,1700902,164.42,929.47,63.988736,13384,1738023,157.91,879.35,116.705693,7903,383193,101.04,5749.40,40.545078,23590,2822359,195.16,3435.35
127,1749.596478,719,334206,50.48,897.51,103.382408,9785,1710687,165.29,936.82,73.050000,15642,1753665,158.57,886.71,345.107152,1474,384667,102.90,5749.62,40.316093,25782,2848141,195.88,3435.35
128,1721.703279,536,334742,50.58,897.67,55.591180,15399,1726086,165.70,939.31,87.677881,11337,1765002,159.20,894.11,632.090951,1981,386648,105.40,5750.56,39.140208,25500,2873641,196.08,3456.47
129,1754.725427,554,335296,50.44,897.81,135.208602,8369,1734455,166.29,945.03,77.993386,12769,1777771,159.93,897.92,199.093219,4510,391158,107.07,5777.19,36.524254,24722,2898363,196.54,3466.70
130,1777.097449,622,335918,50.48,897.92,75.073345,13325,1747780,166.86,954.68,71.628436,14138,1791909,160.35,902.84,605.259293,1672,392830,109.32,5916.07,38.792982,28504,2926867,196.62,3488.25
131,1719.348317,520,336438,50.40,898.06,76.345868,12840,1760620,167.54,958.95,88.770671,10665,1802574,160.88,908.77,646.648465,1758,394588,110.50,6234.56,42.008041,23722,2950589,197.08,3488.84
132,1767.001197,565,337003,50.40,898.46,76.170017,13044,1773664,168.34,965.35,67.801446,12797,1815371,161.36,917.61,146.122843,6514,401102,112.05,6247.59,31.575349,29299,2979888,197.22,3493.51
133,1847.328885,459,337462,50.35,898.46,74.092976,13438,1787102,168.80,970.45,80.441952,14589,1829960,161.96,925.01,106.800658,8905,410007,113.78,6247.59,90.053088,6976,2986864,197.26,3499.04
134,1780.226249,722,338184,50.34,898.46,83.929474,9736,1796838,169.60,980.18,76.892596,12371,1842331,162.47,929.02,489.045133,1634,411641,115.06,6263.72,121.857449,8181,2995045,197.86,3498.74
135,1754.570454,371,338555,50.31,899.71,95.632110,12686,1809524,169.87,982.25,87.145419,11745,1854076,163.02,934.86,401.283878,2602,414243,116.18,6263.72,1022.161851,133,2995178,198.21,3498.73
136,1814.001838,683,339238,50.29,899.91,80.260360,10306,1819830,170.56,990.20,75.497216,12446,1866522,163.43,941.34,286.143593,3726,417969,117.81,6264.65,6282.861876,32,,,
137,1796.450776,656,339894,50.52,905.74,90.651643,12944,1832774,170.92,994.08,94.976511,11297,1877819,164.12,950.71,586.883689,1454,419423,118.64,6264.73,,,,,
138,1749.904738,369,340263,50.66,905.83,79.184631,12437,1845211,171.73,1000.39,60.072054,15332,1893151,164.55,956.18,243.166071,5362,424785,119.41,6295.76,,,,,
139,1900.810042,666,340929,50.71,1016.27,77.258587,12891,1858102,172.08,1002.15,80.524784,13467,1906618,165.15,961.65,99.809090,6822,431607,120.67,6454.89,,,,,
140,1660.295574,621,341550,50.84,1031.67,78.521024,12847,1870949,172.90,1010.37,81.268876,9220,1915838,165.59,967.35,141.418336,2547,434154,121.62,6455.07,,,,,
141,1283.226576,913,342463,50.87,1074.18,75.734108,13114,1884063,173.35,1015.71,73.535176,16276,1932114,166.14,971.03,907.948033,258,434412,122.32,6455.75,,,,,
142,1161.919307,796,343259,50.99,1074.71,91.021063,8554,1892617,173.97,1021.56,87.611591,11979,1944093,167.05,979.16,862.428912,453,434865,123.76,6455.75,,,,,
143,1112.650927,1000,344259,51.02,1074.88,81.494654,14945,1907562,174.35,1025.57,62.634037,13475,1957568,167.57,983.28,866.699290,163,435028,125.23,6459.85,,,,,
144,939.309892,1185,345444,51.16,1074.88,134.243972,7491,1915053,175.04,1031.03,81.725850,14152,1971720,168.17,988.47,646.586878,811,435839,126.68,6459.85,,,,,
145,854.545508,1118,346562,51.20,1074.88,60.211988,16674,1931727,175.43,1039.33,99.510722,10101,1981821,168.71,996.71,577.657807,1040,436879,127.63,6484.73,,,,,
146,826.556592,1386,347948,51.33,1074.88,108.454028,9183,1940910,176.19,1045.81,63.577628,15548,1997369,169.20,999.63,504.807266,812,437691,129.43,6484.73,,,,,
147,740.791062,1317,349265,51.38,1074.88,56.521198,17170,1958080,176.57,1050.89,83.224063,11256,2008625,169.87,1006.09,974.606597,480,438171,130.76,6485.45,,,,,
148,608.909769,1923,351188,51.65,1074.88,126.302150,8009,1966089,177.27,1056.09,66.575330,12987,2021612,170.38,1013.72,1698.621842,1,438172,132.00,6485.45,,,,,
149,484.011153,2006,353194,51.67,1074.88,69.894607,14244,1980333,177.44,1060.22,88.151123,13430,2035042,170.95,1018.42,362.661864,57,438229,133.51,6486.40,,,,,
150,575.435710,1773,354967,52.00,1074.88,123.023384,7446,1987779,178.16,1066.07,98.854405,10222,2045264,171.37,1025.89,321.467545,621,438850,135.36,6486.78,,,,,
151,531.281120,1437,356404,51.97,1074.97,64.535517,15887,2003666,178.50,1069.11,68.716916,14340,2059604,171.94,1032.96,404.610867,846,439696,136.31,6486.78,,,,,
152,515.126471,2391,358795,52.30,1074.97,106.914670,9073,2012739,179.25,1077.48,84.054342,12200,2071804,172.46,1037.57,456.784682,1015,440711,137.82,6486.78,,,,,
153,491.844698,2065,360860,52.36,1074.97,64.860025,13668,2026407,179.54,1081.09,67.736684,14129,2085933,173.08,1046.16,400.757346,1162,441873,138.37,6486.78,,,,,
154,435.326522,2098,362958,52.59,1074.97,97.866063,11341,2037748,180.28,1092.10,82.575092,12309,2098242,173.48,1050.52,334.086700,1192,443065,138.86,6573.69,,,,,
155,507.988955,2157,365115,52.74,1074.97,72.804916,12076,2049824,180.47,1097.08,83.076177,10858,2109100,173.97,1054.34,472.189713,888,443953,139.70,6573.69,,,,,
156,437.459326,2138,367253,52.74,1074.97,91.018926,12377,2062201,181.14,1101.41,75.720242,14245,2123345,174.48,1059.77,484.059077,810,444763,140.24,6573.69,,,,,
157,497.211161,2003,369256,53.07,1074.97,88.908393,10762,2072963,181.43,1106.13,92.275791,9902,2133247,175.32,1065.62,471.572583,1054,445817,140.32,6573.69,,,,,
158,479.445783,2064,371320,53.03,1074.97,79.397522,14071,2087034,182.11,1112.00,62.145780,16996,2150243,175.66,1068.33,515.229946,1122,446939,140.01,6758.98,,,,,
159,508.043313,2134,373454,53.36,1074.97,92.436358,9463,2096497,182.46,1114.95,97.232362,10845,2161088,176.46,1076.32,462.572568,1111,448050,139.57,6760.34,,,,,
160,464.829693,2070,375524,53.38,1074.97,72.655365,15791,2112288,183.16,1121.39,64.942442,14875,2175963,176.65,1081.54,393.848768,876,448926,139.17,6760.34,,,,,
161,443.597170,2070,377594,53.69,1074.97,93.092673,7838,2120126,183.55,1126.95,103.987806,9949,2185912,177.22,1091.29,468.266657,1307,450233,139.23,6760.34,,,,,
162,501.540082,2130,379724,53.78,1074.97,77.551886,14209,2134335,183.73,1132.44,57.686203,15275,2201187,177.77,1097.84,353.422142,1225,451458,139.19,6760.34,,,,,
163,428.345228,2312,382036,53.98,1074.97,111.476622,9577,2143912,184.33,1138.71,90.316143,12160,2213347,178.39,1102.70,390.387149,1193,452651,139.34,6760.34,,,,,
164,458.855515,2373,384409,54.11,1074.97,80.757226,13259,2157171,184.64,1141.65,69.589546,11992,2225339,178.76,1110.12,660.374279,242,452893,139.43,6760.34,,,,,
165,393.277972,2219,386628,54.11,1074.97,83.160676,10950,2168121,185.41,1151.27,90.649853,12775,2238114,179.22,1113.97,726.514214,530,453423,139.47,6760.34,,,,,
166,398.401149,2831,389459,54.46,1075.06,78.312786,13957,2182078,185.63,1151.87,82.019666,11181,2249295,179.65,1117.19,636.923448,688,454111,139.57,6760.34,,,,,
167,290.008074,3386,392845,54.51,1075.06,77.978743,11604,2193682,186.58,1163.31,72.320750,13867,2263162,180.14,1123.48,574.194165,947,455058,139.85,6760.34,,,,,
168,277.090660,3781,396626,54.97,1075.06,69.297860,15718,2209400,186.66,1165.34,98.235074,11290,2274452,180.62,1129.58,413.902304,849,455907,139.54,6760.34,,,,,
169,290.061135,3338,399964,55.04,1075.06,85.576489,8539,2217939,187.29,1178.67,63.032400,14277,2288729,181.07,1136.68,503.427410,1130,457037,139.11,6760.34,,,,,
170,307.148328,3193,403157,55.46,1075.06,99.404173,12727,2230666,187.73,1182.33,117.606888,9311,2298040,181.50,1143.06,329.055278,1492,458529,139.04,6760.39,,,,,
171,314.353500,2665,405822,55.50,1075.06,60.209480,12157,2242823,188.21,1186.78,63.326234,15213,2313253,181.93,1148.66,104.664244,9292,467821,138.99,6760.39,,,,,
172,313.513851,3712,409534,55.76,1075.23,108.888775,11834,2254657,188.71,1191.38,101.109704,10172,2323425,182.47,1154.73,171.760429,5612,473433,139.26,6760.39,,,,,
173,260.068950,3945,413479,56.05,1075.23,58.274340,13459,2268116,189.02,1197.01,52.922381,16807,2340232,182.95,1158.49,122.135300,6792,480225,139.22,6760.39,,,,,
174,235.220111,4106,417585,56.22,1075.23,101.288801,10834,2278950,189.69,1206.01,115.787665,9641,2349873,183.47,1165.69,155.774059,5469,485694,139.29,6760.39,,,,,
175,272.929694,3870,421455,56.67,1075.23,67.459566,14610,2293560,189.81,1208.94,66.398297,14491,2364364,183.65,1169.54,166.009439,3173,488867,139.36,6760.39,,,,,
176,249.319734,3968,425423,56.75,1075.23,108.090333,10160,2303720,190.50,1214.66,120.446493,8446,2372810,184.35,1180.03,213.052744,2979,491846,139.45,6760.39,,,,,
177,279.162935,3482,428905,57.21,1075.39,81.295661,12566,2316286,190.76,1220.31,58.246491,17227,2390037,184.52,1183.33,100.784665,6543,498389,139.67,6760.39,,,,,
178,245.190384,4255,433160,57.30,1075.39,95.609205,10427,2326713,191.18,1227.47,110.729723,9054,2399091,185.37,1191.29,266.333588,2771,501160,139.30,6760.39,,,,,
179,258.698508,3783,436943,57.51,1075.39,85.949054,11661,2338374,191.67,1233.03,57.777324,16011,2415102,185.48,1192.75,342.075634,2291,503451,138.88,6760.39,,,,,
180,254.894089,4032,440975,57.84,1075.73,87.079629,11461,2349835,191.90,1233.90,110.791900,9477,2424579,186.03,1199.00,251.405730,2737,506188,138.66,6760.39,,,,,
181,263.742612,3726,444701,58.04,1075.73,59.468384,13464,2363299,192.59,1240.73,66.572157,15521,2440100,186.45,1204.37,689.453386,792,506980,139.16,6760.39,,,,,
182,260.040902,3655,448356,58.19,1075.73,99.711854,9035,2372334,192.68,1246.14,93.301742,10718,2450818,187.07,1211.42,392.157341,552,507532,140.05,6760.45,,,,,
183,280.006953,3827,452183,58.51,1075.90,92.695171,13794,2386128,193.20,1255.18,64.911969,15386,2466204,187.49,1214.48,902.900306,306,507838,141.04,6761.26,,,,,
184,230.772394,4160,456343,58.66,1075.90,86.544041,11357,2397485,193.63,1262.54,83.446008,11366,2477570,187.89,1223.06,288.521177,1933,509771,142.76,6762.03,,,,,
185,258.470131,3138,459481,58.89,1077.79,97.882263,10392,2407877,193.77,1264.12,85.925746,11701,2489271,188.37,1231.33,501.794609,802,510573,144.24,6762.10,,,,,
186,257.325727,4777,464258,59.22,1078.40,57.287947,14259,2422136,194.51,1271.17,88.586058,11334,2500605,188.63,1236.60,710.887425,300,510873,146.20,6762.51,,,,,
187,220.368520,4544,468802,59.30,1078.66,153.406197,7660,2429796,194.68,1273.45,67.575061,13509,2514114,189.12,1244.29,185.948631,2897,513770,147.73,6762.74,,,,,
188,295.477588,3072,471874,59.64,1088.80,59.455116,16644,2446440,195.33,1281.75,74.055776,11642,2525756,189.53,1248.81,657.280049,507,514277,149.34,6763.04,,,,,
189,235.881785,4608,476482,59.85,1090.81,124.374865,8125,2454565,195.59,1285.36,77.970676,14620,2540376,189.95,1252.41,755.665351,496,514773,151.25,6763.36,,,,,
190,266.137415,3775,480257,60.06,1091.16,70.385553,14322,2468887,195.79,1288.45,83.886285,12301,2552677,190.35,1260.35,320.133220,1321,516094,152.66,6763.36,,,,,
191,251.197191,3712,483969,60.25,1096.60,58.278905,11335,2480222,196.71,1299.96,82.052423,13111,2565788,190.69,1265.25,274.982392,3904,519998,154.30,6776.67,,,,,
192,251.909191,3855,487824,60.47,1102.84,94.187301,13956,2494178,196.89,1303.08,73.566359,13303,2579091,191.23,1273.98,158.991401,2726,522724,155.48,7229.65,,,,,
193,271.200044,4017,491841,60.66,1103.36,61.294008,13978,2508156,197.51,1310.77,97.500705,10405,2589496,191.49,1277.79,445.224568,1247,523971,156.80,8457.53,,,,,
194,231.324559,4288,496129,60.73,1103.45,101.379613,10253,2518409,197.87,1313.58,63.798516,14332,2603828,191.94,1283.02,551.430351,1123,525094,158.05,8868.26,,,,,
195,286.689382,3590,499719,61.08,1113.46,65.350942,16681,2535090,198.08,1318.92,132.526882,8286,2612114,192.38,1289.08,488.557457,2599,527693,158.90,8974.40,,,,,
196,241.530992,3961,503680,61.27,1115.08,105.171454,8851,2543941,198.79,1327.15,58.234663,16571,2628685,192.69,1293.37,117.897653,5517,533210,159.78,9685.54,,,,,
197,245.128808,4032,507712,61.31,1115.25,82.484608,13297,2557238,198.98,1331.55,138.608798,7412,2636097,193.33,1301.23,345.255050,1956,535166,160.90,9890.39,,,,,
198,281.626477,3648,511360,61.51,1118.68,98.878846,10047,2567285,199.47,1338.79,55.645241,18073,2654170,193.44,1301.99,509.041288,1045,536211,161.78,9890.39,,,,,
199,267.301511,3648,515008,61.71,1131.78,71.578716,12176,2579461,199.89,1343.21,91.500255,9031,2663201,194.23,1310.96,212.155252,3143,539354,162.65,9890.39,,,,,
200,245.975546,4160,519168,61.91,1132.93,69.799734,13660,2593121,200.10,1346.32,86.561700,13549,2676750,194.36,1313.85,577.458646,1958,541312,162.93,9890.39,,,,,
201,285.215313,3486,522654,62.10,1138.02,82.622573,13256,2606377,200.79,1355.52,56.844886,14082,2690832,194.90,1321.16,435.646336,1573,542885,163.37,9890.39,,,,,
202,236.586828,4288,526942,62.17,1138.55,109.389856,9899,2616276,200.81,1358.72,101.609394,11462,2702294,195.36,1327.91,141.586499,6747,549632,164.49,9890.39,,,,,
203,238.997862,3784,530726,62.38,1145.48,105.914027,9301,2625577,201.07,1360.77,60.391480,16576,2718870,195.48,1330.92,378.545475,1470,551102,165.25,9890.39,,,,,
204,274.483292,3929,534655,62.73,1156.63,56.912248,14508,2640085,201.69,1369.34,124.317747,7665,2726535,195.93,1340.13,499.467630,1651,552753,165.90,9890.39,,,,,
205,241.804706,4202,538857,62.79,1156.98,92.589241,11078,2651163,201.90,1375.13,84.434308,12640,2739175,196.24,1343.07,504.773458,601,553354,166.53,9890.39,,,,,
206,240.739409,3542,542399,62.90,1162.17,86.166576,13411,2664574,202.35,1383.81,100.145118,9930,2749105,196.41,1347.45,488.285944,1619,554973,167.07,9890.39,,,,,
207,261.532914,4352,546751,63.13,1170.00,73.383065,11610,2676184,202.75,1390.61,65.397247,13209,2762314,197.03,1357.89,265.812243,2334,557307,168.28,9890.39,,,,,
208,233.816501,4101,550852,63.29,1175.89,128.252229,8960,2685144,202.84,1392.16,70.651703,14160,2776474,197.29,1364.70,621.055329,272,557579,169.48,9890.39,,,,,
209,245.218050,3451,554303,63.54,1184.41,70.045804,13940,2699084,203.34,1400.70,90.879165,11724,2788198,197.67,1371.48,490.966280,935,558514,170.20,9890.39,,,,,
210,273.556081,4288,558591,63.70,1185.03,84.841878,11145,2710229,203.70,1407.53,98.904566,10728,2798926,198.03,1376.20,377.971961,1209,559723,170.44,9890.39,,,,,
211,233.400478,4352,562943,63.75,1185.11,92.191983,11558,2721787,203.88,1409.98,105.880566,9628,2808554,198.21,1381.34,530.297723,2041,561764,171.45,9890.39,,,,,
212,250.489153,3807,566750,63.84,1194.16,55.872381,16138,2737925,204.68,1421.27,56.416980,14432,2822986,198.56,1386.44,233.919058,2019,563783,172.87,9890.39,,,,,
213,281.197713,3694,570444,64.17,1201.29,173.024914,6276,2744201,204.81,1422.73,86.543673,12576,2835562,199.02,1391.52,808.464458,334,564117,173.58,9890.39,,,,,
214,225.524491,4467,574911,64.38,1212.14,58.380193,17142,2761343,205.22,1429.84,95.115632,11543,2847105,199.15,1393.83,665.481807,1353,565470,173.97,9890.39,,,,,
215,274.300084,3525,578436,64.43,1212.48,76.361205,9711,2771054,205.71,1433.80,73.156710,10199,2857304,199.64,1402.68,266.697647,3576,569046,175.24,9890.39,,,,,
216,290.446180,3464,581900,64.61,1219.33,108.005766,11760,2782814,205.81,1434.52,115.371424,9137,2866441,199.93,1410.55,214.894038,912,569958,175.99,9890.39,,,,,
217,234.347406,4338,586238,64.65,1220.05,59.512505,16627,2799441,206.39,1442.77,66.615179,17774,2884215,200.15,1415.13,334.330342,1883,571841,176.72,9890.39,,,,,
218,226.737647,4608,590846,64.85,1232.95,120.909927,7693,2807134,206.78,1449.27,86.563812,11299,2895514,200.75,1421.78,302.209843,2613,574454,177.00,9890.39,,,,,
219,215.100409,4415,595261,64.93,1236.83,69.053697,15392,2822526,206.93,1453.63,102.031035,10015,2905529,200.91,1424.08,286.873025,2997,577451,177.61,9890.39,,,,,
220,279.772829,3712,598973,65.30,1255.86,60.932724,10552,2833078,207.48,1465.61,56.175947,14927,2920456,201.20,1428.29,255.699014,2393,579844,178.21,9890.39,,,,,
221,216.448121,4544,603517,65.36,1257.24,109.259424,11146,2844224,207.74,1469.19,132.745857,6022,2926478,201.74,1436.84,275.031091,1458,581302,179.21,9890.39,,,,,
222,212.854378,4608,608125,65.43,1258.26,80.306809,14005,2858229,207.83,1473.67,75.837126,17851,2944329,201.82,1439.00,540.519453,733,582035,179.80,9890.39,,,,,
223,223.960939,3968,612093,65.62,1265.80,105.570361,9681,2867910,208.39,1483.40,54.306856,12876,2957205,202.56,1449.12,675.245565,1769,583804,180.04,9890.39,,,,,
224,250.753848,4559,616652,65.87,1281.83,71.948238,11632,2879542,208.67,1485.77,98.612004,13181,2970386,202.91,1452.53,350.951537,3108,586912,180.90,9890.39,,,,,
225,203.245578,4721,621373,65.93,1286.46,70.032783,16082,2895624,208.85,1490.75,64.660984,15507,2985893,203.05,1459.76,472.982348,1464,588376,181.24,9890.39,,,,,
226,276.165884,3587,624960,66.13,1300.65,102.951163,9678,2905302,209.50,1497.78,118.354285,7933,,,,275.333867,3182,591558,181.68,9890.39,,,,,
227,264.634757,3633,628593,66.14,1309.87,83.244765,11920,2917222,209.68,1501.85,74.468673,6174,,,,346.003424,2045,593603,181.94,9890.39,,,,,
228,239.115730,4520,633113,66.38,1315.17,67.409041,10883,2928105,209.73,1504.80,,,,,,736.425961,582,594185,182.64,9890.39,,,,,
229,207.523273,4864,637977,66.43,1318.91,100.022344,12666,2940771,210.38,1513.45,,,,,,494.284888,1923,596108,183.07,9890.39,,,,,
230,237.989892,4147,642124,66.67,1333.78,79.899141,12541,2953312,210.59,1519.36,,,,,,412.604801,1865,597973,183.97,9890.39,,,,,
231,233.310816,4049,646173,66.70,1345.10,121.628767,8353,2961665,210.70,1521.36,,,,,,222.647314,4239,602212,184.78,9890.39,,,,,
232,496.841395,2043,648216,66.99,1359.11,58.593296,16126,2977791,211.38,1525.93,,,,,,147.053923,2297,604509,184.94,9890.39,,,,,
233,331.822688,2972,651188,67.00,1360.11,81.431031,12571,2990362,211.54,1532.05,,,,,,662.371131,465,604974,185.13,9890.39,,,,,
234,408.117459,2260,653448,66.94,1361.64,125.295420,8232,,,,,,,,,334.648170,3033,608007,186.04,9890.39,,,,,
235,507.514172,1935,655383,66.86,1362.92,56.497437,1406,,,,,,,,,109.943978,9542,617549,186.59,9890.39,,,,,
236,536.662555,1810,657193,66.77,1364.44,,,,,,,,,,,137.348398,8246,625795,188.00,9970.04,,,,,
237,610.725892,1486,658679,66.66,1366.17,,,,,,,,,,,161.501282,1717,627512,188.34,9970.04,,,,,
238,681.421253,1456,660135,66.56,1367.11,,,,,,,,,,,1001.103368,5,627517,188.49,9970.04,,,,,
239,744.898291,1326,661461,66.45,1375.90,,,,,,,,,,,586.496351,472,627989,189.61,9970.04,,,,,
240,836.866141,1097,662558,66.51,1382.32,,,,,,,,,,,527.407230,971,628960,190.16,9970.04,,,,,
241,918.680638,1005,663563,66.39,1390.56,,,,,,,,,,,628.598267,750,629710,191.36,9970.04,,,,,
242,1013.179314,1000,664563,66.48,1397.77,,,,,,,,,,,145.147702,4588,634298,191.75,9970.04,,,,,
243,960.346800,1136,665699,66.36,1399.95,,,,,,,,,,,176.316062,3587,637885,192.09,9970.04,,,,,
244,956.678876,986,666685,66.23,1406.61,,,,,,,,,,,400.031987,1055,638940,192.86,9970.66,,,,,
245,1073.720761,867,667552,66.25,1412.10,,,,,,,,,,,522.492028,986,639926,193.87,9972.35,,,,,
246,1246.118252,899,668451,66.17,1412.63,,,,,,,,,,,329.461207,2006,641932,195.40,9975.82,,,,,
247,1163.374406,721,669172,66.03,1413.21,,,,,,,,,,,490.966980,891,642823,196.81,9976.77,,,,,
248,1176.667971,740,669912,65.90,1413.89,,,,,,,,,,,366.600421,840,643663,197.89,9976.77,,,,,
249,1182.277412,929,670841,65.77,1414.51,,,,,,,,,,,191.118337,3252,646915,198.68,9976.77,,,,,
250,1178.632781,917,671758,65.64,1414.64,,,,,,,,,,,396.187959,559,647474,199.85,9976.77,,,,,
251,1172.510039,814,672572,65.50,1415.06,,,,,,,,,,,956.621306,396,647870,200.96,9976.77,,,,,
252,1188.318634,931,673503,65.38,1415.52,,,,,,,,,,,967.843188,168,648038,202.22,9976.77,,,,,
253,1156.941370,907,674410,65.25,1416.30,,,,,,,,,,,597.128453,991,649029,203.49,9976.77,,,,,
254,1119.481079,862,675272,65.12,1417.16,,,,,,,,,,,790.655299,309,649338,204.52,9978.11,,,,,
255,1047.972081,880,676152,64.99,1418.52,,,,,,,,,,,531.162273,1523,650861,205.51,9978.11,,,,,
256,981.566199,1129,677281,64.88,1419.61,,,,,,,,,,,177.187395,4746,655607,206.69,10199.02,,,,,
257,898.240981,1216,678497,64.77,1425.14,,,,,,,,,,,608.276924,998,656605,207.94,10224.28,,,,,
258,885.862780,1076,679573,64.66,1432.08,,,,,,,,,,,905.047762,255,656860,209.23,10361.38,,,,,
259,856.691082,1143,680716,64.60,1439.11,,,,,,,,,,,889.789966,87,656947,210.14,11112.75,,,,,
260,821.486424,1070,681786,64.70,1442.24,,,,,,,,,,,580.484811,1178,658125,210.92,11687.49,,,,,
261,695.477398,1853,683639,64.75,1444.17,,,,,,,,,,,779.545482,1059,659184,211.23,12275.43,,,,,
262,506.564654,2001,685640,64.68,1448.26,,,,,,,,,,,122.918961,6600,665784,212.32,12449.79,,,,,
263,501.820816,1834,687474,64.67,1457.73,,,,,,,,,,,413.720110,1030,666814,212.72,13022.08,,,,,
264,638.557762,1570,689044,64.70,1459.58,,,,,,,,,,,398.542972,1821,668635,213.33,13351.70,,,,,
265,624.485430,1600,690644,64.61,1460.86,,,,,,,,,,,169.949219,6311,674946,213.78,13462.68,,,,,
266,586.906082,1825,692469,64.53,1463.02,,,,,,,,,,,240.530912,1983,676929,213.90,13828.78,,,,,
267,545.197085,1903,694372,64.46,1464.16,,,,,,,,,,,466.752384,1845,678774,214.57,14244.48,,,,,
268,531.446167,1807,696179,64.38,1465.89,,,,,,,,,,,179.811125,3086,681860,214.86,14518.25,,,,,
269,506.441280,1951,698130,64.32,1467.47,,,,,,,,,,,436.081143,1693,683553,215.61,14518.47,,,,,
270,504.854237,2002,700132,64.25,1469.57,,,,,,,,,,,90.728228,7574,691127,216.39,14518.47,,,,,
271,468.589575,2242,702374,64.19,1471.05,,,,,,,,,,,186.151418,4413,695540,217.15,14518.47,,,,,
272,464.326074,2330,704704,64.51,1481.52,,,,,,,,,,,121.348654,4724,700264,217.97,14518.47,,,,,
273,224.986250,4552,709256,64.58,1482.77,,,,,,,,,,,580.260188,498,700762,218.60,14518.47,,,,,
274,263.592101,3689,712945,64.78,1492.69,,,,,,,,,,,196.893566,1157,701919,219.22,14518.47,,,,,
275,258.639407,3807,716752,64.80,1496.71,,,,,,,,,,,502.327615,1857,703776,220.09,14544.77,,,,,
276,294.331965,3398,720150,64.81,1498.68,,,,,,,,,,,338.813172,1373,705149,220.93,14545.17,,,,,
277,300.268970,3288,723438,64.86,1500.50,,,,,,,,,,,618.721362,421,705570,221.94,14545.35,,,,,
278,339.878018,2833,726271,64.93,1502.77,,,,,,,,,,,834.609042,35,705605,222.29,14618.46,,,,,
279,414.075336,2108,728379,65.28,1551.27,,,,,,,,,,,290.130395,3175,708780,222.96,14678.48,,,,,
280,426.830876,2618,730997,65.62,1562.18,,,,,,,,,,,732.180610,926,709706,223.92,14678.48,,,,,
281,392.930312,2051,733048,65.64,1564.92,,,,,,,,,,,645.269766,644,710350,224.77,14678.48,,,,,
282,491.441233,2379,735427,65.63,1605.94,,,,,,,,,,,420.557143,2029,712379,225.67,14679.32,,,,,
283,424.360892,2269,737696,65.76,1633.33,,,,,,,,,,,124.121329,5594,717973,226.64,14679.27,,,,,
284,436.856682,2305,740001,65.70,1642.71,,,,,,,,,,,568.106874,1768,719741,227.72,14679.36,,,,,
285,459.105737,2244,742245,65.66,1696.22,,,,,,,,,,,167.488641,4394,724135,228.68,14679.48,,,,,
286,473.306902,2140,744385,65.80,1711.54,,,,,,,,,,,361.888775,2098,726233,229.56,14679.32,,,,,
287,436.185328,2376,746761,65.78,1713.39,,,,,,,,,,,466.745875,1860,728093,230.39,14679.48,,,,,
288,421.802905,2067,748828,65.95,1732.92,,,,,,,,,,,612.018005,523,728616,231.79,14679.55,,,,,
289,542.861900,1926,750754,66.19,1748.76,,,,,,,,,,,215.633608,2350,730966,232.54,14679.55,,,,,
290,461.025496,2423,753177,66.44,1754.90,,,,,,,,,,,518.653303,1182,732148,233.19,14679.55,,,,,
291,303.391043,3240,756417,66.70,1756.81,,,,,,,,,,,450.588974,1592,733740,234.01,14679.55,,,,,
292,285.523639,1872,758289,66.70,1778.50,,,,,,,,,,,785.395279,247,733987,235.27,14679.55,,,,,
293,541.663400,2739,761028,66.87,1795.23,,,,,,,,,,,88.261820,3851,737838,236.57,14679.55,,,,,
294,536.768730,1362,762390,66.98,1854.38,,,,,,,,,,,568.935376,1267,739105,237.44,14679.55,,,,,
295,717.922369,1190,763580,66.89,1913.51,,,,,,,,,,,412.499613,1000,740105,237.95,14706.17,,,,,
296,978.193948,812,764392,66.95,1933.07,,,,,,,,,,,551.860570,863,740968,238.25,14782.00,,,,,
297,1358.151395,841,765233,67.02,1947.40,,,,,,,,,,,413.293274,546,741514,239.44,14942.59,,,,,
298,1614.763418,413,765646,66.90,1956.84,,,,,,,,,,,392.052982,670,742184,240.32,15022.75,,,,,
299,1715.836390,631,766277,66.95,1963.21,,,,,,,,,,,158.853183,3946,746130,241.11,15045.51,,,,,
300,1985.801600,368,766645,67.01,1970.78,,,,,,,,,,,368.509831,1846,747976,241.76,15076.90,,,,,
301,2015.777827,636,767281,66.89,1970.78,,,,,,,,,,,434.256989,1274,749250,242.45,15107.14,,,,,
302,1948.494177,370,767651,66.94,1975.47,,,,,,,,,,,758.073797,570,749820,243.03,15303.32,,,,,
303,1972.829223,616,768267,67.00,1975.83,,,,,,,,,,,581.078759,612,750432,243.69,15420.54,,,,,
304,1995.119297,445,768712,66.95,1975.83,,,,,,,,,,,458.750529,1162,751594,244.27,15518.14,,,,,
305,1985.584183,575,769287,66.93,1975.83,,,,,,,,,,,584.624072,418,752012,244.83,15518.96,,,,,
