second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_3.4.8,throughput_zookeeper_3.4.8,cumulative_throughput_zookeeper_3.4.8,avg_cpu_zookeeper_3.4.8,avg_memory_mb_zookeeper_3.4.8,avg_latency_ms_consul_0.6.4,throughput_consul_0.6.4,cumulative_throughput_consul_0.6.4,avg_cpu_consul_0.6.4,avg_memory_mb_consul_0.6.4
0,15.129325,60043,60043,24.39,91.07,16.857289,14488,14488,8.56,78.52,1.907043,29629,29629,1.36,15.95
1,17.463598,55020,115063,46.32,91.59,20.261367,45920,60408,26.88,146.25,2.007949,40699,70328,21.80,17.85
2,20.747577,48266,163329,66.60,95.66,9.263234,80894,141302,40.62,151.88,1.947106,41066,111394,40.03,17.94
3,19.444096,49112,212441,84.33,95.66,6.419493,122497,263799,50.84,177.44,1.968215,41359,152753,56.87,18.23
4,20.356645,48295,260736,99.89,97.55,7.147349,124933,388732,59.82,235.32,1.973893,41238,193991,73.48,18.39
5,19.972641,48635,309371,113.79,97.55,7.179464,122809,511541,67.94,285.80,1.941516,42088,236079,87.57,18.48
6,20.209235,48472,357843,126.30,97.55,7.495809,122025,633566,75.33,284.75,1.953267,41858,277937,100.40,18.48
7,20.420485,48358,406201,137.34,97.55,7.025733,126794,760360,81.80,279.55,2.307831,36710,314647,111.45,18.48
8,20.194759,48241,454442,147.59,97.64,6.643187,130268,890628,88.02,275.27,4.207729,21816,336463,117.17,18.48
9,19.868149,48671,503113,156.62,97.72,6.641146,109217,,,,3.320878,27073,363536,119.21,18.71
10,20.419482,47799,550912,164.92,97.72,,,,,,2.038592,40955,404491,124.62,18.71
11,20.403296,47987,598899,172.67,97.80,,,,,,1.993145,41809,446300,132.53,18.71
12,20.422926,48317,647216,179.86,101.38,,,,,,1.998040,40902,487202,139.61,18.71
13,20.107540,47569,694785,186.35,101.38,,,,,,1.952709,41841,529043,146.27,18.71
14,20.074813,49614,744399,192.34,104.99,,,,,,1.961309,41653,570696,152.53,19.20
15,20.249221,48388,792787,198.04,104.99,,,,,,1.965421,41774,612470,158.28,19.20
16,20.213241,48262,841049,203.46,105.08,,,,,,2.020913,41065,653535,163.55,19.35
17,20.307314,48294,889343,208.24,105.08,,,,,,1.958990,42037,695572,168.26,19.43
18,20.315599,48417,937760,212.75,105.13,,,,,,1.996671,41155,736727,172.89,19.43
19,19.806713,48688,986448,216.99,105.13,,,,,,1.977311,41600,778327,176.98,19.43
20,23.005066,13552,,,,,,,,,1.940539,42347,820674,181.17,19.43
21,,,,,,,,,,,1.977073,41554,862228,185.02,19.43
22,,,,,,,,,,,1.958301,41837,904065,188.56,19.43
23,,,,,,,,,,,1.978952,41596,945661,191.92,19.43
24,,,,,,,,,,,2.008015,41305,986966,195.26,19.43
25,,,,,,,,,,,1.951179,13034,,,
