second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
0,37.676595,10069,10069,2.63,21.54
1,36.536319,24471,34540,55.01,110.36
2,40.756249,22913,57453,101.85,184.30
3,46.823217,20607,78060,140.13,269.56
4,53.732856,17038,95098,172.57,360.51
5,59.788328,12357,107455,198.22,422.66
6,284.606939,2098,109553,202.99,533.28
7,381.907563,1869,111422,193.73,535.03
8,405.737893,1509,112931,193.15,553.06
9,352.122870,1832,114763,186.27,553.06
10,362.419686,1487,116250,179.00,553.06
11,438.710693,1436,117686,172.35,553.06
12,471.886646,1152,118838,166.13,553.06
13,398.302355,1530,120368,160.77,553.22
14,399.973114,1414,121782,156.84,555.53
15,466.668163,920,122702,157.23,555.96
16,531.637290,1364,124066,153.40,572.27
17,407.737540,1663,125729,149.38,572.27
18,631.454891,849,126578,145.36,572.27
19,521.437671,376,126954,141.28,572.27
20,519.796371,598,127552,137.02,572.27
21,702.593098,326,127878,133.07,572.35
22,557.689471,134,128012,129.27,572.35
23,493.687102,297,128309,125.71,572.35
24,869.950784,73,128382,122.02,572.35
25,593.861823,127,128509,118.53,572.35
26,618.006604,38,128547,115.17,572.35
27,219.681941,11,128558,111.92,572.35
28,1486.696405,8,128566,108.81,572.35
29,0.000000,0,128566,105.84,572.35
30,0.000000,0,128566,103.04,572.35
31,0.000000,0,128566,100.37,572.35
32,0.000000,0,128566,97.85,572.35
33,0.000000,0,128566,95.44,572.35
34,0.000000,0,128566,93.16,572.35
35,0.000000,0,128566,90.98,572.35
36,0.000000,0,128566,88.91,572.35
37,0.000000,0,128566,86.94,572.35
38,0.000000,0,128566,85.06,572.35
39,0.000000,0,128566,83.23,572.35
40,0.000000,0,128566,81.50,572.35
41,0.000000,0,128566,79.84,572.35
42,0.000000,0,128566,78.25,572.35
43,0.000000,0,128566,76.70,572.35
44,0.000000,0,128566,75.24,572.35
45,0.000000,0,128566,73.83,572.35
46,0.000000,0,128566,72.45,572.35
47,0.000000,0,128566,71.15,572.35
48,0.000000,0,128566,69.89,572.35
49,0.000000,0,128566,68.66,572.35
50,0.000000,0,128566,67.49,572.35
51,0.000000,0,128566,66.35,572.35
52,0.000000,0,128566,65.25,572.35
53,0.000000,0,128566,64.20,572.35
54,0.000000,0,128566,63.16,572.35
55,0.000000,0,128566,62.16,572.35
56,0.000000,0,128566,61.21,572.35
57,0.000000,0,128566,60.29,572.35
58,0.000000,0,128566,59.39,572.35
59,0.000000,0,128566,58.50,572.35
60,100.098375,2565,131131,57.75,572.35
61,55.378298,17818,148949,62.06,572.48
62,67.190917,12522,161471,69.02,691.14
63,77.545549,14294,175765,75.11,770.23
64,62.639963,14754,190519,81.94,842.77
65,86.704959,11204,201723,88.58,911.41
66,83.437609,11937,213660,94.80,1039.95
67,87.111716,9797,223457,100.75,1074.75
68,108.392034,8899,232356,106.54,1330.87
69,102.756852,10528,242884,111.44,1524.09
70,120.619157,6188,249072,116.80,1620.35
71,327.341252,1508,250580,119.45,1720.20
72,342.519066,1584,252164,120.53,1809.65
73,413.658632,1651,253815,120.88,1809.65
74,319.489834,1765,255580,121.87,1809.65
75,391.467322,1421,257001,122.29,1812.43
76,497.884108,895,257896,121.47,1812.43
77,368.651590,1542,259438,120.74,1812.43
78,409.405548,1565,261003,120.02,1812.43
79,517.762947,878,261881,119.15,1814.63
80,456.851382,1055,262936,118.93,1814.63
81,501.932834,752,263688,119.46,1814.63
82,624.486355,866,264554,120.22,1815.31
83,546.246683,1119,265673,119.70,1815.31
84,367.890841,620,266293,118.82,1815.31
85,615.063031,201,266494,117.75,1815.31
86,544.079375,684,267178,116.85,1815.31
87,697.236637,296,267474,115.87,1815.31
88,576.744375,343,267817,115.04,1815.31
89,841.877629,266,268083,114.17,1815.32
90,451.645933,289,268372,113.25,1815.32
91,508.504263,136,268508,112.29,1815.32
92,783.984657,224,268732,111.35,1815.32
93,569.393701,283,269015,110.46,1815.32
94,926.500356,126,269141,109.55,1815.32
95,488.872100,327,269468,108.72,1815.32
96,1888.061920,8,269476,107.77,1815.32
97,672.066334,108,269584,106.83,1815.32
98,1057.999512,34,269618,105.87,1815.32
99,606.608792,21,269639,104.93,1815.32
100,368.792535,53,269692,104.00,1815.32
101,396.733633,41,269733,103.11,1815.32
102,55.318437,10,269743,102.19,1815.32
103,931.892149,4,269747,101.28,1815.32
104,179.134584,7,269754,100.40,1815.32
105,0.000000,0,269754,99.52,1815.32
106,824.027911,5,269759,98.65,1815.32
107,943.125579,1,269760,97.81,1815.32
108,0.000000,0,269760,96.97,1815.32
109,0.000000,0,269760,96.15,1815.32
110,0.000000,0,269760,95.34,1815.32
111,0.000000,0,269760,94.55,1815.32
112,0.000000,0,269760,93.77,1815.32
113,0.000000,0,269760,93.01,1815.32
114,0.000000,0,269760,92.25,1815.32
115,0.000000,0,269760,91.51,1815.32
116,0.000000,0,269760,90.77,1815.32
117,0.000000,0,269760,90.06,1815.32
118,0.000000,0,269760,89.35,1815.32
119,0.000000,0,269760,88.66,1815.32
120,230.873115,627,270387,88.10,1815.32
121,76.470099,11732,282119,89.56,1815.39
122,59.976517,10016,292135,92.59,1815.45
123,87.916385,10359,302494,96.28,1815.89
124,96.576298,9682,312176,100.42,1817.08
125,111.041518,10440,322616,103.88,1824.29
126,98.612172,9949,332565,107.35,1854.59
127,114.651786,10329,342894,110.55,1921.23
128,115.255655,9646,352540,113.81,1951.09
129,249.803338,4123,356663,117.65,1966.11
130,94.942570,6651,363314,121.34,2020.43
131,106.183239,8130,371444,124.99,2033.65
132,106.237076,9193,380637,128.47,2053.27
133,285.978247,2618,383255,131.25,2267.55
134,147.975151,3554,386809,133.88,2332.05
135,182.973220,5539,392348,136.59,2392.86
136,387.673653,1724,394072,138.25,2443.67
137,239.207285,3813,397885,140.18,2443.74
138,312.058636,1921,399806,141.94,2487.53
139,252.882498,3018,402824,142.81,2487.53
140,388.746009,1803,404627,143.31,2488.89
141,453.419095,539,405166,144.64,2488.89
142,746.846963,459,405625,144.50,2488.95
143,745.226241,342,405967,144.82,2490.32
144,493.430858,623,406590,145.03,2598.31
145,296.404948,802,407392,144.34,2598.31
146,759.490187,49,407441,143.53,2598.31
147,622.679551,471,407912,142.92,2598.31
148,235.143285,797,408709,142.16,2598.31
149,516.427113,620,409329,141.43,2598.31
150,623.367598,384,409713,140.76,2598.31
151,519.135520,834,410547,140.15,2598.31
152,410.619384,756,411303,139.82,2598.31
153,396.293735,952,412255,139.85,2598.31
154,574.934948,782,413037,140.14,2598.31
155,431.221209,1212,414249,140.80,2598.31
156,610.621035,479,414728,140.97,2679.87
157,407.847523,578,415306,140.36,2679.87
158,704.866236,361,415667,139.70,2679.87
159,641.162816,610,,,
