2016-04-16 16:59:12.115329 I | etcdserver: compacted raft log at 118007
2016-04-16 16:59:12.445572 I | etcdserver: start to snapshot (applied: 133057, lastsnap: 123007)
2016-04-16 16:59:12.455656 I | etcdserver: saved snapshot at index 133057
2016-04-16 16:59:12.456198 I | etcdserver: compacted raft log at 128057
2016-04-16 16:59:12.815480 I | etcdserver: start to snapshot (applied: 143063, lastsnap: 133057)
2016-04-16 16:59:12.825165 I | etcdserver: saved snapshot at index 143063
2016-04-16 16:59:12.825435 I | etcdserver: compacted raft log at 138063
2016-04-16 16:59:13.195311 I | etcdserver: start to snapshot (applied: 153170, lastsnap: 143063)
2016-04-16 16:59:13.204456 I | etcdserver: saved snapshot at index 153170
2016-04-16 16:59:13.204605 I | etcdserver: compacted raft log at 148170
2016-04-16 16:59:13.524329 I | etcdserver: start to snapshot (applied: 163290, lastsnap: 153170)
2016-04-16 16:59:13.533705 I | etcdserver: saved snapshot at index 163290
2016-04-16 16:59:13.533949 I | etcdserver: compacted raft log at 158290
2016-04-16 16:59:13.937553 I | etcdserver: start to snapshot (applied: 173571, lastsnap: 163290)
2016-04-16 16:59:13.949309 I | etcdserver: saved snapshot at index 173571
2016-04-16 16:59:13.949466 I | etcdserver: compacted raft log at 168571
2016-04-16 16:59:14.326760 I | etcdserver: start to snapshot (applied: 183856, lastsnap: 173571)
2016-04-16 16:59:14.346023 I | etcdserver: saved snapshot at index 183856
2016-04-16 16:59:14.346176 I | etcdserver: compacted raft log at 178856
2016-04-16 16:59:14.685339 I | etcdserver: start to snapshot (applied: 193876, lastsnap: 183856)
2016-04-16 16:59:14.704532 I | etcdserver: saved snapshot at index 193876
2016-04-16 16:59:14.704731 I | etcdserver: compacted raft log at 188876
2016-04-16 16:59:15.045425 I | etcdserver: start to snapshot (applied: 204030, lastsnap: 193876)
2016-04-16 16:59:15.059673 I | etcdserver: saved snapshot at index 204030
2016-04-16 16:59:15.059859 I | etcdserver: compacted raft log at 199030
2016-04-16 16:59:15.072003 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000032156.wal is created
2016-04-16 16:59:15.434645 I | etcdserver: start to snapshot (applied: 214068, lastsnap: 204030)
2016-04-16 16:59:15.447612 I | etcdserver: saved snapshot at index 214068
2016-04-16 16:59:15.447798 I | etcdserver: compacted raft log at 209068
2016-04-16 16:59:15.839809 I | etcdserver: start to snapshot (applied: 224093, lastsnap: 214068)
2016-04-16 16:59:15.847744 I | etcdserver: saved snapshot at index 224093
2016-04-16 16:59:15.847957 I | etcdserver: compacted raft log at 219093
2016-04-16 16:59:16.201152 I | etcdserver: start to snapshot (applied: 234182, lastsnap: 224093)
2016-04-16 16:59:16.246389 I | etcdserver: saved snapshot at index 234182
2016-04-16 16:59:16.246865 I | etcdserver: compacted raft log at 229182
2016-04-16 16:59:16.574923 I | etcdserver: start to snapshot (applied: 244473, lastsnap: 234182)
2016-04-16 16:59:16.588656 I | etcdserver: saved snapshot at index 244473
2016-04-16 16:59:16.588836 I | etcdserver: compacted raft log at 239473
2016-04-16 16:59:16.965423 I | etcdserver: start to snapshot (applied: 254873, lastsnap: 244473)
2016-04-16 16:59:16.974026 I | etcdserver: saved snapshot at index 254873
2016-04-16 16:59:16.974187 I | etcdserver: compacted raft log at 249873
2016-04-16 16:59:17.334683 I | etcdserver: start to snapshot (applied: 264913, lastsnap: 254873)
2016-04-16 16:59:17.350408 I | etcdserver: saved snapshot at index 264913
2016-04-16 16:59:17.350618 I | etcdserver: compacted raft log at 259913
2016-04-16 16:59:17.723389 I | etcdserver: start to snapshot (applied: 275075, lastsnap: 264913)
2016-04-16 16:59:17.730633 I | etcdserver: saved snapshot at index 275075
2016-04-16 16:59:17.730795 I | etcdserver: compacted raft log at 270075
2016-04-16 16:59:18.066925 I | etcdserver: start to snapshot (applied: 285204, lastsnap: 275075)
2016-04-16 16:59:18.077752 I | etcdserver: saved snapshot at index 285204
2016-04-16 16:59:18.077926 I | etcdserver: compacted raft log at 280204
2016-04-16 16:59:18.432474 I | etcdserver: start to snapshot (applied: 295237, lastsnap: 285204)
2016-04-16 16:59:18.478844 I | etcdserver: saved snapshot at index 295237
2016-04-16 16:59:18.479006 I | etcdserver: compacted raft log at 290237
2016-04-16 16:59:18.820507 I | etcdserver: start to snapshot (applied: 305365, lastsnap: 295237)
2016-04-16 16:59:18.831017 I | etcdserver: saved snapshot at index 305365
2016-04-16 16:59:18.831172 I | etcdserver: compacted raft log at 300365
2016-04-16 16:59:19.201887 I | etcdserver: start to snapshot (applied: 315592, lastsnap: 305365)
2016-04-16 16:59:19.212172 I | etcdserver: saved snapshot at index 315592
2016-04-16 16:59:19.212302 I | etcdserver: compacted raft log at 310592
2016-04-16 16:59:19.567871 I | etcdserver: start to snapshot (applied: 325719, lastsnap: 315592)
2016-04-16 16:59:19.575420 I | etcdserver: saved snapshot at index 325719
2016-04-16 16:59:19.575675 I | etcdserver: compacted raft log at 320719
2016-04-16 16:59:20.021901 I | etcdserver: start to snapshot (applied: 335784, lastsnap: 325719)
2016-04-16 16:59:20.033889 I | etcdserver: saved snapshot at index 335784
2016-04-16 16:59:20.034083 I | etcdserver: compacted raft log at 330784
2016-04-16 16:59:20.410895 I | etcdserver: start to snapshot (applied: 346339, lastsnap: 335784)
2016-04-16 16:59:20.423571 I | etcdserver: saved snapshot at index 346339
2016-04-16 16:59:20.423724 I | etcdserver: compacted raft log at 341339
2016-04-16 16:59:20.806437 I | etcdserver: start to snapshot (applied: 356415, lastsnap: 346339)
2016-04-16 16:59:20.815459 I | etcdserver: saved snapshot at index 356415
2016-04-16 16:59:20.815694 I | etcdserver: compacted raft log at 351415
