second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
148,479.914155,435,383068,122.32,2467.27
149,485.544181,1320,384388,121.73,2467.27
150,289.853804,525,384913,121.48,2467.27
151,854.823915,470,385383,121.28,2467.27
152,667.723760,281,385664,120.85,2467.27
153,521.694842,365,386029,120.45,2467.27
154,714.823305,292,386321,119.85,2467.27
155,728.630785,225,386546,119.23,2467.27
156,672.574577,359,386905,118.62,2467.27
157,583.079386,98,387003,118.00,2467.27
158,431.795458,146,387149,117.37,2467.27
159,572.835901,287,387436,116.77,2467.27
160,481.844524,200,387636,116.19,2467.27
161,645.743907,203,387839,115.61,2467.27
162,500.088597,361,388200,115.05,2467.27
163,390.060924,191,388391,114.50,2467.27
164,445.911510,129,388520,113.92,2467.27
165,659.363479,167,388687,113.34,2467.27
166,308.116646,95,388782,112.74,2467.27
167,459.970769,11,388793,112.27,2467.27
168,549.515355,28,388821,111.84,2467.27
169,0.000000,0,388821,111.58,2467.27
170,0.000000,0,388821,111.13,2467.27
171,0.000000,0,388821,110.51,2467.27
172,3394.148363,1,388822,109.90,2467.27
173,0.000000,0,388822,109.30,2467.27
174,0.000000,0,388822,108.71,2467.27
175,0.000000,0,388822,108.12,2467.27
176,0.000000,0,388822,107.64,2467.27
177,0.000000,0,388822,107.15,2467.27
178,0.000000,0,388822,106.58,2467.27
179,0.000000,0,388822,106.01,2467.27
180,91.329503,336,389158,105.45,2467.27
181,159.242608,5899,395057,105.07,2467.27
182,65.923824,13990,409047,105.51,2467.27
183,86.872647,8705,417752,106.78,2467.44
184,144.028996,6002,423754,108.99,2467.48
185,134.370841,7143,430897,111.37,2467.57
186,111.119423,9366,440263,113.62,2467.75
187,135.212176,2207,442470,116.34,2467.92
188,54.476679,7559,450029,119.01,2523.00
189,79.762275,8180,458209,121.61,2798.18
190,371.541225,1017,459226,124.27,2798.26
191,135.023988,7094,466320,126.76,2940.45
192,135.261672,7826,474146,129.24,3007.88
193,134.524842,4999,479145,131.40,3180.12
194,78.729849,5779,484924,133.54,3217.94
195,513.651635,663,485587,136.01,3218.74
196,371.721067,1433,487020,137.77,3400.35
197,689.156845,605,487625,139.56,3483.79
198,541.583799,591,488216,140.97,3617.04
199,701.786903,896,489112,141.75,3617.04
200,788.894553,449,489561,142.65,3617.04
201,996.760486,73,489634,142.57,3617.04
202,869.691857,6,489640,142.89,3617.04
203,853.447983,6,489646,142.86,3617.04
204,1135.745476,14,489660,142.77,3617.04
205,0.000000,0,489660,141.89,3617.12
206,0.000000,0,489660,141.21,3617.12
207,0.000000,0,489660,140.65,3617.12
208,0.000000,0,489660,140.21,3617.12
209,393.913945,969,490629,139.75,3617.12
210,386.060921,959,491588,139.30,3617.12
211,160.942772,984,492572,138.80,3617.12
212,310.110937,826,493398,138.37,3617.12
213,289.474153,818,494216,138.03,3617.12
214,593.122815,615,494831,137.71,3617.12
215,379.651309,680,495511,137.54,3617.12
216,275.675886,891,496402,137.44,3617.12
217,431.766483,816,497218,137.17,3617.12
218,234.970362,1082,498300,136.88,3617.12
219,386.664612,602,498902,136.61,3617.12
220,253.594008,993,499895,136.22,3617.12
221,224.453635,950,500845,135.86,3617.12
222,146.757569,1023,501868,135.40,3617.12
223,344.015011,1494,503362,135.28,3617.12
224,380.398471,1112,504474,135.32,3617.12
225,519.232747,1137,505611,135.77,3617.12
226,674.241072,505,506116,135.88,3617.12
227,809.860539,340,506456,136.44,3617.12
