second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
0,25.081219,17740,17740,2.35,16.52
1,25.727674,37097,54837,51.93,139.51
2,33.265627,28559,83396,94.69,281.14
3,39.222608,25293,108689,131.91,401.97
4,47.807137,21115,129804,165.33,518.20
5,57.773215,16989,146793,193.01,681.66
6,51.604976,17792,164585,218.40,843.94
7,48.350767,18461,183046,240.59,926.74
8,66.262758,17161,200207,261.27,984.96
9,70.363341,12952,213159,277.31,1045.84
10,73.415914,12190,225349,292.69,1101.52
11,84.436024,13288,238637,305.73,1284.13
12,96.236628,10918,249555,314.78,1466.00
13,81.876260,12704,262259,324.89,1642.45
14,77.542048,11502,273761,337.08,1767.58
15,118.510194,9363,283124,345.24,1850.46
16,88.335202,11120,294244,352.55,1952.47
17,104.264869,8532,302776,361.35,2021.88
18,412.810408,2237,305013,365.24,2038.81
19,119.900962,9152,314165,366.89,2101.22
20,82.843401,10241,324406,365.25,2117.55
21,125.162244,5199,329605,366.30,2117.83
22,623.746940,600,330205,364.94,2117.91
23,748.869410,250,330455,360.28,2202.15
24,951.270495,181,330636,353.61,2245.44
25,939.701362,128,330764,343.32,2245.44
26,0.000000,0,330764,333.34,2245.44
27,0.000000,0,330764,323.80,2246.61
28,0.000000,0,330764,315.44,2246.69
29,0.000000,0,330764,308.09,2246.69
30,161.694557,795,331559,300.83,2246.73
31,37.938034,17506,349065,297.28,2246.96
32,69.854218,8561,357626,298.78,2253.29
33,140.625366,4581,362207,300.30,2253.71
34,110.153684,10289,372496,305.53,2254.70
35,80.489418,8603,381099,312.25,2373.36
36,98.763104,8691,389790,318.59,2541.44
37,888.752225,666,,,
