second,avg_latency_ms_zookeeper_v3.4.8_snap10k,throughput_zookeeper_v3.4.8_snap10k,cumulative_throughput_zookeeper_v3.4.8_snap10k,avg_cpu_zookeeper_v3.4.8_snap10k,avg_memory_mb_zookeeper_v3.4.8_snap10k,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv3_go1.6,throughput_etcdv3_go1.6,cumulative_throughput_etcdv3_go1.6,avg_cpu_etcdv3_go1.6,avg_memory_mb_etcdv3_go1.6,avg_latency_ms_etcdv3_go1.5,throughput_etcdv3_go1.5,cumulative_throughput_etcdv3_go1.5,avg_cpu_etcdv3_go1.5,avg_memory_mb_etcdv3_go1.5,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
18,25.172301,16172,620560,292.98,1719.20,22.293289,44774,613258,255.58,1706.74,26.471980,37638,692734,312.81,296.15,31.555899,32211,604177,308.84,276.59,31.730614,31041,589888,317.18,273.42,331.863525,2446,36688,15.75,134.98,104.451223,9586,177087,180.83,295.71
19,50.576738,31451,652011,298.64,1790.98,29.897945,28793,642051,260.64,1706.74,27.526690,36076,728810,318.41,311.00,30.626685,32175,636352,313.76,290.96,32.183547,30747,620635,322.18,284.43,321.352238,1900,38588,15.77,135.07,108.737839,8819,185906,183.86,321.25
20,21.600494,46123,698134,302.59,1791.24,226.502989,5003,647054,265.39,1776.03,26.369776,37451,766261,323.04,329.99,29.948233,32242,668594,318.21,303.21,32.748568,30515,651150,327.29,298.82,545.646614,1080,39668,16.32,143.00,111.046084,9233,195139,186.30,339.58
21,23.413011,42705,740839,305.99,1797.81,23.873168,42082,689136,271.27,1790.46,26.886007,36845,803106,327.18,341.40,30.000362,31878,700472,322.64,320.94,32.455902,30151,681301,330.99,307.61,391.039741,1213,40881,17.31,158.83,111.033118,9212,204351,188.17,356.42
22,22.382697,44199,785038,309.49,1827.18,24.078061,41409,730545,273.92,1790.46,27.937852,35106,838212,331.27,354.37,31.683563,32285,732757,326.04,328.75,33.316143,30201,711502,335.15,321.12,377.544982,1446,42327,17.47,170.94,106.915046,9216,213567,190.49,375.68
23,27.666311,36315,821353,311.49,1855.52,25.016791,40018,770563,276.41,1795.07,28.814872,35210,873422,334.29,363.17,32.864938,30879,763636,329.63,343.77,30.453787,31484,742986,338.70,330.09,499.223172,1295,43622,17.34,174.08,107.878539,9319,222886,192.72,397.76
24,24.007131,41787,863140,314.01,1855.52,27.345789,36474,807037,280.46,1824.43,26.624863,36788,910210,338.09,377.47,33.206805,30118,793754,332.53,352.16,32.349069,31223,774209,342.00,340.84,325.782242,1864,45486,17.40,179.93,104.816806,9523,232409,194.74,419.16
25,22.510604,44145,907285,316.97,1882.71,23.622164,42403,849440,283.39,1855.19,28.394340,35422,945632,341.27,392.54,31.818718,30716,824470,335.29,361.33,33.535666,29819,804028,345.52,352.67,459.201515,1233,46719,17.29,182.52,105.414973,8486,240895,196.64,436.68
26,21.062760,46165,953450,319.45,1882.71,27.543566,34781,884221,286.28,1855.19,28.993905,34314,979946,343.63,410.50,32.012898,31114,855584,338.79,378.52,31.071179,31819,835847,348.13,362.69,566.449438,1433,48152,17.24,184.94,114.139993,9673,250568,198.19,456.96
27,0.000000,0,953450,320.86,1919.25,22.774111,45609,929830,288.79,1893.51,27.916558,35545,1015491,346.67,420.72,29.404974,33813,889397,341.16,389.53,38.491020,25693,861540,351.04,377.38,294.193544,1849,50001,17.87,207.73,106.389627,9484,260052,199.60,477.88
