second,avg_latency_ms_zookeeper_v3.4.8_snap10k,throughput_zookeeper_v3.4.8_snap10k,cumulative_throughput_zookeeper_v3.4.8_snap10k,avg_cpu_zookeeper_v3.4.8_snap10k,avg_memory_mb_zookeeper_v3.4.8_snap10k,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv3_go1.6,throughput_etcdv3_go1.6,cumulative_throughput_etcdv3_go1.6,avg_cpu_etcdv3_go1.6,avg_memory_mb_etcdv3_go1.6,avg_latency_ms_etcdv3_go1.5,throughput_etcdv3_go1.5,cumulative_throughput_etcdv3_go1.5,avg_cpu_etcdv3_go1.5,avg_memory_mb_etcdv3_go1.5,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
263,610.861419,673,1885217,107.24,2521.48,,,,,,,,,,,,,,,,,,,,,393.735173,1269,282324,37.75,1836.81,5489.515037,92,1729666,191.05,4900.55
264,0.000000,0,1885217,107.10,2521.48,,,,,,,,,,,,,,,,,,,,,377.115898,2005,284329,37.80,1836.81,5594.618332,67,1729733,190.57,4906.36
265,0.000000,0,1885217,106.90,2521.48,,,,,,,,,,,,,,,,,,,,,384.301156,1160,285489,37.80,1839.54,6013.480551,190,1729923,190.25,4906.36
266,0.000000,0,1885217,106.67,2521.48,,,,,,,,,,,,,,,,,,,,,0.000000,0,285489,37.76,1839.54,6354.696107,132,1730055,189.63,4906.36
267,0.000000,0,1885217,106.39,2521.48,,,,,,,,,,,,,,,,,,,,,130.453458,823,286312,37.76,1839.54,6702.752307,193,1730248,188.97,4906.36
268,0.000000,0,1885217,106.18,2521.66,,,,,,,,,,,,,,,,,,,,,0.000000,0,286312,37.84,1839.71,7044.520673,130,1730378,188.32,4906.36
269,0.000000,0,1885217,105.96,2521.66,,,,,,,,,,,,,,,,,,,,,291.926784,199,286511,37.95,1839.71,7325.847161,131,1730509,187.67,4906.36
270,0.000000,0,1885217,105.72,2521.66,,,,,,,,,,,,,,,,,,,,,258.215675,1876,288387,38.06,1839.80,7569.530265,90,1730599,187.03,4906.36
271,0.000000,0,1885217,105.56,2521.66,,,,,,,,,,,,,,,,,,,,,0.000000,0,288387,38.14,1839.99,8047.639919,65,1730664,186.69,4906.36
272,0.000000,0,1885217,105.51,2516.38,,,,,,,,,,,,,,,,,,,,,68.982270,1865,290252,38.21,1842.04,8228.825802,67,1730731,186.11,4906.36
273,0.000000,0,1885217,105.51,2513.38,,,,,,,,,,,,,,,,,,,,,342.748736,1719,291971,38.25,1842.72,8379.927621,67,1730798,185.47,4906.36
274,0.000000,0,1885217,105.42,2513.50,,,,,,,,,,,,,,,,,,,,,433.882445,1486,293457,38.28,1842.81,8731.149624,127,1730925,185.17,4911.79
275,0.000000,0,1885217,105.31,2513.53,,,,,,,,,,,,,,,,,,,,,343.524816,1199,294656,38.32,1844.85,9005.036633,129,1731054,184.56,4911.79
276,0.000000,0,1885217,105.22,2520.00,,,,,,,,,,,,,,,,,,,,,0.000000,0,294656,38.35,1844.85,9217.302773,68,1731122,183.95,4911.79
277,0.000000,0,1885217,105.15,2521.04,,,,,,,,,,,,,,,,,,,,,0.000000,0,294656,38.36,1844.85,9540.795723,130,1731252,183.31,4911.79
278,0.000000,0,1885217,105.06,2535.70,,,,,,,,,,,,,,,,,,,,,0.000000,0,294656,38.35,1844.85,9886.218000,64,1731316,182.70,4914.71
279,0.000000,0,1885217,104.84,2535.70,,,,,,,,,,,,,,,,,,,,,0.000000,0,294656,38.35,1844.85,10142.453007,129,1731445,182.44,4924.71
280,0.000000,0,1885217,104.66,2574.10,,,,,,,,,,,,,,,,,,,,,436.312279,334,294990,38.30,1847.58,10482.705495,128,1731573,181.84,4924.71
281,0.000000,0,1885217,104.48,2574.10,,,,,,,,,,,,,,,,,,,,,0.000000,0,294990,38.24,1847.58,10766.071280,27,1731600,181.24,4924.71
282,0.000000,0,1885217,104.30,2574.10,,,,,,,,,,,,,,,,,,,,,0.000000,0,294990,38.26,1847.58,11002.139456,65,1731665,180.64,4924.71
283,0.000000,0,1885217,104.14,2574.10,,,,,,,,,,,,,,,,,,,,,0.000000,0,294990,38.36,1847.58,11219.104377,63,1731728,180.04,4924.71
284,0.000000,0,1885217,104.05,2574.10,,,,,,,,,,,,,,,,,,,,,465.496959,334,295324,38.47,1897.65,11498.325322,65,1731793,179.44,4924.71
285,0.000000,0,1885217,103.95,2574.11,,,,,,,,,,,,,,,,,,,,,347.923668,1967,297291,38.56,1897.65,11678.398205,66,1731859,179.19,4924.71
286,0.000000,0,1885217,103.87,2574.08,,,,,,,,,,,,,,,,,,,,,307.984468,1296,298587,38.58,1947.55,11867.027047,67,1731926,178.60,4924.71
287,0.000000,0,1885217,103.85,2590.76,,,,,,,,,,,,,,,,,,,,,432.321443,560,299147,38.52,1947.55,12064.029237,67,1731993,178.33,4926.78
288,0.000000,0,1885217,103.73,2590.76,,,,,,,,,,,,,,,,,,,,,100.279342,12,299159,38.51,1947.55,12273.512581,66,1732059,177.78,4926.78
289,0.000000,0,1885217,103.72,2672.21,,,,,,,,,,,,,,,,,,,,,329.894100,1273,300432,38.52,1947.55,12767.949213,125,1732184,177.21,4926.78
290,0.000000,0,1885217,104.26,2756.59,,,,,,,,,,,,,,,,,,,,,310.892459,1992,302424,38.54,1947.63,12756.716446,70,1732254,176.64,4926.78
291,0.000000,0,1885217,104.25,2739.59,,,,,,,,,,,,,,,,,,,,,366.813826,103,302527,38.58,1951.30,12886.580417,125,1732379,176.07,4926.78
292,0.000000,0,1885217,104.11,2739.59,,,,,,,,,,,,,,,,,,,,,195.563083,212,302739,38.61,2001.17,12884.176178,70,1732449,175.82,4926.78
293,0.000000,0,1885217,104.09,2742.59,,,,,,,,,,,,,,,,,,,,,0.000000,0,302739,38.69,2001.34,12955.752284,124,1732573,175.28,4926.78
294,0.000000,0,1885217,104.15,2742.29,,,,,,,,,,,,,,,,,,,,,0.000000,0,302739,38.79,2004.76,13006.981091,28,1732601,174.73,4926.78
295,0.000000,0,1885217,104.57,2748.20,,,,,,,,,,,,,,,,,,,,,470.503269,593,303332,38.89,2004.84,12993.068360,25,1732626,174.18,4926.81
296,0.000000,0,1885217,104.73,2749.62,,,,,,,,,,,,,,,,,,,,,378.815853,1827,305159,38.95,2007.57,13182.900213,102,1732728,173.62,4926.81
297,0.000000,0,1885217,104.72,2753.47,,,,,,,,,,,,,,,,,,,,,309.679578,635,305794,38.97,2007.57,13060.979602,8,1732736,173.08,4926.81
298,0.000000,0,1885217,104.50,2753.47,,,,,,,,,,,,,,,,,,,,,115.172673,270,306064,38.97,2010.98,13143.918034,63,1732799,172.57,4926.81
299,0.000000,0,1885217,104.28,2753.47,,,,,,,,,,,,,,,,,,,,,455.028824,1317,307381,38.99,2010.98,13272.007488,125,1732924,172.31,4926.81
300,0.000000,0,1885217,104.06,2753.47,,,,,,,,,,,,,,,,,,,,,443.419897,1271,308652,39.01,2010.98,13355.061345,69,1732993,171.78,4926.81
301,0.000000,0,1885217,103.86,2753.47,,,,,,,,,,,,,,,,,,,,,391.999252,434,309086,39.02,2011.14,13268.440875,66,1733059,171.55,4926.81
302,97.053643,12964,1898181,103.91,2753.54,,,,,,,,,,,,,,,,,,,,,0.000000,0,309086,39.11,2011.14,13176.453021,73,1733132,171.02,4926.81
303,46.588292,17946,1916127,104.30,2764.44,,,,,,,,,,,,,,,,,,,,,0.000000,0,309086,39.21,2012.50,13321.911826,121,1733253,170.50,4926.81
304,1034.770282,182,,,,,,,,,,,,,,,,,,,,,,,,385.984409,534,309620,39.31,2117.13,13256.119713,62,1733315,169.97,4926.81
305,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,309620,39.42,2176.58,13381.634302,129,1733444,169.45,4926.81
306,,,,,,,,,,,,,,,,,,,,,,,,,,172.840870,1955,311575,39.47,2229.94,13381.371066,68,1733512,169.25,4928.26
307,,,,,,,,,,,,,,,,,,,,,,,,,,381.915673,1449,313024,39.51,2230.12,13384.156363,66,1733578,168.81,4928.26
308,,,,,,,,,,,,,,,,,,,,,,,,,,429.832630,1562,314586,39.54,2230.12,13494.882277,28,1733606,168.36,4928.26
309,,,,,,,,,,,,,,,,,,,,,,,,,,252.699466,66,314652,39.57,2293.03,13620.395340,61,1733667,167.85,4928.26
310,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,314652,39.57,2293.03,13619.618156,64,1733731,167.35,4928.26
311,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,314652,39.57,2345.75,13727.715185,63,1733794,166.84,4928.26
312,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,314652,39.56,2345.86,13657.275757,65,1733859,166.34,4928.26
313,,,,,,,,,,,,,,,,,,,,,,,,,,466.969105,1250,315902,39.55,2350.64,13742.015973,68,1733927,166.13,4928.26
314,,,,,,,,,,,,,,,,,,,,,,,,,,13.800399,1,315903,39.54,2350.64,13751.471067,68,1733995,165.69,4928.26
315,,,,,,,,,,,,,,,,,,,,,,,,,,152.626396,876,316779,39.56,2350.64,13778.923693,123,1734118,165.48,4928.26
316,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,316779,39.65,2400.68,13877.916904,16,1734134,164.99,4928.26
317,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,316779,39.74,2432.22,13859.548624,120,1734254,164.51,4928.26
318,,,,,,,,,,,,,,,,,,,,,,,,,,125.174723,147,316926,39.83,2434.96,13865.710154,63,1734317,164.03,4928.26
319,,,,,,,,,,,,,,,,,,,,,,,,,,463.525648,1233,318159,39.93,2547.04,13930.353033,127,1734444,163.68,4928.26
320,,,,,,,,,,,,,,,,,,,,,,,,,,450.706722,1035,319194,39.96,2602.45,13986.111642,69,1734513,163.37,4931.08
321,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,319194,39.95,2614.05,13979.563293,65,1734578,162.90,4931.08
322,,,,,,,,,,,,,,,,,,,,,,,,,,194.928971,906,320100,39.96,2614.05,13993.245061,27,1734605,162.42,4931.08
323,,,,,,,,,,,,,,,,,,,,,,,,,,287.825941,2522,322622,39.97,2614.14,14016.043472,63,1734668,161.96,4931.08
324,,,,,,,,,,,,,,,,,,,,,,,,,,516.765764,225,322847,40.03,2614.14,14076.613037,62,1734730,161.49,4931.52
325,,,,,,,,,,,,,,,,,,,,,,,,,,232.918416,333,323180,40.15,2616.19,14071.652696,64,1734794,161.02,4931.52
326,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,323180,40.23,2616.19,14045.947373,65,1734859,160.56,4931.52
327,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,323180,40.32,2620.33,14190.190870,67,1734926,160.40,4931.52
328,,,,,,,,,,,,,,,,,,,,,,,,,,215.777888,194,323374,40.40,2620.33,14281.318736,67,1734993,160.21,4931.52
329,,,,,,,,,,,,,,,,,,,,,,,,,,370.344447,1209,324583,40.43,2623.08,14200.629930,67,1735060,159.77,4931.52
330,,,,,,,,,,,,,,,,,,,,,,,,,,296.075374,1698,326281,40.43,2649.09,14321.323806,62,1735122,159.32,4931.52
331,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,326281,40.43,2649.09,14423.165667,128,1735250,158.87,4931.52
332,,,,,,,,,,,,,,,,,,,,,,,,,,168.278427,761,327042,40.45,2675.11,14326.163124,9,1735259,158.43,4931.52
333,,,,,,,,,,,,,,,,,,,,,,,,,,630.605965,957,327999,40.49,2686.72,14476.987298,123,1735382,158.29,4931.52
334,,,,,,,,,,,,,,,,,,,,,,,,,,318.695617,334,328333,40.56,2687.49,14471.537527,126,1735508,157.86,4931.52
335,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,328333,40.66,2687.49,14539.125727,67,1735575,157.42,4931.52
336,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,328333,40.74,2687.49,14520.012587,27,1735602,156.98,4931.52
337,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,328333,40.83,2687.49,14497.268629,7,1735609,156.55,4931.52
338,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,328333,40.91,2687.49,14677.913795,63,1735672,156.21,4931.52
339,,,,,,,,,,,,,,,,,,,,,,,,,,252.035978,599,328932,40.96,2687.49,14661.357353,63,1735735,155.87,4931.52
340,,,,,,,,,,,,,,,,,,,,,,,,,,481.028338,1640,330572,41.00,2690.22,14791.325332,61,1735796,155.99,4931.52
341,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,330572,41.00,2690.22,14800.782358,65,1735861,155.74,4931.52
342,,,,,,,,,,,,,,,,,,,,,,,,,,174.116421,838,331410,41.00,2690.22,14788.174601,67,1735928,155.41,4931.52
343,,,,,,,,,,,,,,,,,,,,,,,,,,308.947229,738,332148,41.02,2690.22,14821.912362,66,1735994,155.08,4931.52
344,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,332148,41.10,2692.79,14919.101913,67,1736061,154.76,4931.52
345,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,332148,41.17,2735.18,14924.207323,65,1736126,154.43,4931.52
346,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,332148,41.25,2741.92,15127.187826,124,1736250,154.17,4931.52
347,,,,,,,,,,,,,,,,,,,,,,,,,,986.788816,59,332207,41.36,2750.63,15040.089986,11,1736261,154.34,4931.52
348,,,,,,,,,,,,,,,,,,,,,,,,,,236.755577,416,332623,41.45,2750.63,15085.098390,118,1736379,153.96,4935.55
349,,,,,,,,,,,,,,,,,,,,,,,,,,348.588268,1418,334041,41.47,2750.63,15174.695417,69,1736448,153.55,4935.55
350,,,,,,,,,,,,,,,,,,,,,,,,,,337.515298,1589,335630,41.49,2750.63,15129.251468,68,1736516,153.14,4935.55
351,,,,,,,,,,,,,,,,,,,,,,,,,,405.605520,1908,337538,41.51,2750.63,15343.118593,64,1736580,152.74,4935.55
352,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,337538,41.57,2750.63,15302.107190,27,1736607,152.43,4935.55
353,,,,,,,,,,,,,,,,,,,,,,,,,,86.244991,874,338412,41.62,2753.36,15359.027674,61,1736668,152.38,4935.92
354,,,,,,,,,,,,,,,,,,,,,,,,,,76.217591,735,339147,41.67,2753.36,15445.854689,62,1736730,152.07,4935.92
355,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,339147,41.75,2753.36,15342.503584,10,1736740,151.76,4935.92
356,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,339147,41.82,2753.36,15332.232597,113,1736853,151.44,4935.92
357,,,,,,,,,,,,,,,,,,,,,,,,,,579.551322,334,339481,41.90,2753.36,15368.987280,13,1736866,151.13,4935.92
358,,,,,,,,,,,,,,,,,,,,,,,,,,363.365739,1269,340750,41.96,2866.26,15527.232101,68,1736934,150.84,4935.92
359,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,340750,42.03,2866.26,15449.552920,124,1737058,150.77,4935.92
360,,,,,,,,,,,,,,,,,,,,,,,,,,227.723076,1557,342307,42.05,2866.26,15540.008057,61,1737119,151.05,4935.92
361,,,,,,,,,,,,,,,,,,,,,,,,,,329.311762,1905,344212,42.06,2866.26,15434.990445,17,1737136,150.83,4936.38
362,,,,,,,,,,,,,,,,,,,,,,,,,,435.921961,988,345200,42.08,2866.26,15497.635469,120,1737256,150.53,4936.38
363,,,,,,,,,,,,,,,,,,,,,,,,,,462.179843,505,345705,42.11,2866.26,15559.645092,66,1737322,150.14,4936.38
364,,,,,,,,,,,,,,,,,,,,,,,,,,182.669567,461,346166,42.18,2868.99,15396.209688,122,1737444,149.76,4936.38
365,,,,,,,,,,,,,,,,,,,,,,,,,,142.015652,930,347096,42.21,2868.99,15446.046661,69,1737513,149.38,4936.38
366,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,347096,42.28,2879.07,15186.795659,67,1737580,148.99,4936.38
367,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,347096,42.35,2879.41,15178.339739,26,1737606,148.61,4936.38
368,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,347096,42.42,2935.81,15037.397696,20,1737626,148.24,4936.38
369,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,347096,42.47,2941.28,15099.613387,104,1737730,147.86,4936.38
370,,,,,,,,,,,,,,,,,,,,,,,,,,549.102667,641,347737,42.52,2941.28,14921.990257,64,1737794,147.49,4936.38
371,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,347737,42.55,2941.28,14909.160601,59,1737853,147.11,4936.38
372,,,,,,,,,,,,,,,,,,,,,,,,,,173.899304,1448,349185,42.55,2941.28,0.000000,0,1737853,147.01,4936.38
373,,,,,,,,,,,,,,,,,,,,,,,,,,297.355882,1837,351022,42.56,2941.28,0.000000,0,1737853,146.64,4936.38
374,,,,,,,,,,,,,,,,,,,,,,,,,,544.489344,1189,352211,42.57,2941.96,0.000000,0,1737853,146.44,4936.38
375,,,,,,,,,,,,,,,,,,,,,,,,,,251.208664,326,352537,42.62,2941.96,16223.393924,267,1738120,146.08,4936.38
376,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,352537,42.69,2941.96,0.000000,0,1738120,145.72,4936.38
377,,,,,,,,,,,,,,,,,,,,,,,,,,258.173155,1016,353553,42.71,2944.69,0.000000,0,1738120,145.35,4936.38
378,,,,,,,,,,,,,,,,,,,,,,,,,,280.892029,383,353936,42.74,2944.69,0.000000,0,1738120,144.95,4936.38
379,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,353936,42.80,3005.18,0.000000,0,1738120,144.55,4936.38
380,,,,,,,,,,,,,,,,,,,,,,,,,,313.807629,46,353982,42.87,3006.55,0.000000,0,1738120,144.19,4936.38
381,,,,,,,,,,,,,,,,,,,,,,,,,,311.217325,1366,355348,42.89,3010.64,0.000000,0,1738120,143.83,4936.38
382,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,355348,42.96,3027.34,0.000000,0,1738120,143.47,4936.38
383,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,355348,43.03,3027.19,0.000000,0,1738120,143.10,4936.38
384,,,,,,,,,,,,,,,,,,,,,,,,,,274.426931,1044,356392,43.10,3032.91,19121.303000,616,1738736,142.82,4936.38
385,,,,,,,,,,,,,,,,,,,,,,,,,,396.008712,1702,358094,43.12,3032.91,0.000000,0,1738736,142.54,4936.38
386,,,,,,,,,,,,,,,,,,,,,,,,,,348.395788,1542,359636,43.13,3032.91,0.000000,0,1738736,142.19,4936.38
387,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,359636,43.20,3032.91,0.000000,0,1738736,141.83,4936.38
388,,,,,,,,,,,,,,,,,,,,,,,,,,272.147085,178,359814,43.19,3032.91,0.000000,0,1738736,141.48,4936.38
389,,,,,,,,,,,,,,,,,,,,,,,,,,391.137752,1645,361459,43.20,3032.91,0.000000,0,1738736,141.00,4936.38
390,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,361459,43.23,3033.16,0.000000,0,1738736,140.65,4936.38
391,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,361459,43.30,3081.67,17165.256276,377,1739113,140.31,4936.38
392,,,,,,,,,,,,,,,,,,,,,,,,,,293.616631,1555,363014,43.34,3081.67,0.000000,0,1739113,139.97,4936.38
393,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,363014,43.40,3081.67,0.000000,0,1739113,139.61,4936.38
394,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,363014,43.47,3081.93,0.000000,0,1739113,139.63,4936.38
395,,,,,,,,,,,,,,,,,,,,,,,,,,703.042006,37,363051,43.53,3081.93,0.000000,0,1739113,139.46,4936.38
396,,,,,,,,,,,,,,,,,,,,,,,,,,355.608345,1941,364992,43.58,3081.93,12719.382471,149,1739262,139.20,4936.38
397,,,,,,,,,,,,,,,,,,,,,,,,,,362.292318,2189,367181,43.58,3082.18,12762.693955,371,1739633,139.18,4936.38
398,,,,,,,,,,,,,,,,,,,,,,,,,,443.007526,245,367426,43.63,3088.57,6430.856361,714,1740347,138.99,4936.38
399,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,367426,43.62,3088.57,1920.325112,390,1740737,138.77,4936.47
400,,,,,,,,,,,,,,,,,,,,,,,,,,118.112337,848,368274,43.62,3088.57,1827.460590,299,1741036,138.55,4936.47
401,,,,,,,,,,,,,,,,,,,,,,,,,,192.738044,787,369061,43.63,3088.81,2300.001475,676,1741712,138.58,4936.47
402,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,369061,43.69,3130.21,1974.558274,455,1742167,138.33,4936.47
403,,,,,,,,,,,,,,,,,,,,,,,,,,920.864578,333,369394,43.76,3130.21,2363.667365,455,1742622,138.12,4936.47
404,,,,,,,,,,,,,,,,,,,,,,,,,,377.003012,1741,371135,43.79,3130.21,2181.215868,455,1743077,137.89,4941.13
405,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,371135,43.85,3154.72,1813.052405,519,1743596,137.59,4941.13
406,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,371135,43.91,3184.46,2258.480220,326,1743922,137.57,4941.13
407,,,,,,,,,,,,,,,,,,,,,,,,,,397.677433,1273,372408,43.97,3184.90,2270.700022,455,1744377,137.27,4941.13
408,,,,,,,,,,,,,,,,,,,,,,,,,,253.182408,2504,374912,43.99,3184.90,2396.502424,259,1744636,137.19,4941.13
409,,,,,,,,,,,,,,,,,,,,,,,,,,379.180030,662,375574,44.01,3184.90,2865.252846,260,1744896,136.90,4941.13
410,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,375574,44.08,3184.90,3338.907249,260,1745156,136.83,4941.13
411,,,,,,,,,,,,,,,,,,,,,,,,,,337.203330,1172,376746,44.09,3184.90,4079.548503,210,1745366,136.53,4941.13
412,,,,,,,,,,,,,,,,,,,,,,,,,,437.033702,929,377675,44.09,3185.04,4254.201992,246,1745612,136.23,4941.13
413,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,377675,44.14,3185.04,4198.425431,259,1745871,135.93,4941.13
414,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,377675,44.20,3185.04,4211.397731,196,1746067,135.63,4941.13
415,,,,,,,,,,,,,,,,,,,,,,,,,,318.022834,1169,378844,44.24,3185.04,4289.309218,155,1746222,135.33,4941.13
416,,,,,,,,,,,,,,,,,,,,,,,,,,395.763933,416,379260,44.28,3185.04,4446.950768,259,1746481,135.04,4941.13
417,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,379260,44.35,3185.21,4487.368766,197,1746678,134.88,4941.13
418,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,379260,44.40,3185.21,4468.714397,323,1747001,134.69,4943.94
419,,,,,,,,,,,,,,,,,,,,,,,,,,416.566367,1139,380399,44.44,3185.21,4488.162168,132,1747133,134.40,4943.94
420,,,,,,,,,,,,,,,,,,,,,,,,,,462.276258,1394,381793,44.45,3185.29,4578.145945,156,1747289,134.11,4943.94
421,,,,,,,,,,,,,,,,,,,,,,,,,,366.507850,1497,383290,44.45,3185.29,4728.738165,259,1747548,134.04,4943.94
422,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,383290,44.46,3251.58,4739.351612,195,1747743,133.75,4943.94
423,,,,,,,,,,,,,,,,,,,,,,,,,,277.983808,983,384273,44.46,3251.67,4934.756168,217,1747960,133.47,4943.94
424,,,,,,,,,,,,,,,,,,,,,,,,,,387.351561,634,384907,44.46,3251.67,5004.454252,174,1748134,133.42,4943.94
425,,,,,,,,,,,,,,,,,,,,,,,,,,444.089889,96,385003,44.51,3255.37,4989.152951,153,1748287,133.13,4943.94
426,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,385003,44.57,3255.37,5856.722653,2,1748289,132.83,4943.94
427,,,,,,,,,,,,,,,,,,,,,,,,,,289.158824,1626,386629,44.60,3255.37,0.000000,0,1748289,132.53,4943.94
428,,,,,,,,,,,,,,,,,,,,,,,,,,388.164881,406,387035,44.64,3255.46,0.000000,0,1748289,132.27,4943.94
429,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,387035,44.70,3255.46,0.000000,0,1748289,132.01,4943.94
430,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,387035,44.75,3255.46,9604.503992,63,1748352,131.72,4943.94
431,,,,,,,,,,,,,,,,,,,,,,,,,,456.342443,1293,388328,44.80,3259.62,0.000000,0,1748352,131.43,4943.94
432,,,,,,,,,,,,,,,,,,,,,,,,,,445.041085,948,389276,44.78,3261.72,0.000000,0,1748352,131.14,4943.94
433,,,,,,,,,,,,,,,,,,,,,,,,,,217.874960,1405,390681,44.79,3263.82,0.000000,0,1748352,130.85,4943.94
434,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,390681,44.85,3263.82,13337.256586,164,1748516,130.77,4943.94
435,,,,,,,,,,,,,,,,,,,,,,,,,,385.997641,978,391659,44.91,3263.82,12559.931681,448,1748964,130.52,4943.94
436,,,,,,,,,,,,,,,,,,,,,,,,,,444.922810,1104,392763,44.95,3263.91,11497.494721,325,1749289,130.24,4943.94
437,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,392763,45.00,3263.91,3954.229460,227,1749516,129.97,4943.94
438,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,392763,45.05,3263.91,3370.143007,195,1749711,129.70,4943.94
439,,,,,,,,,,,,,,,,,,,,,,,,,,286.151000,1177,393940,45.07,3263.91,3862.057505,253,1749964,129.43,4943.94
440,,,,,,,,,,,,,,,,,,,,,,,,,,595.901336,175,394115,45.08,3263.99,4076.989508,325,1750289,129.16,4943.94
441,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,394115,45.12,3263.99,4261.095437,100,1750389,129.10,4948.13
442,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,394115,45.17,3299.54,4621.650419,128,1750517,128.84,4948.13
443,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,394115,45.22,3299.54,4968.797772,129,1750646,128.57,4948.13
444,,,,,,,,,,,,,,,,,,,,,,,,,,394.991451,1699,395814,45.24,3299.57,5355.648475,190,1750836,128.29,4948.13
445,,,,,,,,,,,,,,,,,,,,,,,,,,307.211182,2014,397828,45.25,3299.57,5791.067378,130,1750966,128.01,4948.13
446,,,,,,,,,,,,,,,,,,,,,,,,,,585.154475,458,398286,45.28,3299.57,6209.240270,254,1751220,127.75,4948.13
447,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,398286,45.32,3299.57,6566.769121,71,1751291,127.52,4948.13
448,,,,,,,,,,,,,,,,,,,,,,,,,,281.525068,1002,399288,45.33,3299.57,6887.668791,97,1751388,127.43,4948.13
449,,,,,,,,,,,,,,,,,,,,,,,,,,375.661302,832,400120,45.33,3299.57,7385.587053,66,1751454,127.15,4948.13
450,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0,400120,45.38,3309.19,7848.482797,65,1751519,126.89,4948.13
