second,avg_latency_ms_zookeeper_v3.4.8_snap10k,throughput_zookeeper_v3.4.8_snap10k,cumulative_throughput_zookeeper_v3.4.8_snap10k,avg_cpu_zookeeper_v3.4.8_snap10k,avg_memory_mb_zookeeper_v3.4.8_snap10k,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip
46,0.000000,0,995199,241.27,2043.34,0.000000,0,1199999,264.50,2042.72,27.571825,35918,1683552,377.83,661.93
47,0.000000,0,995199,236.91,2043.34,0.000000,0,1199999,260.29,2042.82,27.275719,37065,1720617,379.20,670.73
48,0.000000,0,995199,233.07,2043.34,0.000000,0,1199999,256.51,2042.93,29.333843,34003,1754620,380.55,690.74
49,0.000000,0,995199,229.65,2043.34,0.000000,0,1199999,252.33,2042.86,29.286372,33868,1788488,381.29,702.02
50,0.000000,0,995199,226.43,2043.43,0.000000,0,1199999,248.04,2042.93,27.771546,35358,1823846,382.02,715.14
51,0.000000,0,995199,223.15,2043.62,0.000000,0,1199999,244.11,2043.01,30.018212,33652,1857498,383.30,726.55
52,0.000000,0,995199,219.89,2043.62,0.000000,0,1199999,240.03,2042.92,29.989932,33147,1890645,384.13,735.22
53,0.000000,0,995199,217.05,2044.31,0.000000,0,1199999,236.69,2045.10,24.120160,40170,1930815,384.81,749.66
54,90.717228,7350,1002549,214.36,2044.99,0.000000,0,1199999,232.98,2045.88,29.648577,34409,1965224,385.63,761.66
55,24.103295,39401,1041950,215.25,2051.18,0.000000,0,1199999,229.54,2047.20,30.897377,32268,1997492,386.37,774.88
56,16.257395,40892,1082842,217.43,2042.98,0.000000,0,1199999,226.13,2047.94,23.620694,2508,,,
57,16.092970,41317,1124159,219.16,2042.32,0.000000,0,1199999,222.72,2047.83,,,,,
58,16.156032,41234,1165393,220.65,2042.44,0.000000,0,1199999,219.39,2048.04,,,,,
59,16.287753,40875,1206268,222.19,2046.41,0.000000,0,1199999,216.80,2047.83,,,,,
60,20.169997,33002,1239270,223.56,2059.64,3351.844078,672,1200671,214.67,2052.80,,,,,
61,15.281017,19156,1258426,224.95,2086.93,18.898051,41429,1242100,213.01,2054.44,,,,,
62,57.625978,17986,1276412,224.30,2086.40,16.574215,40224,1282324,214.98,2090.61,,,,,
63,27.103582,22440,1298852,224.98,2098.04,17.715833,37579,1319903,217.06,2112.29,,,,,
64,588.859874,679,1299531,223.82,2109.04,17.358302,38392,1358295,219.37,2125.01,,,,,
65,0.000000,0,1299531,221.83,2109.04,17.876659,37313,1395608,221.52,2126.54,,,,,
66,134.287062,11921,1311452,219.77,2114.31,16.273651,40936,1436544,223.45,2144.66,,,,,
67,16.271636,41580,1353032,218.87,2119.57,14.718466,43807,1480351,225.24,2146.11,,,,,
68,16.964282,41807,1394839,219.94,2119.57,381.802503,1163,1481514,226.93,2168.61,,,,,
69,18.960464,35121,1429960,221.38,2134.77,128.784053,4266,1485780,226.21,2193.09,,,,,
70,14.112148,47164,1477124,224.63,2351.57,0.000000,0,1485780,224.16,2193.90,,,,,
71,24.440095,27253,1504377,227.63,2352.58,0.000000,0,1485780,222.58,2199.36,,,,,
72,15.856297,6781,1511158,229.98,2387.86,0.000000,0,1485780,220.77,2199.47,,,,,
73,0.000000,0,1511158,228.38,2386.36,0.000000,0,1485780,220.04,2202.42,,,,,
74,526.720560,5468,1516626,227.01,2379.92,0.000000,0,1485780,218.24,2197.58,,,,,
75,49.165203,4919,1521545,225.55,2379.93,0.000000,0,1485780,217.13,2196.82,,,,,
76,0.000000,0,1521545,223.29,2379.93,0.000000,0,1485780,215.10,2196.82,,,,,
77,0.000000,0,1521545,220.72,2379.93,0.000000,0,1485780,213.12,2196.82,,,,,
78,0.000000,0,1521545,218.55,2379.63,237.056934,3420,1489200,211.08,2196.82,,,,,
79,0.000000,0,1521545,216.88,2379.32,35.805777,28800,1518000,210.56,2202.53,,,,,
80,0.000000,0,1521545,214.87,2379.32,0.000000,0,1518000,212.20,2255.75,,,,,
81,0.000000,0,1521545,213.01,2378.70,79.963135,22003,1540003,211.97,2255.33,,,,,
82,0.000000,0,1521545,211.40,2378.39,43.718079,29471,1569474,213.34,2255.52,,,,,
83,0.000000,0,1521545,210.13,2378.08,31.631337,35388,1604862,213.92,2258.15,,,,,
84,0.000000,0,1521545,208.05,2377.87,28.670817,36776,1641638,215.89,2308.90,,,,,
85,0.000000,0,1521545,205.82,2377.66,24.668362,40568,1682206,217.65,2346.85,,,,,
86,0.000000,0,1521545,203.68,2377.66,27.769947,3366,1685572,219.09,2393.94,,,,,
87,0.000000,0,1521545,201.63,2377.66,0.000000,0,1685572,222.69,2432.82,,,,,
88,0.000000,0,1521545,199.56,2376.68,108.513633,26773,1712345,223.97,2465.01,,,,,
89,0.000000,0,1521545,197.29,2373.62,27.058841,36929,1749274,225.19,2463.96,,,,,
90,0.000000,0,1521545,195.30,2373.62,24.793861,40493,1789767,227.19,2471.66,,,,,
91,0.000000,0,1521545,193.71,2373.07,23.063251,42703,1832470,228.94,2468.49,,,,,
92,0.000000,0,1521545,192.09,2372.52,28.716696,35081,1867551,230.58,2450.96,,,,,
93,0.000000,0,1521545,190.22,2372.52,46.382528,21621,1889172,231.52,2441.64,,,,,
94,0.000000,0,1521545,188.87,2372.52,37.514968,12809,1901981,231.07,2442.08,,,,,
95,0.000000,0,1521545,187.51,2372.52,641.899267,2002,1903983,229.35,2442.08,,,,,
96,0.000000,0,1521545,186.49,2372.52,0.000000,0,1903983,227.34,2442.08,,,,,
97,0.000000,0,1521545,185.51,2372.52,1630.679755,1000,1904983,225.27,2442.08,,,,,
98,0.000000,0,1521545,184.01,2372.52,0.000000,0,1904983,223.19,2442.08,,,,,
99,0.000000,0,1521545,182.58,2372.52,1676.494842,6,1904989,221.10,2442.08,,,,,
100,0.000000,0,1521545,181.44,2372.50,0.000000,0,1904989,219.00,2442.08,,,,,
101,0.000000,0,1521545,180.32,2372.50,0.000000,0,1904989,217.27,2442.08,,,,,
102,0.000000,0,1521545,178.96,2372.50,0.000000,0,1904989,215.68,2442.09,,,,,
103,0.000000,0,1521545,177.50,2372.50,0.000000,0,1904989,213.94,2442.09,,,,,
104,0.000000,0,1521545,176.25,2372.50,0.000000,0,1904989,212.06,2442.09,,,,,
105,0.000000,0,1521545,174.78,2372.50,0.000000,0,1904989,210.26,2442.09,,,,,
106,0.000000,0,1521545,173.48,2372.50,0.000000,0,1904989,208.43,2442.09,,,,,
107,0.000000,0,1521545,172.57,2372.50,0.000000,0,1904989,206.94,2441.86,,,,,
108,0.000000,0,1521545,171.43,2372.50,0.000000,0,1904989,205.45,2431.84,,,,,
109,0.000000,0,1521545,169.91,2372.50,0.000000,0,1904989,204.36,2422.11,,,,,
110,0.000000,0,1521545,168.43,2372.50,0.000000,0,1904989,203.42,2422.23,,,,,
111,0.000000,0,1521545,167.07,2372.50,0.000000,0,1904989,202.63,2422.26,,,,,
112,0.000000,0,1521545,165.77,2372.50,0.000000,0,1904989,201.59,2422.27,,,,,
113,0.000000,0,1521545,164.67,2372.50,0.000000,0,1904989,201.23,2543.41,,,,,
114,0.000000,0,1521545,163.54,2372.50,0.000000,0,1904989,201.80,2543.50,,,,,
115,0.000000,0,1521545,162.18,2372.50,0.000000,0,1904989,202.29,2590.20,,,,,
116,0.000000,0,1521545,160.89,2368.91,0.000000,0,1904989,202.58,2590.20,,,,,
117,0.000000,0,1521545,159.49,2368.91,0.000000,0,1904989,201.40,2590.97,,,,,
118,0.000000,0,1521545,158.38,2368.91,0.000000,0,1904989,200.71,2621.03,,,,,
119,0.000000,0,1521545,157.30,2368.91,0.000000,0,1904989,199.97,2633.07,,,,,
120,0.000000,0,1521545,156.77,2373.63,0.000000,0,1904989,199.27,2697.77,,,,,
121,0.000000,0,1521545,155.83,2373.42,0.000000,0,1904989,198.46,2717.21,,,,,
122,0.000000,0,1521545,154.92,2373.21,0.000000,0,1904989,198.18,2456.13,,,,,
123,0.000000,0,1521545,153.98,2371.96,0.000000,0,1904989,197.62,2457.00,,,,,
124,0.000000,0,1521545,153.24,2372.83,0.000000,0,1904989,196.76,2459.10,,,,,
125,0.000000,0,1521545,152.63,2373.71,0.000000,0,1904989,196.21,2461.23,,,,,
126,0.000000,0,1521545,151.96,2373.73,0.000000,0,1904989,194.98,2461.23,,,,,
127,0.000000,0,1521545,151.50,2373.73,0.000000,0,1904989,193.66,2461.23,,,,,
128,0.000000,0,1521545,150.88,2373.73,0.000000,0,1904989,192.51,2461.23,,,,,
129,0.000000,0,1521545,150.34,2373.73,0.000000,0,1904989,191.37,2459.19,,,,,
130,0.000000,0,1521545,149.85,2376.66,0.000000,0,1904989,190.34,2459.19,,,,,
131,0.000000,0,1521545,149.11,2375.01,0.000000,0,1904989,189.38,2460.24,,,,,
132,0.000000,0,1521545,148.14,2375.01,0.000000,0,1904989,189.18,2460.87,,,,,
133,0.000000,0,1521545,147.19,2375.01,0.000000,0,1904989,189.82,2459.78,,,,,
134,0.000000,0,1521545,146.13,2373.91,64.022835,19056,1924045,190.04,2468.21,,,,,
135,0.000000,0,1521545,145.19,2372.81,32.546075,28600,1952645,191.43,2485.38,,,,,
136,0.000000,0,1521545,144.32,2372.81,52.297417,17631,1970276,192.28,2544.74,,,,,
137,0.000000,0,1521545,143.55,2374.56,1007.541496,20,,,,,,,,
138,0.000000,0,1521545,142.65,2374.93,,,,,,,,,,
139,0.000000,0,1521545,141.93,2373.47,,,,,,,,,,
140,0.000000,0,1521545,141.11,2373.34,,,,,,,,,,
141,0.000000,0,1521545,140.28,2373.34,,,,,,,,,,
142,0.000000,0,1521545,139.40,2372.77,,,,,,,,,,
143,366.112049,3741,1525286,139.00,2374.39,,,,,,,,,,
144,17.197173,31684,1556970,139.22,2376.00,,,,,,,,,,
145,70.957026,18924,1575894,139.94,2376.19,,,,,,,,,,
146,0.000000,0,1575894,140.16,2370.60,,,,,,,,,,
147,1447.410666,224,1576118,139.60,2370.60,,,,,,,,,,
148,125.306583,22486,1598604,139.94,2370.60,,,,,,,,,,
149,81.340293,6045,1604649,141.01,2380.60,,,,,,,,,,
150,0.000000,0,1604649,140.60,2382.98,,,,,,,,,,
151,1694.449999,160,1604809,140.39,2383.22,,,,,,,,,,
152,0.000000,0,1604809,140.13,2384.14,,,,,,,,,,
153,0.000000,0,1604809,139.91,2386.05,,,,,,,,,,
154,0.000000,0,1604809,139.39,2384.86,,,,,,,,,,
155,0.000000,0,1604809,138.75,2385.06,,,,,,,,,,
156,0.000000,0,1604809,137.91,2385.06,,,,,,,,,,
157,0.000000,0,1604809,137.42,2385.81,,,,,,,,,,
158,0.000000,0,1604809,136.65,2385.81,,,,,,,,,,
159,0.000000,0,1604809,135.85,2382.85,,,,,,,,,,
160,0.000000,0,1604809,135.30,2384.06,,,,,,,,,,
161,0.000000,0,1604809,134.69,2383.89,,,,,,,,,,
162,0.000000,0,1604809,133.96,2383.20,,,,,,,,,,
163,0.000000,0,1604809,133.44,2382.52,,,,,,,,,,
164,0.000000,0,1604809,132.92,2382.52,,,,,,,,,,
165,0.000000,0,1604809,132.28,2382.52,,,,,,,,,,
166,0.000000,0,1604809,131.65,2382.52,,,,,,,,,,
167,0.000000,0,1604809,131.06,2382.52,,,,,,,,,,
168,0.000000,0,1604809,130.53,2382.52,,,,,,,,,,
169,0.000000,0,1604809,131.07,2415.87,,,,,,,,,,
170,0.000000,0,1604809,131.99,2442.52,,,,,,,,,,
171,0.000000,0,1604809,132.00,2442.99,,,,,,,,,,
172,0.000000,0,1604809,131.55,2442.99,,,,,,,,,,
173,0.000000,0,1604809,130.99,2443.07,,,,,,,,,,
174,0.000000,0,1604809,130.48,2443.07,,,,,,,,,,
175,0.000000,0,1604809,130.06,2443.07,,,,,,,,,,
176,0.000000,0,1604809,129.54,2443.07,,,,,,,,,,
177,0.000000,0,1604809,129.19,2446.15,,,,,,,,,,
178,0.000000,0,1604809,128.71,2446.15,,,,,,,,,,
179,0.000000,0,1604809,128.35,2446.15,,,,,,,,,,
180,0.000000,0,1604809,127.98,2446.24,,,,,,,,,,
181,0.000000,0,1604809,127.59,2446.33,,,,,,,,,,
182,0.000000,0,1604809,127.28,2446.33,,,,,,,,,,
183,165.337951,6855,1611664,126.98,2446.33,,,,,,,,,,
184,54.034790,37645,1649309,127.49,2446.77,,,,,,,,,,
185,29.331086,35723,1685032,128.37,2430.28,,,,,,,,,,
186,26.663499,37510,1722542,129.39,2425.90,,,,,,,,,,
187,31.453093,31766,1754308,130.64,2446.46,,,,,,,,,,
188,27.434883,36470,1790778,131.43,2446.91,,,,,,,,,,
189,43.996451,13103,1803881,132.22,2456.70,,,,,,,,,,
190,563.053443,626,1804507,132.00,2456.70,,,,,,,,,,
191,0.000000,0,1804507,131.45,2456.70,,,,,,,,,,
192,0.000000,0,1804507,130.74,2456.70,,,,,,,,,,
193,0.000000,0,1804507,130.12,2456.70,,,,,,,,,,
194,0.000000,0,1804507,129.65,2456.70,,,,,,,,,,
195,0.000000,0,1804507,129.28,2456.70,,,,,,,,,,
196,0.000000,0,1804507,128.93,2456.70,,,,,,,,,,
197,0.000000,0,1804507,128.49,2456.70,,,,,,,,,,
198,0.000000,0,1804507,128.04,2456.70,,,,,,,,,,
199,0.000000,0,1804507,127.62,2456.70,,,,,,,,,,
200,0.000000,0,1804507,128.07,2497.45,,,,,,,,,,
201,0.000000,0,1804507,128.73,2513.30,,,,,,,,,,
202,0.000000,0,1804507,128.63,2513.91,,,,,,,,,,
203,0.000000,0,1804507,128.18,2513.91,,,,,,,,,,
204,0.000000,0,1804507,127.75,2513.91,,,,,,,,,,
205,0.000000,0,1804507,127.24,2513.91,,,,,,,,,,
206,0.000000,0,1804507,126.69,2513.91,,,,,,,,,,
207,0.000000,0,1804507,126.33,2514.27,,,,,,,,,,
208,0.000000,0,1804507,125.88,2514.27,,,,,,,,,,
209,0.000000,0,1804507,125.33,2514.15,,,,,,,,,,
210,0.000000,0,1804507,124.77,2514.03,,,,,,,,,,
211,0.000000,0,1804507,124.20,2514.03,,,,,,,,,,
212,0.000000,0,1804507,123.68,2514.03,,,,,,,,,,
213,0.000000,0,1804507,123.18,2514.03,,,,,,,,,,
214,0.000000,0,1804507,122.64,2514.03,,,,,,,,,,
215,0.000000,0,1804507,122.10,2514.03,,,,,,,,,,
216,0.000000,0,1804507,121.57,2514.03,,,,,,,,,,
217,0.000000,0,1804507,121.13,2515.70,,,,,,,,,,
218,0.000000,0,1804507,121.06,2516.22,,,,,,,,,,
219,0.000000,0,1804507,120.96,2509.51,,,,,,,,,,
220,0.000000,0,1804507,120.83,2506.50,,,,,,,,,,
221,0.000000,0,1804507,120.35,2506.50,,,,,,,,,,
222,0.000000,0,1804507,119.83,2506.50,,,,,,,,,,
223,0.000000,0,1804507,119.39,2506.50,,,,,,,,,,
224,0.000000,0,1804507,118.88,2506.50,,,,,,,,,,
225,0.000000,0,1804507,118.47,2507.97,,,,,,,,,,
226,0.000000,0,1804507,118.05,2509.45,,,,,,,,,,
227,0.000000,0,1804507,117.71,2511.72,,,,,,,,,,
228,0.000000,0,1804507,117.30,2513.92,,,,,,,,,,
229,0.000000,0,1804507,117.07,2515.49,,,,,,,,,,
230,0.000000,0,1804507,116.65,2514.38,,,,,,,,,,
231,0.000000,0,1804507,116.24,2514.38,,,,,,,,,,
232,0.000000,0,1804507,115.88,2514.38,,,,,,,,,,
233,0.000000,0,1804507,115.46,2514.38,,,,,,,,,,
234,0.000000,0,1804507,115.11,2514.38,,,,,,,,,,
235,0.000000,0,1804507,114.81,2514.38,,,,,,,,,,
236,0.000000,0,1804507,114.49,2514.38,,,,,,,,,,
237,0.000000,0,1804507,114.11,2514.38,,,,,,,,,,
238,0.000000,0,1804507,113.76,2514.38,,,,,,,,,,
239,0.000000,0,1804507,113.43,2514.38,,,,,,,,,,
240,0.000000,0,1804507,112.98,2514.38,,,,,,,,,,
241,0.000000,0,1804507,112.53,2514.38,,,,,,,,,,
242,0.000000,0,1804507,112.09,2514.38,,,,,,,,,,
243,0.000000,0,1804507,111.63,2514.38,,,,,,,,,,
244,0.000000,0,1804507,111.20,2514.38,,,,,,,,,,
245,0.000000,0,1804507,110.91,2514.38,,,,,,,,,,
246,0.000000,0,1804507,110.55,2514.38,,,,,,,,,,
247,0.000000,0,1804507,110.14,2514.38,,,,,,,,,,
248,0.000000,0,1804507,109.86,2514.38,,,,,,,,,,
249,0.000000,0,1804507,109.53,2514.38,,,,,,,,,,
250,0.000000,0,1804507,109.23,2514.38,,,,,,,,,,
251,0.000000,0,1804507,108.85,2514.38,,,,,,,,,,
252,0.000000,0,1804507,108.50,2516.09,,,,,,,,,,
253,0.000000,0,1804507,108.16,2517.86,,,,,,,,,,
254,0.000000,0,1804507,107.81,2517.86,,,,,,,,,,
255,0.000000,0,1804507,107.47,2517.86,,,,,,,,,,
256,0.000000,0,1804507,107.10,2517.86,,,,,,,,,,
257,0.000000,0,1804507,106.72,2517.86,,,,,,,,,,
258,0.000000,0,1804507,106.37,2517.86,,,,,,,,,,
259,298.552543,4986,1809493,106.23,2517.80,,,,,,,,,,
260,19.713262,42569,1852062,106.55,2517.80,,,,,,,,,,
261,20.318634,31631,1883693,107.35,2521.48,,,,,,,,,,
262,376.107328,851,1884544,107.38,2521.48,,,,,,,,,,
263,610.861419,673,1885217,107.24,2521.48,,,,,,,,,,
264,0.000000,0,1885217,107.10,2521.48,,,,,,,,,,
265,0.000000,0,1885217,106.90,2521.48,,,,,,,,,,
266,0.000000,0,1885217,106.67,2521.48,,,,,,,,,,
267,0.000000,0,1885217,106.39,2521.48,,,,,,,,,,
268,0.000000,0,1885217,106.18,2521.66,,,,,,,,,,
269,0.000000,0,1885217,105.96,2521.66,,,,,,,,,,
270,0.000000,0,1885217,105.72,2521.66,,,,,,,,,,
271,0.000000,0,1885217,105.56,2521.66,,,,,,,,,,
272,0.000000,0,1885217,105.51,2516.38,,,,,,,,,,
273,0.000000,0,1885217,105.51,2513.38,,,,,,,,,,
274,0.000000,0,1885217,105.42,2513.50,,,,,,,,,,
275,0.000000,0,1885217,105.31,2513.53,,,,,,,,,,
276,0.000000,0,1885217,105.22,2520.00,,,,,,,,,,
277,0.000000,0,1885217,105.15,2521.04,,,,,,,,,,
278,0.000000,0,1885217,105.06,2535.70,,,,,,,,,,
279,0.000000,0,1885217,104.84,2535.70,,,,,,,,,,
280,0.000000,0,1885217,104.66,2574.10,,,,,,,,,,
281,0.000000,0,1885217,104.48,2574.10,,,,,,,,,,
282,0.000000,0,1885217,104.30,2574.10,,,,,,,,,,
283,0.000000,0,1885217,104.14,2574.10,,,,,,,,,,
284,0.000000,0,1885217,104.05,2574.10,,,,,,,,,,
285,0.000000,0,1885217,103.95,2574.11,,,,,,,,,,
286,0.000000,0,1885217,103.87,2574.08,,,,,,,,,,
287,0.000000,0,1885217,103.85,2590.76,,,,,,,,,,
288,0.000000,0,1885217,103.73,2590.76,,,,,,,,,,
289,0.000000,0,1885217,103.72,2672.21,,,,,,,,,,
290,0.000000,0,1885217,104.26,2756.59,,,,,,,,,,
291,0.000000,0,1885217,104.25,2739.59,,,,,,,,,,
292,0.000000,0,1885217,104.11,2739.59,,,,,,,,,,
293,0.000000,0,1885217,104.09,2742.59,,,,,,,,,,
294,0.000000,0,1885217,104.15,2742.29,,,,,,,,,,
295,0.000000,0,1885217,104.57,2748.20,,,,,,,,,,
296,0.000000,0,1885217,104.73,2749.62,,,,,,,,,,
297,0.000000,0,1885217,104.72,2753.47,,,,,,,,,,
298,0.000000,0,1885217,104.50,2753.47,,,,,,,,,,
299,0.000000,0,1885217,104.28,2753.47,,,,,,,,,,
300,0.000000,0,1885217,104.06,2753.47,,,,,,,,,,
301,0.000000,0,1885217,103.86,2753.47,,,,,,,,,,
302,97.053643,12964,1898181,103.91,2753.54,,,,,,,,,,
303,46.588292,17946,1916127,104.30,2764.44,,,,,,,,,,
304,1034.770282,182,,,,,,,,,,,,,
