2016-05-14 22:26:32.618882 I | etcdserver: saved snapshot at index 121908
2016-05-14 22:26:32.619309 I | etcdserver: compacted raft log at 116908
2016-05-14 22:26:32.861483 I | etcdserver: start to snapshot (applied: 131944, lastsnap: 121908)
2016-05-14 22:26:32.872120 I | etcdserver: saved snapshot at index 131944
2016-05-14 22:26:32.872341 I | etcdserver: compacted raft log at 126944
2016-05-14 22:26:33.121970 I | etcdserver: start to snapshot (applied: 142039, lastsnap: 131944)
2016-05-14 22:26:33.132357 I | etcdserver: saved snapshot at index 142039
2016-05-14 22:26:33.132566 I | etcdserver: compacted raft log at 137039
2016-05-14 22:26:33.375969 I | etcdserver: start to snapshot (applied: 152093, lastsnap: 142039)
2016-05-14 22:26:33.380628 I | etcdserver: saved snapshot at index 152093
2016-05-14 22:26:33.380840 I | etcdserver: compacted raft log at 147093
2016-05-14 22:26:33.674047 I | etcdserver: start to snapshot (applied: 162803, lastsnap: 152093)
2016-05-14 22:26:33.684767 I | etcdserver: saved snapshot at index 162803
2016-05-14 22:26:33.685015 I | etcdserver: compacted raft log at 157803
2016-05-14 22:26:33.958134 I | etcdserver: start to snapshot (applied: 172994, lastsnap: 162803)
2016-05-14 22:26:33.971200 I | etcdserver: saved snapshot at index 172994
2016-05-14 22:26:33.971422 I | etcdserver: compacted raft log at 167994
2016-05-14 22:26:34.214658 I | etcdserver: start to snapshot (applied: 183055, lastsnap: 172994)
2016-05-14 22:26:34.226123 I | etcdserver: saved snapshot at index 183055
2016-05-14 22:26:34.226335 I | etcdserver: compacted raft log at 178055
2016-05-14 22:26:34.477761 I | etcdserver: start to snapshot (applied: 193089, lastsnap: 183055)
2016-05-14 22:26:34.492274 I | etcdserver: saved snapshot at index 193089
2016-05-14 22:26:34.492510 I | etcdserver: compacted raft log at 188089
2016-05-14 22:26:34.659353 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000030fbf.wal is created
2016-05-14 22:26:34.737404 I | etcdserver: start to snapshot (applied: 203116, lastsnap: 193089)
2016-05-14 22:26:34.745351 I | etcdserver: saved snapshot at index 203116
2016-05-14 22:26:34.745542 I | etcdserver: compacted raft log at 198116
2016-05-14 22:26:35.042444 I | etcdserver: start to snapshot (applied: 213221, lastsnap: 203116)
2016-05-14 22:26:35.047098 I | etcdserver: saved snapshot at index 213221
2016-05-14 22:26:35.047277 I | etcdserver: compacted raft log at 208221
2016-05-14 22:26:35.303739 I | etcdserver: start to snapshot (applied: 223274, lastsnap: 213221)
2016-05-14 22:26:35.311710 I | etcdserver: saved snapshot at index 223274
2016-05-14 22:26:35.312015 I | etcdserver: compacted raft log at 218274
2016-05-14 22:26:35.561089 I | etcdserver: start to snapshot (applied: 233364, lastsnap: 223274)
2016-05-14 22:26:35.574510 I | etcdserver: saved snapshot at index 233364
2016-05-14 22:26:35.574701 I | etcdserver: compacted raft log at 228364
2016-05-14 22:26:35.818204 I | etcdserver: start to snapshot (applied: 243756, lastsnap: 233364)
2016-05-14 22:26:35.834081 I | etcdserver: saved snapshot at index 243756
2016-05-14 22:26:35.834297 I | etcdserver: compacted raft log at 238756
2016-05-14 22:26:36.086089 I | etcdserver: start to snapshot (applied: 253974, lastsnap: 243756)
2016-05-14 22:26:36.101875 I | etcdserver: saved snapshot at index 253974
2016-05-14 22:26:36.102048 I | etcdserver: compacted raft log at 248974
2016-05-14 22:26:36.376580 I | etcdserver: start to snapshot (applied: 263976, lastsnap: 253974)
2016-05-14 22:26:36.391094 I | etcdserver: saved snapshot at index 263976
2016-05-14 22:26:36.393114 I | etcdserver: compacted raft log at 258976
2016-05-14 22:26:36.647975 I | etcdserver: start to snapshot (applied: 274086, lastsnap: 263976)
2016-05-14 22:26:36.662969 I | etcdserver: saved snapshot at index 274086
2016-05-14 22:26:36.663195 I | etcdserver: compacted raft log at 269086
2016-05-14 22:26:36.926826 I | etcdserver: start to snapshot (applied: 284455, lastsnap: 274086)
2016-05-14 22:26:36.939619 I | etcdserver: saved snapshot at index 284455
2016-05-14 22:26:36.939825 I | etcdserver: compacted raft log at 279455
2016-05-14 22:26:37.204514 I | etcdserver: start to snapshot (applied: 294804, lastsnap: 284455)
2016-05-14 22:26:37.217692 I | etcdserver: saved snapshot at index 294804
2016-05-14 22:26:37.217920 I | etcdserver: compacted raft log at 289804
2016-05-14 22:26:37.454409 I | etcdserver: start to snapshot (applied: 304847, lastsnap: 294804)
2016-05-14 22:26:37.496049 I | etcdserver: saved snapshot at index 304847
2016-05-14 22:26:37.496243 I | etcdserver: compacted raft log at 299847
2016-05-14 22:26:37.731993 I | etcdserver: start to snapshot (applied: 314867, lastsnap: 304847)
2016-05-14 22:26:37.738132 I | etcdserver: saved snapshot at index 314867
2016-05-14 22:26:37.738444 I | etcdserver: compacted raft log at 309867
2016-05-14 22:26:38.001984 I | etcdserver: start to snapshot (applied: 325044, lastsnap: 314867)
2016-05-14 22:26:38.014912 I | etcdserver: saved snapshot at index 325044
2016-05-14 22:26:38.015079 I | etcdserver: compacted raft log at 320044
2016-05-14 22:26:38.279635 I | etcdserver: start to snapshot (applied: 335198, lastsnap: 325044)
2016-05-14 22:26:38.286753 I | etcdserver: saved snapshot at index 335198
2016-05-14 22:26:38.286970 I | etcdserver: compacted raft log at 330198
2016-05-14 22:26:38.542553 I | etcdserver: start to snapshot (applied: 345307, lastsnap: 335198)
2016-05-14 22:26:38.566734 I | etcdserver: saved snapshot at index 345307
2016-05-14 22:26:38.566979 I | etcdserver: compacted raft log at 340307
2016-05-14 22:26:38.833517 I | etcdserver: start to snapshot (applied: 355631, lastsnap: 345307)
2016-05-14 22:26:38.844780 I | etcdserver: saved snapshot at index 355631
2016-05-14 22:26:38.845008 I | etcdserver: compacted raft log at 350631
2016-05-14 22:26:39.148867 I | etcdserver: start to snapshot (applied: 366216, lastsnap: 355631)
2016-05-14 22:26:39.154152 I | etcdserver: saved snapshot at index 366216
2016-05-14 22:26:39.154495 I | etcdserver: compacted raft log at 361216
2016-05-14 22:26:39.400486 I | etcdserver: start to snapshot (applied: 376342, lastsnap: 366216)
2016-05-14 22:26:39.420277 I | etcdserver: saved snapshot at index 376342
2016-05-14 22:26:39.420493 I | etcdserver: compacted raft log at 371342
2016-05-14 22:26:39.678650 I | etcdserver: start to snapshot (applied: 386413, lastsnap: 376342)
2016-05-14 22:26:39.688996 I | etcdserver: saved snapshot at index 386413
2016-05-14 22:26:39.689152 I | etcdserver: compacted raft log at 381413
2016-05-14 22:26:39.963872 I | etcdserver: start to snapshot (applied: 396417, lastsnap: 386413)
2016-05-14 22:26:39.970517 I | etcdserver: saved snapshot at index 396417
2016-05-14 22:26:39.970706 I | etcdserver: compacted raft log at 391417
2016-05-14 22:26:40.058598 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000061dd5.wal is created
2016-05-14 22:26:40.263653 I | etcdserver: start to snapshot (applied: 406529, lastsnap: 396417)
2016-05-14 22:26:40.279161 I | etcdserver: saved snapshot at index 406529
2016-05-14 22:26:40.279408 I | etcdserver: compacted raft log at 401529
2016-05-14 22:26:40.532055 I | etcdserver: start to snapshot (applied: 416648, lastsnap: 406529)
2016-05-14 22:26:40.548147 I | etcdserver: saved snapshot at index 416648
2016-05-14 22:26:40.548423 I | etcdserver: compacted raft log at 411648
2016-05-14 22:26:40.801797 I | etcdserver: start to snapshot (applied: 426685, lastsnap: 416648)
2016-05-14 22:26:40.817673 I | etcdserver: saved snapshot at index 426685
2016-05-14 22:26:40.817861 I | etcdserver: compacted raft log at 421685
2016-05-14 22:26:41.083721 I | etcdserver: start to snapshot (applied: 436723, lastsnap: 426685)
2016-05-14 22:26:41.094488 I | etcdserver: saved snapshot at index 436723
2016-05-14 22:26:41.094685 I | etcdserver: compacted raft log at 431723
2016-05-14 22:26:41.332616 I | etcdserver: start to snapshot (applied: 446758, lastsnap: 436723)
2016-05-14 22:26:41.346894 I | etcdserver: saved snapshot at index 446758
2016-05-14 22:26:41.347298 I | etcdserver: compacted raft log at 441758
2016-05-14 22:26:41.608009 I | etcdserver: start to snapshot (applied: 456855, lastsnap: 446758)
2016-05-14 22:26:41.630683 I | etcdserver: saved snapshot at index 456855
2016-05-14 22:26:41.630935 I | etcdserver: compacted raft log at 451855
2016-05-14 22:26:41.892637 I | etcdserver: start to snapshot (applied: 466876, lastsnap: 456855)
2016-05-14 22:26:41.907159 I | etcdserver: saved snapshot at index 466876
2016-05-14 22:26:41.907393 I | etcdserver: compacted raft log at 461876
2016-05-14 22:26:42.180470 I | etcdserver: start to snapshot (applied: 477142, lastsnap: 466876)
2016-05-14 22:26:42.192766 I | etcdserver: saved snapshot at index 477142
2016-05-14 22:26:42.192951 I | etcdserver: compacted raft log at 472142
2016-05-14 22:26:42.459666 I | etcdserver: start to snapshot (applied: 487214, lastsnap: 477142)
2016-05-14 22:26:42.466733 I | etcdserver: saved snapshot at index 487214
2016-05-14 22:26:42.466890 I | etcdserver: compacted raft log at 482214
2016-05-14 22:26:42.712420 I | etcdserver: start to snapshot (applied: 497239, lastsnap: 487214)
2016-05-14 22:26:42.719843 I | etcdserver: saved snapshot at index 497239
2016-05-14 22:26:42.720054 I | etcdserver: compacted raft log at 492239
2016-05-14 22:26:42.970894 I | etcdserver: start to snapshot (applied: 507523, lastsnap: 497239)
2016-05-14 22:26:42.985457 I | etcdserver: saved snapshot at index 507523
2016-05-14 22:26:42.985653 I | etcdserver: compacted raft log at 502523
2016-05-14 22:26:43.274557 I | etcdserver: start to snapshot (applied: 517527, lastsnap: 507523)
2016-05-14 22:26:43.283828 I | etcdserver: saved snapshot at index 517527
2016-05-14 22:26:43.284099 I | etcdserver: compacted raft log at 512527
2016-05-14 22:26:43.589019 I | etcdserver: start to snapshot (applied: 527967, lastsnap: 517527)
2016-05-14 22:26:43.604963 I | etcdserver: saved snapshot at index 527967
2016-05-14 22:26:43.605187 I | etcdserver: compacted raft log at 522967
2016-05-14 22:26:43.821469 I | etcdserver: start to snapshot (applied: 538481, lastsnap: 527967)
2016-05-14 22:26:43.830787 I | etcdserver: saved snapshot at index 538481
2016-05-14 22:26:43.830950 I | etcdserver: compacted raft log at 533481
2016-05-14 22:26:44.098725 I | etcdserver: start to snapshot (applied: 548642, lastsnap: 538481)
2016-05-14 22:26:44.112802 I | etcdserver: saved snapshot at index 548642
2016-05-14 22:26:44.112991 I | etcdserver: compacted raft log at 543642
2016-05-14 22:26:44.386929 I | etcdserver: start to snapshot (applied: 558667, lastsnap: 548642)
2016-05-14 22:26:44.400991 I | etcdserver: saved snapshot at index 558667
2016-05-14 22:26:44.401185 I | etcdserver: compacted raft log at 553667
2016-05-14 22:26:44.675223 I | etcdserver: start to snapshot (applied: 568735, lastsnap: 558667)
2016-05-14 22:26:44.685349 I | etcdserver: saved snapshot at index 568735
2016-05-14 22:26:44.685524 I | etcdserver: compacted raft log at 563735
2016-05-14 22:26:44.909822 I | etcdserver: start to snapshot (applied: 578803, lastsnap: 568735)
2016-05-14 22:26:44.922724 I | etcdserver: saved snapshot at index 578803
2016-05-14 22:26:44.923894 I | etcdserver: compacted raft log at 573803
2016-05-14 22:26:45.236774 I | etcdserver: start to snapshot (applied: 588854, lastsnap: 578803)
2016-05-14 22:26:45.249700 I | etcdserver: saved snapshot at index 588854
2016-05-14 22:26:45.249962 I | etcdserver: compacted raft log at 583854
2016-05-14 22:26:45.521786 I | etcdserver: start to snapshot (applied: 599336, lastsnap: 588854)
2016-05-14 22:26:45.530786 I | etcdserver: saved snapshot at index 599336
2016-05-14 22:26:45.530976 I | etcdserver: compacted raft log at 594336
2016-05-14 22:26:45.555215 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-0000000000092c13.wal is created
2016-05-14 22:26:45.768790 I | etcdserver: start to snapshot (applied: 609419, lastsnap: 599336)
2016-05-14 22:26:45.782846 I | etcdserver: saved snapshot at index 609419
2016-05-14 22:26:45.783050 I | etcdserver: compacted raft log at 604419
2016-05-14 22:26:46.073187 I | etcdserver: start to snapshot (applied: 619555, lastsnap: 609419)
2016-05-14 22:26:46.081632 I | etcdserver: saved snapshot at index 619555
2016-05-14 22:26:46.081867 I | etcdserver: compacted raft log at 614555
2016-05-14 22:26:46.297611 I | etcdserver: start to snapshot (applied: 629833, lastsnap: 619555)
2016-05-14 22:26:46.304752 I | etcdserver: saved snapshot at index 629833
2016-05-14 22:26:46.304945 I | etcdserver: compacted raft log at 624833
2016-05-14 22:26:46.600195 I | etcdserver: start to snapshot (applied: 640120, lastsnap: 629833)
2016-05-14 22:26:46.615254 I | etcdserver: saved snapshot at index 640120
2016-05-14 22:26:46.615482 I | etcdserver: compacted raft log at 635120
2016-05-14 22:26:46.884862 I | etcdserver: start to snapshot (applied: 650129, lastsnap: 640120)
2016-05-14 22:26:46.900073 I | etcdserver: saved snapshot at index 650129
2016-05-14 22:26:46.900303 I | etcdserver: compacted raft log at 645129
2016-05-14 22:26:47.140723 I | etcdserver: start to snapshot (applied: 660315, lastsnap: 650129)
2016-05-14 22:26:47.160678 I | etcdserver: saved snapshot at index 660315
2016-05-14 22:26:47.160881 I | etcdserver: compacted raft log at 655315
2016-05-14 22:26:47.430077 I | etcdserver: start to snapshot (applied: 670462, lastsnap: 660315)
2016-05-14 22:26:47.437229 I | etcdserver: saved snapshot at index 670462
2016-05-14 22:26:47.437522 I | etcdserver: compacted raft log at 665462
2016-05-14 22:26:47.734634 I | etcdserver: start to snapshot (applied: 680497, lastsnap: 670462)
2016-05-14 22:26:47.746271 I | etcdserver: saved snapshot at index 680497
2016-05-14 22:26:47.746529 I | etcdserver: compacted raft log at 675497
2016-05-14 22:26:47.963631 I | etcdserver: start to snapshot (applied: 690632, lastsnap: 680497)
2016-05-14 22:26:47.977895 I | etcdserver: saved snapshot at index 690632
2016-05-14 22:26:47.978103 I | etcdserver: compacted raft log at 685632
2016-05-14 22:26:48.260465 I | etcdserver: start to snapshot (applied: 700698, lastsnap: 690632)
2016-05-14 22:26:48.281003 I | etcdserver: saved snapshot at index 700698
2016-05-14 22:26:48.281293 I | etcdserver: compacted raft log at 695698
2016-05-14 22:26:48.490406 I | etcdserver: start to snapshot (applied: 710827, lastsnap: 700698)
2016-05-14 22:26:48.511617 I | etcdserver: saved snapshot at index 710827
2016-05-14 22:26:48.511865 I | etcdserver: compacted raft log at 705827
2016-05-14 22:26:48.820411 I | etcdserver: start to snapshot (applied: 721016, lastsnap: 710827)
2016-05-14 22:26:48.838163 I | etcdserver: saved snapshot at index 721016
2016-05-14 22:26:48.838377 I | etcdserver: compacted raft log at 716016
2016-05-14 22:26:49.055138 I | etcdserver: start to snapshot (applied: 731093, lastsnap: 721016)
2016-05-14 22:26:49.071521 I | etcdserver: saved snapshot at index 731093
2016-05-14 22:26:49.071732 I | etcdserver: compacted raft log at 726093
2016-05-14 22:26:49.400455 I | etcdserver: start to snapshot (applied: 742242, lastsnap: 731093)
2016-05-14 22:26:49.420473 I | etcdserver: saved snapshot at index 742242
2016-05-14 22:26:49.420921 I | etcdserver: compacted raft log at 737242
2016-05-14 22:26:49.677460 I | etcdserver: start to snapshot (applied: 752288, lastsnap: 742242)
2016-05-14 22:26:49.691467 I | etcdserver: saved snapshot at index 752288
2016-05-14 22:26:49.691668 I | etcdserver: compacted raft log at 747288
2016-05-14 22:26:49.971941 I | etcdserver: start to snapshot (applied: 762327, lastsnap: 752288)
2016-05-14 22:26:49.984711 I | etcdserver: saved snapshot at index 762327
2016-05-14 22:26:49.984982 I | etcdserver: compacted raft log at 757327
2016-05-14 22:26:50.206805 I | etcdserver: start to snapshot (applied: 772333, lastsnap: 762327)
2016-05-14 22:26:50.219387 I | etcdserver: saved snapshot at index 772333
2016-05-14 22:26:50.219541 I | etcdserver: compacted raft log at 767333
2016-05-14 22:26:50.434232 I | etcdserver: start to snapshot (applied: 782373, lastsnap: 772333)
2016-05-14 22:26:50.446427 I | etcdserver: saved snapshot at index 782373
2016-05-14 22:26:50.446863 I | etcdserver: compacted raft log at 777373
2016-05-14 22:26:50.739198 I | etcdserver: start to snapshot (applied: 792525, lastsnap: 782373)
2016-05-14 22:26:50.749208 I | etcdserver: saved snapshot at index 792525
2016-05-14 22:26:50.749407 I | etcdserver: compacted raft log at 787525
2016-05-14 22:26:50.942205 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000004-00000000000c3a53.wal is created
