second,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4
47,0.000000,0,1199999,260.29,2042.82,27.275719,37065,1720617,379.20,670.73,261.752850,2423,81759,19.98,362.29
48,0.000000,0,1199999,256.51,2042.93,29.333843,34003,1754620,380.55,690.74,412.872937,1661,83420,19.88,362.29
49,0.000000,0,1199999,252.33,2042.86,29.286372,33868,1788488,381.29,702.02,336.314249,1786,85206,19.79,362.29
50,0.000000,0,1199999,248.04,2042.93,27.771546,35358,1823846,382.02,715.14,327.340638,1256,86462,19.91,363.22
51,0.000000,0,1199999,244.11,2043.01,30.018212,33652,1857498,383.30,726.55,941.495399,662,87124,20.18,366.82
52,0.000000,0,1199999,240.03,2042.92,29.989932,33147,1890645,384.13,735.22,372.220546,2782,89906,20.81,376.73
53,0.000000,0,1199999,236.69,2045.10,24.120160,40170,1930815,384.81,749.66,342.556241,1579,91485,20.92,391.30
54,0.000000,0,1199999,232.98,2045.88,29.648577,34409,1965224,385.63,761.66,449.342123,1437,92922,20.89,391.30
55,0.000000,0,1199999,229.54,2047.20,30.897377,32268,1997492,386.37,774.88,273.690482,2484,95406,21.35,417.33
56,0.000000,0,1199999,226.13,2047.94,23.620694,2508,,,,626.647463,100,95506,21.62,417.42
57,0.000000,0,1199999,222.72,2047.83,,,,,,407.262984,1154,96660,21.99,446.24
58,0.000000,0,1199999,219.39,2048.04,,,,,,271.149088,2060,98720,22.04,482.30
59,0.000000,0,1199999,216.80,2047.83,,,,,,292.248087,2183,100903,22.02,484.43
60,3351.844078,672,1200671,214.67,2052.80,,,,,,404.608906,1692,102595,22.25,486.32
61,18.898051,41429,1242100,213.01,2054.44,,,,,,288.293928,963,103558,22.60,515.20
62,16.574215,40224,1282324,214.98,2090.61,,,,,,394.242141,1117,104675,22.89,550.71
63,17.715833,37579,1319903,217.06,2112.29,,,,,,355.504667,1495,106170,23.37,580.15
64,17.358302,38392,1358295,219.37,2125.01,,,,,,314.481025,2126,108296,23.73,659.57
65,17.876659,37313,1395608,221.52,2126.54,,,,,,352.338004,1407,109703,23.67,659.57
66,16.273651,40936,1436544,223.45,2144.66,,,,,,499.643787,1188,110891,23.52,659.57
67,14.718466,43807,1480351,225.24,2146.11,,,,,,387.468864,105,110996,23.61,659.66
68,381.802503,1163,1481514,226.93,2168.61,,,,,,527.038168,1287,112283,23.85,665.59
69,128.784053,4266,1485780,226.21,2193.09,,,,,,347.874514,1494,113777,24.14,668.85
70,0.000000,0,1485780,224.16,2193.90,,,,,,435.772925,1512,115289,24.44,669.20
71,0.000000,0,1485780,222.58,2199.36,,,,,,339.182078,2245,117534,24.48,669.31
72,0.000000,0,1485780,220.77,2199.47,,,,,,347.498968,1110,118644,24.36,669.99
73,0.000000,0,1485780,220.04,2202.42,,,,,,0.000000,0,118644,24.57,669.99
74,0.000000,0,1485780,218.24,2197.58,,,,,,332.758628,2281,120925,24.87,672.89
75,0.000000,0,1485780,217.13,2196.82,,,,,,402.180082,1264,122189,25.42,689.69
76,0.000000,0,1485780,215.10,2196.82,,,,,,350.609887,1978,124167,25.48,689.87
77,0.000000,0,1485780,213.12,2196.82,,,,,,417.465002,1222,125389,25.37,689.87
78,237.056934,3420,1489200,211.08,2196.82,,,,,,393.371301,529,125918,25.37,689.87
79,35.805777,28800,1518000,210.56,2202.53,,,,,,133.397591,194,126112,25.50,689.96
80,0.000000,0,1518000,212.20,2255.75,,,,,,118.913462,1500,127612,25.69,689.96
81,79.963135,22003,1540003,211.97,2255.33,,,,,,304.654673,655,128267,25.85,690.04
82,43.718079,29471,1569474,213.34,2255.52,,,,,,429.692678,2189,130456,26.00,690.04
