second,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
0,74.284223,513,513,8.75,58.90,133.004123,56,56,8.03,57.80,13.275097,7819,7819,8.03,59.30
1,26.307050,15301,15814,60.70,148.90,19.465702,15002,15058,58.05,148.00,21.311922,24066,31885,59.16,155.18
2,24.471897,21358,37172,95.37,207.07,34.362225,24827,39885,89.55,232.07,50.293177,17732,49617,91.00,243.54
3,63.994411,21662,58834,105.21,261.16,41.841441,31067,70952,109.84,303.29,40.145131,31036,80653,98.25,300.55
4,24.856405,39896,98730,131.25,400.04,24.031119,41662,112614,132.95,462.07,25.499052,39190,119843,118.60,410.74
5,24.779051,40665,139395,147.90,515.47,20.124502,49649,162263,152.94,608.48,22.948315,43748,163591,134.45,520.28
6,26.202162,37865,177260,165.13,712.82,22.030784,45081,207344,170.45,762.62,24.168076,40418,204009,150.83,715.54
7,29.468413,33803,211063,174.24,776.66,23.504739,42546,249890,184.96,874.82,25.629938,39778,243787,158.71,816.22
8,23.777232,41957,253020,186.53,868.89,22.042389,45445,295335,196.91,909.15,20.731086,48217,292004,171.21,871.94
9,23.525850,42668,295688,197.22,922.04,21.326442,46706,342041,210.66,1120.41,22.316890,44640,336644,181.25,1021.55
10,25.875334,38651,334339,207.40,1108.07,23.473163,21392,363433,220.81,1278.06,24.021441,29000,365644,190.10,1171.01
11,26.034712,24759,359098,215.30,1264.18,38.741718,30318,393751,229.57,1359.58,36.623751,32898,398542,195.02,1275.56
12,42.401255,27426,386524,219.56,1272.08,34.705071,38096,431847,238.98,1363.90,43.769839,25107,423649,207.93,1359.88
13,44.096125,27054,413578,228.33,1349.10,22.891489,43662,475509,243.90,1389.63,24.806659,40204,463853,213.58,1360.16
14,23.618035,41569,455147,235.07,1349.10,19.689482,50564,526073,249.84,1537.95,20.325375,48960,512813,217.51,1382.70
15,21.784783,46568,501715,241.02,1441.35,26.699106,19510,545583,253.70,1694.72,25.046275,39104,551917,222.20,1538.39
16,26.198236,37801,539516,247.62,1665.75,67.814720,21867,567450,254.02,1705.28,188.281585,5409,557326,226.66,1690.92
17,276.681071,3634,543150,250.32,1698.79,19.459233,51242,618692,258.63,1705.31,24.165937,41093,598419,227.82,1701.61
18,22.091334,45210,588360,253.81,1701.02,21.529017,46330,665022,261.50,1705.85,21.776962,44871,643290,231.32,1701.61
19,23.361922,40844,629204,257.25,1701.02,70.516669,9729,674751,269.93,1787.93,22.666733,28728,672018,234.80,1704.99
20,24.245836,10885,640089,265.33,1785.58,27.027266,48551,723302,273.97,1789.07,68.825971,19875,691893,243.66,1783.77
21,45.553694,38524,678613,268.98,1786.09,25.338814,39494,762796,275.98,1793.63,21.440684,46486,738379,247.57,1784.28
