second,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
0,16.679816,6873,6873,9.07,58.55,17.279487,5286,5286,8.29,57.89,13.286207,8061,8061,8.00,58.10
1,40.367858,17669,24542,63.84,153.95,32.262650,17883,23169,61.82,153.78,35.667372,19186,27247,59.26,152.27
2,40.004026,26602,51144,98.75,226.34,31.189529,27257,50426,92.34,237.69,34.496539,26561,53808,93.20,235.10
3,34.337673,31188,82332,118.92,300.30,27.567506,36131,86557,111.81,301.58,29.435353,38544,92352,112.07,302.22
4,28.757055,35055,117387,136.26,411.71,27.238760,36516,123073,129.95,460.42,23.160494,44154,136506,133.47,454.09
5,24.476410,40609,157996,151.70,518.03,22.726898,43727,166800,146.23,543.05,21.180406,47100,183606,152.08,592.12
6,25.229590,38948,196944,170.73,721.21,23.285050,41355,208155,168.44,733.30,25.986929,38423,222029,174.48,754.48
7,30.958264,32905,229849,186.94,827.36,21.820073,47353,255508,185.78,887.91,19.614151,48555,270584,191.61,883.72
8,22.702504,44030,273879,202.35,880.27,21.048179,47576,303084,202.30,915.84,21.930760,47640,318224,206.61,918.04
9,23.142035,43402,317281,216.27,970.09,25.254491,39660,342744,217.77,1129.70,21.080944,47314,365538,220.18,1125.94
10,22.455698,37339,354620,231.09,1149.63,26.192854,19313,362057,228.13,1249.25,43.842003,22778,388316,228.65,1279.30
11,44.103131,26232,380852,239.08,1275.65,40.873522,32914,394971,237.19,1294.52,55.745861,18012,406328,237.16,1366.81
12,66.530895,14950,395802,246.82,1352.03,40.625579,28142,423113,249.02,1381.08,20.187913,49505,455833,247.58,1368.87
13,24.688229,40370,436172,255.69,1356.82,22.058641,45118,468231,255.65,1380.92,20.309135,48927,504760,253.08,1400.35
14,26.699249,37581,473753,260.70,1377.59,22.661824,44195,512426,260.10,1409.30,23.272480,43010,547770,258.12,1538.33
15,23.489400,42226,515979,264.93,1420.04,28.008352,32894,545320,262.27,1617.04,19.399785,4168,551938,261.83,1711.87
