second,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
0,21.900755,3069,3069,8.28,59.20,28.036521,2264,2264,7.81,57.90,18.926133,6029,6029,8.00,58.49
1,38.922419,14561,17630,59.23,149.91,40.368448,13736,16000,58.85,148.40,37.032342,16467,22496,58.72,153.70
2,36.517299,20682,38312,92.40,217.61,34.578009,25790,41790,90.80,219.36,34.579819,27004,49500,92.81,210.71
3,37.109619,31057,69369,103.92,267.77,31.946500,35260,77050,107.67,295.88,27.609802,35802,85302,109.95,302.95
4,25.712019,38496,107865,130.18,404.43,27.471861,36460,113510,127.13,427.32,26.810890,38559,123861,128.91,434.54
5,23.985079,42152,150017,150.83,516.88,27.381290,35406,148916,142.09,519.07,21.494158,46344,170205,144.64,525.38
6,22.452338,44438,194455,168.30,715.14,24.216590,42402,191318,160.39,723.40,24.811531,38658,208863,165.92,730.47
7,27.366913,36503,230958,180.99,820.65,29.094867,34543,225861,174.44,827.75,25.929217,39977,248840,179.64,842.59
8,23.376074,42728,273686,194.11,870.76,21.676122,45987,271848,190.04,881.26,23.748193,41825,290665,193.69,889.25
9,27.272073,36584,310270,202.81,986.58,22.626498,44166,316014,205.13,996.43,25.309766,39441,330106,203.95,1025.45
10,23.404688,42603,352873,214.51,1131.63,26.226930,37974,353988,214.81,1128.79,23.819178,34941,365047,213.41,1170.20
11,54.656116,18385,371258,219.89,1272.08,53.661301,18677,372665,218.17,1278.03,43.761850,26664,391711,217.98,1286.30
12,44.387222,21953,393211,229.42,1346.25,30.757236,24495,397160,220.04,1283.06,53.913302,18537,410248,225.52,1369.03
13,22.269500,45980,439191,238.77,1350.42,45.006193,27578,424738,228.87,1368.02,28.187055,35418,445666,230.83,1369.77
14,25.293889,39274,478465,245.83,1372.64,25.016353,40110,464848,234.43,1368.04,26.531745,37934,483600,233.03,1369.68
15,26.385285,38093,516558,251.66,1511.45,21.549952,46091,510939,240.31,1401.04,20.018980,49733,533333,237.32,1417.57
16,22.529624,20674,537232,258.63,1688.39,25.191286,34872,545811,246.49,1675.90,26.831849,15360,548693,243.26,1677.01
17,51.252038,29915,567147,260.15,1699.93,87.114301,12897,558708,247.17,1707.96,52.913225,29879,578572,243.05,1712.00
18,21.874461,45628,612775,265.52,1699.23,20.378579,48823,607531,250.35,1708.38,26.006163,38599,617171,247.46,1712.04
19,23.191168,25653,638428,271.31,1735.66,23.177004,43052,650583,253.59,1708.46,21.721672,45922,663093,250.12,1714.81
20,68.191753,20553,658981,278.70,1785.71,22.159706,16536,667119,258.06,1777.64,20.839213,10038,673131,254.82,1782.34
21,21.372004,46870,705851,282.46,1785.73,56.547228,28756,695875,265.87,1791.22,41.397945,43185,716316,261.12,1796.97
22,21.239997,46777,752628,285.52,1790.92,24.045490,41751,737626,268.27,1791.22,21.566257,46227,762543,264.03,1802.12
23,24.878623,40196,792824,290.55,1820.55,21.703184,45996,783622,270.71,1795.59,25.766021,38909,801452,268.23,1802.25
24,25.251341,39592,832416,293.47,1850.27,29.422470,33855,817477,273.13,1835.88,23.536292,42459,843911,271.74,1871.84
25,20.627163,48447,880863,296.93,1850.27,21.701157,46166,863643,274.94,1866.17,20.278160,49000,892911,275.56,1871.82
26,24.057408,41568,922431,298.63,1887.20,23.747846,41989,905632,277.20,1866.17,21.250603,42130,935041,277.45,1874.11
27,21.170250,47329,969760,300.48,1887.20,27.087450,36799,942431,279.90,1914.88,12.720575,52161,987202,282.71,1946.34
28,20.499568,1932,971692,302.11,1926.37,20.593975,40002,982433,282.95,1914.88,169.790166,3429,990631,287.22,1990.44
29,136.671160,14214,985906,301.27,1927.93,0.000000,0,982433,284.54,1955.22,109.734462,16729,1007360,286.60,1990.46
30,0.000000,0,985906,306.26,2041.08,92.735452,23456,1005889,283.64,1955.68,24.941852,38589,1045949,285.94,1991.75
31,122.710094,16424,1002330,309.30,2046.92,22.113461,26519,1032408,285.18,2017.89,14.369224,46164,1092113,289.92,2035.60
32,22.383717,44501,1046831,311.34,2046.92,0.000000,0,1032408,291.52,2051.34,26.722039,51321,1143434,294.71,2044.66
33,27.027466,36962,1083793,312.95,2047.01,81.011879,29710,1062118,293.03,2052.28,25.612016,38973,1182407,295.32,2045.30
