second,avg_latency_ms_etcdv3_nocompression,throughput_etcdv3_nocompression,cumulative_throughput_etcdv3_nocompression,avg_cpu_etcdv3_nocompression,avg_memory_mb_etcdv3_nocompression,avg_latency_ms_etcdv3_snappy,throughput_etcdv3_snappy,cumulative_throughput_etcdv3_snappy,avg_cpu_etcdv3_snappy,avg_memory_mb_etcdv3_snappy
0,272.830847,146,146,2.40,18.55,255.182920,2580,2580,41.22,294.89
1,241.676926,4751,4897,24.00,438.76,237.415435,4000,6580,77.91,323.02
2,180.753909,5170,10067,53.23,448.57,225.151280,4063,10643,110.17,324.32
3,187.168138,5099,15166,79.76,449.74,226.275532,4000,14643,137.26,328.70
4,177.366591,5386,20552,101.12,449.82,245.601134,3939,18582,160.00,328.87
5,188.718215,4988,25540,119.14,449.91,238.001430,4135,22717,180.46,329.75
6,182.489703,5257,30797,134.96,449.91,228.735660,4178,26895,194.63,330.19
7,179.457467,5258,36055,148.40,449.99,210.766675,3902,30797,212.19,330.19
8,183.782897,5335,41390,160.30,452.78,231.621819,4045,34842,225.08,335.19
9,183.354979,5047,46437,170.67,452.78,238.765505,4177,39019,235.84,336.73
10,182.008597,5164,51601,179.02,452.78,225.127509,4032,43051,245.87,342.42
11,182.763078,5276,56877,186.92,452.78,225.547894,4164,47215,254.44,342.77
12,181.459315,5295,62172,194.45,452.86,238.430939,3943,51158,262.55,352.70
13,185.275911,5201,67373,200.76,452.94,244.270393,1677,52835,259.86,352.70
14,187.847863,5140,72513,206.62,453.03,974.560548,1439,54274,254.06,352.70
15,185.579808,5154,77667,211.16,453.03,228.357974,4056,58330,260.23,352.70
16,184.787502,4996,82663,215.61,453.54,226.562433,4207,62537,267.39,352.70
17,187.772213,5029,87692,219.68,455.28,222.017476,4128,66665,274.00,356.91
18,187.554414,5107,92799,223.27,455.28,232.690292,4143,70808,279.45,357.87
19,187.022881,5226,98025,226.71,455.28,222.669671,4097,74905,284.90,357.87
20,183.063832,5226,103251,230.20,455.28,225.882686,4135,79040,289.39,358.05
21,189.492033,4975,108226,232.92,455.28,217.642686,4042,83082,294.11,358.14
22,185.576433,5095,113321,235.73,455.28,223.862525,4194,87276,298.42,358.14
23,185.052576,5202,118523,238.57,455.28,230.542058,4140,91416,302.35,358.14
24,186.100634,5087,123610,240.80,455.28,227.270737,4064,95480,305.89,358.14
25,186.619903,5083,128693,243.08,455.37,234.262287,4066,99546,308.87,358.23
