second,avg_latency_ms_etcd_v2,throughput_etcd_v2,cumulative_throughput_etcd_v2,avg_cpu_etcd_v2,avg_memory_mb_etcd_v2
0,28.075724,5416,5416,2.58,22.57
1,23.124565,37251,42667,50.06,69.98
2,25.728818,37221,79888,90.02,74.13
3,27.991129,34724,114612,121.97,75.05
4,27.115742,35445,150057,148.54,77.96
5,27.502952,35236,185293,169.90,79.00
6,28.251666,34296,219589,187.75,79.86
7,27.640146,35039,254628,203.73,80.63
8,27.791948,34801,289429,217.13,80.87
9,27.979766,34713,324142,228.71,80.94
10,29.354384,32951,357093,238.22,80.94
11,28.999149,33251,390344,246.87,80.94
12,29.257290,33379,423723,254.28,81.32
13,27.291611,34927,458650,261.90,81.32
14,27.821263,34368,493018,268.47,81.38
15,26.957482,35978,528996,274.55,83.19
16,27.333054,35206,564202,280.46,83.21
17,26.917551,35556,599758,285.90,83.29
18,28.484321,126,,,
