2016-04-30 17:00:02.160046 I | etcdserver: start to snapshot (applied: 50505, lastsnap: 40421)
2016-04-30 17:00:02.170782 I | etcdserver: saved snapshot at index 50505
2016-04-30 17:00:02.171024 I | etcdserver: compacted raft log at 45505
2016-04-30 17:00:02.419064 I | etcdserver: start to snapshot (applied: 60608, lastsnap: 50505)
2016-04-30 17:00:02.431190 I | etcdserver: saved snapshot at index 60608
2016-04-30 17:00:02.431410 I | etcdserver: compacted raft log at 55608
2016-04-30 17:00:02.705217 I | etcdserver: start to snapshot (applied: 70789, lastsnap: 60608)
2016-04-30 17:00:02.722641 I | etcdserver: saved snapshot at index 70789
2016-04-30 17:00:02.722929 I | etcdserver: compacted raft log at 65789
2016-04-30 17:00:02.976925 I | etcdserver: start to snapshot (applied: 80865, lastsnap: 70789)
2016-04-30 17:00:02.991110 I | etcdserver: saved snapshot at index 80865
2016-04-30 17:00:02.991416 I | etcdserver: compacted raft log at 75865
2016-04-30 17:00:03.248745 I | etcdserver: start to snapshot (applied: 91098, lastsnap: 80865)
2016-04-30 17:00:03.262786 I | etcdserver: saved snapshot at index 91098
2016-04-30 17:00:03.263198 I | etcdserver: compacted raft log at 86098
2016-04-30 17:00:03.488771 I | etcdserver: start to snapshot (applied: 101106, lastsnap: 91098)
2016-04-30 17:00:03.514631 I | etcdserver: saved snapshot at index 101106
2016-04-30 17:00:03.514837 I | etcdserver: compacted raft log at 96106
2016-04-30 17:00:03.752716 I | etcdserver: start to snapshot (applied: 111224, lastsnap: 101106)
2016-04-30 17:00:03.762512 I | etcdserver: saved snapshot at index 111224
2016-04-30 17:00:03.762731 I | etcdserver: compacted raft log at 106224
2016-04-30 17:00:04.012662 I | etcdserver: start to snapshot (applied: 121436, lastsnap: 111224)
2016-04-30 17:00:04.026624 I | etcdserver: saved snapshot at index 121436
2016-04-30 17:00:04.027109 I | etcdserver: compacted raft log at 116436
2016-04-30 17:00:04.277591 I | etcdserver: start to snapshot (applied: 131483, lastsnap: 121436)
2016-04-30 17:00:04.291337 I | etcdserver: saved snapshot at index 131483
2016-04-30 17:00:04.291539 I | etcdserver: compacted raft log at 126483
2016-04-30 17:00:04.558220 I | etcdserver: start to snapshot (applied: 141838, lastsnap: 131483)
2016-04-30 17:00:04.565226 I | etcdserver: saved snapshot at index 141838
2016-04-30 17:00:04.565428 I | etcdserver: compacted raft log at 136838
2016-04-30 17:00:04.804338 I | etcdserver: start to snapshot (applied: 151914, lastsnap: 141838)
2016-04-30 17:00:04.828059 I | etcdserver: saved snapshot at index 151914
2016-04-30 17:00:04.828290 I | etcdserver: compacted raft log at 146914
2016-04-30 17:00:05.091972 I | etcdserver: start to snapshot (applied: 162317, lastsnap: 151914)
2016-04-30 17:00:05.108054 I | etcdserver: saved snapshot at index 162317
2016-04-30 17:00:05.108253 I | etcdserver: compacted raft log at 157317
2016-04-30 17:00:05.380722 I | etcdserver: start to snapshot (applied: 172353, lastsnap: 162317)
2016-04-30 17:00:05.393447 I | etcdserver: saved snapshot at index 172353
2016-04-30 17:00:05.393638 I | etcdserver: compacted raft log at 167353
2016-04-30 17:00:05.643851 I | etcdserver: start to snapshot (applied: 182524, lastsnap: 172353)
2016-04-30 17:00:05.666184 I | etcdserver: saved snapshot at index 182524
2016-04-30 17:00:05.666442 I | etcdserver: compacted raft log at 177524
2016-04-30 17:00:05.908692 I | etcdserver: start to snapshot (applied: 192694, lastsnap: 182524)
2016-04-30 17:00:05.940649 I | etcdserver: saved snapshot at index 192694
2016-04-30 17:00:05.942619 I | etcdserver: compacted raft log at 187694
2016-04-30 17:00:06.203239 I | etcdserver: start to snapshot (applied: 202726, lastsnap: 192694)
2016-04-30 17:00:06.219417 I | etcdserver: saved snapshot at index 202726
2016-04-30 17:00:06.219708 I | etcdserver: compacted raft log at 197726
2016-04-30 17:00:06.248161 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000031f95.wal is created
2016-04-30 17:00:06.488303 I | etcdserver: start to snapshot (applied: 212892, lastsnap: 202726)
2016-04-30 17:00:06.496718 I | etcdserver: saved snapshot at index 212892
2016-04-30 17:00:06.496927 I | etcdserver: compacted raft log at 207892
2016-04-30 17:00:06.767332 I | etcdserver: start to snapshot (applied: 222948, lastsnap: 212892)
2016-04-30 17:00:06.779779 I | etcdserver: saved snapshot at index 222948
2016-04-30 17:00:06.779981 I | etcdserver: compacted raft log at 217948
2016-04-30 17:00:07.041015 I | etcdserver: start to snapshot (applied: 233057, lastsnap: 222948)
2016-04-30 17:00:07.057160 I | etcdserver: saved snapshot at index 233057
2016-04-30 17:00:07.057354 I | etcdserver: compacted raft log at 228057
2016-04-30 17:00:07.295333 I | etcdserver: start to snapshot (applied: 243100, lastsnap: 233057)
2016-04-30 17:00:07.305451 I | etcdserver: saved snapshot at index 243100
2016-04-30 17:00:07.305643 I | etcdserver: compacted raft log at 238100
2016-04-30 17:00:07.571044 I | etcdserver: start to snapshot (applied: 253170, lastsnap: 243100)
2016-04-30 17:00:07.588364 I | etcdserver: saved snapshot at index 253170
2016-04-30 17:00:07.588560 I | etcdserver: compacted raft log at 248170
2016-04-30 17:00:07.878105 I | etcdserver: start to snapshot (applied: 263358, lastsnap: 253170)
2016-04-30 17:00:07.886527 I | etcdserver: saved snapshot at index 263358
2016-04-30 17:00:07.886737 I | etcdserver: compacted raft log at 258358
2016-04-30 17:00:08.169968 I | etcdserver: start to snapshot (applied: 273504, lastsnap: 263358)
2016-04-30 17:00:08.177416 I | etcdserver: saved snapshot at index 273504
2016-04-30 17:00:08.177574 I | etcdserver: compacted raft log at 268504
2016-04-30 17:00:08.451659 I | etcdserver: start to snapshot (applied: 283768, lastsnap: 273504)
2016-04-30 17:00:08.475214 I | etcdserver: saved snapshot at index 283768
2016-04-30 17:00:08.475466 I | etcdserver: compacted raft log at 278768
2016-04-30 17:00:08.730482 I | etcdserver: start to snapshot (applied: 293791, lastsnap: 283768)
2016-04-30 17:00:08.747818 I | etcdserver: saved snapshot at index 293791
2016-04-30 17:00:08.748075 I | etcdserver: compacted raft log at 288791
2016-04-30 17:00:09.019265 I | etcdserver: start to snapshot (applied: 303918, lastsnap: 293791)
2016-04-30 17:00:09.037045 I | etcdserver: saved snapshot at index 303918
2016-04-30 17:00:09.037293 I | etcdserver: compacted raft log at 298918
2016-04-30 17:00:09.329212 I | etcdserver: start to snapshot (applied: 314067, lastsnap: 303918)
2016-04-30 17:00:09.341087 I | etcdserver: saved snapshot at index 314067
2016-04-30 17:00:09.341291 I | etcdserver: compacted raft log at 309067
2016-04-30 17:00:09.633809 I | etcdserver: start to snapshot (applied: 324172, lastsnap: 314067)
2016-04-30 17:00:09.647433 I | etcdserver: saved snapshot at index 324172
2016-04-30 17:00:09.647652 I | etcdserver: compacted raft log at 319172
2016-04-30 17:00:09.902292 I | etcdserver: start to snapshot (applied: 334280, lastsnap: 324172)
2016-04-30 17:00:09.915893 I | etcdserver: saved snapshot at index 334280
2016-04-30 17:00:09.916102 I | etcdserver: compacted raft log at 329280
2016-04-30 17:00:10.182743 I | etcdserver: start to snapshot (applied: 344296, lastsnap: 334280)
2016-04-30 17:00:10.198100 I | etcdserver: saved snapshot at index 344296
2016-04-30 17:00:10.198289 I | etcdserver: compacted raft log at 339296
2016-04-30 17:00:10.483789 I | etcdserver: start to snapshot (applied: 354322, lastsnap: 344296)
2016-04-30 17:00:10.496015 I | etcdserver: saved snapshot at index 354322
2016-04-30 17:00:10.496244 I | etcdserver: compacted raft log at 349322
2016-04-30 17:00:10.780972 I | etcdserver: start to snapshot (applied: 364563, lastsnap: 354322)
2016-04-30 17:00:10.794149 I | etcdserver: saved snapshot at index 364563
2016-04-30 17:00:10.794349 I | etcdserver: compacted raft log at 359563
2016-04-30 17:00:11.068151 I | etcdserver: start to snapshot (applied: 374588, lastsnap: 364563)
2016-04-30 17:00:11.080325 I | etcdserver: saved snapshot at index 374588
2016-04-30 17:00:11.080535 I | etcdserver: compacted raft log at 369588
2016-04-30 17:00:11.336967 I | etcdserver: start to snapshot (applied: 384640, lastsnap: 374588)
2016-04-30 17:00:11.345168 I | etcdserver: saved snapshot at index 384640
2016-04-30 17:00:11.345351 I | etcdserver: compacted raft log at 379640
2016-04-30 17:00:11.624249 I | etcdserver: start to snapshot (applied: 394835, lastsnap: 384640)
2016-04-30 17:00:11.639366 I | etcdserver: saved snapshot at index 394835
2016-04-30 17:00:11.639552 I | etcdserver: compacted raft log at 389835
2016-04-30 17:00:11.919893 I | etcdserver: start to snapshot (applied: 404896, lastsnap: 394835)
2016-04-30 17:00:11.930051 I | etcdserver: saved snapshot at index 404896
2016-04-30 17:00:11.930262 I | etcdserver: compacted raft log at 399896
2016-04-30 17:00:12.015142 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000063e15.wal is created
2016-04-30 17:00:12.230061 I | etcdserver: start to snapshot (applied: 414958, lastsnap: 404896)
2016-04-30 17:00:12.239205 I | etcdserver: saved snapshot at index 414958
2016-04-30 17:00:12.239386 I | etcdserver: compacted raft log at 409958
2016-04-30 17:00:12.464686 I | etcdserver: start to snapshot (applied: 424989, lastsnap: 414958)
2016-04-30 17:00:12.482956 I | etcdserver: saved snapshot at index 424989
2016-04-30 17:00:12.483274 I | etcdserver: compacted raft log at 419989
2016-04-30 17:00:12.769042 I | etcdserver: start to snapshot (applied: 435006, lastsnap: 424989)
2016-04-30 17:00:12.785060 I | etcdserver: saved snapshot at index 435006
2016-04-30 17:00:12.785226 I | etcdserver: compacted raft log at 430006
2016-04-30 17:00:13.093522 I | etcdserver: start to snapshot (applied: 445225, lastsnap: 435006)
2016-04-30 17:00:13.105985 I | etcdserver: saved snapshot at index 445225
2016-04-30 17:00:13.106168 I | etcdserver: compacted raft log at 440225
2016-04-30 17:00:13.384348 I | etcdserver: start to snapshot (applied: 455290, lastsnap: 445225)
2016-04-30 17:00:13.398882 I | etcdserver: saved snapshot at index 455290
