2016-04-30 16:25:09.849426 I | etcdmain: etcd Version: 2.3.0+git
2016-04-30 16:25:09.849483 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-30 16:25:09.849490 I | etcdmain: Go Version: devel +7a60a96 Sat Apr 30 05:59:54 2016 +0000
2016-04-30 16:25:09.849495 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-30 16:25:09.849500 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-30 16:25:09.849555 I | etcdmain: listening for peers on http://10.240.0.17:2380
2016-04-30 16:25:09.849583 I | etcdmain: listening for client requests on 10.240.0.17:2379
2016-04-30 16:25:09.855567 I | etcdserver: name = etcd-1
2016-04-30 16:25:09.855585 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-30 16:25:09.855592 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-30 16:25:09.855598 I | etcdserver: heartbeat = 100ms
2016-04-30 16:25:09.855602 I | etcdserver: election = 1000ms
2016-04-30 16:25:09.855607 I | etcdserver: snapshot count = 10000
2016-04-30 16:25:09.855617 I | etcdserver: advertise client URLs = http://10.240.0.17:2379
2016-04-30 16:25:09.855624 I | etcdserver: initial advertise peer URLs = http://10.240.0.17:2380
2016-04-30 16:25:09.855636 I | etcdserver: initial cluster = etcd-1=http://10.240.0.17:2380,etcd-2=http://10.240.0.18:2380,etcd-3=http://10.240.0.19:2380
2016-04-30 16:25:09.858636 I | etcdserver: starting member 8b1cff98eebdba1d in cluster d01df2c6b3269be0
2016-04-30 16:25:09.858682 I | raft: 8b1cff98eebdba1d became follower at term 0
2016-04-30 16:25:09.858698 I | raft: newRaft 8b1cff98eebdba1d [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-30 16:25:09.858705 I | raft: 8b1cff98eebdba1d became follower at term 1
2016-04-30 16:25:09.872015 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-30 16:25:09.872558 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-30 16:25:09.872593 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-30 16:25:09.873078 N | etcdserver: added member 66358a82ef379101 [http://10.240.0.18:2380] to cluster d01df2c6b3269be0
2016-04-30 16:25:09.873165 N | etcdserver: added local member 8b1cff98eebdba1d [http://10.240.0.17:2380] to cluster d01df2c6b3269be0
2016-04-30 16:25:09.873254 N | etcdserver: added member b33da349595da114 [http://10.240.0.19:2380] to cluster d01df2c6b3269be0
2016-04-30 16:25:10.158974 I | raft: 8b1cff98eebdba1d is starting a new election at term 1
2016-04-30 16:25:10.159044 I | raft: 8b1cff98eebdba1d became candidate at term 2
2016-04-30 16:25:10.159072 I | raft: 8b1cff98eebdba1d received vote from 8b1cff98eebdba1d at term 2
2016-04-30 16:25:10.159085 I | raft: 8b1cff98eebdba1d [logterm: 1, index: 3] sent vote request to 66358a82ef379101 at term 2
2016-04-30 16:25:10.159098 I | raft: 8b1cff98eebdba1d [logterm: 1, index: 3] sent vote request to b33da349595da114 at term 2
2016-04-30 16:25:10.871853 I | rafthttp: the connection with 66358a82ef379101 became active
2016-04-30 16:25:11.759063 I | raft: 8b1cff98eebdba1d is starting a new election at term 2
2016-04-30 16:25:11.759134 I | raft: 8b1cff98eebdba1d became candidate at term 3
2016-04-30 16:25:11.759143 I | raft: 8b1cff98eebdba1d received vote from 8b1cff98eebdba1d at term 3
2016-04-30 16:25:11.759153 I | raft: 8b1cff98eebdba1d [logterm: 1, index: 3] sent vote request to b33da349595da114 at term 3
2016-04-30 16:25:11.759162 I | raft: 8b1cff98eebdba1d [logterm: 1, index: 3] sent vote request to 66358a82ef379101 at term 3
2016-04-30 16:25:11.762258 I | raft: 8b1cff98eebdba1d received vote from 66358a82ef379101 at term 3
2016-04-30 16:25:11.762275 I | raft: 8b1cff98eebdba1d [quorum:2] has received 2 votes and 0 vote rejections
2016-04-30 16:25:11.762299 I | raft: 8b1cff98eebdba1d became leader at term 3
2016-04-30 16:25:11.762311 I | raft: raft.node: 8b1cff98eebdba1d elected leader 8b1cff98eebdba1d at term 3
2016-04-30 16:25:11.765291 W | etcdserver: failed to reach the peerURL(http://10.240.0.19:2380) of member b33da349595da114 (Get http://10.240.0.19:2380/version: dial tcp 10.240.0.19:2380: getsockopt: connection refused)
2016-04-30 16:25:11.765316 W | etcdserver: cannot get the version of member b33da349595da114 (Get http://10.240.0.19:2380/version: dial tcp 10.240.0.19:2380: getsockopt: connection refused)
2016-04-30 16:25:11.765372 I | etcdserver: setting up the initial cluster version to 2.2
2016-04-30 16:25:11.765746 I | etcdserver: published {Name:etcd-1 ClientURLs:[http://10.240.0.17:2379]} to cluster d01df2c6b3269be0
2016-04-30 16:25:11.765761 I | etcdmain: ready to serve client requests
2016-04-30 16:25:11.765892 N | etcdmain: serving insecure client requests on 10.240.0.17:2379, this is strongly discouraged!
2016-04-30 16:25:11.766849 N | membership: set the initial cluster version to 2.2
2016-04-30 16:25:11.870731 I | rafthttp: the connection with b33da349595da114 became active
2016-04-30 16:25:11.873084 I | v2http: enabled capabilities for version 2.2.0
2016-04-30 16:25:15.767168 I | etcdserver: updating the cluster version from 2.2 to 2.3
2016-04-30 16:25:15.768918 N | membership: updated the cluster version from 2.2 to 2.3
2016-04-30 16:25:15.874259 I | v2http: enabled capabilities for version 2.3.0
2016-04-30 16:25:18.166253 I | etcdserver: start to snapshot (applied: 10209, lastsnap: 0)
2016-04-30 16:25:18.180719 I | etcdserver: saved snapshot at index 10209
2016-04-30 16:25:18.181072 I | etcdserver: compacted raft log at 5209
2016-04-30 16:25:18.437844 I | etcdserver: start to snapshot (applied: 20575, lastsnap: 10209)
2016-04-30 16:25:18.449168 I | etcdserver: saved snapshot at index 20575
2016-04-30 16:25:18.449508 I | etcdserver: compacted raft log at 15575
2016-04-30 16:25:18.710869 I | etcdserver: start to snapshot (applied: 30713, lastsnap: 20575)
2016-04-30 16:25:18.718776 I | etcdserver: saved snapshot at index 30713
2016-04-30 16:25:18.719037 I | etcdserver: compacted raft log at 25713
2016-04-30 16:25:18.978528 I | etcdserver: start to snapshot (applied: 40958, lastsnap: 30713)
2016-04-30 16:25:18.988724 I | etcdserver: saved snapshot at index 40958
2016-04-30 16:25:18.988904 I | etcdserver: compacted raft log at 35958
2016-04-30 16:25:19.269617 I | etcdserver: start to snapshot (applied: 51003, lastsnap: 40958)
2016-04-30 16:25:19.286260 I | etcdserver: saved snapshot at index 51003
2016-04-30 16:25:19.286496 I | etcdserver: compacted raft log at 46003
2016-04-30 16:25:19.562369 I | etcdserver: start to snapshot (applied: 61026, lastsnap: 51003)
2016-04-30 16:25:19.578696 I | etcdserver: saved snapshot at index 61026
2016-04-30 16:25:19.578899 I | etcdserver: compacted raft log at 56026
2016-04-30 16:25:19.872437 I | etcdserver: start to snapshot (applied: 71202, lastsnap: 61026)
2016-04-30 16:25:19.890188 I | etcdserver: saved snapshot at index 71202
2016-04-30 16:25:19.890521 I | etcdserver: compacted raft log at 66202
2016-04-30 16:25:20.186754 I | etcdserver: start to snapshot (applied: 81272, lastsnap: 71202)
2016-04-30 16:25:20.201487 I | etcdserver: saved snapshot at index 81272
2016-04-30 16:25:20.202466 I | etcdserver: compacted raft log at 76272
2016-04-30 16:25:20.503435 I | etcdserver: start to snapshot (applied: 91273, lastsnap: 81272)
2016-04-30 16:25:20.512770 I | etcdserver: saved snapshot at index 91273
2016-04-30 16:25:20.512975 I | etcdserver: compacted raft log at 86273
2016-04-30 16:25:20.802678 I | etcdserver: start to snapshot (applied: 101422, lastsnap: 91273)
2016-04-30 16:25:20.817021 I | etcdserver: saved snapshot at index 101422
2016-04-30 16:25:20.817323 I | etcdserver: compacted raft log at 96422
2016-04-30 16:25:21.123800 I | etcdserver: start to snapshot (applied: 111572, lastsnap: 101422)
2016-04-30 16:25:21.137145 I | etcdserver: saved snapshot at index 111572
2016-04-30 16:25:21.137376 I | etcdserver: compacted raft log at 106572
2016-04-30 16:25:21.441005 I | etcdserver: start to snapshot (applied: 121640, lastsnap: 111572)
2016-04-30 16:25:21.461840 I | etcdserver: saved snapshot at index 121640
2016-04-30 16:25:21.464325 I | etcdserver: compacted raft log at 116640
2016-04-30 16:25:21.776707 I | etcdserver: start to snapshot (applied: 131708, lastsnap: 121640)
2016-04-30 16:25:21.788112 I | etcdserver: saved snapshot at index 131708
2016-04-30 16:25:21.788332 I | etcdserver: compacted raft log at 126708
2016-04-30 16:25:22.094856 I | etcdserver: start to snapshot (applied: 141725, lastsnap: 131708)
2016-04-30 16:25:22.103768 I | etcdserver: saved snapshot at index 141725
2016-04-30 16:25:22.104114 I | etcdserver: compacted raft log at 136725
2016-04-30 16:25:22.413927 I | etcdserver: start to snapshot (applied: 151878, lastsnap: 141725)
2016-04-30 16:25:22.427110 I | etcdserver: saved snapshot at index 151878
2016-04-30 16:25:22.438789 I | etcdserver: compacted raft log at 146878
2016-04-30 16:25:22.754306 I | etcdserver: start to snapshot (applied: 162023, lastsnap: 151878)
2016-04-30 16:25:22.762446 I | etcdserver: saved snapshot at index 162023
2016-04-30 16:25:22.762693 I | etcdserver: compacted raft log at 157023
2016-04-30 16:25:23.094934 I | etcdserver: start to snapshot (applied: 172399, lastsnap: 162023)
2016-04-30 16:25:23.104400 I | etcdserver: saved snapshot at index 172399
2016-04-30 16:25:23.104678 I | etcdserver: compacted raft log at 167399
2016-04-30 16:25:23.405798 I | etcdserver: start to snapshot (applied: 182439, lastsnap: 172399)
2016-04-30 16:25:23.417930 I | etcdserver: saved snapshot at index 182439
2016-04-30 16:25:23.418152 I | etcdserver: compacted raft log at 177439
2016-04-30 16:25:23.742187 I | etcdserver: start to snapshot (applied: 192495, lastsnap: 182439)
2016-04-30 16:25:23.779240 I | etcdserver: saved snapshot at index 192495
2016-04-30 16:25:23.779464 I | etcdserver: compacted raft log at 187495
2016-04-30 16:25:24.104650 I | etcdserver: start to snapshot (applied: 202610, lastsnap: 192495)
2016-04-30 16:25:24.125488 I | etcdserver: saved snapshot at index 202610
2016-04-30 16:25:24.125695 I | etcdserver: compacted raft log at 197610
2016-04-30 16:25:24.176706 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000001-0000000000031f32.wal is created
2016-04-30 16:25:24.482593 I | etcdserver: start to snapshot (applied: 212640, lastsnap: 202610)
2016-04-30 16:25:24.498169 I | etcdserver: saved snapshot at index 212640
2016-04-30 16:25:24.498324 I | etcdserver: compacted raft log at 207640
2016-04-30 16:25:24.844962 I | etcdserver: start to snapshot (applied: 222721, lastsnap: 212640)
2016-04-30 16:25:24.863144 I | etcdserver: saved snapshot at index 222721
2016-04-30 16:25:24.863418 I | etcdserver: compacted raft log at 217721
2016-04-30 16:25:25.189523 I | etcdserver: start to snapshot (applied: 232747, lastsnap: 222721)
2016-04-30 16:25:25.212785 I | etcdserver: saved snapshot at index 232747
2016-04-30 16:25:25.213004 I | etcdserver: compacted raft log at 227747
2016-04-30 16:25:25.551880 I | etcdserver: start to snapshot (applied: 242825, lastsnap: 232747)
2016-04-30 16:25:25.566688 I | etcdserver: saved snapshot at index 242825
2016-04-30 16:25:25.566921 I | etcdserver: compacted raft log at 237825
2016-04-30 16:25:25.882242 I | etcdserver: start to snapshot (applied: 252860, lastsnap: 242825)
2016-04-30 16:25:25.891795 I | etcdserver: saved snapshot at index 252860
2016-04-30 16:25:25.891979 I | etcdserver: compacted raft log at 247860
2016-04-30 16:25:26.215050 I | etcdserver: start to snapshot (applied: 262862, lastsnap: 252860)
2016-04-30 16:25:26.229912 I | etcdserver: saved snapshot at index 262862
2016-04-30 16:25:26.230109 I | etcdserver: compacted raft log at 257862
2016-04-30 16:25:26.566089 I | etcdserver: start to snapshot (applied: 272901, lastsnap: 262862)
2016-04-30 16:25:26.574549 I | etcdserver: saved snapshot at index 272901
2016-04-30 16:25:26.574956 I | etcdserver: compacted raft log at 267901
2016-04-30 16:25:26.891636 I | etcdserver: start to snapshot (applied: 282916, lastsnap: 272901)
2016-04-30 16:25:26.906087 I | etcdserver: saved snapshot at index 282916
2016-04-30 16:25:26.906278 I | etcdserver: compacted raft log at 277916
2016-04-30 16:25:27.273394 I | etcdserver: start to snapshot (applied: 293140, lastsnap: 282916)
2016-04-30 16:25:27.290149 I | etcdserver: saved snapshot at index 293140
2016-04-30 16:25:27.290357 I | etcdserver: compacted raft log at 288140
2016-04-30 16:25:27.616124 I | etcdserver: start to snapshot (applied: 303267, lastsnap: 293140)
2016-04-30 16:25:27.633647 I | etcdserver: saved snapshot at index 303267
2016-04-30 16:25:27.633917 I | etcdserver: compacted raft log at 298267
2016-04-30 16:25:27.974284 I | etcdserver: start to snapshot (applied: 313557, lastsnap: 303267)
2016-04-30 16:25:27.988370 I | etcdserver: saved snapshot at index 313557
2016-04-30 16:25:27.988669 I | etcdserver: compacted raft log at 308557
2016-04-30 16:25:28.317798 I | etcdserver: start to snapshot (applied: 323702, lastsnap: 313557)
2016-04-30 16:25:28.330066 I | etcdserver: saved snapshot at index 323702
2016-04-30 16:25:28.330265 I | etcdserver: compacted raft log at 318702
2016-04-30 16:25:28.697508 I | etcdserver: start to snapshot (applied: 333844, lastsnap: 323702)
2016-04-30 16:25:28.709085 I | etcdserver: saved snapshot at index 333844
2016-04-30 16:25:28.709456 I | etcdserver: compacted raft log at 328844
2016-04-30 16:25:29.050911 I | etcdserver: start to snapshot (applied: 343976, lastsnap: 333844)
2016-04-30 16:25:29.063124 I | etcdserver: saved snapshot at index 343976
2016-04-30 16:25:29.063369 I | etcdserver: compacted raft log at 338976
2016-04-30 16:25:29.398416 I | etcdserver: start to snapshot (applied: 354033, lastsnap: 343976)
2016-04-30 16:25:29.418339 I | etcdserver: saved snapshot at index 354033
2016-04-30 16:25:29.418748 I | etcdserver: compacted raft log at 349033
2016-04-30 16:25:29.746749 I | etcdserver: start to snapshot (applied: 364083, lastsnap: 354033)
2016-04-30 16:25:29.759415 I | etcdserver: saved snapshot at index 364083
2016-04-30 16:25:29.759779 I | etcdserver: compacted raft log at 359083
2016-04-30 16:25:30.107429 I | etcdserver: start to snapshot (applied: 374087, lastsnap: 364083)
2016-04-30 16:25:30.117861 I | etcdserver: saved snapshot at index 374087
2016-04-30 16:25:30.118059 I | etcdserver: compacted raft log at 369087
2016-04-30 16:25:30.453821 I | etcdserver: start to snapshot (applied: 384209, lastsnap: 374087)
2016-04-30 16:25:30.463116 I | etcdserver: saved snapshot at index 384209
2016-04-30 16:25:30.463345 I | etcdserver: compacted raft log at 379209
2016-04-30 16:25:30.809572 I | etcdserver: start to snapshot (applied: 394235, lastsnap: 384209)
2016-04-30 16:25:30.824185 I | etcdserver: saved snapshot at index 394235
2016-04-30 16:25:30.824412 I | etcdserver: compacted raft log at 389235
2016-04-30 16:25:31.172183 I | etcdserver: start to snapshot (applied: 404307, lastsnap: 394235)
2016-04-30 16:25:31.183014 I | etcdserver: saved snapshot at index 404307
2016-04-30 16:25:31.183183 I | etcdserver: compacted raft log at 399307
2016-04-30 16:25:31.334582 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000002-0000000000063e68.wal is created
2016-04-30 16:25:31.546309 I | etcdserver: start to snapshot (applied: 414394, lastsnap: 404307)
2016-04-30 16:25:31.562172 I | etcdserver: saved snapshot at index 414394
2016-04-30 16:25:31.562375 I | etcdserver: compacted raft log at 409394
2016-04-30 16:25:31.907949 I | etcdserver: start to snapshot (applied: 424546, lastsnap: 414394)
2016-04-30 16:25:31.921044 I | etcdserver: saved snapshot at index 424546
2016-04-30 16:25:31.921411 I | etcdserver: compacted raft log at 419546
2016-04-30 16:25:32.264640 I | etcdserver: start to snapshot (applied: 434605, lastsnap: 424546)
2016-04-30 16:25:32.275257 I | etcdserver: saved snapshot at index 434605
2016-04-30 16:25:32.275452 I | etcdserver: compacted raft log at 429605
2016-04-30 16:25:32.604727 I | etcdserver: start to snapshot (applied: 444717, lastsnap: 434605)
2016-04-30 16:25:32.614761 I | etcdserver: saved snapshot at index 444717
2016-04-30 16:25:32.615020 I | etcdserver: compacted raft log at 439717
2016-04-30 16:25:32.965294 I | etcdserver: start to snapshot (applied: 454998, lastsnap: 444717)
2016-04-30 16:25:32.981195 I | etcdserver: saved snapshot at index 454998
2016-04-30 16:25:32.981428 I | etcdserver: compacted raft log at 449998
2016-04-30 16:25:33.324799 I | etcdserver: start to snapshot (applied: 465098, lastsnap: 454998)
2016-04-30 16:25:33.333630 I | etcdserver: saved snapshot at index 465098
2016-04-30 16:25:33.333872 I | etcdserver: compacted raft log at 460098
2016-04-30 16:25:33.633177 I | etcdserver: start to snapshot (applied: 475136, lastsnap: 465098)
2016-04-30 16:25:33.640135 I | etcdserver: saved snapshot at index 475136
2016-04-30 16:25:33.640361 I | etcdserver: compacted raft log at 470136
2016-04-30 16:25:33.985287 I | etcdserver: start to snapshot (applied: 485224, lastsnap: 475136)
2016-04-30 16:25:33.998651 I | etcdserver: saved snapshot at index 485224
2016-04-30 16:25:33.998852 I | etcdserver: compacted raft log at 480224
2016-04-30 16:25:34.333167 I | etcdserver: start to snapshot (applied: 495277, lastsnap: 485224)
2016-04-30 16:25:34.342285 I | etcdserver: saved snapshot at index 495277
2016-04-30 16:25:34.342631 I | etcdserver: compacted raft log at 490277
2016-04-30 16:25:34.676088 I | etcdserver: start to snapshot (applied: 505394, lastsnap: 495277)
2016-04-30 16:25:34.687743 I | etcdserver: saved snapshot at index 505394
2016-04-30 16:25:34.687981 I | etcdserver: compacted raft log at 500394
2016-04-30 16:25:34.989486 I | etcdserver: start to snapshot (applied: 515650, lastsnap: 505394)
2016-04-30 16:25:34.994857 I | etcdserver: saved snapshot at index 515650
2016-04-30 16:25:34.995023 I | etcdserver: compacted raft log at 510650
2016-04-30 16:25:35.339395 I | etcdserver: start to snapshot (applied: 525702, lastsnap: 515650)
2016-04-30 16:25:35.348315 I | etcdserver: saved snapshot at index 525702
2016-04-30 16:25:35.348530 I | etcdserver: compacted raft log at 520702
2016-04-30 16:25:35.686340 I | etcdserver: start to snapshot (applied: 535819, lastsnap: 525702)
2016-04-30 16:25:35.692472 I | etcdserver: saved snapshot at index 535819
2016-04-30 16:25:35.692696 I | etcdserver: compacted raft log at 530819
2016-04-30 16:25:36.053180 I | etcdserver: start to snapshot (applied: 545891, lastsnap: 535819)
2016-04-30 16:25:36.065129 I | etcdserver: saved snapshot at index 545891
2016-04-30 16:25:36.065371 I | etcdserver: compacted raft log at 540891
2016-04-30 16:25:36.374089 I | etcdserver: start to snapshot (applied: 556073, lastsnap: 545891)
2016-04-30 16:25:36.384426 I | etcdserver: saved snapshot at index 556073
2016-04-30 16:25:36.384755 I | etcdserver: compacted raft log at 551073
2016-04-30 16:25:36.742727 I | etcdserver: start to snapshot (applied: 566191, lastsnap: 556073)
2016-04-30 16:25:36.754101 I | etcdserver: saved snapshot at index 566191
2016-04-30 16:25:36.754308 I | etcdserver: compacted raft log at 561191
2016-04-30 16:25:37.043627 I | etcdserver: start to snapshot (applied: 576302, lastsnap: 566191)
2016-04-30 16:25:37.056742 I | etcdserver: saved snapshot at index 576302
2016-04-30 16:25:37.058121 I | etcdserver: compacted raft log at 571302
2016-04-30 16:25:37.405439 I | etcdserver: start to snapshot (applied: 586305, lastsnap: 576302)
2016-04-30 16:25:37.414661 I | etcdserver: saved snapshot at index 586305
2016-04-30 16:25:37.414932 I | etcdserver: compacted raft log at 581305
2016-04-30 16:25:37.712084 I | etcdserver: start to snapshot (applied: 596354, lastsnap: 586305)
2016-04-30 16:25:37.725890 I | etcdserver: saved snapshot at index 596354
2016-04-30 16:25:37.726103 I | etcdserver: compacted raft log at 591354
2016-04-30 16:25:38.077783 I | etcdserver: start to snapshot (applied: 606456, lastsnap: 596354)
2016-04-30 16:25:38.083834 I | etcdserver: saved snapshot at index 606456
2016-04-30 16:25:38.084204 I | etcdserver: compacted raft log at 601456
2016-04-30 16:25:38.305332 I | wal: segmented wal file /home/gyuho/data.etcd/member/wal/0000000000000003-0000000000095d1e.wal is created
2016-04-30 16:25:38.407021 I | etcdserver: start to snapshot (applied: 616515, lastsnap: 606456)
2016-04-30 16:25:38.417913 I | etcdserver: saved snapshot at index 616515
2016-04-30 16:25:38.418103 I | etcdserver: compacted raft log at 611515
2016-04-30 16:25:38.777324 I | etcdserver: start to snapshot (applied: 626579, lastsnap: 616515)
2016-04-30 16:25:38.795940 I | etcdserver: saved snapshot at index 626579
2016-04-30 16:25:38.799038 I | etcdserver: compacted raft log at 621579
2016-04-30 16:25:39.123294 I | etcdserver: start to snapshot (applied: 636841, lastsnap: 626579)
2016-04-30 16:25:39.134520 I | etcdserver: saved snapshot at index 636841
2016-04-30 16:25:39.134727 I | etcdserver: compacted raft log at 631841
2016-04-30 16:25:39.489162 I | etcdserver: start to snapshot (applied: 647042, lastsnap: 636841)
2016-04-30 16:25:39.500326 I | etcdserver: saved snapshot at index 647042
2016-04-30 16:25:39.500719 I | etcdserver: compacted raft log at 642042
2016-04-30 16:25:39.830203 I | etcdserver: start to snapshot (applied: 657269, lastsnap: 647042)
2016-04-30 16:25:39.840573 I | etcdserver: saved snapshot at index 657269
2016-04-30 16:25:39.840773 I | etcdserver: compacted raft log at 652269
2016-04-30 16:25:39.872665 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000027e1.snap successfully
2016-04-30 16:25:39.872729 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000505f.snap successfully
2016-04-30 16:25:39.872792 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-00000000000077f9.snap successfully
2016-04-30 16:25:39.872917 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-0000000000009ffe.snap successfully
2016-04-30 16:25:39.872989 I | fileutil: purged file /home/gyuho/data.etcd/member/snap/0000000000000003-000000000000c73b.snap successfully
