second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
0,27.747778,9182,9182,2.78,21.46,53.822900,797,797,8.52,58.57
1,29.574689,33137,42319,51.05,78.33,16.202414,20605,21402,60.86,165.79
2,33.086961,29681,72000,91.21,94.79,19.070738,23253,44655,99.42,267.41
3,33.206032,29387,101387,125.23,108.21,60.685528,23808,68463,112.80,316.74
4,34.466972,28643,130030,154.16,122.46,29.464675,34238,102701,133.77,479.05
5,33.706652,29399,159429,178.38,135.55,24.901167,39772,142473,149.66,606.24
6,34.561832,28848,188277,197.93,147.06,25.839052,37829,180302,171.72,776.17
7,30.693026,25695,213972,212.16,160.65,28.343396,36210,216512,187.53,912.57
8,42.023543,25138,239110,220.00,171.91,40.812717,24461,240973,202.18,960.95
9,35.994172,20102,259212,226.97,236.04,30.236485,21264,262237,213.56,1142.56
10,68.679466,19077,278289,228.88,257.67,38.320659,35353,297590,224.29,1212.51
11,44.349165,24274,302563,238.69,293.53,27.253943,36682,334272,237.19,1350.02
12,37.491592,26805,329368,248.05,305.94,27.245840,36749,371021,248.06,1419.42
13,38.957336,25393,354761,255.47,320.14,46.195331,21672,392693,255.05,1465.15
14,35.627923,27677,382438,263.71,335.73,25.182371,39440,432133,260.12,1483.46
15,37.248468,26876,409314,271.14,350.15,96.163278,10401,442534,269.65,1703.04
16,35.502826,27996,437310,276.95,371.16,26.700363,37369,479903,272.56,1707.85
17,36.487641,26897,464207,283.37,383.88,26.151423,38299,518202,276.67,1707.85
18,35.211290,28369,492576,289.20,400.71,26.566682,37635,555837,282.25,1820.15
19,35.935519,27566,520142,294.33,418.13,24.175251,41323,597160,285.89,1820.15
20,35.585068,28108,548250,299.43,444.07,24.446814,17601,614761,288.49,1853.07
